,name,github_id,pypi_id,conda_id,docs_url,category,labels,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,fork_count,open_issue_count,closed_issue_count,star_count,commit_count,latest_stable_release_published_at,latest_stable_release_number,release_count,description,dependent_project_count,github_dependent_project_count,contributor_count,projectrank,pypi_url,pypi_latest_release_published_at,pypi_dependent_project_count,pypi_monthly_downloads,monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,show,projectrank_placing,github_release_downloads,helm_id,brew_id,dockerhub_id,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,npm_id,npm_url,npm_latest_release_published_at,npm_dependent_project_count,npm_monthly_downloads,conda_dependent_project_count,new_addition,trending,apt_id,yum_id,snap_id,maven_id,maven_url,maven_latest_release_published_at,maven_dependent_project_count,updated_github_id,dnf_id,yay_id
0,Tensorflow,tensorflow/tensorflow,tensorflow,conda-forge/tensorflow,https://www.tensorflow.org/overview,ml-frameworks,['tensorflow'],https://github.com/tensorflow/tensorflow,https://github.com/tensorflow/tensorflow,Apache-2.0,2015-11-07 01:19:20.000000,2020-12-27 13:00:53.000000,2020-12-27 09:09:46.000000,83535.0,4248.0,25405.0,151906.0,101941.0,2020-12-14 18:16:52.000000,2.4.0,110.0,An Open Source Machine Learning Framework for Everyone.,136897.0,114373.0,3459.0,44,https://pypi.org/project/tensorflow,2020-12-14 17:58:05.000000,22524.0,7153553.0,7192838.0,https://anaconda.org/conda-forge/tensorflow,2020-07-15 22:30:18.070000,2239262.0,True,1,,,,,,,,,,,,,,,,,,,,,,,,,,
1,pandas,pandas-dev/pandas,pandas,conda-forge/pandas,,data-containers,['pandas'],https://github.com/pandas-dev/pandas,https://github.com/pandas-dev/pandas,BSD-3-Clause,2010-08-24 01:37:33.000000,2020-12-27 14:50:48.928000,2020-12-27 12:53:51.000000,11609.0,3552.0,16154.0,27817.0,25368.0,2020-12-26 16:56:45.000000,1.2.0,87.0,"Flexible and powerful data analysis / manipulation library for Python, providing labeled data structures similar to R..",432758.0,355974.0,2545.0,43,https://pypi.org/project/pandas,2020-12-26 16:58:54.000000,76784.0,24813309.0,25047983.0,https://anaconda.org/conda-forge/pandas,2020-12-27 14:50:48.928000,12869371.0,True,1,56976.0,,,,,,,,,,,,,,,,,,,,,,,,,
2,numpy,numpy/numpy,numpy,conda-forge/numpy,,data-containers,,https://github.com/numpy/numpy,https://github.com/numpy/numpy,BSD-3-Clause,2010-09-13 23:02:39.000000,2020-12-27 10:47:15.000000,2020-12-27 00:45:17.000000,5089.0,2248.0,7203.0,15832.0,25120.0,2020-11-02 16:22:48.000000,1.19.4,93.0,The fundamental package for scientific computing with Python.,753691.0,583969.0,1227.0,42,https://pypi.org/project/numpy,2020-12-25 02:46:48.000000,169722.0,39408934.0,39683020.0,https://anaconda.org/conda-forge/numpy,2020-12-14 15:37:00.094000,14750711.0,True,1,288713.0,,,,,,,,,,,,,,,,,,,,,,,,,
3,scikit-learn,scikit-learn/scikit-learn,scikit-learn,conda-forge/scikit-learn,,ml-frameworks,['sklearn'],https://github.com/scikit-learn/scikit-learn,https://github.com/scikit-learn/scikit-learn,BSD-3-Clause,2010-08-17 09:43:38.000000,2020-12-27 12:36:54.000000,2020-12-22 22:31:29.000000,20767.0,2305.0,6570.0,43528.0,26390.0,2020-12-22 16:55:16.000000,0.24.0,52.0,scikit-learn: machine learning in Python.,215271.0,177383.0,2108.0,41,https://pypi.org/project/scikit-learn,2020-12-22 15:06:38.000000,37888.0,9915068.0,10026266.0,https://anaconda.org/conda-forge/scikit-learn,2020-12-22 17:47:32.588000,6115337.0,True,1,621.0,,,,,,,,,,,,,,,,,,,,,,,,,
4,Matplotlib,matplotlib/matplotlib,matplotlib,conda-forge/matplotlib,,data-viz,,https://github.com/matplotlib/matplotlib,https://github.com/matplotlib/matplotlib,Python-2.0,2011-02-19 03:17:12.000000,2020-12-27 09:41:14.000000,2020-12-27 09:38:52.000000,5541.0,1653.0,5896.0,12836.0,37457.0,2020-11-12 04:43:18.000000,3.3.3,61.0,matplotlib: plotting with Python.,384085.0,304981.0,1184.0,40,https://pypi.org/project/matplotlib,2020-11-12 04:43:18.000000,79104.0,9246011.0,9367128.0,https://anaconda.org/conda-forge/matplotlib,2020-11-18 02:20:26.810000,7630377.0,True,1,,,,,,,,,,,,,,,,,,,,,,,,,,
5,PyTorch,pytorch/pytorch,torch,pytorch/pytorch,https://pytorch.org/docs/stable/index.html,ml-frameworks,['pytorch'],https://github.com/pytorch/pytorch,https://github.com/pytorch/pytorch,BSD-3-Clause,2016-08-13 05:26:41.000000,2020-12-27 14:02:21.000000,2020-12-25 06:42:55.000000,11541.0,7100.0,12364.0,45047.0,32416.0,2020-12-10 17:19:58.000000,1.7.1,30.0,Tensors and Dynamic neural networks in Python with strong GPU acceleration.,63137.0,56455.0,2441.0,39,https://pypi.org/project/torch,2020-12-10 16:22:02.000000,6682.0,1753426.0,2010845.0,https://anaconda.org/pytorch/pytorch,2020-12-10 16:11:32.801000,9524511.0,True,1,,,,,,,,,,,,,,,,,,,,,,,,,,
6,Scrapy,scrapy/scrapy,scrapy,conda-forge/scrapy,,web-scraping,,https://github.com/scrapy/scrapy,https://github.com/scrapy/scrapy,BSD-3-Clause,2010-02-22 02:01:14.000000,2020-12-24 15:36:46.000000,2020-12-24 14:31:42.000000,8948.0,750.0,1900.0,39287.0,8596.0,2020-11-17 21:01:36.000000,2.4.1,80.0,"Scrapy, a fast high-level web crawling & scraping framework for Python.",30072.0,21702.0,459.0,38,https://pypi.org/project/scrapy,2020-11-17 12:04:15.000000,8370.0,507684.0,515335.0,https://anaconda.org/conda-forge/scrapy,2020-11-17 15:41:21.756000,382565.0,True,1,,,,,,,,,,,,,,,,,,,,,,,,,,
7,PySpark,apache/spark,pyspark,conda-forge/pyspark,,ml-frameworks,['spark'],https://github.com/apache/spark,https://github.com/apache/spark,Apache-2.0,2014-02-25 08:00:08.000000,2020-12-27 13:21:08.000000,2020-12-27 08:57:42.000000,23102.0,210.0,,28405.0,28908.0,2020-09-07 15:29:07.000000,3.0.1,21.0,Apache Spark Python API.,1289.0,529.0,2376.0,38,https://pypi.org/project/pyspark,2020-09-07 15:29:07.000000,760.0,6756892.0,6775815.0,https://anaconda.org/conda-forge/pyspark,2020-09-07 17:29:01.440000,851555.0,True,1,,stable/spark,,,,,,,,,,,,,,,,,,,,,,,,
8,Pillow,python-pillow/Pillow,Pillow,conda-forge/pillow,,image,,https://github.com/python-pillow/Pillow,https://github.com/python-pillow/Pillow,PIL,2012-07-24 21:38:39.000000,2020-12-27 10:26:23.000000,2020-12-27 10:26:22.000000,1536.0,238.0,1831.0,8043.0,10987.0,2020-10-22 19:19:42.000000,8.0.1,76.0,The friendly PIL fork (Python Imaging Library).,482015.0,370589.0,343.0,38,https://pypi.org/project/Pillow,2020-10-22 19:17:46.000000,111426.0,14234378.0,14351179.0,https://anaconda.org/conda-forge/pillow,2020-11-07 11:52:48.847000,6540873.0,True,1,,,,,,,,,,,,,,,,,,,,,,,,,,
9,youtube-dl,ytdl-org/youtube-dl,youtube_dl,conda-forge/youtube-dl,,web-scraping,,https://github.com/ytdl-org/youtube-dl,https://github.com/ytdl-org/youtube-dl,Unlicense,2010-10-31 14:35:07.000000,2020-12-27 15:23:21.000000,2020-12-27 15:22:43.000000,3167.0,3900.0,19026.0,86060.0,18077.0,2020-12-26 16:18:48.000000,2020.12.26,931.0,Command-line program to download videos from YouTube.com and other video sites.,2854.0,,914.0,37,https://pypi.org/project/youtube_dl,2020-12-26 16:19:21.000000,2854.0,1900448.0,3485360.0,https://anaconda.org/conda-forge/youtube-dl,2020-12-26 22:19:42.372000,532529.0,True,1,45521236.0,,youtube-dl,,,,,,,,,,,,,,,,,,,,,,,
