,name,github_id,resource,category,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,fork_count,open_issue_count,closed_issue_count,star_count,commit_count,description,contributor_count,projectrank,show,latest_stable_release_published_at,latest_stable_release_number,release_count,pypi_id,conda_id,dockerhub_id,docs_url,labels,dependent_project_count,github_dependent_project_count,pypi_url,pypi_latest_release_published_at,pypi_dependent_project_count,pypi_monthly_downloads,monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,projectrank_placing,github_release_downloads,trending,helm_id,npm_id,npm_url,npm_latest_release_published_at,npm_dependent_project_count,npm_monthly_downloads,conda_dependent_project_count,brew_id,apt_id,yum_id,snap_id,new_addition,maven_id,maven_url,maven_latest_release_published_at,maven_dependent_project_count,dnf_id,yay_id,updated_github_id
0,ANN Benchmarks,erikbern/ann-benchmarks,True,nn-search,https://github.com/erikbern/ann-benchmarks,https://github.com/erikbern/ann-benchmarks,MIT,2015-05-28 13:21:43.000000,2021-01-14 22:58:52.000000,2021-01-14 22:58:51.000000,317,25.0,56.0,2001,1161.0,Benchmarks of approximate nearest neighbor libraries in Python.,53.0,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,best-of-web-python - Web Scraping,ml-tooling/best-of-web-python,True,web-scraping,https://github.com/ml-tooling/best-of-web-python,https://github.com/ml-tooling/best-of-web-python,CC-BY-SA-4.0,2021-01-05 13:09:27.000000,2021-01-17 11:08:59.000000,2021-01-17 11:08:57.000000,16,1.0,,402,,Collection of web-scraping and crawling libraries.,2.0,0,True,2021-01-17 11:09:06.000000,2021.01.16,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,best-of-python - DB Clients,ml-tooling/best-of-web-python,True,db-clients,https://github.com/ml-tooling/best-of-web-python,https://github.com/ml-tooling/best-of-web-python,CC-BY-SA-4.0,2021-01-05 13:09:27.000000,2021-01-17 11:08:59.000000,2021-01-17 11:08:57.000000,16,1.0,,402,,Collection of database clients for python.,2.0,0,True,2021-01-17 11:09:06.000000,2021.01.16,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,Tensorflow,tensorflow/tensorflow,,ml-frameworks,https://github.com/tensorflow/tensorflow,https://github.com/tensorflow/tensorflow,Apache-2.0,2015-11-07 01:19:20.000000,2021-01-17 14:34:05.575365,2021-01-17 09:16:57.000000,83741,4285.0,25694.0,154316,102974.0,An Open Source Machine Learning Framework for Everyone.,3497.0,44,True,2021-01-06 17:51:27.000000,2.3.2,114.0,tensorflow,conda-forge/tensorflow,tensorflow/tensorflow,https://www.tensorflow.org/overview,['tensorflow'],140166.0,117642.0,https://pypi.org/project/tensorflow,2020-12-14 17:58:05.000000,22524.0,4746818.0,5539125.0,https://anaconda.org/conda-forge/tensorflow,2020-07-15 22:30:18.070000,2263778.0,https://hub.docker.com/r/tensorflow/tensorflow,2021-01-17 14:34:05.575365,1832.0,46703223.0,1.0,,,,,,,,,,,,,,,,,,,,,
4,pandas,pandas-dev/pandas,,data-containers,https://github.com/pandas-dev/pandas,https://github.com/pandas-dev/pandas,BSD-3-Clause,2010-08-24 01:37:33.000000,2021-01-17 14:52:19.000000,2021-01-17 14:17:37.000000,11704,3570.0,16314.0,28088,25623.0,"Flexible and powerful data analysis / manipulation library for Python, providing labeled data structures similar to R..",2569.0,42,True,2020-12-26 16:58:54.000000,1.2.0,87.0,pandas,conda-forge/pandas,,,['pandas'],444312.0,367528.0,https://pypi.org/project/pandas,2020-12-26 16:58:54.000000,76784.0,22744388.0,22981242.0,https://anaconda.org/conda-forge/pandas,2021-01-14 09:57:28.511000,13202039.0,,,,,1.0,92798.0,-1.0,,,,,,,,,,,,,,,,,,,
5,numpy,numpy/numpy,,data-containers,https://github.com/numpy/numpy,https://github.com/numpy/numpy,BSD-3-Clause,2010-09-13 23:02:39.000000,2021-01-16 22:54:51.000000,2021-01-16 01:24:20.000000,5183,2242.0,7241.0,15972,25203.0,The fundamental package for scientific computing with Python.,1234.0,42,True,2021-01-05 17:49:34.000000,1.19.5,94.0,numpy,conda-forge/numpy,,,,770511.0,600789.0,https://pypi.org/project/numpy,2021-01-05 17:19:38.000000,169722.0,36895857.0,37173898.0,https://anaconda.org/conda-forge/numpy,2021-01-11 07:51:33.196000,15239347.0,,,,,1.0,295521.0,,,,,,,,,,,,,,,,,,,,
6,scikit-learn,scikit-learn/scikit-learn,,ml-frameworks,https://github.com/scikit-learn/scikit-learn,https://github.com/scikit-learn/scikit-learn,BSD-3-Clause,2010-08-17 09:43:38.000000,2021-01-17 11:36:46.000000,2021-01-16 18:28:47.000000,20860,2326.0,6611.0,43742,26427.0,scikit-learn: machine learning in Python.,2120.0,41,True,2020-12-22 16:55:16.000000,0.24.0,52.0,scikit-learn,conda-forge/scikit-learn,,,['sklearn'],221076.0,183188.0,https://pypi.org/project/scikit-learn,2020-12-22 15:06:38.000000,37888.0,9636599.0,9749691.0,https://anaconda.org/conda-forge/scikit-learn,2020-12-22 17:47:32.588000,6332552.0,,,,,1.0,632.0,,,,,,,,,,,,,,,,,,,,
7,Matplotlib,matplotlib/matplotlib,,data-viz,https://github.com/matplotlib/matplotlib,https://github.com/matplotlib/matplotlib,Python-2.0,2011-02-19 03:17:12.000000,2021-01-17 03:24:55.000000,2021-01-17 00:03:12.000000,5591,1667.0,5927.0,12936,37603.0,matplotlib: plotting with Python.,1193.0,41,True,2020-11-12 04:43:18.000000,3.3.3,61.0,matplotlib,conda-forge/matplotlib,,,,392865.0,313761.0,https://pypi.org/project/matplotlib,2020-11-12 04:43:18.000000,79104.0,8692754.0,8813723.0,https://anaconda.org/conda-forge/matplotlib,2021-01-14 06:32:33.548000,7742056.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,
8,scipy,scipy/scipy,,others,https://github.com/scipy/scipy,https://github.com/scipy/scipy,BSD-3-Clause,2011-03-09 18:52:03.000000,2021-01-17 13:59:47.000000,2021-01-16 19:00:33.000000,3516,1578.0,5663.0,7840,24783.0,"Ecosystem of open-source software for mathematics, science, and engineering.",1108.0,40,True,2020-12-31 15:02:43.000000,1.6.0,59.0,scipy,conda-forge/scipy,,,,380047.0,293185.0,https://pypi.org/project/scipy,2020-12-22 21:20:33.000000,86862.0,13212996.0,13427254.0,https://anaconda.org/conda-forge/scipy,2021-01-12 04:49:45.843000,11740646.0,,,,,1.0,303926.0,,,,,,,,,,,,,,,,,,,,
9,PyTorch,pytorch/pytorch,,ml-frameworks,https://github.com/pytorch/pytorch,https://github.com/pytorch/pytorch,BSD-3-Clause,2016-08-13 05:26:41.000000,2021-01-17 14:07:49.000000,2021-01-17 07:32:30.000000,11688,7100.0,12601.0,45541,32807.0,Tensors and Dynamic neural networks in Python with strong GPU acceleration.,2462.0,39,True,2020-12-10 17:19:58.000000,1.7.1,30.0,torch,pytorch/pytorch,,https://pytorch.org/docs/stable/index.html,['pytorch'],65626.0,58944.0,https://pypi.org/project/torch,2020-12-10 16:22:02.000000,6682.0,1641072.0,1897824.0,https://anaconda.org/pytorch/pytorch,2020-12-10 16:11:32.801000,9756576.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,
