,name,github_id,resource,category,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,fork_count,open_issue_count,closed_issue_count,star_count,commit_count,description,contributor_count,projectrank,show,latest_stable_release_published_at,latest_stable_release_number,release_count,pypi_id,conda_id,dockerhub_id,docs_url,labels,dependent_project_count,github_dependent_project_count,pypi_url,pypi_latest_release_published_at,pypi_dependent_project_count,pypi_monthly_downloads,monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,projectrank_placing,github_release_downloads,helm_id,npm_id,npm_url,npm_latest_release_published_at,npm_dependent_project_count,npm_monthly_downloads,conda_dependent_project_count,new_addition,brew_id,apt_id,yum_id,trending,snap_id,dnf_id,yay_id,maven_id,maven_url,maven_latest_release_published_at,maven_dependent_project_count,updated_github_id,gitlab_id,gitlab_url
0,ANN Benchmarks,erikbern/ann-benchmarks,True,nn-search,https://github.com/erikbern/ann-benchmarks,https://github.com/erikbern/ann-benchmarks,MIT,2015-05-28 13:21:43.000000,2021-01-19 14:23:05.000000,2021-01-19 03:21:36.000000,317,25.0,56.0,2016,1163.0,Benchmarks of approximate nearest neighbor libraries in Python.,53.0,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,best-of-web-python - Web Scraping,ml-tooling/best-of-web-python,True,web-scraping,https://github.com/ml-tooling/best-of-web-python,https://github.com/ml-tooling/best-of-web-python,CC-BY-SA-4.0,2021-01-05 13:09:27.000000,2021-01-21 15:48:51.000000,2021-01-21 11:59:31.000000,42,,,820,,Collection of web-scraping and crawling libraries.,4.0,0,True,2021-01-17 11:09:06.000000,2021.01.16,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,best-of-python - DB Clients,ml-tooling/best-of-web-python,True,db-clients,https://github.com/ml-tooling/best-of-web-python,https://github.com/ml-tooling/best-of-web-python,CC-BY-SA-4.0,2021-01-05 13:09:27.000000,2021-01-21 15:48:51.000000,2021-01-21 11:59:31.000000,42,,,821,,Collection of database clients for python.,4.0,0,True,2021-01-17 11:09:06.000000,2021.01.16,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,Tensorflow,tensorflow/tensorflow,,ml-frameworks,https://github.com/tensorflow/tensorflow,https://github.com/tensorflow/tensorflow,Apache-2.0,2015-11-07 01:19:20.000000,2021-01-21 14:46:08.483292,2021-01-21 12:48:00.000000,83741,4285.0,25731.0,154437,103212.0,An Open Source Machine Learning Framework for Everyone.,3499.0,44,True,2021-01-06 17:51:27.000000,2.3.2,114.0,tensorflow,conda-forge/tensorflow,tensorflow/tensorflow,https://www.tensorflow.org/overview,['tensorflow'],140925.0,118401.0,https://pypi.org/project/tensorflow,2020-12-14 17:58:05.000000,22524.0,4581764.0,5376690.0,https://anaconda.org/conda-forge/tensorflow,2020-07-15 22:30:18.070000,2268789.0,https://hub.docker.com/r/tensorflow/tensorflow,2021-01-21 14:46:08.483292,1833.0,46860189.0,1.0,,,,,,,,,,,,,,,,,,,,,,,
4,pandas,pandas-dev/pandas,,data-containers,https://github.com/pandas-dev/pandas,https://github.com/pandas-dev/pandas,BSD-3-Clause,2010-08-24 01:37:33.000000,2021-01-21 15:19:46.000000,2021-01-21 15:19:45.000000,11726,3592.0,16341.0,28150,25664.0,"Flexible and powerful data analysis / manipulation library for Python, providing labeled data structures similar to R..",2572.0,42,True,2021-01-20 13:34:07.000000,1.2.1,88.0,pandas,conda-forge/pandas,,,['pandas'],446901.0,370117.0,https://pypi.org/project/pandas,2021-01-20 13:34:07.000000,76784.0,21948046.0,22186638.0,https://anaconda.org/conda-forge/pandas,2021-01-20 19:11:38.815000,13298890.0,,,,,1.0,93414.0,,,,,,,,,,,,,,,,,,,,,,
5,numpy,numpy/numpy,,data-containers,https://github.com/numpy/numpy,https://github.com/numpy/numpy,BSD-3-Clause,2010-09-13 23:02:39.000000,2021-01-21 03:07:36.000000,2021-01-21 01:02:23.000000,5183,2242.0,7251.0,16014,25247.0,The fundamental package for scientific computing with Python.,1237.0,42,True,2021-01-05 17:49:34.000000,1.19.5,94.0,numpy,conda-forge/numpy,,,,774409.0,604687.0,https://pypi.org/project/numpy,2021-01-05 17:19:38.000000,169722.0,35576880.0,35857259.0,https://anaconda.org/conda-forge/numpy,2021-01-11 07:51:33.196000,15368578.0,,,,,1.0,297094.0,,,,,,,,,,,,,,,,,,,,,,
6,scikit-learn,scikit-learn/scikit-learn,,ml-frameworks,https://github.com/scikit-learn/scikit-learn,https://github.com/scikit-learn/scikit-learn,BSD-3-Clause,2010-08-17 09:43:38.000000,2021-01-21 14:41:56.000000,2021-01-20 17:35:31.000000,20878,2329.0,6629.0,43795,26436.0,scikit-learn: machine learning in Python.,2122.0,41,True,2021-01-19 18:10:37.000000,0.24.1,53.0,scikit-learn,conda-forge/scikit-learn,,,['sklearn'],222389.0,184501.0,https://pypi.org/project/scikit-learn,2021-01-19 18:06:50.000000,37888.0,9385067.0,9499426.0,https://anaconda.org/conda-forge/scikit-learn,2021-01-19 19:00:36.456000,6403508.0,,,,,1.0,635.0,,,,,,,,,,,,,,,,,,,,,,
7,Matplotlib,matplotlib/matplotlib,,data-viz,https://github.com/matplotlib/matplotlib,https://github.com/matplotlib/matplotlib,Python-2.0,2011-02-19 03:17:12.000000,2021-01-21 14:04:15.000000,2021-01-21 01:44:02.000000,5603,1663.0,5937.0,12963,37631.0,matplotlib: plotting with Python.,1194.0,41,True,2020-11-12 04:43:18.000000,3.3.3,61.0,matplotlib,conda-forge/matplotlib,,,,394905.0,315801.0,https://pypi.org/project/matplotlib,2020-11-12 04:43:18.000000,79104.0,8354800.0,8476376.0,https://anaconda.org/conda-forge/matplotlib,2021-01-14 06:32:33.548000,7780916.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,
8,scipy,scipy/scipy,,others,https://github.com/scipy/scipy,https://github.com/scipy/scipy,BSD-3-Clause,2011-03-09 18:52:03.000000,2021-01-21 14:12:16.000000,2021-01-21 03:47:20.000000,3516,1578.0,5673.0,7850,24794.0,"Ecosystem of open-source software for mathematics, science, and engineering.",1110.0,40,True,2020-12-31 15:02:43.000000,1.6.0,59.0,scipy,conda-forge/scipy,,,,381829.0,294967.0,https://pypi.org/project/scipy,2020-12-22 21:20:33.000000,86862.0,12821729.0,13037526.0,https://anaconda.org/conda-forge/scipy,2021-01-12 04:49:45.843000,11826518.0,,,,,1.0,304299.0,,,,,,,,,,,,,,,,,,,,,,
9,PyTorch,pytorch/pytorch,,ml-frameworks,https://github.com/pytorch/pytorch,https://github.com/pytorch/pytorch,BSD-3-Clause,2016-08-13 05:26:41.000000,2021-01-21 14:45:04.000000,2021-01-21 09:23:05.000000,11714,7100.0,12647.0,45631,32895.0,Tensors and Dynamic neural networks in Python with strong GPU acceleration.,2467.0,39,True,2020-12-10 17:19:58.000000,1.7.1,30.0,torch,pytorch/pytorch,,https://pytorch.org/docs/stable/index.html,['pytorch'],66177.0,59495.0,https://pypi.org/project/torch,2020-12-10 16:22:02.000000,6682.0,1546110.0,1804367.0,https://anaconda.org/pytorch/pytorch,2020-12-10 16:11:32.801000,9813795.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,
