,name,github_id,resource,category,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,fork_count,open_issue_count,closed_issue_count,star_count,commit_count,description,contributor_count,projectrank,show,latest_stable_release_published_at,latest_stable_release_number,release_count,pypi_id,conda_id,dockerhub_id,docs_url,labels,dependent_project_count,github_dependent_project_count,pypi_url,pypi_latest_release_published_at,pypi_dependent_project_count,pypi_monthly_downloads,monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,projectrank_placing,github_release_downloads,helm_id,npm_id,npm_url,npm_latest_release_published_at,npm_dependent_project_count,npm_monthly_downloads,conda_dependent_project_count,trending,brew_id,apt_id,yum_id,updated_github_id,snap_id,maven_id,maven_url,maven_latest_release_published_at,maven_dependent_project_count,dnf_id,yay_id,gitlab_id,gitlab_url
0,ANN Benchmarks,erikbern/ann-benchmarks,True,nn-search,https://github.com/erikbern/ann-benchmarks,https://github.com/erikbern/ann-benchmarks,MIT,2015-05-28 13:21:43.000000,2021-02-03 11:59:36.000000,2021-02-03 11:59:35.000000,319,25.0,56.0,2038,1173.0,Benchmarks of approximate nearest neighbor libraries in Python.,53.0,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,best-of-web-python - Web Scraping,ml-tooling/best-of-web-python,True,web-scraping,https://github.com/ml-tooling/best-of-web-python,https://github.com/ml-tooling/best-of-web-python,CC-BY-SA-4.0,2021-01-05 13:09:27.000000,2021-02-04 15:27:15.000000,2021-01-28 16:44:42.000000,58,,2.0,989,,Collection of web-scraping and crawling libraries.,6.0,0,True,2021-01-28 16:45:07.000000,2021.01.28,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,best-of-python - DB Clients,ml-tooling/best-of-python,True,db-clients,https://github.com/ml-tooling/best-of-python,https://github.com/ml-tooling/best-of-python#database-clients,CC-BY-SA-4.0,2021-01-11 19:11:32.000000,2021-02-04 14:58:32.000000,2021-02-02 11:03:34.000000,85,,2.0,1369,,Collection of database clients for python.,4.0,0,True,2021-01-28 16:46:50.000000,2021.01.28,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,Tensorflow,tensorflow/tensorflow,,ml-frameworks,https://github.com/tensorflow/tensorflow,https://github.com/tensorflow/tensorflow,Apache-2.0,2015-11-07 01:19:20.000000,2021-02-04 13:16:22.000000,2021-02-04 13:15:15.000000,83886,4318.0,25954.0,154821,104178.0,An Open Source Machine Learning Framework for Everyone.,3519.0,44,True,2021-01-21 19:55:54.000000,2.4.1,116.0,tensorflow,conda-forge/tensorflow,tensorflow/tensorflow,https://www.tensorflow.org/overview,['tensorflow'],143216.0,120692.0,https://pypi.org/project/tensorflow,2021-01-21 19:38:00.000000,22524.0,3631483.0,4421495.0,https://anaconda.org/conda-forge/tensorflow,2020-07-15 22:30:18.070000,2287689.0,https://hub.docker.com/r/tensorflow/tensorflow,2021-02-03 17:17:31.599507,1840.0,47328055.0,1.0,,,,,,,,,,,,,,,,,,,,,,
4,pandas,pandas-dev/pandas,,data-containers,https://github.com/pandas-dev/pandas,https://github.com/pandas-dev/pandas,BSD-3-Clause,2010-08-24 01:37:33.000000,2021-02-04 15:06:31.000000,2021-02-04 01:59:26.000000,11786,3617.0,16423.0,28372,25795.0,"Flexible and powerful data analysis / manipulation library for Python, providing labeled data structures similar to R..",2580.0,42,True,2021-01-20 13:34:07.000000,1.2.1,88.0,pandas,conda-forge/pandas,,,['pandas'],455236.0,378452.0,https://pypi.org/project/pandas,2021-01-20 13:34:07.000000,76784.0,17235447.0,17479294.0,https://anaconda.org/conda-forge/pandas,2021-01-20 19:11:38.815000,13835711.0,,,,,1.0,94894.0,,,,,,,,,,,,,,,,,,,,,
5,numpy,numpy/numpy,,data-containers,https://github.com/numpy/numpy,https://github.com/numpy/numpy,BSD-3-Clause,2010-09-13 23:02:39.000000,2021-02-04 14:58:05.000000,2021-02-03 17:14:50.000000,5234,2254.0,7277.0,16158,25414.0,The fundamental package for scientific computing with Python.,1246.0,42,True,2021-01-30 20:28:43.000000,1.20.0,95.0,numpy,conda-forge/numpy,,,,786614.0,616892.0,https://pypi.org/project/numpy,2021-01-30 19:35:22.000000,169722.0,26921650.0,27208611.0,https://anaconda.org/conda-forge/numpy,2021-02-02 12:07:05.754000,16018336.0,,,,,1.0,302881.0,,,,,,,,,,,,,,,,,,,,,
6,Matplotlib,matplotlib/matplotlib,,data-viz,https://github.com/matplotlib/matplotlib,https://github.com/matplotlib/matplotlib,Python-2.0,2011-02-19 03:17:12.000000,2021-02-04 14:07:07.000000,2021-02-04 10:38:04.000000,5619,1672.0,5976.0,13065,37750.0,matplotlib: plotting with Python.,1201.0,41,True,2021-01-28 08:54:50.000000,3.3.4,62.0,matplotlib,conda-forge/matplotlib,,,,401249.0,322145.0,https://pypi.org/project/matplotlib,2021-01-28 08:34:18.000000,79104.0,6993489.0,7118178.0,https://anaconda.org/conda-forge/matplotlib,2021-01-28 20:05:11.672000,8104822.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,
7,scipy,scipy/scipy,,others,https://github.com/scipy/scipy,https://github.com/scipy/scipy,BSD-3-Clause,2011-03-09 18:52:03.000000,2021-02-04 14:54:05.000000,2021-02-03 21:05:14.000000,3545,1581.0,5707.0,7883,24964.0,"Ecosystem of open-source software for mathematics, science, and engineering.",1115.0,40,True,2020-12-31 15:02:43.000000,1.6.0,60.0,scipy,conda-forge/scipy,,,,387242.0,300380.0,https://pypi.org/project/scipy,2020-12-31 14:30:32.000000,86862.0,10390283.0,10611161.0,https://anaconda.org/conda-forge/scipy,2021-01-12 04:49:45.843000,12330121.0,,,,,1.0,305626.0,,,,,,,,,,,,,,,,,,,,,
8,PyTorch,pytorch/pytorch,,ml-frameworks,https://github.com/pytorch/pytorch,https://github.com/pytorch/pytorch,BSD-3-Clause,2016-08-13 05:26:41.000000,2021-02-04 14:01:30.000000,2021-02-04 12:14:15.000000,12201,7846.0,12828.0,45992,33313.0,Tensors and Dynamic neural networks in Python with strong GPU acceleration.,2486.0,39,True,2020-12-10 17:19:58.000000,1.7.1,30.0,torch,pytorch/pytorch,,https://pytorch.org/docs/stable/index.html,['pytorch'],68034.0,61352.0,https://pypi.org/project/torch,2020-12-10 16:22:02.000000,6682.0,1168835.0,1424833.0,https://anaconda.org/pytorch/pytorch,2020-12-10 16:11:32.801000,9983941.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,
9,Pillow,python-pillow/Pillow,,image,https://github.com/python-pillow/Pillow,https://github.com/python-pillow/Pillow,PIL,2012-07-24 21:38:39.000000,2021-02-03 04:15:57.000000,2021-02-03 04:15:33.000000,1559,240.0,1874.0,8179,11141.0,The friendly PIL fork (Python Imaging Library).,344.0,39,True,2021-01-02 20:13:09.000000,8.1.0,77.0,Pillow,conda-forge/pillow,,,,506670.0,395244.0,https://pypi.org/project/Pillow,2021-01-02 20:11:59.000000,111426.0,9614028.0,9734183.0,https://anaconda.org/conda-forge/pillow,2021-01-11 23:44:30.126000,6968993.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,
10,PySpark,apache/spark,,ml-frameworks,https://github.com/apache/spark,https://github.com/apache/spark,Apache-2.0,2014-02-25 08:00:08.000000,2021-02-04 13:30:51.000000,2021-02-04 08:31:36.000000,23273,222.0,,28707,29267.0,Apache Spark Python API.,2394.0,38,True,2020-09-07 15:29:07.000000,3.0.1,21.0,pyspark,conda-forge/pyspark,,,['spark'],1318.0,558.0,https://pypi.org/project/pyspark,2020-09-07 15:29:07.000000,760.0,4667595.0,4686512.0,https://anaconda.org/conda-forge/pyspark,2020-09-07 17:29:01.440000,889132.0,,,,,1.0,,stable/spark,,,,,,,,,,,,,,,,,,,,
11,scikit-learn,scikit-learn/scikit-learn,,ml-frameworks,https://github.com/scikit-learn/scikit-learn,https://github.com/scikit-learn/scikit-learn,BSD-3-Clause,2010-08-17 09:43:38.000000,2021-02-04 14:12:51.000000,2021-02-04 13:56:15.000000,20962,2295.0,6664.0,44444,,scikit-learn: machine learning in Python.,2139.0,37,True,2021-01-19 18:10:37.000000,0.24.1,53.0,scikit-learn,conda-forge/scikit-learn,,,['sklearn'],226489.0,188601.0,https://pypi.org/project/scikit-learn,2021-01-19 18:06:50.000000,37888.0,7242012.0,7361629.0,https://anaconda.org/conda-forge/scikit-learn,2021-01-21 23:33:46.354000,6817547.0,,,,,1.0,651.0,,,,,,,,,,,,,,,,,,,,,
12,spaCy,explosion/spaCy,,nlp,https://github.com/explosion/spaCy,https://github.com/explosion/spaCy,MIT,2014-07-03 15:15:40.000000,2021-02-04 14:28:37.000000,2021-02-04 14:09:01.000000,3223,84.0,4206.0,19330,14227.0,Industrial-strength Natural Language Processing (NLP) in Python.,557.0,37,True,2021-02-02 10:55:06.000000,3.0.1,172.0,spacy,conda-forge/spacy,,,,24180.0,21114.0,https://pypi.org/project/spacy,2021-02-02 10:56:19.000000,3066.0,674356.0,703815.0,https://anaconda.org/conda-forge/spacy,2021-02-04 13:12:13.034000,1411362.0,,,,,1.0,2947.0,,,,,,,,,,,,,,,,,,,,,
13,Celery,celery/celery,,data-pipelines,https://github.com/celery/celery,https://github.com/celery/celery,BSD-3-Clause,2009-04-24 11:31:24.000000,2021-02-03 11:08:31.000000,2021-01-23 03:34:47.000000,3940,500.0,3925.0,16649,11504.0,Asynchronous task queue/job queue based on distributed message passing.,1080.0,37,True,2020-12-16 15:41:18.000000,5.0.5,171.0,celery,conda-forge/celery,,,,76732.0,48498.0,https://pypi.org/project/celery,2020-12-16 15:34:09.000000,28234.0,1597886.0,1604361.0,https://anaconda.org/conda-forge/celery,2020-11-11 10:39:38.599000,382052.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,
