,name,github_id,resource,category,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,fork_count,open_issue_count,closed_issue_count,star_count,commit_count,description,contributor_count,projectrank,show,latest_stable_release_published_at,latest_stable_release_number,release_count,pypi_id,conda_id,dockerhub_id,docs_url,labels,dependent_project_count,github_dependent_project_count,pypi_url,pypi_latest_release_published_at,pypi_dependent_project_count,pypi_monthly_downloads,monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,projectrank_placing,github_release_downloads,helm_id,trending,npm_id,npm_url,npm_latest_release_published_at,npm_dependent_project_count,npm_monthly_downloads,conda_dependent_project_count,brew_id,apt_id,yum_id,updated_github_id,snap_id,maven_id,maven_url,maven_latest_release_published_at,maven_dependent_project_count,dnf_id,yay_id,gitlab_id,gitlab_url
0,ANN Benchmarks,erikbern/ann-benchmarks,True,nn-search,https://github.com/erikbern/ann-benchmarks,https://github.com/erikbern/ann-benchmarks,MIT,2015-05-28 13:21:43.000000,2021-03-01 06:54:56.000000,2021-02-03 11:59:35.000000,326,26.0,59.0,2084,1173.0,Benchmarks of approximate nearest neighbor libraries in Python.,53.0,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,best-of-web-python - Web Scraping,ml-tooling/best-of-web-python,True,web-scraping,https://github.com/ml-tooling/best-of-web-python,https://github.com/ml-tooling/best-of-web-python,CC-BY-SA-4.0,2021-01-05 13:09:27.000000,2021-03-04 14:21:48.000000,2021-02-25 19:21:30.000000,62,,2.0,1064,,Collection of web-scraping and crawling libraries.,6.0,0,True,2021-02-25 19:21:49.000000,2021.02.25,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,best-of-python - DB Clients,ml-tooling/best-of-python,True,db-clients,https://github.com/ml-tooling/best-of-python,https://github.com/ml-tooling/best-of-python#database-clients,CC-BY-SA-4.0,2021-01-11 19:11:32.000000,2021-03-04 15:01:22.000000,2021-02-25 15:11:40.000000,92,1.0,2.0,1480,,Collection of database clients for python.,5.0,0,True,2021-02-25 15:11:49.000000,2021.02.25,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,Tensorflow,tensorflow/tensorflow,,ml-frameworks,https://github.com/tensorflow/tensorflow,https://github.com/tensorflow/tensorflow,Apache-2.0,2015-11-07 01:19:20.000000,2021-03-04 14:08:53.000000,2021-03-04 13:59:52.000000,84132,4035.0,26691.0,155573,105914.0,An Open Source Machine Learning Framework for Everyone.,3550.0,44,True,2021-01-21 19:55:54.000000,2.4.1,116.0,tensorflow,conda-forge/tensorflow,tensorflow/tensorflow,https://www.tensorflow.org/overview,['tensorflow'],147276.0,124752.0,https://pypi.org/project/tensorflow,2021-01-21 19:38:00.000000,22524.0,4076572.0,4871308.0,https://anaconda.org/conda-forge/tensorflow,2020-07-15 22:30:18.070000,2358866.0,https://hub.docker.com/r/tensorflow/tensorflow,2021-03-04 13:45:46.893060,1856.0,48347063.0,1.0,,,,,,,,,,,,,,,,,,,,,,
4,Matplotlib,matplotlib/matplotlib,,data-viz,https://github.com/matplotlib/matplotlib,https://github.com/matplotlib/matplotlib,Python-2.0,2011-02-19 03:17:12.000000,2021-03-04 10:03:40.000000,2021-03-04 07:24:26.000000,5680,1700.0,6041.0,13226,38072.0,matplotlib: plotting with Python.,1216.0,41,True,2021-01-28 08:54:50.000000,3.3.4,62.0,matplotlib,conda-forge/matplotlib,,,,412907.0,333803.0,https://pypi.org/project/matplotlib,2021-01-28 08:34:18.000000,79104.0,7141461.0,7267396.0,https://anaconda.org/conda-forge/matplotlib,2021-01-28 20:05:11.672000,8311761.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,
5,pandas,pandas-dev/pandas,,data-containers,https://github.com/pandas-dev/pandas,https://github.com/pandas-dev/pandas,BSD-3-Clause,2010-08-24 01:37:33.000000,2021-03-04 14:50:32.000000,2021-03-04 14:23:10.000000,11954,3666.0,16583.0,28698,26102.0,"Flexible and powerful data analysis / manipulation library for Python, providing labeled data structures similar to R..",2610.0,40,True,2021-03-02 12:03:23.000000,1.2.3,89.0,pandas,conda-forge/pandas,,,['pandas'],76784.0,,https://pypi.org/project/pandas,2021-02-09 13:20:50.000000,76784.0,18543612.0,18794668.0,https://anaconda.org/conda-forge/pandas,2021-03-02 16:53:17.820000,14495206.0,,,,,1.0,97981.0,,,,,,,,,,,,,,,,,,,,,
6,scipy,scipy/scipy,,others,https://github.com/scipy/scipy,https://github.com/scipy/scipy,BSD-3-Clause,2011-03-09 18:52:03.000000,2021-03-04 15:01:16.000000,2021-03-03 17:44:16.000000,3578,1593.0,5768.0,7971,25119.0,"Ecosystem of open-source software for mathematics, science, and engineering.",1132.0,40,True,2021-02-18 03:16:09.000000,1.6.1,61.0,scipy,conda-forge/scipy,,,,397232.0,310370.0,https://pypi.org/project/scipy,2021-02-18 02:35:14.000000,86862.0,10627541.0,10854433.0,https://anaconda.org/conda-forge/scipy,2021-02-05 14:18:57.636000,12897161.0,,,,,1.0,307944.0,,,,,,,,,,,,,,,,,,,,,
7,PyTorch,pytorch/pytorch,,ml-frameworks,https://github.com/pytorch/pytorch,https://github.com/pytorch/pytorch,BSD-3-Clause,2016-08-13 05:26:41.000000,2021-03-04 14:01:16.000000,2021-03-04 13:36:28.000000,12201,7846.0,13120.0,46586,34104.0,Tensors and Dynamic neural networks in Python with strong GPU acceleration.,2525.0,39,True,2020-12-10 17:19:58.000000,1.7.1,30.0,torch,pytorch/pytorch,,https://pytorch.org/docs/stable/index.html,['pytorch'],71533.0,64851.0,https://pypi.org/project/torch,2020-12-10 16:22:02.000000,6682.0,1329148.0,1586854.0,https://anaconda.org/pytorch/pytorch,2020-12-10 16:11:32.801000,10308255.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,
8,Pillow,python-pillow/Pillow,,image,https://github.com/python-pillow/Pillow,https://github.com/python-pillow/Pillow,PIL,2012-07-24 21:38:39.000000,2021-03-04 11:23:09.000000,2021-03-04 11:23:09.000000,1589,262.0,1892.0,8260,11231.0,The friendly PIL fork (Python Imaging Library).,348.0,39,True,2021-03-02 00:42:40.000000,8.1.1,78.0,Pillow,conda-forge/pillow,,,,523646.0,412220.0,https://pypi.org/project/Pillow,2021-03-02 00:42:40.000000,111426.0,10635799.0,10760858.0,https://anaconda.org/conda-forge/pillow,2021-03-02 13:18:06.561000,7378487.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,
9,PySpark,apache/spark,,ml-frameworks,https://github.com/apache/spark,https://github.com/apache/spark,Apache-2.0,2014-02-25 08:00:08.000000,2021-03-04 14:11:47.000000,2021-03-04 12:42:47.000000,23409,223.0,,28969,29479.0,Apache Spark Python API.,2413.0,38,True,2021-02-19 18:08:00.000000,3.0.2,22.0,pyspark,conda-forge/pyspark,,,['spark'],1330.0,570.0,https://pypi.org/project/pyspark,2021-02-19 18:08:00.000000,760.0,4403704.0,4422934.0,https://anaconda.org/conda-forge/pyspark,2021-03-04 09:44:05.675000,923044.0,,,,,1.0,,stable/spark,,,,,,,,,,,,,,,,,,,,
10,Celery,celery/celery,,data-pipelines,https://github.com/celery/celery,https://github.com/celery/celery,BSD-3-Clause,2009-04-24 11:31:24.000000,2021-03-04 15:02:09.000000,2021-03-04 15:02:09.000000,3955,491.0,3948.0,16807,11534.0,Asynchronous task queue/job queue based on distributed message passing.,1094.0,38,True,2020-12-16 15:41:18.000000,5.0.5,171.0,celery,conda-forge/celery,,,,77812.0,49578.0,https://pypi.org/project/celery,2020-12-16 15:34:09.000000,28234.0,1752957.0,1759823.0,https://anaconda.org/conda-forge/celery,2021-02-08 18:58:32.032000,411986.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,
11,numpy,numpy/numpy,,data-containers,https://github.com/numpy/numpy,https://github.com/numpy/numpy,BSD-3-Clause,2010-09-13 23:02:39.000000,2021-03-04 13:10:01.000000,2021-03-04 01:18:39.000000,5311,2256.0,7366.0,16441,,The fundamental package for scientific computing with Python.,1267.0,38,True,2021-02-07 21:07:19.000000,1.20.1,96.0,numpy,conda-forge/numpy,,,,809358.0,639636.0,https://pypi.org/project/numpy,2021-02-07 20:27:20.000000,169722.0,28203651.0,28500648.0,https://anaconda.org/conda-forge/numpy,2021-02-10 11:44:00.243000,16876153.0,,,,,1.0,313533.0,,-4.0,,,,,,,,,,,,,,,,,,,
12,scikit-learn,scikit-learn/scikit-learn,,ml-frameworks,https://github.com/scikit-learn/scikit-learn,https://github.com/scikit-learn/scikit-learn,BSD-3-Clause,2010-08-17 09:43:38.000000,2021-03-04 06:57:43.000000,2021-03-03 17:43:17.000000,21130,2341.0,6734.0,44758,,scikit-learn: machine learning in Python.,2167.0,37,True,2021-01-19 18:10:37.000000,0.24.1,53.0,scikit-learn,conda-forge/scikit-learn,,,['sklearn'],234385.0,196497.0,https://pypi.org/project/scikit-learn,2021-01-19 18:06:50.000000,37888.0,7790104.0,7914779.0,https://anaconda.org/conda-forge/scikit-learn,2021-01-21 23:33:46.354000,7230543.0,,,,,1.0,661.0,,,,,,,,,,,,,,,,,,,,,
13,spaCy,explosion/spaCy,,nlp,https://github.com/explosion/spaCy,https://github.com/explosion/spaCy,MIT,2014-07-03 15:15:40.000000,2021-03-04 13:48:12.000000,2021-03-03 12:15:06.000000,3324,114.0,4311.0,19750,14335.0,Industrial-strength Natural Language Processing (NLP) in Python.,567.0,37,True,2021-02-14 04:44:43.000000,3.0.3,174.0,spacy,conda-forge/spacy,,,,25108.0,22042.0,https://pypi.org/project/spacy,2021-02-14 04:44:43.000000,3066.0,805226.0,835313.0,https://anaconda.org/conda-forge/spacy,2021-02-14 15:14:46.994000,1471545.0,,,,,1.0,2970.0,,,,,,,,,,,,,,,,,,,,,
14,Seaborn,mwaskom/seaborn,,data-viz,https://github.com/mwaskom/seaborn,https://github.com/mwaskom/seaborn,BSD-3-Clause,2012-06-18 18:41:19.000000,2021-02-26 18:21:39.000000,2021-02-17 00:10:14.000000,1383,91.0,1695.0,8169,2759.0,Statistical data visualization using matplotlib.,149.0,37,True,2020-12-20 20:53:25.000000,0.11.1,23.0,seaborn,conda-forge/seaborn,,,,96436.0,83650.0,https://pypi.org/project/seaborn,2020-12-20 20:53:25.000000,12786.0,1692814.0,1730309.0,https://anaconda.org/conda-forge/seaborn,2021-01-28 11:50:33.609000,2062180.0,,,,,1.0,144.0,,,,,,,,,,,,,,,,,,,,,
15,transformers,huggingface/transformers,,nlp,https://github.com/huggingface/transformers,https://github.com/huggingface/transformers,Apache-2.0,2018-10-29 13:56:00.000000,2021-03-04 13:06:46.000000,2021-03-03 19:55:18.000000,10102,716.0,5483.0,41780,6664.0,Transformers: State-of-the-art Natural Language Processing for Pytorch and TensorFlow 2.0.,793.0,36,True,2021-02-24 20:16:39.000000,4.3.3,52.0,transformers,conda-forge/transformers,,,"['pytorch', 'tensorflow']",8318.0,8190.0,https://pypi.org/project/transformers,2021-02-24 20:14:46.000000,128.0,614544.0,616021.0,https://anaconda.org/conda-forge/transformers,2021-02-09 21:34:57.119000,24348.0,,,,,1.0,1261.0,,,,,,,,,,,,,,,,,,,,,
16,Faker,joke2k/faker,,data-loading,https://github.com/joke2k/faker,https://github.com/joke2k/faker,MIT,2012-11-12 23:00:09.000000,2021-02-25 16:53:02.000000,2021-02-25 16:53:02.000000,1377,135.0,354.0,12189,2574.0,Faker is a Python package that generates fake data for you.,391.0,36,True,2021-02-24 17:46:38.000000,6.5.0,125.0,Faker,conda-forge/faker,,,,28653.0,23941.0,https://pypi.org/project/Faker,2021-02-24 17:46:24.000000,4712.0,1501527.0,1509520.0,https://anaconda.org/conda-forge/faker,2021-02-24 18:54:31.058000,383692.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,
17,networkx,networkx/networkx,,graph,https://github.com/networkx/networkx,https://github.com/networkx/networkx,BSD-3-Clause,2010-09-06 00:53:44.000000,2021-03-03 09:51:59.000000,2021-03-02 15:19:09.000000,2217,271.0,2316.0,8735,6431.0,Network Analysis in Python.,498.0,36,True,2020-08-22 20:10:33.000000,networkx-2.5,52.0,networkx,conda-forge/networkx,,,,88930.0,68112.0,https://pypi.org/project/networkx,2020-08-22 20:38:37.000000,20818.0,4236537.0,4295524.0,https://anaconda.org/conda-forge/networkx,2020-08-23 19:29:02.065000,3126327.0,,,,,1.0,51.0,,,,,,,,,,,,,,,,,,,,,
