,name,github_id,resource,category,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,fork_count,open_issue_count,closed_issue_count,star_count,commit_count,description,contributor_count,projectrank,show,latest_stable_release_published_at,latest_stable_release_number,release_count,pypi_id,conda_id,dockerhub_id,docs_url,labels,dependent_project_count,github_dependent_project_count,pypi_url,pypi_latest_release_published_at,pypi_dependent_project_count,pypi_monthly_downloads,monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,projectrank_placing,github_release_downloads,trending,helm_id,npm_id,npm_url,npm_latest_release_published_at,npm_dependent_project_count,npm_monthly_downloads,conda_dependent_project_count,brew_id,apt_id,yum_id,updated_github_id,snap_id,maven_id,maven_url,maven_latest_release_published_at,maven_dependent_project_count,dnf_id,yay_id,gitlab_id,gitlab_url
0,ANN Benchmarks,erikbern/ann-benchmarks,True,nn-search,https://github.com/erikbern/ann-benchmarks,https://github.com/erikbern/ann-benchmarks,MIT,2015-05-28 13:21:43.000000,2021-03-01 06:54:56.000000,2021-02-03 11:59:35.000000,328,26.0,59.0,2095,1173.0,Benchmarks of approximate nearest neighbor libraries in Python.,53.0,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,best-of-web-python - Web Scraping,ml-tooling/best-of-web-python,True,web-scraping,https://github.com/ml-tooling/best-of-web-python,https://github.com/ml-tooling/best-of-web-python,CC-BY-SA-4.0,2021-01-05 13:09:27.000000,2021-03-11 15:25:25.000000,2021-03-07 12:30:22.000000,65,,2.0,1092,,Collection of web-scraping and crawling libraries.,6.0,0,True,2021-03-07 12:30:35.000000,2021.03.04,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,best-of-python - DB Clients,ml-tooling/best-of-python,True,db-clients,https://github.com/ml-tooling/best-of-python,https://github.com/ml-tooling/best-of-python#database-clients,CC-BY-SA-4.0,2021-01-11 19:11:32.000000,2021-03-11 14:52:48.000000,2021-03-07 12:29:30.000000,95,1.0,2.0,1493,,Collection of database clients for python.,5.0,0,True,2021-03-07 12:29:47.000000,2021.03.04,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,Tensorflow,tensorflow/tensorflow,,ml-frameworks,https://github.com/tensorflow/tensorflow,https://github.com/tensorflow/tensorflow,Apache-2.0,2015-11-07 01:19:20.000000,2021-03-11 13:40:09.122034,2021-03-11 13:34:14.000000,84185,4032.0,26790.0,155786,106461.0,An Open Source Machine Learning Framework for Everyone.,3562.0,44,True,2021-01-21 19:55:54.000000,2.4.1,116.0,tensorflow,conda-forge/tensorflow,tensorflow/tensorflow,https://www.tensorflow.org/overview,['tensorflow'],148302.0,125778.0,https://pypi.org/project/tensorflow,2021-01-21 19:38:00.000000,22524.0,4048936.0,4847730.0,https://anaconda.org/conda-forge/tensorflow,2020-07-15 22:30:18.070000,2372942.0,https://hub.docker.com/r/tensorflow/tensorflow,2021-03-11 13:40:09.122034,1862.0,48591734.0,1.0,,,,,,,,,,,,,,,,,,,,,,
4,Matplotlib,matplotlib/matplotlib,,data-viz,https://github.com/matplotlib/matplotlib,https://github.com/matplotlib/matplotlib,Python-2.0,2011-02-19 03:17:12.000000,2021-03-11 11:49:37.000000,2021-03-11 00:20:18.000000,5680,1700.0,6055.0,13269,38116.0,matplotlib: plotting with Python.,1219.0,41,True,2021-01-28 08:54:50.000000,3.3.4,65.0,matplotlib,conda-forge/matplotlib,,,,416181.0,337077.0,https://pypi.org/project/matplotlib,2021-03-11 05:40:38.000000,79104.0,6766998.0,6893733.0,https://anaconda.org/conda-forge/matplotlib,2021-01-28 20:05:11.672000,8364510.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,
5,pandas,pandas-dev/pandas,,data-containers,https://github.com/pandas-dev/pandas,https://github.com/pandas-dev/pandas,BSD-3-Clause,2010-08-24 01:37:33.000000,2021-03-11 14:10:39.000000,2021-03-11 13:47:14.000000,12039,3692.0,16617.0,28787,26187.0,"Flexible and powerful data analysis / manipulation library for Python, providing labeled data structures similar to R..",2627.0,40,True,2021-03-02 12:03:23.000000,1.2.3,89.0,pandas,conda-forge/pandas,,,['pandas'],76784.0,,https://pypi.org/project/pandas,2021-02-09 13:20:50.000000,76784.0,18529209.0,18783276.0,https://anaconda.org/conda-forge/pandas,2021-03-02 16:53:17.820000,14669317.0,,,,,1.0,98747.0,,,,,,,,,,,,,,,,,,,,,
6,scipy,scipy/scipy,,others,https://github.com/scipy/scipy,https://github.com/scipy/scipy,BSD-3-Clause,2011-03-09 18:52:03.000000,2021-03-11 10:19:27.000000,2021-03-09 21:18:01.000000,3578,1593.0,5772.0,7993,25153.0,"Ecosystem of open-source software for mathematics, science, and engineering.",1137.0,40,True,2021-02-18 03:16:09.000000,1.6.1,61.0,scipy,conda-forge/scipy,,,,399858.0,312996.0,https://pypi.org/project/scipy,2021-02-18 02:35:14.000000,86862.0,10144739.0,10374156.0,https://anaconda.org/conda-forge/scipy,2021-02-05 14:18:57.636000,13042952.0,,,,,1.0,308715.0,,,,,,,,,,,,,,,,,,,,,
7,PyTorch,pytorch/pytorch,,ml-frameworks,https://github.com/pytorch/pytorch,https://github.com/pytorch/pytorch,BSD-3-Clause,2016-08-13 05:26:41.000000,2021-03-11 14:15:46.000000,2021-03-11 11:27:37.000000,12400,8135.0,13227.0,46797,34316.0,Tensors and Dynamic neural networks in Python with strong GPU acceleration.,2538.0,39,True,2021-03-04 20:44:39.000000,1.8.0,31.0,torch,pytorch/pytorch,,https://pytorch.org/docs/stable/index.html,['pytorch'],72463.0,65781.0,https://pypi.org/project/torch,2021-03-04 17:05:59.000000,6682.0,1379843.0,1640305.0,https://anaconda.org/pytorch/pytorch,2021-03-04 16:52:59.287000,10418519.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,
8,Celery,celery/celery,,data-pipelines,https://github.com/celery/celery,https://github.com/celery/celery,BSD-3-Clause,2009-04-24 11:31:24.000000,2021-03-11 11:59:09.000000,2021-03-10 11:46:56.000000,3957,491.0,3955.0,16854,11542.0,Asynchronous task queue/job queue based on distributed message passing.,1098.0,39,True,2020-12-16 15:41:18.000000,5.0.5,171.0,celery,conda-forge/celery,,,,78105.0,49871.0,https://pypi.org/project/celery,2020-12-16 15:34:09.000000,28234.0,1816763.0,1823773.0,https://anaconda.org/conda-forge/celery,2021-02-08 18:58:32.032000,420602.0,,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,
9,Pillow,python-pillow/Pillow,,image,https://github.com/python-pillow/Pillow,https://github.com/python-pillow/Pillow,PIL,2012-07-24 21:38:39.000000,2021-03-11 11:34:18.000000,2021-03-11 11:34:17.000000,1592,251.0,1906.0,8283,11280.0,The friendly PIL fork (Python Imaging Library).,349.0,39,True,2021-03-06 05:23:45.000000,8.1.2,79.0,Pillow,conda-forge/pillow,,,,528080.0,416654.0,https://pypi.org/project/Pillow,2021-03-06 05:22:31.000000,111426.0,10711356.0,10838235.0,https://anaconda.org/conda-forge/pillow,2021-03-08 23:16:48.454000,7485909.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,
10,PySpark,apache/spark,,ml-frameworks,https://github.com/apache/spark,https://github.com/apache/spark,Apache-2.0,2014-02-25 08:00:08.000000,2021-03-11 13:44:32.000000,2021-03-11 13:29:45.000000,23455,221.0,,29039,29529.0,Apache Spark Python API.,2415.0,38,True,2021-02-19 18:08:00.000000,3.0.2,22.0,pyspark,conda-forge/pyspark,,,['spark'],1332.0,572.0,https://pypi.org/project/pyspark,2021-02-19 18:08:00.000000,760.0,4222431.0,4241857.0,https://anaconda.org/conda-forge/pyspark,2021-03-04 09:44:05.675000,932487.0,,,,,1.0,,,stable/spark,,,,,,,,,,,,,,,,,,,
11,numpy,numpy/numpy,,data-containers,https://github.com/numpy/numpy,https://github.com/numpy/numpy,BSD-3-Clause,2010-09-13 23:02:39.000000,2021-03-11 13:57:32.000000,2021-03-11 11:07:28.000000,5329,2271.0,7375.0,16508,,The fundamental package for scientific computing with Python.,1268.0,38,True,2021-02-07 21:07:19.000000,1.20.1,96.0,numpy,conda-forge/numpy,,,,815314.0,645592.0,https://pypi.org/project/numpy,2021-02-07 20:27:20.000000,169722.0,28110039.0,28410966.0,https://anaconda.org/conda-forge/numpy,2021-02-10 11:44:00.243000,17101238.0,,,,,1.0,316132.0,,,,,,,,,,,,,,,,,,,,,
12,scikit-learn,scikit-learn/scikit-learn,,ml-frameworks,https://github.com/scikit-learn/scikit-learn,https://github.com/scikit-learn/scikit-learn,BSD-3-Clause,2010-08-17 09:43:38.000000,2021-03-11 14:16:45.000000,2021-03-11 14:16:45.000000,21170,2358.0,6747.0,44818,,scikit-learn: machine learning in Python.,2170.0,37,True,2021-01-19 18:10:37.000000,0.24.1,53.0,scikit-learn,conda-forge/scikit-learn,,,['sklearn'],236482.0,198594.0,https://pypi.org/project/scikit-learn,2021-01-19 18:06:50.000000,37888.0,7647047.0,7773090.0,https://anaconda.org/conda-forge/scikit-learn,2021-01-21 23:33:46.354000,7309893.0,,,,,1.0,662.0,,,,,,,,,,,,,,,,,,,,,
13,spaCy,explosion/spaCy,,nlp,https://github.com/explosion/spaCy,https://github.com/explosion/spaCy,MIT,2014-07-03 15:15:40.000000,2021-03-11 13:42:03.785000,2021-03-10 10:10:53.000000,3328,113.0,4353.0,19823,14351.0,Industrial-strength Natural Language Processing (NLP) in Python.,568.0,37,True,2021-03-10 11:32:29.000000,3.0.5,176.0,spacy,conda-forge/spacy,,,,25388.0,22322.0,https://pypi.org/project/spacy,2021-03-10 11:33:30.000000,3066.0,807131.0,837521.0,https://anaconda.org/conda-forge/spacy,2021-03-11 13:42:03.785000,1486369.0,,,,,1.0,2980.0,,,,,,,,,,,,,,,,,,,,,
14,Seaborn,mwaskom/seaborn,,data-viz,https://github.com/mwaskom/seaborn,https://github.com/mwaskom/seaborn,BSD-3-Clause,2012-06-18 18:41:19.000000,2021-03-06 22:26:36.000000,2021-03-06 22:26:32.000000,1383,91.0,1701.0,8200,2760.0,Statistical data visualization using matplotlib.,149.0,37,True,2020-12-20 20:53:25.000000,0.11.1,23.0,seaborn,conda-forge/seaborn,,,,97528.0,84742.0,https://pypi.org/project/seaborn,2020-12-20 20:53:25.000000,12786.0,1789811.0,1827833.0,https://anaconda.org/conda-forge/seaborn,2021-01-28 11:50:33.609000,2091191.0,,,,,1.0,148.0,,,,,,,,,,,,,,,,,,,,,
15,transformers,huggingface/transformers,,nlp,https://github.com/huggingface/transformers,https://github.com/huggingface/transformers,Apache-2.0,2018-10-29 13:56:00.000000,2021-03-11 14:22:07.000000,2021-03-11 14:00:23.000000,10164,537.0,5707.0,42106,6724.0,Transformers: State-of-the-art Natural Language Processing for Pytorch and TensorFlow 2.0.,800.0,36,True,2021-02-24 20:16:39.000000,4.3.3,52.0,transformers,conda-forge/transformers,,,"['pytorch', 'tensorflow']",8543.0,8415.0,https://pypi.org/project/transformers,2021-02-24 20:14:46.000000,128.0,604246.0,605811.0,https://anaconda.org/conda-forge/transformers,2021-03-09 15:54:36.566000,25843.0,,,,,1.0,1263.0,,,,,,,,,,,,,,,,,,,,,
16,Airflow,apache/airflow,,data-pipelines,https://github.com/apache/airflow,https://github.com/apache/airflow,Apache-2.0,2015-04-13 18:04:58.000000,2021-03-11 15:09:39.000000,2021-03-11 13:33:29.000000,8125,985.0,2122.0,20948,11862.0,"Platform to programmatically author, schedule, and monitor workflows.",1786.0,36,True,2021-02-08 22:50:02.000000,2.0.1,71.0,apache-airflow,conda-forge/airflow,apache/airflow,,,294.0,,https://pypi.org/project/apache-airflow,2021-02-08 22:43:55.000000,294.0,580030.0,739062.0,https://anaconda.org/conda-forge/airflow,2021-02-16 09:49:35.732000,285974.0,https://hub.docker.com/r/apache/airflow,2021-03-10 22:56:00.095244,222.0,10744599.0,1.0,99429.0,1.0,stable/airflow,,,,,,,,,,,,,,,,,,,
17,Faker,joke2k/faker,,data-loading,https://github.com/joke2k/faker,https://github.com/joke2k/faker,MIT,2012-11-12 23:00:09.000000,2021-03-10 04:54:44.416000,2021-03-09 23:36:02.000000,1390,136.0,355.0,12217,2588.0,Faker is a Python package that generates fake data for you.,394.0,36,True,2021-03-09 23:36:34.000000,6.6.0,127.0,Faker,conda-forge/faker,,,,28890.0,24178.0,https://pypi.org/project/Faker,2021-03-08 16:52:12.000000,4712.0,1534654.0,1542736.0,https://anaconda.org/conda-forge/faker,2021-03-10 04:54:44.416000,387965.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,
18,torchvision,pytorch/vision,,image,https://github.com/pytorch/vision,https://github.com/pytorch/vision,BSD-3-Clause,2016-11-09 23:11:43.000000,2021-03-11 13:58:38.000000,2021-03-11 11:07:54.000000,4391,459.0,1165.0,8553,1551.0,"Datasets, Transforms and Models specific to Computer Vision.",368.0,36,True,2021-03-04 20:54:36.000000,0.9.0,22.0,torchvision,conda-forge/torchvision,,,['pytorch'],48149.0,43537.0,https://pypi.org/project/torchvision,2021-03-04 20:42:10.000000,4612.0,481232.0,482106.0,https://anaconda.org/conda-forge/torchvision,2018-10-14 22:06:28.203000,34116.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,
19,SymPy,sympy/sympy,,others,https://github.com/sympy/sympy,https://github.com/sympy/sympy,BSD-3-Clause,2010-04-30 20:37:14.000000,2021-03-11 15:16:13.000000,2021-03-08 10:33:19.000000,3308,4053.0,7150.0,7892,46250.0,A computer algebra system written in pure Python.,1041.0,36,True,2020-12-12 23:23:00.000000,1.7.1,36.0,sympy,conda-forge/sympy,,,,35986.0,29564.0,https://pypi.org/project/sympy,2020-12-12 23:23:00.000000,6422.0,448563.0,476117.0,https://anaconda.org/conda-forge/sympy,2021-01-08 20:38:32.429000,1335043.0,,,,,1.0,417442.0,,,,,,,,,,,,,,,,,,,,,
20,StatsModels,statsmodels/statsmodels,,ml-frameworks,https://github.com/statsmodels/statsmodels,https://github.com/statsmodels/statsmodels,BSD-3-Clause,2011-06-12 17:04:50.000000,2021-03-11 00:02:36.000000,2021-03-11 00:02:35.000000,2186,2120.0,2266.0,6094,13611.0,Statsmodels: statistical modeling and econometrics in Python.,304.0,36,True,2021-02-02 11:08:49.000000,0.12.2,25.0,statsmodels,conda-forge/statsmodels,,,,45200.0,38544.0,https://pypi.org/project/statsmodels,2021-02-02 11:08:49.000000,6656.0,1583183.0,1645065.0,https://anaconda.org/conda-forge/statsmodels,2021-02-15 17:38:00.380000,3527322.0,,,,,1.0,25.0,,,,,,,,,,,,,,,,,,,,,
21,Tensorboard,tensorflow/tensorboard,,ml-experiments,https://github.com/tensorflow/tensorboard,https://github.com/tensorflow/tensorboard,Apache-2.0,2017-05-15 20:08:07.000000,2021-03-11 02:16:54.000000,2021-03-11 02:16:52.000000,1365,538.0,944.0,5187,4341.0,TensorFlow's Visualization Toolkit.,253.0,36,True,2021-01-14 20:49:19.000000,2.4.1,36.0,tensorboard,conda-forge/tensorboard,,,['tensorflow'],60120.0,56506.0,https://pypi.org/project/tensorboard,2021-01-14 20:49:19.000000,3614.0,3807652.0,3851693.0,https://anaconda.org/conda-forge/tensorboard,2021-01-15 08:30:57.960000,1761660.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,
22,h5py,h5py/h5py,,data-containers,https://github.com/h5py/h5py,https://github.com/h5py/h5py,BSD-3-Clause,2012-09-21 00:40:02.000000,2021-03-10 20:00:37.000000,2021-03-05 10:01:58.000000,399,217.0,968.0,1492,3588.0,HDF5 for Python -- The h5py package is a Pythonic interface to the HDF5 binary data format.,160.0,36,True,2021-03-05 10:04:46.000000,3.2.1,27.0,h5py,conda-forge/h5py,,,,128212.0,105276.0,https://pypi.org/project/h5py,2021-03-05 10:24:13.000000,22936.0,3688666.0,3767831.0,https://anaconda.org/conda-forge/h5py,2021-01-01 10:48:16.133000,4748842.0,,,,,1.0,907.0,,,,,,,,,,,,,,,,,,,,,
23,Keras,keras-team/keras,,ml-frameworks,https://github.com/keras-team/keras,https://github.com/keras-team/keras,MIT,2015-03-28 00:35:42.000000,2021-03-11 03:00:48.000000,2021-03-11 03:00:41.000000,18729,3223.0,7239.0,50849,5432.0,Deep Learning for humans.,902.0,35,True,2020-06-24 22:40:48.000000,2.4.3,53.0,keras,conda-forge/keras,,https://keras.io,['tensorflow'],14996.0,,https://pypi.org/project/keras,2020-06-24 22:40:48.000000,14996.0,1362287.0,1389427.0,https://anaconda.org/conda-forge/keras,2020-06-25 19:13:34.254000,1492704.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,
24,OpenAI Gym,openai/gym,,reinforcement-learning,https://github.com/openai/gym,https://github.com/openai/gym,MIT,2016-04-27 14:59:16.000000,2021-03-11 10:38:28.000000,2021-02-16 19:31:40.000000,6742,264.0,1064.0,23649,1242.0,A toolkit for developing and comparing reinforcement learning algorithms.,273.0,35,True,2020-12-19 00:29:36.000000,0.18.0,92.0,gym,,,,,22028.0,18466.0,https://pypi.org/project/gym,2020-12-19 00:29:36.000000,3562.0,186646.0,186646.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,
25,XGBoost,dmlc/xgboost,,ml-frameworks,https://github.com/dmlc/xgboost,https://github.com/dmlc/xgboost,Apache-2.0,2014-02-06 17:28:03.000000,2021-03-11 09:57:01.000000,2021-03-09 22:53:05.000000,7922,278.0,3687.0,20672,5245.0,"Scalable, Portable and Distributed Gradient Boosting (GBDT, GBRT or GBM) Library, for Python, R, Java, Scala, C++ and..",507.0,35,True,2021-01-20 13:52:38.000000,1.3.3,53.0,xgboost,conda-forge/xgboost,,https://xgboost.readthedocs.io/en/latest/,,16132.0,14540.0,https://pypi.org/project/xgboost,2021-01-20 13:39:06.000000,1592.0,1976366.0,2006180.0,https://anaconda.org/conda-forge/xgboost,2021-03-09 14:27:32.491000,1430013.0,,,,,1.0,1955.0,,,,,,,,,,,,,,,,,,,,,
26,LightGBM,microsoft/LightGBM,,ml-frameworks,https://github.com/microsoft/LightGBM,https://github.com/microsoft/LightGBM,MIT,2016-08-05 05:45:50.000000,2021-03-11 02:30:14.000000,2021-03-11 02:30:11.000000,3227,109.0,2051.0,12267,2387.0,"A fast, distributed, high performance gradient boosting (GBT, GBDT, GBRT, GBM or MART) framework based on decision..",211.0,35,True,2020-12-08 03:00:35.000000,3.1.1,24.0,lightgbm,conda-forge/lightgbm,,,,6503.0,5947.0,https://pypi.org/project/lightgbm,2020-12-08 03:00:35.000000,556.0,1085528.0,1099326.0,https://anaconda.org/conda-forge/lightgbm,2021-02-23 19:15:02.093000,514110.0,,,,,1.0,99379.0,,,,,,,,,,,,,,,,,,,,,
