,name,github_id,resource,category,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,fork_count,open_issue_count,closed_issue_count,star_count,commit_count,description,contributor_count,projectrank,show,latest_stable_release_published_at,latest_stable_release_number,release_count,pypi_id,conda_id,labels,github_release_downloads,monthly_downloads,dependent_project_count,github_dependent_project_count,pypi_url,pypi_latest_release_published_at,pypi_dependent_project_count,pypi_monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,projectrank_placing,docs_url,helm_id,dockerhub_id,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,trending,npm_id,npm_url,npm_latest_release_published_at,npm_dependent_project_count,npm_monthly_downloads,conda_dependent_project_count,brew_id,apt_id,yum_id,updated_github_id,snap_id,dnf_id,yay_id,maven_id,maven_url,maven_latest_release_published_at,maven_dependent_project_count,gitlab_id,gitlab_url
0,ANN Benchmarks,erikbern/ann-benchmarks,True,nn-search,https://github.com/erikbern/ann-benchmarks,https://github.com/erikbern/ann-benchmarks,MIT,2015-05-28 13:21:43.000000,2021-04-16 15:35:36.000000,2021-04-06 16:22:36.000000,337,28.0,61.0,2175,1179.0,Benchmarks of approximate nearest neighbor libraries in Python.,54.0,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,best-of-web-python - Web Scraping,ml-tooling/best-of-web-python,True,web-scraping,https://github.com/ml-tooling/best-of-web-python,https://github.com/ml-tooling/best-of-web-python,CC-BY-SA-4.0,2021-01-05 13:09:27.000000,2021-04-22 15:13:39.000000,2021-04-15 17:30:29.000000,75,,2.0,1163,,Collection of web-scraping and crawling libraries.,6.0,0,True,2021-04-08 16:14:36.000000,2021.04.08,13.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,best-of-python - DB Clients,ml-tooling/best-of-python,True,db-clients,https://github.com/ml-tooling/best-of-python,https://github.com/ml-tooling/best-of-python#database-clients,CC-BY-SA-4.0,2021-01-11 19:11:32.000000,2021-04-22 14:42:13.000000,2021-04-15 17:29:04.000000,115,,3.0,1568,,Collection of database clients for python.,5.0,0,True,2021-04-15 17:29:23.000000,2021.04.15,13.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,pandas,pandas-dev/pandas,,data-containers,https://github.com/pandas-dev/pandas,https://github.com/pandas-dev/pandas,BSD-3-Clause,2010-08-24 01:37:33.000000,2021-04-22 14:46:01.000000,2021-04-22 11:00:17.000000,12194,3717.0,16869.0,29426,26565.0,"Flexible and powerful data analysis / manipulation library for Python, providing labeled data structures similar to R..",2660.0,43,True,2021-04-12 18:41:49.000000,1.2.4,91.0,pandas,conda-forge/pandas,['pandas'],103668.0,46337105.0,503921.0,427137.0,https://pypi.org/project/pandas,2021-04-12 18:43:31.000000,76784.0,46069401.0,https://anaconda.org/conda-forge/pandas,2021-04-13 16:22:06.030000,15724296.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,scipy,scipy/scipy,,others,https://github.com/scipy/scipy,https://github.com/scipy/scipy,BSD-3-Clause,2011-03-09 18:52:03.000000,2021-04-22 14:21:04.000000,2021-04-22 06:21:15.000000,3618,1612.0,5854.0,8145,25456.0,"Ecosystem of open-source software for mathematics, science, and engineering.",1150.0,42,True,2021-03-25 02:04:06.000000,1.6.2,61.0,scipy,conda-forge/scipy,,312791.0,29305132.0,418110.0,331248.0,https://pypi.org/project/scipy,2021-02-18 02:35:14.000000,86862.0,29063353.0,https://anaconda.org/conda-forge/scipy,2021-03-27 22:49:06.551000,13997571.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,PyTorch,pytorch/pytorch,,ml-frameworks,https://github.com/pytorch/pytorch,https://github.com/pytorch/pytorch,BSD-3-Clause,2016-08-13 05:26:41.000000,2021-04-22 14:02:09.000000,2021-04-22 14:00:52.000000,12681,8648.0,13741.0,47740,35801.0,Tensors and Dynamic neural networks in Python with strong GPU acceleration.,2621.0,41,True,2021-03-25 16:07:08.000000,1.8.1,32.0,torch,pytorch/pytorch,['pytorch'],,4142140.0,78838.0,72156.0,https://pypi.org/project/torch,2021-03-25 15:54:32.000000,6682.0,3880154.0,https://anaconda.org/pytorch/pytorch,2021-03-25 16:42:58.661000,10741465.0,1.0,https://pytorch.org/docs/stable/index.html,,,,,,,,,,,,,,,,,,,,,,,,,,
6,Matplotlib,matplotlib/matplotlib,,data-viz,https://github.com/matplotlib/matplotlib,https://github.com/matplotlib/matplotlib,Python-2.0,2011-02-19 03:17:12.000000,2021-04-22 14:16:17.000000,2021-04-22 14:15:10.000000,5733,1702.0,6163.0,13520,38653.0,matplotlib: plotting with Python.,1224.0,41,True,2021-03-31 07:23:52.000000,3.4.1,66.0,matplotlib,conda-forge/matplotlib,,,19651416.0,436485.0,357381.0,https://pypi.org/project/matplotlib,2021-03-26 07:50:28.000000,79104.0,19521713.0,https://anaconda.org/conda-forge/matplotlib,2021-03-31 18:55:37.001000,8690106.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,Pillow,python-pillow/Pillow,,image,https://github.com/python-pillow/Pillow,https://github.com/python-pillow/Pillow,PIL,2012-07-24 21:38:39.000000,2021-04-22 14:01:41.000000,2021-04-22 14:01:41.000000,1621,214.0,1972.0,8442,11593.0,The friendly PIL fork (Python Imaging Library).,356.0,40,True,2021-04-01 20:55:51.000000,8.2.0,80.0,Pillow,conda-forge/pillow,,,32078406.0,557539.0,446113.0,https://pypi.org/project/Pillow,2021-04-01 20:53:21.000000,111426.0,31943135.0,https://anaconda.org/conda-forge/pillow,2021-04-08 13:38:34.408000,8116269.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,Celery,celery/celery,,data-pipelines,https://github.com/celery/celery,https://github.com/celery/celery,BSD-3-Clause,2009-04-24 11:31:24.000000,2021-04-22 15:15:50.000000,2021-04-22 15:09:56.000000,3974,497.0,3982.0,17119,11574.0,Asynchronous task queue/job queue based on distributed message passing.,1107.0,39,True,2021-04-02 04:55:05.000000,5.1.0b1,172.0,celery,conda-forge/celery,,,5000848.0,79936.0,51702.0,https://pypi.org/project/celery,2021-04-02 04:52:41.000000,28234.0,4993149.0,https://anaconda.org/conda-forge/celery,2021-03-24 04:34:11.646000,469690.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,PySpark,apache/spark,,ml-frameworks,https://github.com/apache/spark,https://github.com/apache/spark,Apache-2.0,2014-02-25 08:00:08.000000,2021-04-22 14:02:58.000000,2021-04-22 13:10:39.000000,23545,218.0,,29444,29880.0,Apache Spark Python API.,2443.0,38,True,2021-02-19 18:08:00.000000,3.0.2,22.0,pyspark,conda-forge/pyspark,['spark'],,9724062.0,1343.0,583.0,https://pypi.org/project/pyspark,2021-02-19 18:08:00.000000,760.0,9703650.0,https://anaconda.org/conda-forge/pyspark,2021-03-04 09:44:05.675000,1000198.0,1.0,,stable/spark,,,,,,,,,,,,,,,,,,,,,,,,,
