,name,github_id,resource,category,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,fork_count,open_issue_count,closed_issue_count,star_count,commit_count,description,contributor_count,projectrank,show,latest_stable_release_published_at,latest_stable_release_number,release_count,pypi_id,conda_id,dockerhub_id,docs_url,labels,dependent_project_count,github_dependent_project_count,pypi_url,pypi_latest_release_published_at,pypi_dependent_project_count,pypi_monthly_downloads,monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,projectrank_placing,trending,github_release_downloads,helm_id,npm_id,npm_url,npm_latest_release_published_at,npm_dependent_project_count,npm_monthly_downloads,conda_dependent_project_count,brew_id,apt_id,yum_id,updated_github_id,snap_id,dnf_id,yay_id,maven_id,maven_url,maven_latest_release_published_at,maven_dependent_project_count,gitlab_id,gitlab_url
0,ANN Benchmarks,erikbern/ann-benchmarks,True,nn-search,https://github.com/erikbern/ann-benchmarks,https://github.com/erikbern/ann-benchmarks,MIT,2015-05-28 13:21:43.000000,2021-04-27 02:35:03.000000,2021-04-27 02:35:03.000000,344,28.0,61.0,2191,1192.0,Benchmarks of approximate nearest neighbor libraries in Python.,56.0,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,best-of-web-python - Web Scraping,ml-tooling/best-of-web-python,True,web-scraping,https://github.com/ml-tooling/best-of-web-python,https://github.com/ml-tooling/best-of-web-python,CC-BY-SA-4.0,2021-01-05 13:09:27.000000,2021-04-29 15:19:44.000000,2021-04-22 18:00:23.000000,76,,2.0,1187,,Collection of web-scraping and crawling libraries.,6.0,0,True,2021-04-22 17:23:07.000000,2021.04.22,14.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,best-of-python - DB Clients,ml-tooling/best-of-python,True,db-clients,https://github.com/ml-tooling/best-of-python,https://github.com/ml-tooling/best-of-python#database-clients,CC-BY-SA-4.0,2021-01-11 19:11:32.000000,2021-04-29 14:48:37.000000,2021-04-22 18:00:04.000000,119,,3.0,1601,,Collection of database clients for python.,5.0,0,True,2021-04-22 17:25:47.000000,2021.04.22,14.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,Tensorflow,tensorflow/tensorflow,,ml-frameworks,https://github.com/tensorflow/tensorflow,https://github.com/tensorflow/tensorflow,Apache-2.0,2015-11-07 01:19:20.000000,2021-04-29 13:53:12.638850,2021-04-29 10:35:38.000000,84523,4009.0,27495.0,157239,109645.0,An Open Source Machine Learning Framework for Everyone.,3638.0,44,True,2021-01-21 19:55:54.000000,2.4.1,119.0,tensorflow,conda-forge/tensorflow,tensorflow/tensorflow,https://www.tensorflow.org/overview,['tensorflow'],156567.0,134043.0,https://pypi.org/project/tensorflow,2021-04-27 22:36:14.000000,22524.0,9739035.0,10562272.0,https://anaconda.org/conda-forge/tensorflow,2021-04-12 19:23:10.836000,2511431.0,https://hub.docker.com/r/tensorflow/tensorflow,2021-04-29 13:53:12.638850,1892.0,50834346.0,1.0,7.0,,,,,,,,,,,,,,,,,,,,,
4,pandas,pandas-dev/pandas,,data-containers,https://github.com/pandas-dev/pandas,https://github.com/pandas-dev/pandas,BSD-3-Clause,2010-08-24 01:37:33.000000,2021-04-29 14:19:29.000000,2021-04-28 19:31:26.000000,12194,3717.0,16902.0,29511,26620.0,"Flexible and powerful data analysis / manipulation library for Python, providing labeled data structures similar to R..",2666.0,43,True,2021-04-12 18:41:49.000000,1.2.4,91.0,pandas,conda-forge/pandas,,,['pandas'],509004.0,432220.0,https://pypi.org/project/pandas,2021-04-12 18:43:31.000000,76784.0,46461457.0,46732026.0,https://anaconda.org/conda-forge/pandas,2021-04-13 16:22:06.030000,15892644.0,,,,,1.0,,104685.0,,,,,,,,,,,,,,,,,,,,
5,scipy,scipy/scipy,,others,https://github.com/scipy/scipy,https://github.com/scipy/scipy,BSD-3-Clause,2011-03-09 18:52:03.000000,2021-04-29 15:10:55.000000,2021-04-29 09:13:41.000000,3657,1632.0,5865.0,8189,25479.0,"Ecosystem of open-source software for mathematics, science, and engineering.",1151.0,42,True,2021-04-26 02:11:23.000000,1.6.3,63.0,scipy,conda-forge/scipy,,,,421560.0,334698.0,https://pypi.org/project/scipy,2021-04-26 00:22:45.000000,86862.0,29119322.0,29363815.0,https://anaconda.org/conda-forge/scipy,2021-04-27 23:19:03.675000,14156045.0,,,,,1.0,,314773.0,,,,,,,,,,,,,,,,,,,,
6,PyTorch,pytorch/pytorch,,ml-frameworks,https://github.com/pytorch/pytorch,https://github.com/pytorch/pytorch,BSD-3-Clause,2016-08-13 05:26:41.000000,2021-04-29 13:57:32.000000,2021-04-29 13:56:20.000000,12681,8648.0,13869.0,47884,36088.0,Tensors and Dynamic neural networks in Python with strong GPU acceleration.,2634.0,41,True,2021-03-25 16:07:08.000000,1.8.1,32.0,torch,pytorch/pytorch,,https://pytorch.org/docs/stable/index.html,['pytorch'],80057.0,73375.0,https://pypi.org/project/torch,2021-03-25 15:54:32.000000,6682.0,3864331.0,4128955.0,https://anaconda.org/pytorch/pytorch,2021-03-25 16:42:58.661000,10849595.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,
7,Matplotlib,matplotlib/matplotlib,,data-viz,https://github.com/matplotlib/matplotlib,https://github.com/matplotlib/matplotlib,Python-2.0,2011-02-19 03:17:12.000000,2021-04-29 13:00:20.000000,2021-04-29 03:39:14.000000,5733,1702.0,6174.0,13552,38711.0,matplotlib: plotting with Python.,1224.0,41,True,2021-03-31 07:23:52.000000,3.4.1,66.0,matplotlib,conda-forge/matplotlib,,,,440106.0,361002.0,https://pypi.org/project/matplotlib,2021-03-26 07:50:28.000000,79104.0,19592243.0,19722710.0,https://anaconda.org/conda-forge/matplotlib,2021-03-31 18:55:37.001000,8741300.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,
8,Pillow,python-pillow/Pillow,,image,https://github.com/python-pillow/Pillow,https://github.com/python-pillow/Pillow,PIL,2012-07-24 21:38:39.000000,2021-04-29 13:10:22.000000,2021-04-29 11:18:54.000000,1621,214.0,1986.0,8469,11631.0,The friendly PIL fork (Python Imaging Library).,357.0,40,True,2021-04-01 20:55:51.000000,8.2.0,80.0,Pillow,conda-forge/pillow,,,,562900.0,451474.0,https://pypi.org/project/Pillow,2021-04-01 20:53:21.000000,111426.0,31142003.0,31278864.0,https://anaconda.org/conda-forge/pillow,2021-04-08 13:38:34.408000,8211719.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,
9,Celery,celery/celery,,data-pipelines,https://github.com/celery/celery,https://github.com/celery/celery,BSD-3-Clause,2009-04-24 11:31:24.000000,2021-04-29 14:22:36.000000,2021-04-29 14:15:04.000000,3974,497.0,3989.0,17165,11583.0,Asynchronous task queue/job queue based on distributed message passing.,1111.0,39,True,2021-04-02 04:55:05.000000,5.1.0b1,172.0,celery,conda-forge/celery,,,,80255.0,52021.0,https://pypi.org/project/celery,2021-04-02 04:52:41.000000,28234.0,4993166.0,5000952.0,https://anaconda.org/conda-forge/celery,2021-03-24 04:34:11.646000,474958.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,
