,name,github_id,resource,category,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,fork_count,open_issue_count,closed_issue_count,star_count,commit_count,description,contributor_count,projectrank,show,latest_stable_release_published_at,latest_stable_release_number,release_count,pypi_id,conda_id,dockerhub_id,docs_url,labels,dependent_project_count,github_dependent_project_count,pypi_url,pypi_latest_release_published_at,pypi_dependent_project_count,pypi_monthly_downloads,monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,projectrank_placing,github_release_downloads,trending,helm_id,npm_id,npm_url,npm_latest_release_published_at,npm_dependent_project_count,npm_monthly_downloads,conda_dependent_project_count,brew_id,apt_id,yum_id,updated_github_id,snap_id,dnf_id,yay_id,maven_id,maven_url,maven_latest_release_published_at,maven_dependent_project_count,gitlab_id,gitlab_url
0,ANN Benchmarks,erikbern/ann-benchmarks,True,nn-search,https://github.com/erikbern/ann-benchmarks,https://github.com/erikbern/ann-benchmarks,MIT,2015-05-28 13:21:43.000000,2021-05-28 13:59:49.000000,2021-05-23 16:47:37.000000,359,32.0,62.0,2254,1217.0,Benchmarks of approximate nearest neighbor libraries in Python.,57.0,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,best-of-web-python - Web Scraping,ml-tooling/best-of-web-python,True,web-scraping,https://github.com/ml-tooling/best-of-web-python,https://github.com/ml-tooling/best-of-web-python,CC-BY-SA-4.0,2021-01-05 13:09:27.000000,2021-06-03 15:38:46.000000,2021-05-14 08:30:59.000000,81,,2.0,1235,,Collection of web-scraping and crawling libraries.,6.0,0,True,2021-05-14 08:31:08.000000,2021.05.13,16.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,best-of-python - DB Clients,ml-tooling/best-of-python,True,db-clients,https://github.com/ml-tooling/best-of-python,https://github.com/ml-tooling/best-of-python#database-clients,CC-BY-SA-4.0,2021-01-11 19:11:32.000000,2021-06-03 15:18:12.000000,2021-05-14 08:31:36.000000,130,2.0,3.0,1644,,Collection of database clients for python.,5.0,0,True,2021-05-14 08:31:44.000000,2021.05.13,16.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,Tensorflow,tensorflow/tensorflow,,ml-frameworks,https://github.com/tensorflow/tensorflow,https://github.com/tensorflow/tensorflow,Apache-2.0,2015-11-07 01:19:20.000000,2021-06-03 14:01:23.000000,2021-06-03 14:00:43.000000,84790,3957.0,28078.0,158214,111737.0,An Open Source Machine Learning Framework for Everyone.,3679.0,44,True,2021-05-13 18:18:51.000000,2.5.0,121.0,tensorflow,conda-forge/tensorflow,tensorflow/tensorflow,https://www.tensorflow.org/overview,['tensorflow'],163373.0,140849.0,https://pypi.org/project/tensorflow,2021-05-13 17:28:39.000000,22524.0,10186783.0,11019964.0,https://anaconda.org/conda-forge/tensorflow,2021-04-30 05:11:44.185000,2577782.0,https://hub.docker.com/r/tensorflow/tensorflow,2021-06-03 13:34:00.172392,1909.0,53081737.0,1.0,,,,,,,,,,,,,,,,,,,,,,
4,pandas,pandas-dev/pandas,,data-containers,https://github.com/pandas-dev/pandas,https://github.com/pandas-dev/pandas,BSD-3-Clause,2010-08-24 01:37:33.000000,2021-06-03 12:31:31.000000,2021-06-03 05:40:22.000000,12463,3654.0,17146.0,29932,26969.0,"Flexible and powerful data analysis / manipulation library for Python, providing labeled data structures similar to R..",2688.0,43,True,2021-04-12 18:43:31.000000,1.2.4,91.0,pandas,conda-forge/pandas,,,['pandas'],534991.0,458207.0,https://pypi.org/project/pandas,2021-04-12 18:43:31.000000,76784.0,49432541.0,49707080.0,https://anaconda.org/conda-forge/pandas,2021-04-13 16:22:06.030000,16672481.0,,,,,1.0,108647.0,,,,,,,,,,,,,,,,,,,,,
5,scipy,scipy/scipy,,others,https://github.com/scipy/scipy,https://github.com/scipy/scipy,BSD-3-Clause,2011-03-09 18:52:03.000000,2021-06-03 11:22:24.000000,2021-06-03 07:59:17.000000,3711,1618.0,5962.0,8265,25822.0,"Ecosystem of open-source software for mathematics, science, and engineering.",1122.0,42,True,2021-04-26 02:11:23.000000,1.6.3,63.0,scipy,conda-forge/scipy,,,,438632.0,351770.0,https://pypi.org/project/scipy,2021-04-26 00:22:45.000000,86862.0,29500574.0,29749917.0,https://anaconda.org/conda-forge/scipy,2021-04-27 23:19:03.675000,14936465.0,,,,,1.0,318345.0,,,,,,,,,,,,,,,,,,,,,
6,PyTorch,pytorch/pytorch,,ml-frameworks,https://github.com/pytorch/pytorch,https://github.com/pytorch/pytorch,BSD-3-Clause,2016-08-13 05:26:41.000000,2021-06-03 14:17:18.000000,2021-06-03 13:43:23.000000,12681,8648.0,14277.0,48591,37332.0,Tensors and Dynamic neural networks in Python with strong GPU acceleration.,2697.0,41,True,2021-03-25 16:07:08.000000,1.8.1,32.0,torch,pytorch/pytorch,,https://pytorch.org/docs/stable/index.html,['pytorch'],85929.0,79247.0,https://pypi.org/project/torch,2021-03-25 15:54:32.000000,6682.0,3907568.0,4170555.0,https://anaconda.org/pytorch/pytorch,2021-03-25 16:42:58.661000,11308465.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,
7,Matplotlib,matplotlib/matplotlib,,data-viz,https://github.com/matplotlib/matplotlib,https://github.com/matplotlib/matplotlib,Python-2.0,2011-02-19 03:17:12.000000,2021-06-03 14:14:20.000000,2021-06-02 21:15:05.000000,5828,1665.0,6271.0,13713,39238.0,matplotlib: plotting with Python.,1237.0,41,True,2021-05-08 05:47:47.000000,3.4.2,68.0,matplotlib,conda-forge/matplotlib,,,,458380.0,379276.0,https://pypi.org/project/matplotlib,2021-05-08 05:47:47.000000,79104.0,21000081.0,21130420.0,https://anaconda.org/conda-forge/matplotlib,2021-05-10 22:47:57.893000,8993425.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,
8,Celery,celery/celery,,data-pipelines,https://github.com/celery/celery,https://github.com/celery/celery,BSD-3-Clause,2009-04-24 11:31:24.000000,2021-06-03 14:16:32.000000,2021-06-01 12:09:39.000000,4001,511.0,4005.0,17356,11607.0,Asynchronous task queue/job queue based on distributed message passing.,1116.0,40,True,2021-05-26 15:28:52.000000,5.1.0,175.0,celery,conda-forge/celery,,,,81790.0,53556.0,https://pypi.org/project/celery,2021-05-23 16:30:39.000000,28234.0,4967230.0,4975204.0,https://anaconda.org/conda-forge/celery,2021-03-24 04:34:11.646000,502381.0,,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,
9,Pillow,python-pillow/Pillow,,image,https://github.com/python-pillow/Pillow,https://github.com/python-pillow/Pillow,PIL,2012-07-24 21:38:39.000000,2021-06-03 13:44:31.000000,2021-05-25 12:38:58.000000,1621,214.0,2015.0,8558,11736.0,The friendly PIL fork (Python Imaging Library).,359.0,40,True,2021-04-01 20:55:51.000000,8.2.0,80.0,Pillow,conda-forge/pillow,,,,590025.0,478599.0,https://pypi.org/project/Pillow,2021-04-01 20:53:21.000000,111426.0,31107618.0,31247373.0,https://anaconda.org/conda-forge/pillow,2021-05-17 22:12:54.346000,8664818.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,
