,name,github_id,resource,category,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,fork_count,open_issue_count,closed_issue_count,star_count,commit_count,description,contributor_count,projectrank,show,latest_stable_release_published_at,latest_stable_release_number,release_count,pypi_id,conda_id,dockerhub_id,docs_url,labels,dependent_project_count,github_dependent_project_count,pypi_url,pypi_latest_release_published_at,pypi_dependent_project_count,pypi_monthly_downloads,monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,projectrank_placing,github_release_downloads,helm_id,trending,npm_id,npm_url,npm_latest_release_published_at,npm_dependent_project_count,npm_monthly_downloads,conda_dependent_project_count,brew_id,apt_id,yum_id,updated_github_id,snap_id,dnf_id,yay_id,maven_id,maven_url,maven_latest_release_published_at,maven_dependent_project_count,bitbucket_id
0,ANN Benchmarks,erikbern/ann-benchmarks,True,nn-search,https://github.com/erikbern/ann-benchmarks,https://github.com/erikbern/ann-benchmarks,MIT,2015-05-28 13:21:43.000000,2021-07-08 14:12:03.000000,2021-07-06 14:10:40.000000,382,35.0,65.0,2324.0,1222.0,Benchmarks of approximate nearest neighbor libraries in Python.,58.0,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,best-of-web-python - Web Scraping,ml-tooling/best-of-web-python,True,web-scraping,https://github.com/ml-tooling/best-of-web-python,https://github.com/ml-tooling/best-of-web-python#web-scraping--crawling,CC-BY-SA-4.0,2021-01-05 13:09:27.000000,2021-07-08 15:20:18.000000,2021-07-05 20:13:31.000000,84,,2.0,1275.0,,Collection of web-scraping and crawling libraries.,6.0,0,True,2021-07-05 20:13:46.000000,2021.07.01,19.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,best-of-python - Data Extraction,ml-tooling/best-of-python,True,data-loading,https://github.com/ml-tooling/best-of-python,https://github.com/ml-tooling/best-of-python#data-loading--extraction,CC-BY-SA-4.0,2021-01-11 19:11:32.000000,2021-07-08 15:09:39.000000,2021-07-05 20:13:58.000000,134,1.0,4.0,1676.0,,Collection of data-loading and -extraction libraries.,5.0,0,True,2021-07-05 20:14:20.000000,2021.07.01,20.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,best-of-python - DB Clients,ml-tooling/best-of-python,True,db-clients,https://github.com/ml-tooling/best-of-python,https://github.com/ml-tooling/best-of-python#database-clients,CC-BY-SA-4.0,2021-01-11 19:11:32.000000,2021-07-08 15:09:39.000000,2021-07-05 20:13:58.000000,134,1.0,4.0,1676.0,,Collection of database clients for python.,5.0,0,True,2021-07-05 20:14:20.000000,2021.07.01,20.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,Tensorflow,tensorflow/tensorflow,,ml-frameworks,https://github.com/tensorflow/tensorflow,https://github.com/tensorflow/tensorflow,Apache-2.0,2015-11-07 01:19:20.000000,2021-07-08 14:03:09.000000,2021-07-08 14:02:26.000000,84790,3957.0,28702.0,159161.0,113787.0,An Open Source Machine Learning Framework for Everyone.,3731.0,44,True,2021-06-15 21:29:30.000000,2.4.2,126.0,tensorflow,conda-forge/tensorflow,tensorflow/tensorflow,https://www.tensorflow.org/overview,['tensorflow'],169627.0,147103.0,https://pypi.org/project/tensorflow,2021-06-29 19:08:31.000000,22524.0,10102611.0,10957188.0,https://anaconda.org/conda-forge/tensorflow,2021-04-30 05:11:44.185000,2651297.0,https://hub.docker.com/r/tensorflow/tensorflow,2021-07-08 13:37:18.284859,1925.0,55294294.0,1.0,,,,,,,,,,,,,,,,,,,,,
5,pandas,pandas-dev/pandas,,data-containers,https://github.com/pandas-dev/pandas,https://github.com/pandas-dev/pandas,BSD-3-Clause,2010-08-24 01:37:33.000000,2021-07-08 14:38:29.000000,2021-07-08 13:11:02.000000,12625,3671.0,17341.0,30282.0,27246.0,"Flexible and powerful data analysis / manipulation library for Python, providing labeled data structures similar to R..",2709.0,43,True,2021-07-02 11:59:11.000000,1.3.0,94.0,pandas,conda-forge/pandas,,,['pandas'],560070.0,483286.0,https://pypi.org/project/pandas,2021-07-02 11:59:11.000000,76784.0,53898142.0,54181809.0,https://anaconda.org/conda-forge/pandas,2021-07-02 16:54:16.536000,17510083.0,,,,,1.0,112285.0,,,,,,,,,,,,,,,,,,,,
6,Matplotlib,matplotlib/matplotlib,,data-viz,https://github.com/matplotlib/matplotlib,https://github.com/matplotlib/matplotlib,Python-2.0,2011-02-19 03:17:12.000000,2021-07-08 14:20:29.000000,2021-07-08 11:08:59.000000,5828,1665.0,6356.0,13869.0,39571.0,matplotlib: plotting with Python.,1251.0,42,True,2021-05-08 05:47:47.000000,3.4.2,68.0,matplotlib,conda-forge/matplotlib,,,,476217.0,397113.0,https://pypi.org/project/matplotlib,2021-05-08 05:47:47.000000,79104.0,25853061.0,25985287.0,https://anaconda.org/conda-forge/matplotlib,2021-05-10 22:47:57.893000,9255877.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,
7,scipy,scipy/scipy,,others,https://github.com/scipy/scipy,https://github.com/scipy/scipy,BSD-3-Clause,2011-03-09 18:52:03.000000,2021-07-08 10:46:36.000000,2021-07-08 10:46:36.000000,3759,1676.0,6002.0,8358.0,26023.0,"Ecosystem of open-source software for mathematics, science, and engineering.",1137.0,42,True,2021-06-20 17:06:43.000000,1.7.0,66.0,scipy,conda-forge/scipy,,,,454581.0,367719.0,https://pypi.org/project/scipy,2021-06-20 16:11:56.000000,86862.0,32639953.0,32899753.0,https://anaconda.org/conda-forge/scipy,2021-06-28 11:17:50.807000,15831754.0,,,,,1.0,320458.0,,,,,,,,,,,,,,,,,,,,
8,PyTorch,pytorch/pytorch,,ml-frameworks,https://github.com/pytorch/pytorch,https://github.com/pytorch/pytorch,BSD-3-Clause,2016-08-13 05:26:41.000000,2021-07-08 14:01:35.000000,2021-07-08 04:28:29.000000,13115,9073.0,14699.0,49349.0,38317.0,Tensors and Dynamic neural networks in Python with strong GPU acceleration.,2752.0,41,True,2021-06-15 16:06:52.000000,1.9.0,33.0,torch,pytorch/pytorch,,https://pytorch.org/docs/stable/index.html,['pytorch'],91954.0,85272.0,https://pypi.org/project/torch,2021-06-15 15:09:35.000000,6682.0,4492054.0,4760506.0,https://anaconda.org/pytorch/pytorch,2021-06-15 16:26:06.511000,11811901.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,
9,Celery,celery/celery,,data-pipelines,https://github.com/celery/celery,https://github.com/celery/celery,BSD-3-Clause,2009-04-24 11:31:24.000000,2021-07-08 10:02:07.000000,2021-07-07 18:04:24.000000,4020,519.0,4022.0,17550.0,11642.0,Asynchronous task queue/job queue based on distributed message passing.,1124.0,40,True,2021-06-28 13:14:23.000000,5.1.2,178.0,celery,conda-forge/celery,,,,83343.0,55109.0,https://pypi.org/project/celery,2021-06-28 13:14:23.000000,28234.0,5211534.0,5219956.0,https://anaconda.org/conda-forge/celery,2021-06-29 08:06:51.307000,539039.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,
10,Pillow,python-pillow/Pillow,,image,https://github.com/python-pillow/Pillow,https://github.com/python-pillow/Pillow,PIL,2012-07-24 21:38:39.000000,2021-07-08 07:12:19.000000,2021-07-06 14:03:45.000000,1676,177.0,2064.0,8688.0,11952.0,The friendly PIL fork (Python Imaging Library).,367.0,40,True,2021-07-07 00:05:31.000000,8.3.1,82.0,Pillow,conda-forge/pillow,,,,615610.0,504184.0,https://pypi.org/project/Pillow,2021-07-06 23:56:58.000000,111426.0,33854008.0,33999783.0,https://anaconda.org/conda-forge/pillow,2021-07-07 17:38:10.169000,9183845.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,
11,scikit-learn,scikit-learn/scikit-learn,,ml-frameworks,https://github.com/scikit-learn/scikit-learn,https://github.com/scikit-learn/scikit-learn,BSD-3-Clause,2010-08-17 09:43:38.000000,2021-07-08 13:45:48.000000,2021-07-08 13:45:48.000000,21637,2379.0,6983.0,46355.0,,scikit-learn: machine learning in Python.,2279.0,38,True,2021-04-28 17:20:23.000000,0.24.2,54.0,scikit-learn,conda-forge/scikit-learn,,,['sklearn'],278620.0,240732.0,https://pypi.org/project/scikit-learn,2021-04-28 11:18:29.000000,37888.0,26162620.0,26300781.0,https://anaconda.org/conda-forge/scikit-learn,2021-07-06 10:14:33.510000,8565354.0,,,,,1.0,709.0,,,,,,,,,,,,,,,,,,,,
