,name,github_id,resource,category,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,fork_count,open_issue_count,closed_issue_count,star_count,commit_count,description,contributor_count,projectrank,show,latest_stable_release_published_at,latest_stable_release_number,release_count,pypi_id,conda_id,dockerhub_id,docs_url,labels,dependent_project_count,github_dependent_project_count,pypi_url,pypi_latest_release_published_at,pypi_dependent_project_count,pypi_monthly_downloads,monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,projectrank_placing,github_release_downloads,helm_id,npm_id,npm_url,npm_latest_release_published_at,npm_dependent_project_count,npm_monthly_downloads,trending,conda_dependent_project_count,brew_id,apt_id,yum_id,updated_github_id,snap_id,dnf_id,yay_id,maven_id,maven_url,maven_latest_release_published_at,maven_dependent_project_count,bitbucket_id
0,ANN Benchmarks,erikbern/ann-benchmarks,True,nn-search,https://github.com/erikbern/ann-benchmarks,https://github.com/erikbern/ann-benchmarks,MIT,2015-05-28 13:21:43.000000,2021-08-25 08:13:02.000000,2021-08-09 09:52:28.000000,382,35.0,67.0,2445.0,1228.0,Benchmarks of approximate nearest neighbor libraries in Python.,59.0,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,best-of-web-python - Web Scraping,ml-tooling/best-of-web-python,True,web-scraping,https://github.com/ml-tooling/best-of-web-python,https://github.com/ml-tooling/best-of-web-python#web-scraping--crawling,CC-BY-SA-4.0,2021-01-05 13:09:27.000000,2021-08-26 14:18:36.000000,2021-07-16 21:43:54.000000,86,1.0,2.0,1310.0,,Collection of web-scraping and crawling libraries.,6.0,0,True,2021-07-16 21:44:03.000000,2021.07.15,21.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,best-of-python - Data Extraction,ml-tooling/best-of-python,True,data-loading,https://github.com/ml-tooling/best-of-python,https://github.com/ml-tooling/best-of-python#data-loading--extraction,CC-BY-SA-4.0,2021-01-11 19:11:32.000000,2021-08-26 15:01:16.000000,2021-07-16 21:43:31.000000,134,1.0,4.0,1726.0,,Collection of data-loading and -extraction libraries.,5.0,0,True,2021-07-16 21:43:43.000000,2021.07.15,22.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,best-of-python - DB Clients,ml-tooling/best-of-python,True,db-clients,https://github.com/ml-tooling/best-of-python,https://github.com/ml-tooling/best-of-python#database-clients,CC-BY-SA-4.0,2021-01-11 19:11:32.000000,2021-08-26 15:01:16.000000,2021-07-16 21:43:31.000000,134,1.0,4.0,1726.0,,Collection of database clients for python.,5.0,0,True,2021-07-16 21:43:43.000000,2021.07.15,22.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,Tensorflow,tensorflow/tensorflow,,ml-frameworks,https://github.com/tensorflow/tensorflow,https://github.com/tensorflow/tensorflow,Apache-2.0,2015-11-07 01:19:20.000000,2021-08-26 13:54:08.000000,2021-08-26 13:52:21.000000,85371,3458.0,29404.0,160583.0,116692.0,An Open Source Machine Learning Framework for Everyone.,3773.0,44,True,2021-08-12 16:04:34.000000,2.4.3,132.0,tensorflow,conda-forge/tensorflow,tensorflow/tensorflow,https://www.tensorflow.org/overview,['tensorflow'],177181.0,154657.0,https://pypi.org/project/tensorflow,2021-08-11 17:09:07.000000,22524.0,11234238.0,12120218.0,https://anaconda.org/conda-forge/tensorflow,2021-04-30 05:11:44.185000,2751853.0,https://hub.docker.com/r/tensorflow/tensorflow,2021-08-26 13:36:29.948036,1941.0,58211440.0,1.0,,,,,,,,,,,,,,,,,,,,,
5,pandas,pandas-dev/pandas,,data-containers,https://github.com/pandas-dev/pandas,https://github.com/pandas-dev/pandas,BSD-3-Clause,2010-08-24 01:37:33.000000,2021-08-26 14:51:40.000000,2021-08-25 19:53:06.000000,12878,3567.0,17778.0,30834.0,27560.0,"Flexible and powerful data analysis / manipulation library for Python, providing labeled data structures similar to R..",2760.0,43,True,2021-08-15 16:14:47.000000,1.3.2,96.0,pandas,conda-forge/pandas,,,['pandas'],592944.0,516160.0,https://pypi.org/project/pandas,2021-08-15 16:14:47.000000,76784.0,83093456.0,83392141.0,https://anaconda.org/conda-forge/pandas,2021-08-16 17:26:49.855000,18735538.0,,,,,1.0,117993.0,,,,,,,,,,,,,,,,,,,,
6,Matplotlib,matplotlib/matplotlib,,data-viz,https://github.com/matplotlib/matplotlib,https://github.com/matplotlib/matplotlib,Python-2.0,2011-02-19 03:17:12.000000,2021-08-26 06:14:30.000000,2021-08-26 06:14:29.000000,5961,1662.0,6475.0,14104.0,40062.0,matplotlib: plotting with Python.,1268.0,42,True,2021-08-13 03:27:23.000000,3.4.3,70.0,matplotlib,conda-forge/matplotlib,,,,498541.0,419437.0,https://pypi.org/project/matplotlib,2021-08-24 07:59:49.000000,79104.0,29927122.0,30062391.0,https://anaconda.org/conda-forge/matplotlib,2021-08-17 03:07:59.440000,9604165.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,
7,scipy,scipy/scipy,,others,https://github.com/scipy/scipy,https://github.com/scipy/scipy,BSD-3-Clause,2011-03-09 18:52:03.000000,2021-08-26 12:08:30.000000,2021-08-26 10:19:30.000000,3814,1763.0,6067.0,8514.0,26201.0,"Ecosystem of open-source software for mathematics, science, and engineering.",1155.0,42,True,2021-08-02 02:24:12.000000,1.7.1,67.0,scipy,conda-forge/scipy,,,,474884.0,388022.0,https://pypi.org/project/scipy,2021-08-02 00:14:42.000000,86862.0,30392684.0,30667248.0,https://anaconda.org/conda-forge/scipy,2021-08-19 22:46:14.714000,17017203.0,,,,,1.0,324871.0,,,,,,,,,,,,,,,,,,,,
8,Pillow,python-pillow/Pillow,,image,https://github.com/python-pillow/Pillow,https://github.com/python-pillow/Pillow,PIL,2012-07-24 21:38:39.000000,2021-08-25 14:52:22.000000,2021-08-24 12:33:08.000000,1691,196.0,2113.0,8889.0,12087.0,The friendly PIL fork (Python Imaging Library).,370.0,40,True,2021-07-07 00:05:31.000000,8.3.1,82.0,Pillow,conda-forge/pillow,,,,650423.0,538997.0,https://pypi.org/project/Pillow,2021-07-06 23:56:58.000000,111426.0,32091731.0,32246780.0,https://anaconda.org/conda-forge/pillow,2021-08-06 18:57:18.687000,9923173.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,
9,PyTorch,pytorch/pytorch,,ml-frameworks,https://github.com/pytorch/pytorch,https://github.com/pytorch/pytorch,BSD-3-Clause,2016-08-13 05:26:41.000000,2021-08-26 14:03:11.000000,2021-08-26 13:59:46.000000,13701,9706.0,15228.0,50449.0,39614.0,Tensors and Dynamic neural networks in Python with strong GPU acceleration.,2826.0,39,True,2021-08-17 18:33:00.000000,1.8.2,34.0,torch,pytorch/pytorch,,https://pytorch.org/docs/stable/index.html,['pytorch'],6682.0,,https://pypi.org/project/torch,2021-06-15 15:09:35.000000,6682.0,4893645.0,5171029.0,https://anaconda.org/pytorch/pytorch,2021-06-15 16:26:06.511000,12482314.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,
