,name,github_id,resource,category,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,fork_count,open_issue_count,closed_issue_count,star_count,commit_count,description,contributor_count,projectrank,show,latest_stable_release_published_at,latest_stable_release_number,release_count,pypi_id,conda_id,dockerhub_id,docs_url,labels,dependent_project_count,github_dependent_project_count,pypi_url,pypi_latest_release_published_at,pypi_dependent_project_count,pypi_monthly_downloads,monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,projectrank_placing,trending,github_release_downloads,helm_id,npm_id,npm_url,npm_latest_release_published_at,npm_dependent_project_count,npm_monthly_downloads,conda_dependent_project_count,brew_id,updated_github_id,snap_id,dnf_id,yay_id,apt_id,yum_id,maven_id,maven_url,maven_latest_release_published_at,maven_dependent_project_count,bitbucket_id
0,ANN Benchmarks,erikbern/ann-benchmarks,True,nn-search,https://github.com/erikbern/ann-benchmarks,https://github.com/erikbern/ann-benchmarks,MIT,2015-05-28 13:21:43.000000,2021-12-24 06:06:26.000000,2021-12-20 14:23:16.000000,407,37.0,74.0,2689.0,1259.0,Benchmarks of approximate nearest neighbor libraries in Python.,65.0,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,best-of-web-python - Web Scraping,ml-tooling/best-of-web-python,True,web-scraping,https://github.com/ml-tooling/best-of-web-python,https://github.com/ml-tooling/best-of-web-python#web-scraping--crawling,CC-BY-SA-4.0,2021-01-05 13:09:27.000000,2021-12-23 20:17:25.000000,2021-12-23 20:17:24.000000,92,4.0,2.0,1392.0,,Collection of web-scraping and crawling libraries.,7.0,0,True,2021-12-23 20:17:35.000000,2021.12.23,27.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,best-of-python - Data Extraction,ml-tooling/best-of-python,True,data-loading,https://github.com/ml-tooling/best-of-python,https://github.com/ml-tooling/best-of-python#data-loading--extraction,CC-BY-SA-4.0,2021-01-11 19:11:32.000000,2021-12-30 13:39:02.000000,2021-12-30 12:45:34.000000,139,,4.0,1883.0,,Collection of data-loading and -extraction libraries.,6.0,0,True,2021-12-23 15:23:48.000000,2021.12.23,28.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,best-of-python - DB Clients,ml-tooling/best-of-python,True,db-clients,https://github.com/ml-tooling/best-of-python,https://github.com/ml-tooling/best-of-python#database-clients,CC-BY-SA-4.0,2021-01-11 19:11:32.000000,2021-12-30 13:39:02.000000,2021-12-30 12:45:34.000000,139,,4.0,1883.0,,Collection of database clients for python.,6.0,0,True,2021-12-23 15:23:48.000000,2021.12.23,28.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,Tensorflow,tensorflow/tensorflow,,ml-frameworks,https://github.com/tensorflow/tensorflow,https://github.com/tensorflow/tensorflow,Apache-2.0,2015-11-07 01:19:20.000000,2021-12-30 13:47:26.344383,2021-12-30 11:52:09.000000,86022,2651.0,31189.0,163499.0,123227.0,An Open Source Machine Learning Framework for Everyone.,3881.0,44,True,2021-11-04 21:39:30.000000,2.7.0,140.0,tensorflow,conda-forge/tensorflow,tensorflow/tensorflow,https://www.tensorflow.org/overview,['tensorflow'],196489.0,173965.0,https://pypi.org/project/tensorflow,2021-12-22 20:40:23.000000,22524.0,14593948.0,15503174.0,https://anaconda.org/conda-forge/tensorflow,2021-12-08 18:39:34.795000,2959831.0,https://hub.docker.com/r/tensorflow/tensorflow,2021-12-30 13:47:26.344383,1978.0,63242143.0,1.0,7.0,,,,,,,,,,,,,,,,,,,,
5,pandas,pandas-dev/pandas,,data-containers,https://github.com/pandas-dev/pandas,https://github.com/pandas-dev/pandas,BSD-3-Clause,2010-08-24 01:37:33.000000,2021-12-30 14:10:51.000000,2021-12-30 14:10:51.000000,13654,3481.0,18474.0,32146.0,28591.0,"Flexible and powerful data analysis / manipulation library for Python, providing labeled data structures similar to R..",2885.0,43,True,2021-12-12 14:30:49.000000,1.3.5,99.0,pandas,conda-forge/pandas,,,['pandas'],680315.0,603531.0,https://pypi.org/project/pandas,2021-12-12 14:30:49.000000,76784.0,69664325.0,69993337.0,https://anaconda.org/conda-forge/pandas,2021-12-13 14:57:19.916000,21951690.0,,,,,1.0,,130648.0,,,,,,,,,,,,,,,,,,,
6,scipy,scipy/scipy,,others,https://github.com/scipy/scipy,https://github.com/scipy/scipy,BSD-3-Clause,2011-03-09 18:52:03.000000,2021-12-30 14:07:04.000000,2021-12-30 08:07:07.000000,4015,1828.0,6322.0,9003.0,26991.0,"Ecosystem of open-source software for mathematics, science, and engineering.",1214.0,42,True,2021-11-24 18:44:51.000000,1.7.3,74.0,scipy,conda-forge/scipy,,,,527237.0,440375.0,https://pypi.org/project/scipy,2021-12-21 17:28:09.000000,86862.0,30469478.0,30772481.0,https://anaconda.org/conda-forge/scipy,2021-11-25 04:00:02.224000,20010344.0,,,,,1.0,,334410.0,,,,,,,,,,,,,,,,,,,
7,Celery,celery/celery,,data-pipelines,https://github.com/celery/celery,https://github.com/celery/celery,BSD-3-Clause,2009-04-24 11:31:24.000000,2021-12-29 05:52:09.000000,2021-12-29 05:49:42.000000,4172,487.0,4156.0,18431.0,11814.0,Asynchronous task queue/job queue based on distributed message passing.,1171.0,40,True,2021-12-29 05:52:09.000000,5.2.3,187.0,celery,conda-forge/celery,,,,90788.0,62554.0,https://pypi.org/project/celery,2021-12-29 05:52:09.000000,28234.0,4548407.0,4559519.0,https://anaconda.org/conda-forge/celery,2021-06-29 08:06:51.307000,766736.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,
8,transformers,huggingface/transformers,,nlp,https://github.com/huggingface/transformers,https://github.com/huggingface/transformers,Apache-2.0,2018-10-29 13:56:00.000000,2021-12-30 13:50:24.000000,2021-12-30 09:16:03.000000,13220,421.0,8059.0,56234.0,8598.0,"Transformers: State-of-the-art Machine Learning for Pytorch, TensorFlow, and JAX.",1105.0,39,True,2021-12-22 19:34:56.000000,4.15.0,83.0,transformers,conda-forge/transformers,,,"['pytorch', 'tensorflow']",20505.0,20377.0,https://pypi.org/project/transformers,2021-12-22 19:12:19.000000,128.0,2933337.0,2936780.0,https://anaconda.org/conda-forge/transformers,2021-12-23 04:13:36.107000,88549.0,,,,,1.0,,1420.0,,,,,,,,,,,,,,,,,,,
9,PyTorch,pytorch/pytorch,,ml-frameworks,https://github.com/pytorch/pytorch,https://github.com/pytorch/pytorch,BSD-3-Clause,2016-08-13 05:26:41.000000,2021-12-30 14:02:41.000000,2021-12-30 10:16:36.000000,14554,10830.0,16406.0,53017.0,42681.0,Tensors and Dynamic neural networks in Python with strong GPU acceleration.,3033.0,39,True,2021-12-15 22:27:43.000000,1.10.1,37.0,torch,pytorch/pytorch,,https://pytorch.org/docs/stable/index.html,['pytorch'],6682.0,,https://pypi.org/project/torch,2021-12-15 21:58:45.000000,6682.0,6149966.0,6445954.0,https://anaconda.org/pytorch/pytorch,2021-12-15 21:52:11.758000,14502732.0,,,,,1.0,,883.0,,,,,,,,,,,,,,,,,,,
