,name,github_id,resource,category,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,fork_count,open_issue_count,closed_issue_count,star_count,commit_count,description,contributor_count,projectrank,show,latest_stable_release_published_at,latest_stable_release_number,release_count,pypi_id,conda_id,dockerhub_id,docs_url,labels,dependent_project_count,github_dependent_project_count,pypi_url,pypi_latest_release_published_at,pypi_dependent_project_count,pypi_monthly_downloads,monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,projectrank_placing,github_release_downloads,trending,helm_id,npm_id,npm_url,npm_latest_release_published_at,npm_dependent_project_count,npm_monthly_downloads,conda_dependent_project_count,brew_id,updated_github_id,snap_id,dnf_id,yay_id,apt_id,yum_id,maven_id,maven_url,maven_latest_release_published_at,maven_dependent_project_count,bitbucket_id
0,ANN Benchmarks,erikbern/ann-benchmarks,True,nn-search,https://github.com/erikbern/ann-benchmarks,https://github.com/erikbern/ann-benchmarks,MIT,2015-05-28 13:21:43.000000,2021-12-30 20:09:25.000000,2021-12-30 20:02:39.000000,409,37.0,74.0,2709.0,1265.0,Benchmarks of approximate nearest neighbor libraries in Python.,65.0,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,best-of-web-python - Web Scraping,ml-tooling/best-of-web-python,True,web-scraping,https://github.com/ml-tooling/best-of-web-python,https://github.com/ml-tooling/best-of-web-python#web-scraping--crawling,CC-BY-SA-4.0,2021-01-05 13:09:27.000000,2021-12-30 16:46:11.000000,2021-12-30 16:46:11.000000,93,4.0,2.0,1400.0,,Collection of web-scraping and crawling libraries.,7.0,0,True,2021-12-30 16:46:19.000000,2021.12.30,28.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,best-of-python - Data Extraction,ml-tooling/best-of-python,True,data-loading,https://github.com/ml-tooling/best-of-python,https://github.com/ml-tooling/best-of-python#data-loading--extraction,CC-BY-SA-4.0,2021-01-11 19:11:32.000000,2022-01-06 13:42:07.000000,2021-12-30 16:47:38.000000,140,,4.0,1894.0,,Collection of data-loading and -extraction libraries.,6.0,0,True,2021-12-30 16:47:45.000000,2021.12.30,29.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,best-of-python - DB Clients,ml-tooling/best-of-python,True,db-clients,https://github.com/ml-tooling/best-of-python,https://github.com/ml-tooling/best-of-python#database-clients,CC-BY-SA-4.0,2021-01-11 19:11:32.000000,2022-01-06 13:42:07.000000,2021-12-30 16:47:38.000000,140,,4.0,1894.0,,Collection of database clients for python.,6.0,0,True,2021-12-30 16:47:45.000000,2021.12.30,29.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,Tensorflow,tensorflow/tensorflow,,ml-frameworks,https://github.com/tensorflow/tensorflow,https://github.com/tensorflow/tensorflow,Apache-2.0,2015-11-07 01:19:20.000000,2022-01-06 13:48:25.248150,2022-01-06 09:13:19.000000,86074,2643.0,31268.0,163642.0,123435.0,An Open Source Machine Learning Framework for Everyone.,3886.0,44,True,2021-11-04 21:39:30.000000,2.7.0,140.0,tensorflow,conda-forge/tensorflow,tensorflow/tensorflow,https://www.tensorflow.org/overview,['tensorflow'],197324.0,174800.0,https://pypi.org/project/tensorflow,2021-12-22 20:40:23.000000,22524.0,14153287.0,15054692.0,https://anaconda.org/conda-forge/tensorflow,2021-12-08 18:39:34.795000,2966621.0,https://hub.docker.com/r/tensorflow/tensorflow,2022-01-06 13:48:25.248150,1981.0,63567900.0,1.0,,,,,,,,,,,,,,,,,,,,,
5,pandas,pandas-dev/pandas,,data-containers,https://github.com/pandas-dev/pandas,https://github.com/pandas-dev/pandas,BSD-3-Clause,2010-08-24 01:37:33.000000,2022-01-06 14:49:08.625000,2022-01-06 14:19:40.000000,13728,3404.0,18516.0,32220.0,28647.0,"Flexible and powerful data analysis / manipulation library for Python, providing labeled data structures similar to R..",2891.0,43,True,2021-12-12 14:30:49.000000,1.3.5,100.0,pandas,conda-forge/pandas,,,['pandas'],684328.0,607544.0,https://pypi.org/project/pandas,2022-01-06 11:01:13.000000,76784.0,68004017.0,68329390.0,https://anaconda.org/conda-forge/pandas,2022-01-06 14:49:08.625000,22032474.0,,,,,1.0,131295.0,,,,,,,,,,,,,,,,,,,,
6,Celery,celery/celery,,data-pipelines,https://github.com/celery/celery,https://github.com/celery/celery,BSD-3-Clause,2009-04-24 11:31:24.000000,2022-01-06 07:18:23.000000,2022-01-06 03:42:54.000000,4172,487.0,4157.0,18455.0,11817.0,Asynchronous task queue/job queue based on distributed message passing.,1171.0,40,True,2021-12-29 05:52:09.000000,5.2.3,187.0,celery,conda-forge/celery,,,,91003.0,62769.0,https://pypi.org/project/celery,2021-12-29 05:52:09.000000,28234.0,4205854.0,4216826.0,https://anaconda.org/conda-forge/celery,2021-06-29 08:06:51.307000,768083.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,
7,transformers,huggingface/transformers,,nlp,https://github.com/huggingface/transformers,https://github.com/huggingface/transformers,Apache-2.0,2018-10-29 13:56:00.000000,2022-01-06 13:53:59.000000,2022-01-06 13:53:58.000000,13220,421.0,8090.0,56483.0,8623.0,"Transformers: State-of-the-art Machine Learning for Pytorch, TensorFlow, and JAX.",1107.0,39,True,2021-12-22 19:34:56.000000,4.15.0,83.0,transformers,conda-forge/transformers,,,"['pytorch', 'tensorflow']",20748.0,20620.0,https://pypi.org/project/transformers,2021-12-22 19:12:19.000000,128.0,2791473.0,2794827.0,https://anaconda.org/conda-forge/transformers,2021-12-23 04:13:36.107000,89582.0,,,,,1.0,1422.0,,,,,,,,,,,,,,,,,,,,
8,PyTorch,pytorch/pytorch,,ml-frameworks,https://github.com/pytorch/pytorch,https://github.com/pytorch/pytorch,BSD-3-Clause,2016-08-13 05:26:41.000000,2022-01-06 14:01:52.000000,2022-01-06 07:57:22.000000,14581,10856.0,16459.0,53137.0,42787.0,Tensors and Dynamic neural networks in Python with strong GPU acceleration.,3038.0,39,True,2021-12-15 22:27:43.000000,1.10.1,37.0,torch,pytorch/pytorch,,https://pytorch.org/docs/stable/index.html,['pytorch'],6682.0,,https://pypi.org/project/torch,2021-12-15 21:58:45.000000,6682.0,5902935.0,6194460.0,https://anaconda.org/pytorch/pytorch,2021-12-15 21:52:11.758000,14575424.0,,,,,1.0,1138.0,,,,,,,,,,,,,,,,,,,,
9,spaCy,explosion/spaCy,,nlp,https://github.com/explosion/spaCy,https://github.com/explosion/spaCy,MIT,2014-07-03 15:15:40.000000,2022-01-05 13:15:45.000000,2022-01-05 13:14:42.000000,3654,102.0,4886.0,22096.0,15221.0,Industrial-strength Natural Language Processing (NLP) in Python.,644.0,38,True,2021-12-07 16:30:56.000000,3.2.1,189.0,spacy,conda-forge/spacy,,,,36520.0,33454.0,https://pypi.org/project/spacy,2021-12-15 15:54:05.638000,3066.0,5171111.0,5213875.0,https://anaconda.org/conda-forge/spacy,2021-12-14 12:41:39.668000,2520217.0,,,,,1.0,3105.0,,,,,,,,,,,,,,,,,,,,
10,XGBoost,dmlc/xgboost,,ml-frameworks,https://github.com/dmlc/xgboost,https://github.com/dmlc/xgboost,Apache-2.0,2014-02-06 17:28:03.000000,2022-01-06 09:38:34.000000,2022-01-05 11:23:29.000000,8246,308.0,3981.0,22065.0,5605.0,"Scalable, Portable and Distributed Gradient Boosting (GBDT, GBRT or GBM) Library, for Python, R, Java, Scala, C++ and..",545.0,38,True,2021-11-24 19:51:13.000000,1.5.1,60.0,xgboost,conda-forge/xgboost,,https://xgboost.readthedocs.io/en/latest/,,27122.0,25530.0,https://pypi.org/project/xgboost,2021-11-24 19:51:13.000000,1592.0,8173587.0,8211336.0,https://anaconda.org/conda-forge/xgboost,2021-11-20 17:37:18.728000,2187286.0,,,,,1.0,3591.0,,,,,,,,,,,,,,,,,,,,
11,numpy,numpy/numpy,,data-containers,https://github.com/numpy/numpy,https://github.com/numpy/numpy,BSD-3-Clause,2010-09-13 23:02:39.000000,2022-01-06 13:44:27.000000,2022-01-06 07:18:01.000000,6344,2309.0,8164.0,19256.0,,The fundamental package for scientific computing with Python.,1376.0,38,True,2021-12-31 20:52:36.000000,1.22.0,120.0,numpy,conda-forge/numpy,,,,1099265.0,929543.0,https://pypi.org/project/numpy,2021-12-31 20:32:18.000000,169722.0,82725025.0,83135543.0,https://anaconda.org/conda-forge/numpy,2022-01-03 03:29:08.694000,27432105.0,,,,,1.0,440550.0,,,,,,,,,,,,,,,,,,,,
12,scipy,scipy/scipy,,others,https://github.com/scipy/scipy,https://github.com/scipy/scipy,BSD-3-Clause,2011-03-09 18:52:03.000000,2022-01-06 14:48:40.000000,2022-01-06 08:49:35.000000,4015,1828.0,6333.0,9045.0,,"Ecosystem of open-source software for mathematics, science, and engineering.",1216.0,38,True,2021-11-24 18:44:51.000000,1.7.3,74.0,scipy,conda-forge/scipy,,,,529571.0,442709.0,https://pypi.org/project/scipy,2021-12-21 17:28:09.000000,86862.0,29154495.0,29454041.0,https://anaconda.org/conda-forge/scipy,2021-11-25 04:00:02.224000,20077472.0,,,,,1.0,334643.0,-4.0,,,,,,,,,,,,,,,,,,,
