,name,github_id,category,resource,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,description,contributor_count,projectrank,show,latest_stable_release_published_at,latest_stable_release_number,release_count,pypi_id,conda_id,dockerhub_id,docs_url,labels,dependent_project_count,github_dependent_project_count,pypi_url,pypi_latest_release_published_at,pypi_dependent_project_count,pypi_monthly_downloads,monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,projectrank_placing,github_release_downloads,helm_id,npm_id,npm_url,npm_latest_release_published_at,npm_dependent_project_count,npm_monthly_downloads,conda_dependent_project_count,trending,brew_id,apt_id,yum_id,snap_id,maven_id,maven_url,maven_latest_release_published_at,maven_dependent_project_count,dnf_id,yay_id,new_addition,updated_github_id
0,ANN Benchmarks,erikbern/ann-benchmarks,nn-search,True,https://github.com/erikbern/ann-benchmarks,https://github.com/erikbern/ann-benchmarks,MIT,2015-05-28 13:21:43.000,2022-02-09 07:27:50.000000,2021-12-30 20:02:39,1265.0,18.0,418,97.0,179.0,38.0,76.0,2754,Benchmarks of approximate nearest neighbor libraries in Python.,67.0,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,best-of-web-python - Web Scraping,ml-tooling/best-of-web-python,web-scraping,True,https://github.com/ml-tooling/best-of-web-python,https://github.com/ml-tooling/best-of-web-python#web-scraping--crawling,CC-BY-SA-4.0,2021-01-05 13:09:27.000,2022-02-05 08:24:00.000000,2022-02-05 08:24:00,112.0,30.0,94,49.0,70.0,4.0,2.0,1428,Collection of web-scraping and crawling libraries.,8.0,0,True,2022-02-02 14:26:59.000,2022.01.27,32.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,best-of-python - Data Extraction,ml-tooling/best-of-python,data-loading,True,https://github.com/ml-tooling/best-of-python,https://github.com/ml-tooling/best-of-python#data-loading--extraction,CC-BY-SA-4.0,2021-01-11 19:11:32.000,2022-02-10 13:30:34.000000,2022-01-27 15:02:18,116.0,31.0,139,68.0,68.0,,4.0,1971,Collection of data-loading and -extraction libraries.,6.0,0,True,2022-01-27 15:02:25.000,2022.01.27,34.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,best-of-python - DB Clients,ml-tooling/best-of-python,db-clients,True,https://github.com/ml-tooling/best-of-python,https://github.com/ml-tooling/best-of-python#database-clients,CC-BY-SA-4.0,2021-01-11 19:11:32.000,2022-02-10 13:30:34.000000,2022-01-27 15:02:18,116.0,31.0,139,68.0,68.0,,4.0,1971,Collection of database clients for python.,6.0,0,True,2022-01-27 15:02:25.000,2022.01.27,34.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,Tensorflow,tensorflow/tensorflow,ml-frameworks,,https://github.com/tensorflow/tensorflow,https://github.com/tensorflow/tensorflow,Apache-2.0,2015-11-07 01:19:20.000,2022-02-10 13:50:24.269008,2022-02-10 12:19:40,125119.0,3917.0,86290,7914.0,19957.0,2514.0,31641.0,164784,An Open Source Machine Learning Framework for Everyone.,3910.0,55,True,2022-02-02 16:54:38.000,2.8.0,145.0,tensorflow,conda-forge/tensorflow,tensorflow/tensorflow,https://www.tensorflow.org/overview,['tensorflow'],193539.0,179621.0,https://pypi.org/project/tensorflow,2022-02-02 15:33:06.000,13918.0,16889668.0,17791492.0,https://anaconda.org/conda-forge/tensorflow,2022-02-06 08:03:30.812,3014992.0,https://hub.docker.com/r/tensorflow/tensorflow,2022-02-10 13:50:24.269008,1989.0,64452004.0,1.0,,,,,,,,,,,,,,,,,,,,,
5,pandas,pandas-dev/pandas,data-containers,,https://github.com/pandas-dev/pandas,https://github.com/pandas-dev/pandas,BSD-3-Clause,2010-08-24 01:37:33.000,2022-02-10 14:37:08.000000,2022-02-10 14:17:24,28964.0,818.0,13803,1105.0,23881.0,3396.0,18716.0,32672,"Flexible and powerful data analysis / manipulation library for Python, providing labeled data structures similar to R..",2921.0,52,True,2022-01-22 14:47:00.000,1.4.0,101.0,pandas,conda-forge/pandas,,,['pandas'],689956.0,632823.0,https://pypi.org/project/pandas,2022-01-22 14:47:00.000,57133.0,75701256.0,76031313.0,https://anaconda.org/conda-forge/pandas,2022-01-22 19:10:32.784,22677902.0,,,,,1.0,135099.0,,,,,,,,,,,,,,,,,,,,
6,scikit-learn,scikit-learn/scikit-learn,ml-frameworks,,https://github.com/scikit-learn/scikit-learn,https://github.com/scikit-learn/scikit-learn,BSD-3-Clause,2010-08-17 09:43:38.000,2022-02-10 13:53:14.000000,2022-02-10 13:40:59,27861.0,345.0,22434,2207.0,12836.0,2478.0,7478.0,48978,scikit-learn: machine learning in Python.,2477.0,50,True,2021-12-25 20:30:08.000,1.0.2,60.0,scikit-learn,conda-forge/scikit-learn,,,['sklearn'],335434.0,310958.0,https://pypi.org/project/scikit-learn,2021-12-25 20:30:08.000,24476.0,26548100.0,26709980.0,https://anaconda.org/conda-forge/scikit-learn,2021-12-26 01:02:52.879,11169057.0,,,,,1.0,769.0,,,,,,,,,,,,,,,,,,,,
7,numpy,numpy/numpy,data-containers,,https://github.com/numpy/numpy,https://github.com/numpy/numpy,BSD-3-Clause,2010-09-13 23:02:39.000,2022-02-10 12:11:25.000000,2022-02-10 12:11:24,29120.0,746.0,6495,560.0,10678.0,2337.0,8252.0,19594,The fundamental package for scientific computing with Python.,1398.0,50,True,2022-02-04 01:26:51.000,1.22.2,122.0,numpy,conda-forge/numpy,,,,1080279.0,963276.0,https://pypi.org/project/numpy,2022-02-04 00:30:48.000,117003.0,95648807.0,96068928.0,https://anaconda.org/conda-forge/numpy,2022-02-04 08:10:36.589,28486304.0,,,,,1.0,458467.0,,,,,,,,,,,,,,,,,,,,
8,PyTorch,pytorch/pytorch,ml-frameworks,,https://github.com/pytorch/pytorch,https://github.com/pytorch/pytorch,BSD-3-Clause,2016-08-13 05:26:41.000,2022-02-10 14:01:51.000000,2022-02-10 08:39:24,43692.0,1974.0,14865,1594.0,48087.0,11204.0,16802.0,53900,Tensors and Dynamic neural networks in Python with strong GPU acceleration.,3091.0,49,True,2022-01-27 21:51:23.000,1.10.2,38.0,torch,pytorch/pytorch,,https://pytorch.org/docs/stable/index.html,['pytorch'],6775.0,,https://pypi.org/project/torch,2022-01-27 19:29:53.000,6775.0,6034501.0,6329123.0,https://anaconda.org/pytorch/pytorch,2022-01-27 19:20:29.419,15024456.0,,,,,1.0,1688.0,,,,,,,,,,,,,,,,,,,,
9,Matplotlib,matplotlib/matplotlib,data-viz,,https://github.com/matplotlib/matplotlib,https://github.com/matplotlib/matplotlib,Python-2.0,2011-02-19 03:17:12.000,2022-02-10 13:01:57.000000,2022-02-09 20:47:23,42109.0,813.0,6167,572.0,14107.0,1738.0,6841.0,15010,matplotlib: plotting with Python.,1333.0,49,True,2021-12-11 08:22:08.000,3.5.1,90.0,matplotlib,conda-forge/matplotlib,,,,551443.0,499005.0,https://pypi.org/project/matplotlib,2021-12-11 08:22:08.000,52438.0,27070238.0,27212358.0,https://anaconda.org/conda-forge/matplotlib,2021-12-13 20:23:04.086,10943284.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,
