,name,github_id,category,resource,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,description,contributor_count,projectrank,show,latest_stable_release_published_at,latest_stable_release_number,release_count,pypi_id,conda_id,dockerhub_id,docs_url,labels,dependent_project_count,github_dependent_project_count,pypi_url,pypi_latest_release_published_at,pypi_dependent_project_count,pypi_monthly_downloads,monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,projectrank_placing,github_release_downloads,trending,helm_id,npm_id,npm_url,npm_latest_release_published_at,npm_dependent_project_count,npm_monthly_downloads,conda_dependent_project_count,brew_id,apt_id,yum_id,snap_id,maven_id,maven_url,maven_latest_release_published_at,maven_dependent_project_count,dnf_id,yay_id,updated_github_id,new_addition
0,ANN Benchmarks,erikbern/ann-benchmarks,nn-search,True,https://github.com/erikbern/ann-benchmarks,https://github.com/erikbern/ann-benchmarks,MIT,2015-05-28 13:21:43.000,2022-02-09 07:27:50.000000,2021-12-30 20:02:39,1265.0,15.0,419,97.0,179.0,39.0,77.0,2768,Benchmarks of approximate nearest neighbor libraries in Python.,67.0,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,best-of-web-python - Web Scraping,ml-tooling/best-of-web-python,web-scraping,True,https://github.com/ml-tooling/best-of-web-python,https://github.com/ml-tooling/best-of-web-python#web-scraping--crawling,CC-BY-SA-4.0,2021-01-05 13:09:27.000,2022-02-10 21:30:10.000000,2022-02-10 21:30:10,114.0,28.0,95,49.0,71.0,4.0,2.0,1433,Collection of web-scraping and crawling libraries.,8.0,0,True,2022-02-10 21:30:25.000,2022.02.10,33.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,best-of-python - Data Extraction,ml-tooling/best-of-python,data-loading,True,https://github.com/ml-tooling/best-of-python,https://github.com/ml-tooling/best-of-python#data-loading--extraction,CC-BY-SA-4.0,2021-01-11 19:11:32.000,2022-02-17 13:35:20.000000,2022-02-10 15:21:54,118.0,30.0,140,68.0,69.0,,4.0,1989,Collection of data-loading and -extraction libraries.,6.0,0,True,2022-02-10 15:21:27.000,2022.02.10,35.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,best-of-python - DB Clients,ml-tooling/best-of-python,db-clients,True,https://github.com/ml-tooling/best-of-python,https://github.com/ml-tooling/best-of-python#database-clients,CC-BY-SA-4.0,2021-01-11 19:11:32.000,2022-02-17 13:35:20.000000,2022-02-10 15:21:54,118.0,30.0,140,68.0,69.0,,4.0,1989,Collection of database clients for python.,6.0,0,True,2022-02-10 15:21:27.000,2022.02.10,35.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,Tensorflow,tensorflow/tensorflow,ml-frameworks,,https://github.com/tensorflow/tensorflow,https://github.com/tensorflow/tensorflow,Apache-2.0,2015-11-07 01:19:20.000,2022-02-17 13:47:41.147915,2022-02-17 10:50:38,125476.0,3888.0,86350,7908.0,19987.0,2525.0,31705.0,164945,An Open Source Machine Learning Framework for Everyone.,3918.0,55,True,2022-02-02 16:54:38.000,2.8.0,145.0,tensorflow,conda-forge/tensorflow,tensorflow/tensorflow,https://www.tensorflow.org/overview,['tensorflow'],194669.0,180751.0,https://pypi.org/project/tensorflow,2022-02-02 15:33:06.000,13918.0,16138757.0,17042672.0,https://anaconda.org/conda-forge/tensorflow,2022-02-06 08:03:30.812,3026905.0,https://hub.docker.com/r/tensorflow/tensorflow,2022-02-17 13:47:41.147915,1991.0,64596260.0,1.0,,,,,,,,,,,,,,,,,,,,,
5,pandas,pandas-dev/pandas,data-containers,,https://github.com/pandas-dev/pandas,https://github.com/pandas-dev/pandas,BSD-3-Clause,2010-08-24 01:37:33.000,2022-02-17 14:30:45.000000,2022-02-16 20:04:25,29013.0,808.0,13952,1106.0,23957.0,3406.0,18774.0,32772,"Flexible and powerful data analysis / manipulation library for Python, providing labeled data structures similar to R..",2927.0,52,True,2022-02-12 11:19:26.000,1.4.1,101.0,pandas,conda-forge/pandas,,,['pandas'],696427.0,638709.0,https://pypi.org/project/pandas,2022-01-22 14:47:00.000,57718.0,73575751.0,73908299.0,https://anaconda.org/conda-forge/pandas,2022-02-12 14:29:47.908,22849238.0,,,,,1.0,135858.0,,,,,,,,,,,,,,,,,,,,
6,scikit-learn,scikit-learn/scikit-learn,ml-frameworks,,https://github.com/scikit-learn/scikit-learn,https://github.com/scikit-learn/scikit-learn,BSD-3-Clause,2010-08-17 09:43:38.000,2022-02-17 14:05:55.000000,2022-02-17 14:02:24,27906.0,357.0,22434,2204.0,12891.0,2478.0,7498.0,49053,scikit-learn: machine learning in Python.,2492.0,50,True,2021-12-25 20:30:08.000,1.0.2,60.0,scikit-learn,conda-forge/scikit-learn,,,['sklearn'],338142.0,313666.0,https://pypi.org/project/scikit-learn,2021-12-25 20:30:08.000,24476.0,26783718.0,26946787.0,https://anaconda.org/conda-forge/scikit-learn,2021-12-26 01:02:52.879,11251004.0,,,,,1.0,770.0,,,,,,,,,,,,,,,,,,,,
7,numpy,numpy/numpy,data-containers,,https://github.com/numpy/numpy,https://github.com/numpy/numpy,BSD-3-Clause,2010-09-13 23:02:39.000,2022-02-17 11:19:51.000000,2022-02-16 23:05:14,29186.0,725.0,6495,560.0,10706.0,2337.0,8271.0,19648,The fundamental package for scientific computing with Python.,1402.0,50,True,2022-02-04 01:26:51.000,1.22.2,122.0,numpy,conda-forge/numpy,,,,1088619.0,971616.0,https://pypi.org/project/numpy,2022-02-04 00:30:48.000,117003.0,93709583.0,94134107.0,https://anaconda.org/conda-forge/numpy,2022-02-04 08:10:36.589,28785638.0,,,,,1.0,462497.0,,,,,,,,,,,,,,,,,,,,
8,PyTorch,pytorch/pytorch,ml-frameworks,,https://github.com/pytorch/pytorch,https://github.com/pytorch/pytorch,BSD-3-Clause,2016-08-13 05:26:41.000,2022-02-17 14:01:48.000000,2022-02-17 08:36:38,43886.0,2004.0,14912,1596.0,48339.0,11242.0,16864.0,54035,Tensors and Dynamic neural networks in Python with strong GPU acceleration.,3101.0,49,True,2022-01-27 21:51:23.000,1.10.2,38.0,torch,pytorch/pytorch,,https://pytorch.org/docs/stable/index.html,['pytorch'],6775.0,,https://pypi.org/project/torch,2022-01-27 19:29:53.000,6775.0,6176151.0,6472668.0,https://anaconda.org/pytorch/pytorch,2022-01-27 19:20:29.419,15120946.0,,,,,1.0,1855.0,,,,,,,,,,,,,,,,,,,,
9,scipy,scipy/scipy,others,,https://github.com/scipy/scipy,https://github.com/scipy/scipy,BSD-3-Clause,2011-03-09 18:52:03.000,2022-02-17 13:50:42.000000,2022-02-17 08:43:17,27307.0,565.0,4086,332.0,7696.0,1852.0,6418.0,9226,"Ecosystem of open-source software for mathematics, science, and engineering.",1234.0,49,True,2022-02-05 23:29:16.000,1.8.0,77.0,scipy,conda-forge/scipy,,,,517524.0,461166.0,https://pypi.org/project/scipy,2022-02-05 22:53:25.000,56358.0,35999420.0,36304787.0,https://anaconda.org/conda-forge/scipy,2022-02-09 01:10:04.440,20774435.0,,,,,1.0,338902.0,,,,,,,,,,,,,,,,,,,,
