,name,github_id,category,resource,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,description,contributor_count,projectrank,show,latest_stable_release_published_at,latest_stable_release_number,release_count,pypi_id,conda_id,dockerhub_id,docs_url,labels,dependent_project_count,github_dependent_project_count,pypi_url,pypi_latest_release_published_at,pypi_dependent_project_count,pypi_monthly_downloads,monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,projectrank_placing,github_release_downloads,helm_id,trending,npm_id,npm_url,npm_latest_release_published_at,npm_dependent_project_count,npm_monthly_downloads,conda_dependent_project_count,brew_id,apt_id,yum_id,updated_github_id,snap_id,maven_id,maven_url,maven_latest_release_published_at,maven_dependent_project_count,dnf_id,yay_id
0,ANN Benchmarks,erikbern/ann-benchmarks,nn-search,True,https://github.com/erikbern/ann-benchmarks,https://github.com/erikbern/ann-benchmarks,MIT,2015-05-28 13:21:43.000,2022-02-23 14:38:31.000000,2022-02-23 14:38:31,1267.0,15.0,420,97.0,179.0,39.0,77.0,2773,Benchmarks of approximate nearest neighbor libraries in Python.,68.0,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,best-of-web-python - Web Scraping,ml-tooling/best-of-web-python,web-scraping,True,https://github.com/ml-tooling/best-of-web-python,https://github.com/ml-tooling/best-of-web-python#web-scraping--crawling,CC-BY-SA-4.0,2021-01-05 13:09:27.000,2022-02-19 17:48:45.000000,2022-02-19 17:48:44,116.0,30.0,96,49.0,72.0,4.0,2.0,1439,Collection of web-scraping and crawling libraries.,8.0,0,True,2022-02-19 17:48:53.000,2022.02.17,34.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,best-of-python - Data Extraction,ml-tooling/best-of-python,data-loading,True,https://github.com/ml-tooling/best-of-python,https://github.com/ml-tooling/best-of-python#data-loading--extraction,CC-BY-SA-4.0,2021-01-11 19:11:32.000,2022-02-24 13:32:31.000000,2022-02-19 17:49:35,120.0,30.0,141,68.0,70.0,,4.0,1997,Collection of data-loading and -extraction libraries.,6.0,0,True,2022-02-19 17:49:44.000,2022.02.17,36.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,best-of-python - DB Clients,ml-tooling/best-of-python,db-clients,True,https://github.com/ml-tooling/best-of-python,https://github.com/ml-tooling/best-of-python#database-clients,CC-BY-SA-4.0,2021-01-11 19:11:32.000,2022-02-24 13:32:31.000000,2022-02-19 17:49:35,120.0,30.0,141,68.0,70.0,,4.0,1997,Collection of database clients for python.,6.0,0,True,2022-02-19 17:49:44.000,2022.02.17,36.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,Tensorflow,tensorflow/tensorflow,ml-frameworks,,https://github.com/tensorflow/tensorflow,https://github.com/tensorflow/tensorflow,Apache-2.0,2015-11-07 01:19:20.000,2022-02-24 14:07:48.000000,2022-02-24 14:06:58,125713.0,3863.0,86350,7906.0,20020.0,2525.0,31764.0,165102,An Open Source Machine Learning Framework for Everyone.,3924.0,55,True,2022-02-02 16:54:38.000,2.8.0,145.0,tensorflow,conda-forge/tensorflow,tensorflow/tensorflow,https://www.tensorflow.org/overview,['tensorflow'],195914.0,181996.0,https://pypi.org/project/tensorflow,2022-02-02 15:33:06.000,13918.0,15842091.0,16747981.0,https://anaconda.org/conda-forge/tensorflow,2022-02-06 08:03:30.812,3038341.0,https://hub.docker.com/r/tensorflow/tensorflow,2022-02-24 13:47:38.901616,1993.0,64732275.0,1.0,,,,,,,,,,,,,,,,,,,,
5,pandas,pandas-dev/pandas,data-containers,,https://github.com/pandas-dev/pandas,https://github.com/pandas-dev/pandas,BSD-3-Clause,2010-08-24 01:37:33.000,2022-02-24 13:57:11.000000,2022-02-24 03:07:27,29032.0,747.0,13952,1101.0,24018.0,3406.0,18802.0,32851,"Flexible and powerful data analysis / manipulation library for Python, providing labeled data structures similar to R..",2930.0,52,True,2022-02-12 11:19:26.000,1.4.1,101.0,pandas,conda-forge/pandas,,,['pandas'],702732.0,645014.0,https://pypi.org/project/pandas,2022-01-22 14:47:00.000,57718.0,74587187.0,74922107.0,https://anaconda.org/conda-forge/pandas,2022-02-12 14:29:47.908,23012162.0,,,,,1.0,136880.0,,,,,,,,,,,,,,,,,,,
6,scikit-learn,scikit-learn/scikit-learn,ml-frameworks,,https://github.com/scikit-learn/scikit-learn,https://github.com/scikit-learn/scikit-learn,BSD-3-Clause,2010-08-17 09:43:38.000,2022-02-24 13:34:28.000000,2022-02-24 00:00:04,27933.0,345.0,22434,2201.0,12940.0,2478.0,7514.0,49131,scikit-learn: machine learning in Python.,2496.0,50,True,2021-12-25 20:30:08.000,1.0.2,60.0,scikit-learn,conda-forge/scikit-learn,,,['sklearn'],341219.0,316743.0,https://pypi.org/project/scikit-learn,2021-12-25 20:30:08.000,24476.0,27026837.0,27191113.0,https://anaconda.org/conda-forge/scikit-learn,2021-12-26 01:02:52.879,11334304.0,,,,,1.0,772.0,,,,,,,,,,,,,,,,,,,
7,numpy,numpy/numpy,data-containers,,https://github.com/numpy/numpy,https://github.com/numpy/numpy,BSD-3-Clause,2010-09-13 23:02:39.000,2022-02-23 22:48:47.000000,2022-02-23 16:02:11,29226.0,724.0,6495,559.0,10729.0,2337.0,8329.0,19731,The fundamental package for scientific computing with Python.,1403.0,50,True,2022-02-04 01:26:51.000,1.22.2,122.0,numpy,conda-forge/numpy,,,,1097406.0,980403.0,https://pypi.org/project/numpy,2022-02-04 00:30:48.000,117003.0,97187797.0,97616397.0,https://anaconda.org/conda-forge/numpy,2022-02-04 08:10:36.589,29062412.0,,,,,1.0,466611.0,,,,,,,,,,,,,,,,,,,
8,PyTorch,pytorch/pytorch,ml-frameworks,,https://github.com/pytorch/pytorch,https://github.com/pytorch/pytorch,BSD-3-Clause,2016-08-13 05:26:41.000,2022-02-24 14:01:51.000000,2022-02-24 09:31:16,44037.0,2060.0,14912,1593.0,48563.0,11242.0,16924.0,54178,Tensors and Dynamic neural networks in Python with strong GPU acceleration.,3113.0,49,True,2022-01-27 21:51:23.000,1.10.2,38.0,torch,pytorch/pytorch,,https://pytorch.org/docs/stable/index.html,['pytorch'],6775.0,,https://pypi.org/project/torch,2022-01-27 19:29:53.000,6775.0,6625422.0,6923987.0,https://anaconda.org/pytorch/pytorch,2022-01-27 19:20:29.419,15225171.0,,,,,1.0,2177.0,,,,,,,,,,,,,,,,,,,
9,Matplotlib,matplotlib/matplotlib,data-viz,,https://github.com/matplotlib/matplotlib,https://github.com/matplotlib/matplotlib,Python-2.0,2011-02-19 03:17:12.000,2022-02-24 14:14:27.000000,2022-02-24 04:39:10,42269.0,794.0,6167,574.0,14178.0,1738.0,6872.0,15078,matplotlib: plotting with Python.,1339.0,49,True,2021-12-11 08:22:08.000,3.5.1,90.0,matplotlib,conda-forge/matplotlib,,,,559363.0,506925.0,https://pypi.org/project/matplotlib,2021-12-11 08:22:08.000,52438.0,24064841.0,24208688.0,https://anaconda.org/conda-forge/matplotlib,2021-12-13 20:23:04.086,11076238.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,
