,name,github_id,category,resource,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,description,contributor_count,projectrank,show,latest_stable_release_published_at,latest_stable_release_number,release_count,pypi_id,conda_id,labels,github_release_downloads,monthly_downloads,dependent_project_count,github_dependent_project_count,pypi_url,pypi_latest_release_published_at,pypi_dependent_project_count,pypi_monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,projectrank_placing,docs_url,dockerhub_id,helm_id,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,trending,npm_id,npm_url,npm_latest_release_published_at,npm_dependent_project_count,npm_monthly_downloads,conda_dependent_project_count,brew_id,apt_id,yum_id,updated_github_id,snap_id,maven_id,maven_url,maven_latest_release_published_at,maven_dependent_project_count,dnf_id,yay_id
0,ANN Benchmarks,erikbern/ann-benchmarks,nn-search,True,https://github.com/erikbern/ann-benchmarks,https://github.com/erikbern/ann-benchmarks,MIT,2015-05-28 13:21:43.000,2022-02-25 18:48:46.000000,2022-02-25 03:08:10,1268.0,12.0,420,97.0,180.0,39.0,77.0,2784,Benchmarks of approximate nearest neighbor libraries in Python.,69.0,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,best-of-web-python - Web Scraping,ml-tooling/best-of-web-python,web-scraping,True,https://github.com/ml-tooling/best-of-web-python,https://github.com/ml-tooling/best-of-web-python#web-scraping--crawling,CC-BY-SA-4.0,2021-01-05 13:09:27.000,2022-02-24 16:36:35.000000,2022-02-19 17:48:44,116.0,28.0,96,48.0,73.0,4.0,2.0,1446,Collection of web-scraping and crawling libraries.,8.0,0,True,2022-02-19 17:48:53.000,2022.02.17,34.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,best-of-python - Data Extraction,ml-tooling/best-of-python,data-loading,True,https://github.com/ml-tooling/best-of-python,https://github.com/ml-tooling/best-of-python#data-loading--extraction,CC-BY-SA-4.0,2021-01-11 19:11:32.000,2022-03-03 13:34:39.000000,2022-02-19 17:49:35,120.0,28.0,141,68.0,71.0,,4.0,2003,Collection of data-loading and -extraction libraries.,6.0,0,True,2022-02-19 17:49:44.000,2022.02.17,36.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,best-of-python - DB Clients,ml-tooling/best-of-python,db-clients,True,https://github.com/ml-tooling/best-of-python,https://github.com/ml-tooling/best-of-python#database-clients,CC-BY-SA-4.0,2021-01-11 19:11:32.000,2022-03-03 13:34:39.000000,2022-02-19 17:49:35,120.0,28.0,141,68.0,71.0,,4.0,2003,Collection of database clients for python.,6.0,0,True,2022-02-19 17:49:44.000,2022.02.17,36.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,pandas,pandas-dev/pandas,data-containers,,https://github.com/pandas-dev/pandas,https://github.com/pandas-dev/pandas,BSD-3-Clause,2010-08-24 01:37:33.000,2022-03-03 14:37:44.000000,2022-03-03 00:17:33,29100.0,741.0,13952,1100.0,24064.0,3406.0,18828.0,32920,"Flexible and powerful data analysis / manipulation library for Python, providing labeled data structures similar to R..",2934.0,52,True,2022-02-12 11:19:26.000,1.4.1,101.0,pandas,conda-forge/pandas,['pandas'],137567.0,76589211.0,708924.0,651206.0,https://pypi.org/project/pandas,2022-01-22 14:47:00.000,57718.0,76257164.0,https://anaconda.org/conda-forge/pandas,2022-02-12 14:29:47.908,23145092.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
5,scikit-learn,scikit-learn/scikit-learn,ml-frameworks,,https://github.com/scikit-learn/scikit-learn,https://github.com/scikit-learn/scikit-learn,BSD-3-Clause,2010-08-17 09:43:38.000,2022-03-03 13:56:28.000000,2022-03-03 09:41:52,27975.0,353.0,22434,2196.0,12986.0,2478.0,7540.0,49191,scikit-learn: machine learning in Python.,2508.0,50,True,2021-12-25 20:30:08.000,1.0.2,60.0,scikit-learn,conda-forge/scikit-learn,['sklearn'],775.0,27496350.0,344019.0,319543.0,https://pypi.org/project/scikit-learn,2021-12-25 20:30:08.000,24476.0,27333451.0,https://anaconda.org/conda-forge/scikit-learn,2021-12-26 01:02:52.879,11402237.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
6,numpy,numpy/numpy,data-containers,,https://github.com/numpy/numpy,https://github.com/numpy/numpy,BSD-3-Clause,2010-09-13 23:02:39.000,2022-03-03 10:30:23.000000,2022-03-03 06:59:18,29248.0,712.0,6495,559.0,10753.0,2337.0,8346.0,19782,The fundamental package for scientific computing with Python.,1406.0,50,True,2022-02-04 01:26:51.000,1.22.2,122.0,numpy,conda-forge/numpy,,470177.0,99770304.0,1106004.0,989001.0,https://pypi.org/project/numpy,2022-02-04 00:30:48.000,117003.0,99344653.0,https://anaconda.org/conda-forge/numpy,2022-02-04 08:10:36.589,29281406.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
7,PyTorch,pytorch/pytorch,ml-frameworks,,https://github.com/pytorch/pytorch,https://github.com/pytorch/pytorch,BSD-3-Clause,2016-08-13 05:26:41.000,2022-03-03 14:01:58.000000,2022-03-03 08:35:50,44221.0,2050.0,14912,1594.0,48813.0,11242.0,17073.0,54319,Tensors and Dynamic neural networks in Python with strong GPU acceleration.,3127.0,49,True,2022-01-27 21:51:23.000,1.10.2,38.0,torch,pytorch/pytorch,['pytorch'],2352.0,7334604.0,6775.0,,https://pypi.org/project/torch,2022-01-27 19:29:53.000,6775.0,7039567.0,https://anaconda.org/pytorch/pytorch,2022-01-27 19:20:29.419,15340126.0,1.0,https://pytorch.org/docs/stable/index.html,,,,,,,,,,,,,,,,,,,,,,,,
8,Matplotlib,matplotlib/matplotlib,data-viz,,https://github.com/matplotlib/matplotlib,https://github.com/matplotlib/matplotlib,Python-2.0,2011-02-19 03:17:12.000,2022-03-03 11:18:58.000000,2022-03-03 04:42:37,42302.0,759.0,6167,572.0,14201.0,1738.0,6883.0,15103,matplotlib: plotting with Python.,1341.0,49,True,2021-12-11 08:22:08.000,3.5.1,90.0,matplotlib,conda-forge/matplotlib,,,24608224.0,563119.0,510681.0,https://pypi.org/project/matplotlib,2021-12-11 08:22:08.000,52438.0,24465494.0,https://anaconda.org/conda-forge/matplotlib,2021-12-13 20:23:04.086,11132959.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
9,scipy,scipy/scipy,others,,https://github.com/scipy/scipy,https://github.com/scipy/scipy,BSD-3-Clause,2011-03-09 18:52:03.000,2022-03-03 04:12:01.000000,2022-03-02 10:22:26,27427.0,585.0,4086,331.0,7736.0,1852.0,6476.0,9285,"Ecosystem of open-source software for mathematics, science, and engineering.",1246.0,49,True,2022-02-05 23:29:16.000,1.8.0,77.0,scipy,conda-forge/scipy,,339690.0,36941422.0,525198.0,468840.0,https://pypi.org/project/scipy,2022-02-05 22:53:25.000,56358.0,36636655.0,https://anaconda.org/conda-forge/scipy,2022-02-09 01:10:04.440,21036537.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
