,name,github_id,category,resource,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,description,contributor_count,projectrank,show,latest_stable_release_published_at,latest_stable_release_number,release_count,pypi_id,conda_id,dockerhub_id,docs_url,labels,dependent_project_count,github_dependent_project_count,pypi_url,pypi_latest_release_published_at,pypi_dependent_project_count,pypi_monthly_downloads,monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,projectrank_placing,github_release_downloads,helm_id,npm_id,npm_url,npm_latest_release_published_at,npm_dependent_project_count,npm_monthly_downloads,conda_dependent_project_count,trending,updated_github_id,brew_id,apt_id,yum_id,maven_id,maven_url,maven_latest_release_published_at,maven_dependent_project_count,snap_id,dnf_id,yay_id
0,ANN Benchmarks,erikbern/ann-benchmarks,nn-search,True,https://github.com/erikbern/ann-benchmarks,https://github.com/erikbern/ann-benchmarks,MIT,2015-05-28 13:21:43.000,2022-03-09 19:05:22.000000,2022-03-07 14:19:56,1269.0,12.0,422,97.0,181.0,38.0,78.0,2791,Benchmarks of approximate nearest neighbor libraries in Python.,69.0,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,best-of-web-python - Web Scraping,ml-tooling/best-of-web-python,web-scraping,True,https://github.com/ml-tooling/best-of-web-python,https://github.com/ml-tooling/best-of-web-python#web-scraping--crawling,CC-BY-SA-4.0,2021-01-05 13:09:27.000,2022-03-03 16:36:35.000000,2022-02-19 17:48:44,116.0,26.0,99,48.0,74.0,4.0,2.0,1453,Collection of web-scraping and crawling libraries.,8.0,0,True,2022-02-19 17:48:53.000,2022.02.17,34.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,best-of-python - Data Extraction,ml-tooling/best-of-python,data-loading,True,https://github.com/ml-tooling/best-of-python,https://github.com/ml-tooling/best-of-python#data-loading--extraction,CC-BY-SA-4.0,2021-01-11 19:11:32.000,2022-03-10 13:36:31.000000,2022-02-19 17:49:35,120.0,28.0,142,68.0,72.0,,4.0,2011,Collection of data-loading and -extraction libraries.,6.0,0,True,2022-02-19 17:49:44.000,2022.02.17,36.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,best-of-python - DB Clients,ml-tooling/best-of-python,db-clients,True,https://github.com/ml-tooling/best-of-python,https://github.com/ml-tooling/best-of-python#database-clients,CC-BY-SA-4.0,2021-01-11 19:11:32.000,2022-03-10 13:36:31.000000,2022-02-19 17:49:35,120.0,28.0,142,68.0,72.0,,4.0,2011,Collection of database clients for python.,6.0,0,True,2022-02-19 17:49:44.000,2022.02.17,36.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,Tensorflow,tensorflow/tensorflow,ml-frameworks,,https://github.com/tensorflow/tensorflow,https://github.com/tensorflow/tensorflow,Apache-2.0,2015-11-07 01:19:20.000,2022-03-10 14:01:44.000000,2022-03-10 11:48:19,126317.0,3731.0,86350,7898.0,20586.0,2525.0,31885.0,165466,An Open Source Machine Learning Framework for Everyone.,3938.0,54,True,2022-02-02 16:54:38.000,2.8.0,145.0,tensorflow,conda-forge/tensorflow,tensorflow/tensorflow,https://www.tensorflow.org/overview,['tensorflow'],198501.0,184583.0,https://pypi.org/project/tensorflow,2022-02-02 15:33:06.000,13918.0,15409522.0,16305697.0,https://anaconda.org/conda-forge/tensorflow,2022-02-06 08:03:30.812,3060005.0,https://hub.docker.com/r/tensorflow/tensorflow,2022-03-10 13:48:38.305441,1996.0,64879355.0,1.0,,,,,,,,,,,,,,,,,,,,
5,pandas,pandas-dev/pandas,data-containers,,https://github.com/pandas-dev/pandas,https://github.com/pandas-dev/pandas,BSD-3-Clause,2010-08-24 01:37:33.000,2022-03-10 14:24:32.000000,2022-03-09 14:22:09,29138.0,723.0,13952,1098.0,24125.0,3406.0,18849.0,32985,"Flexible and powerful data analysis / manipulation library for Python, providing labeled data structures similar to R..",2943.0,52,True,2022-02-12 11:19:26.000,1.4.1,101.0,pandas,conda-forge/pandas,,,['pandas'],716787.0,659069.0,https://pypi.org/project/pandas,2022-01-22 14:47:00.000,57718.0,77601178.0,77935197.0,https://anaconda.org/conda-forge/pandas,2022-02-12 14:29:47.908,23282632.0,,,,,1.0,138219.0,,,,,,,,,,,,,,,,,,,
6,scikit-learn,scikit-learn/scikit-learn,ml-frameworks,,https://github.com/scikit-learn/scikit-learn,https://github.com/scikit-learn/scikit-learn,BSD-3-Clause,2010-08-17 09:43:38.000,2022-03-10 14:04:14.000000,2022-03-10 12:47:49,28006.0,361.0,22434,2195.0,13042.0,2478.0,7552.0,49281,scikit-learn: machine learning in Python.,2515.0,51,True,2021-12-25 20:30:08.000,1.0.2,60.0,scikit-learn,conda-forge/scikit-learn,,,['sklearn'],347122.0,322646.0,https://pypi.org/project/scikit-learn,2021-12-25 20:30:08.000,24476.0,27713431.0,27877285.0,https://anaconda.org/conda-forge/scikit-learn,2021-12-26 01:02:52.879,11469098.0,,,,,1.0,776.0,,,,,,,,,,,,,,,,,,,
7,numpy,numpy/numpy,data-containers,,https://github.com/numpy/numpy,https://github.com/numpy/numpy,BSD-3-Clause,2010-09-13 23:02:39.000,2022-03-10 04:43:41.000000,2022-03-09 21:40:01,29271.0,652.0,6659,559.0,10766.0,2284.0,8353.0,19839,The fundamental package for scientific computing with Python.,1408.0,50,True,2022-03-07 23:20:19.000,1.22.3,123.0,numpy,conda-forge/numpy,,,,1118148.0,999955.0,https://pypi.org/project/numpy,2022-03-07 22:39:39.000,118193.0,100516572.0,100945676.0,https://anaconda.org/conda-forge/numpy,2022-03-08 06:11:22.049,29519145.0,,,,,1.0,473782.0,,,,,,,,,,,,,,,,,,,
8,PyTorch,pytorch/pytorch,ml-frameworks,,https://github.com/pytorch/pytorch,https://github.com/pytorch/pytorch,BSD-3-Clause,2016-08-13 05:26:41.000,2022-03-10 14:03:19.000000,2022-03-10 08:45:53,44377.0,2044.0,14912,1597.0,49017.0,11242.0,17141.0,54489,Tensors and Dynamic neural networks in Python with strong GPU acceleration.,3134.0,49,True,2022-01-27 21:51:23.000,1.10.2,38.0,torch,pytorch/pytorch,,https://pytorch.org/docs/stable/index.html,['pytorch'],6775.0,,https://pypi.org/project/torch,2022-01-27 19:29:53.000,6775.0,7260734.0,7557934.0,https://anaconda.org/pytorch/pytorch,2022-03-09 22:40:18.055,15452516.0,,,,,1.0,2500.0,,,,,,,,,,,,,,,,,,,
9,Matplotlib,matplotlib/matplotlib,data-viz,,https://github.com/matplotlib/matplotlib,https://github.com/matplotlib/matplotlib,Python-2.0,2011-02-19 03:17:12.000,2022-03-10 10:40:30.000000,2022-03-10 10:40:30,42364.0,738.0,6167,572.0,14228.0,1738.0,6904.0,15134,matplotlib: plotting with Python.,1342.0,49,True,2021-12-11 08:22:08.000,3.5.1,90.0,matplotlib,conda-forge/matplotlib,,,,568244.0,515806.0,https://pypi.org/project/matplotlib,2021-12-11 08:22:08.000,52438.0,24315675.0,24459155.0,https://anaconda.org/conda-forge/matplotlib,2021-12-13 20:23:04.086,11191503.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,
