,name,github_id,category,resource,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,description,contributor_count,projectrank,show,latest_stable_release_published_at,latest_stable_release_number,release_count,pypi_id,conda_id,dockerhub_id,docs_url,labels,dependent_project_count,github_dependent_project_count,pypi_url,pypi_latest_release_published_at,pypi_dependent_project_count,pypi_monthly_downloads,monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,projectrank_placing,github_release_downloads,helm_id,npm_id,npm_url,npm_latest_release_published_at,npm_dependent_project_count,npm_monthly_downloads,trending,conda_dependent_project_count,brew_id,apt_id,yum_id,updated_github_id,maven_id,maven_url,maven_latest_release_published_at,maven_dependent_project_count,dnf_id,yay_id,snap_id
0,ANN Benchmarks,erikbern/ann-benchmarks,nn-search,True,https://github.com/erikbern/ann-benchmarks,https://github.com/erikbern/ann-benchmarks,MIT,2015-05-28 13:21:43.000,2022-03-09 19:05:22.000000,2022-03-07 14:19:56,1269,10.0,430,97.0,181.0,39.0,79.0,2809,Benchmarks of approximate nearest neighbor libraries in Python.,69.0,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,best-of-web-python - Web Scraping,ml-tooling/best-of-web-python,web-scraping,True,https://github.com/ml-tooling/best-of-web-python,https://github.com/ml-tooling/best-of-web-python#web-scraping--crawling,CC-BY-SA-4.0,2021-01-05 13:09:27.000,2022-03-17 16:37:24.000000,2022-02-19 17:48:44,116,22.0,101,46.0,76.0,4.0,2.0,1466,Collection of web-scraping and crawling libraries.,8.0,0,True,2022-02-19 17:48:53.000,2022.02.17,34.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,best-of-python - Data Extraction,ml-tooling/best-of-python,data-loading,True,https://github.com/ml-tooling/best-of-python,https://github.com/ml-tooling/best-of-python#data-loading--extraction,CC-BY-SA-4.0,2021-01-11 19:11:32.000,2022-03-24 13:38:44.000000,2022-02-19 17:49:35,120,24.0,146,70.0,74.0,,4.0,2043,Collection of data-loading and -extraction libraries.,6.0,0,True,2022-02-19 17:49:44.000,2022.02.17,36.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,best-of-python - DB Clients,ml-tooling/best-of-python,db-clients,True,https://github.com/ml-tooling/best-of-python,https://github.com/ml-tooling/best-of-python#database-clients,CC-BY-SA-4.0,2021-01-11 19:11:32.000,2022-03-24 13:38:44.000000,2022-02-19 17:49:35,120,24.0,146,70.0,74.0,,4.0,2043,Collection of database clients for python.,6.0,0,True,2022-02-19 17:49:44.000,2022.02.17,36.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,Tensorflow,tensorflow/tensorflow,ml-frameworks,,https://github.com/tensorflow/tensorflow,https://github.com/tensorflow/tensorflow,Apache-2.0,2015-11-07 01:19:20.000,2022-03-24 14:02:14.000000,2022-03-24 14:02:08,126851,3680.0,86489,7893.0,20651.0,2644.0,32016.0,165806,An Open Source Machine Learning Framework for Everyone.,3946.0,54,True,2022-02-02 16:54:38.000,2.8.0,145.0,tensorflow,conda-forge/tensorflow,tensorflow/tensorflow,https://www.tensorflow.org/overview,['tensorflow'],200966.0,187048.0,https://pypi.org/project/tensorflow,2022-02-02 15:33:06.000,13918.0,15676051.0,16574666.0,https://anaconda.org/conda-forge/tensorflow,2022-02-06 08:03:30.812,3140078.0,https://hub.docker.com/r/tensorflow/tensorflow,2022-03-24 13:34:16.270163,2000.0,64980229.0,1.0,,,,,,,,,,,,,,,,,,,,
5,pandas,pandas-dev/pandas,data-containers,,https://github.com/pandas-dev/pandas,https://github.com/pandas-dev/pandas,BSD-3-Clause,2010-08-24 01:37:33.000,2022-03-24 14:26:48.000000,2022-03-24 14:26:47,29231,698.0,14123,1101.0,24241.0,3413.0,18913.0,33138,"Flexible and powerful data analysis / manipulation library for Python, providing labeled data structures similar to R..",2950.0,52,True,2022-02-12 11:19:26.000,1.4.1,101.0,pandas,conda-forge/pandas,,,['pandas'],730366.0,671810.0,https://pypi.org/project/pandas,2022-01-22 14:47:00.000,58556.0,80829687.0,81168437.0,https://anaconda.org/conda-forge/pandas,2022-02-12 14:29:47.908,23612707.0,,,,,1.0,139756.0,,,,,,,,,,,,,,,,,,,
6,scikit-learn,scikit-learn/scikit-learn,ml-frameworks,,https://github.com/scikit-learn/scikit-learn,https://github.com/scikit-learn/scikit-learn,BSD-3-Clause,2010-08-17 09:43:38.000,2022-03-24 14:05:10.000000,2022-03-24 13:23:56,28124,432.0,22803,2194.0,13177.0,2415.0,7616.0,49458,scikit-learn: machine learning in Python.,2542.0,51,True,2021-12-25 20:30:08.000,1.0.2,60.0,scikit-learn,conda-forge/scikit-learn,,,['sklearn'],353190.0,328250.0,https://pypi.org/project/scikit-learn,2021-12-25 20:30:08.000,24940.0,29684533.0,29850813.0,https://anaconda.org/conda-forge/scikit-learn,2021-12-26 01:02:52.879,11638964.0,,,,,1.0,779.0,,,,,,,,,,,,,,,,,,,
7,numpy,numpy/numpy,data-containers,,https://github.com/numpy/numpy,https://github.com/numpy/numpy,BSD-3-Clause,2010-09-13 23:02:39.000,2022-03-24 14:29:35.000000,2022-03-23 20:13:50,29341,618.0,6659,562.0,10794.0,2284.0,8376.0,19956,The fundamental package for scientific computing with Python.,1414.0,50,True,2022-03-07 23:20:19.000,1.22.3,123.0,numpy,conda-forge/numpy,,,,1135592.0,1017399.0,https://pypi.org/project/numpy,2022-03-07 22:39:39.000,118193.0,103241463.0,103678575.0,https://anaconda.org/conda-forge/numpy,2022-03-08 06:11:22.049,30071912.0,,,,,1.0,480939.0,,,,,,,,,,,,,,,,,,,
8,transformers,huggingface/transformers,nlp,,https://github.com/huggingface/transformers,https://github.com/huggingface/transformers,Apache-2.0,2018-10-29 13:56:00.000,2022-03-24 13:45:30.000000,2022-03-24 13:45:30,9370,793.0,14068,798.0,7407.0,469.0,8568.0,59879,"Transformers: State-of-the-art Machine Learning for Pytorch, TensorFlow, and JAX.",1225.0,49,True,2022-03-03 15:19:06.000,4.17.0,88.0,transformers,conda-forge/transformers,,,"['pytorch', 'tensorflow']",25295.0,24493.0,https://pypi.org/project/transformers,2022-03-03 15:15:23.000,802.0,5157909.0,5162059.0,https://anaconda.org/conda-forge/transformers,2022-01-31 21:40:31.059,119316.0,,,,,1.0,1469.0,,,,,,,,,,,,,,,,,,,
9,PyTorch,pytorch/pytorch,ml-frameworks,,https://github.com/pytorch/pytorch,https://github.com/pytorch/pytorch,BSD-3-Clause,2016-08-13 05:26:41.000,2022-03-24 14:03:08.000000,2022-03-24 12:41:17,44728,2080.0,15083,1603.0,49453.0,11368.0,17242.0,54835,Tensors and Dynamic neural networks in Python with strong GPU acceleration.,3159.0,49,True,2022-03-10 16:59:55.000,1.11.0,39.0,torch,pytorch/pytorch,,https://pytorch.org/docs/stable/index.html,['pytorch'],6959.0,,https://pypi.org/project/torch,2022-03-10 16:38:35.000,6959.0,7852557.0,10471660.0,https://anaconda.org/pytorch/pytorch,2022-03-10 16:43:32.673,15714372.0,,,,,1.0,2718.0,,,,,,,,,,,,,,,,,,,
