,name,github_id,category,resource,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,description,contributor_count,projectrank,show,latest_stable_release_published_at,latest_stable_release_number,release_count,pypi_id,conda_id,dockerhub_id,docs_url,labels,dependent_project_count,github_dependent_project_count,pypi_url,pypi_latest_release_published_at,pypi_dependent_project_count,pypi_monthly_downloads,monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,projectrank_placing,github_release_downloads,helm_id,trending,npm_id,npm_url,npm_latest_release_published_at,npm_dependent_project_count,npm_monthly_downloads,conda_dependent_project_count,brew_id,apt_id,yum_id,updated_github_id,maven_id,maven_url,maven_latest_release_published_at,maven_dependent_project_count,snap_id,dnf_id,yay_id
0,ANN Benchmarks,erikbern/ann-benchmarks,nn-search,True,https://github.com/erikbern/ann-benchmarks,https://github.com/erikbern/ann-benchmarks,MIT,2015-05-28 13:21:43.000,2022-04-14 00:50:12.000000,2022-03-07 14:19:56,1269.0,4.0,434,96.0,181.0,39.0,79.0,2839,Benchmarks of approximate nearest neighbor libraries in Python.,69.0,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,best-of-web-python - Web Scraping,ml-tooling/best-of-web-python,web-scraping,True,https://github.com/ml-tooling/best-of-web-python,https://github.com/ml-tooling/best-of-web-python#web-scraping--crawling,CC-BY-SA-4.0,2021-01-05 13:09:27.000,2022-04-20 21:14:31.000000,2022-04-20 21:14:30,118.0,10.0,107,46.0,80.0,4.0,2.0,1488,Collection of web-scraping and crawling libraries.,8.0,0,True,2022-04-20 21:14:37.000,2022.04.14,35.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,best-of-python - Data Extraction,ml-tooling/best-of-python,data-loading,True,https://github.com/ml-tooling/best-of-python,https://github.com/ml-tooling/best-of-python#data-loading--extraction,CC-BY-SA-4.0,2021-01-11 19:11:32.000,2022-04-21 13:45:24.000000,2022-04-20 21:13:43,125.0,11.0,149,70.0,79.0,,4.0,2098,Collection of data-loading and -extraction libraries.,7.0,0,True,2022-04-20 21:13:50.000,2022.04.14,37.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,best-of-python - DB Clients,ml-tooling/best-of-python,db-clients,True,https://github.com/ml-tooling/best-of-python,https://github.com/ml-tooling/best-of-python#database-clients,CC-BY-SA-4.0,2021-01-11 19:11:32.000,2022-04-21 13:45:24.000000,2022-04-20 21:13:43,125.0,11.0,149,70.0,79.0,,4.0,2098,Collection of database clients for python.,7.0,0,True,2022-04-20 21:13:50.000,2022.04.14,37.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,Tensorflow,tensorflow/tensorflow,ml-frameworks,,https://github.com/tensorflow/tensorflow,https://github.com/tensorflow/tensorflow,Apache-2.0,2015-11-07 01:19:20.000,2022-04-21 13:35:52.411973,2022-04-21 09:16:44,128186.0,3962.0,86660,7867.0,20803.0,2425.0,32263.0,166374,An Open Source Machine Learning Framework for Everyone.,3980.0,55,True,2022-02-02 16:58:42.000,2.7.1,146.0,tensorflow,conda-forge/tensorflow,tensorflow/tensorflow,https://www.tensorflow.org/overview,['tensorflow'],206439.0,192377.0,https://pypi.org/project/tensorflow,2022-04-12 16:50:18.000,14062.0,14525790.0,15416179.0,https://anaconda.org/conda-forge/tensorflow,2022-02-06 08:03:30.812,3216894.0,https://hub.docker.com/r/tensorflow/tensorflow,2022-04-21 13:35:52.411973,2005.0,65166861.0,1.0,,,,,,,,,,,,,,,,,,,,
5,pandas,pandas-dev/pandas,data-containers,,https://github.com/pandas-dev/pandas,https://github.com/pandas-dev/pandas,BSD-3-Clause,2010-08-24 01:37:33.000,2022-04-21 14:11:38.000000,2022-04-19 21:25:13,29331.0,552.0,14254,1111.0,24417.0,3463.0,18995.0,33478,"Flexible and powerful data analysis / manipulation library for Python, providing labeled data structures similar to R..",2974.0,52,True,2022-04-02 10:32:27.000,1.4.2,102.0,pandas,conda-forge/pandas,,,['pandas'],756200.0,697261.0,https://pypi.org/project/pandas,2022-04-02 10:32:27.000,58939.0,83311420.0,83657386.0,https://anaconda.org/conda-forge/pandas,2022-04-10 13:06:45.304,24461058.0,,,,,1.0,143130.0,,,,,,,,,,,,,,,,,,,
6,scikit-learn,scikit-learn/scikit-learn,ml-frameworks,,https://github.com/scikit-learn/scikit-learn,https://github.com/scikit-learn/scikit-learn,BSD-3-Clause,2010-08-17 09:43:38.000,2022-04-21 13:53:07.000000,2022-04-21 10:17:53,28274.0,520.0,22803,2190.0,13336.0,2415.0,7712.0,49760,scikit-learn: machine learning in Python.,2570.0,51,True,2021-12-25 20:30:08.000,1.0.2,60.0,scikit-learn,conda-forge/scikit-learn,,,['sklearn'],364697.0,339757.0,https://pypi.org/project/scikit-learn,2021-12-25 20:30:08.000,24940.0,32717295.0,32887539.0,https://anaconda.org/conda-forge/scikit-learn,2022-04-18 19:21:53.156,12086662.0,,,,,1.0,789.0,,,,,,,,,,,,,,,,,,,
7,numpy,numpy/numpy,data-containers,,https://github.com/numpy/numpy,https://github.com/numpy/numpy,BSD-3-Clause,2010-09-13 23:02:39.000,2022-04-21 13:21:09.000000,2022-04-21 10:29:07,29477.0,493.0,6777,560.0,10856.0,2272.0,8427.0,20207,The fundamental package for scientific computing with Python.,1424.0,50,True,2022-04-12 15:30:41.000,1.21.6,124.0,numpy,conda-forge/numpy,,,,1172011.0,1052712.0,https://pypi.org/project/numpy,2022-04-12 14:48:15.000,119299.0,107733040.0,108181769.0,https://anaconda.org/conda-forge/numpy,2022-04-13 01:56:09.169,31319453.0,,,,,1.0,494652.0,,,,,,,,,,,,,,,,,,,
8,transformers,huggingface/transformers,nlp,,https://github.com/huggingface/transformers,https://github.com/huggingface/transformers,Apache-2.0,2018-10-29 13:56:00.000,2022-04-21 14:07:46.000000,2022-04-21 13:55:30,9614.0,830.0,14068,800.0,7686.0,469.0,8740.0,61363,"Transformers: State-of-the-art Machine Learning for Pytorch, TensorFlow, and JAX.",1275.0,49,True,2022-04-07 18:08:23.000,4.18.0,89.0,transformers,conda-forge/transformers,,,"['pytorch', 'tensorflow']",27047.0,26221.0,https://pypi.org/project/transformers,2022-04-06 15:07:45.000,826.0,5772005.0,5777348.0,https://anaconda.org/conda-forge/transformers,2022-01-31 21:40:31.059,159235.0,,,,,1.0,1479.0,,,,,,,,,,,,,,,,,,,
9,PyTorch,pytorch/pytorch,ml-frameworks,,https://github.com/pytorch/pytorch,https://github.com/pytorch/pytorch,BSD-3-Clause,2016-08-13 05:26:41.000,2022-04-21 13:59:50.000000,2022-04-21 13:59:48,45592.0,2417.0,15196,1599.0,50518.0,11517.0,17507.0,55433,Tensors and Dynamic neural networks in Python with strong GPU acceleration.,3214.0,49,True,2022-03-10 16:59:55.000,1.11.0,39.0,torch,pytorch/pytorch,,https://pytorch.org/docs/stable/index.html,['pytorch'],6959.0,,https://pypi.org/project/torch,2022-03-10 16:38:35.000,6959.0,8047090.0,10372555.0,https://anaconda.org/pytorch/pytorch,2022-03-10 16:43:32.673,16277934.0,,,,,1.0,3121.0,,,,,,,,,,,,,,,,,,,
10,Matplotlib,matplotlib/matplotlib,data-viz,,https://github.com/matplotlib/matplotlib,https://github.com/matplotlib/matplotlib,Python-2.0,2011-02-19 03:17:12.000,2022-04-21 13:14:42.000000,2022-04-21 09:31:07,42621.0,611.0,6296,579.0,14365.0,1795.0,6990.0,15360,matplotlib: plotting with Python.,1353.0,49,True,2021-12-11 08:22:08.000,3.5.1,90.0,matplotlib,conda-forge/matplotlib,,,,595233.0,541760.0,https://pypi.org/project/matplotlib,2021-12-11 08:22:08.000,53473.0,26550701.0,26698578.0,https://anaconda.org/conda-forge/matplotlib,2021-12-13 20:23:04.086,11682331.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,
11,scipy,scipy/scipy,others,,https://github.com/scipy/scipy,https://github.com/scipy/scipy,BSD-3-Clause,2011-03-09 18:52:03.000,2022-04-21 14:19:17.000000,2022-04-21 07:32:21,27692.0,521.0,4146,332.0,7919.0,1799.0,6654.0,9491,"Ecosystem of open-source software for mathematics, science, and engineering.",1261.0,49,True,2022-02-05 23:29:16.000,1.8.0,77.0,scipy,conda-forge/scipy,,,,554048.0,497212.0,https://pypi.org/project/scipy,2022-02-05 22:53:25.000,56836.0,41066425.0,41383005.0,https://anaconda.org/conda-forge/scipy,2022-02-09 01:10:04.440,22176859.0,,,,,1.0,342687.0,,,,,,,,,,,,,,,,,,,
12,Celery,celery/celery,data-pipelines,,https://github.com/celery/celery,https://github.com/celery/celery,BSD-3-Clause,2009-04-24 11:31:24.000,2022-04-21 01:43:02.000000,2022-04-20 06:05:26,11905.0,82.0,4250,477.0,2573.0,537.0,4180.0,19154,Asynchronous task queue/job queue based on distributed message passing.,1203.0,46,True,2022-04-05 08:37:09.000,5.2.6,190.0,celery,conda-forge/celery,,,,83187.0,68333.0,https://pypi.org/project/celery,2022-04-05 08:37:09.000,14854.0,5125380.0,5136497.0,https://anaconda.org/conda-forge/celery,2022-02-07 19:32:02.369,811545.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,
13,Airflow,apache/airflow,data-pipelines,,https://github.com/apache/airflow,https://github.com/apache/airflow,Apache-2.0,2015-04-13 18:04:58.000,2022-04-21 14:54:39.000000,2022-04-21 14:48:24,15810.0,988.0,10407,739.0,16300.0,942.0,4527.0,25876,"Platform to programmatically author, schedule, and monitor workflows.",2367.0,45,True,2022-04-04 09:30:39.000,2.2.5,107.0,apache-airflow,conda-forge/airflow,apache/airflow,,,456.0,,https://pypi.org/project/apache-airflow,2022-04-14 20:12:03.000,456.0,6131153.0,6972824.0,https://anaconda.org/conda-forge/airflow,2022-04-04 14:18:26.777,581204.0,https://hub.docker.com/r/apache/airflow,2022-04-14 23:48:03.050203,330.0,69580786.0,1.0,278392.0,stable/airflow,,,,,,,,,,,,,,,,,,
14,Pillow,python-pillow/Pillow,image,,https://github.com/python-pillow/Pillow,https://github.com/python-pillow/Pillow,PIL,2012-07-24 21:38:39.000,2022-04-21 12:11:21.000000,2022-04-21 12:10:55,13035.0,492.0,1824,211.0,3720.0,110.0,2371.0,9695,The friendly PIL fork (Python Imaging Library).,391.0,45,True,2022-04-01 14:40:43.000,9.1.0,87.0,Pillow,conda-forge/pillow,,,,62658.0,,https://pypi.org/project/Pillow,2022-04-01 14:37:06.000,62658.0,40383334.0,40579038.0,https://anaconda.org/conda-forge/pillow,2022-04-13 03:19:38.560,14090716.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,
15,SymPy,sympy/sympy,others,,https://github.com/sympy/sympy,https://github.com/sympy/sympy,BSD-3-Clause,2010-04-30 20:37:14.000,2022-04-21 00:02:16.000000,2022-04-20 12:46:46,50752.0,878.0,3620,292.0,11461.0,4400.0,7887.0,9081,A computer algebra system written in pure Python.,1137.0,45,True,2022-03-20 11:58:15.000,sympy-1.10.1,45.0,sympy,conda-forge/sympy,,,,45511.0,41379.0,https://pypi.org/project/sympy,2022-03-20 12:00:44.000,4132.0,1765767.0,1797858.0,https://anaconda.org/conda-forge/sympy,2022-03-20 19:12:31.090,1974038.0,,,,,1.0,450254.0,,,,,,,,,,,,,,,,,,,
16,Keras,keras-team/keras,ml-frameworks,,https://github.com/keras-team/keras,https://github.com/keras-team/keras,Apache-2.0,2015-03-28 00:35:42.000,2022-04-21 08:26:13.000000,2022-04-21 00:49:24,6787.0,399.0,19028,1962.0,5185.0,308.0,10983.0,54994,Deep Learning for humans.,1057.0,44,True,2022-02-03 05:13:44.000,2.8.0,63.0,keras,conda-forge/keras,,https://keras.io,['tensorflow'],280.0,,https://pypi.org/project/keras,2022-04-18 17:41:11.000,280.0,8953698.0,8985708.0,https://anaconda.org/conda-forge/keras,2022-02-04 15:14:03.939,2176724.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,
17,spaCy,explosion/spaCy,nlp,,https://github.com/explosion/spaCy,https://github.com/explosion/spaCy,MIT,2014-07-03 15:15:40.000,2022-04-21 10:57:55.000000,2022-04-20 07:52:34,15401.0,136.0,3790,560.0,3042.0,97.0,5006.0,23170,Industrial-strength Natural Language Processing (NLP) in Python.,675.0,44,True,2022-03-30 14:15:37.000,3.1.6,194.0,spacy,conda-forge/spacy,,,,40173.0,37881.0,https://pypi.org/project/spacy,2022-04-05 12:33:50.000,2292.0,4457759.0,4499800.0,https://anaconda.org/conda-forge/spacy,2022-03-31 10:26:05.872,2603663.0,,,,,1.0,3135.0,,,,,,,,,,,,,,,,,,,
18,XGBoost,dmlc/xgboost,ml-frameworks,,https://github.com/dmlc/xgboost,https://github.com/dmlc/xgboost,Apache-2.0,2014-02-06 17:28:03.000,2022-04-21 12:23:35.000000,2022-04-21 12:23:35,5740.0,112.0,8356,938.0,3465.0,273.0,4122.0,22514,"Scalable, Portable and Distributed Gradient Boosting (GBDT, GBRT or GBM) Library, for Python, R, Java, Scala, C++ and..",556.0,44,True,2022-04-16 04:09:35.000,1.6.0,63.0,xgboost,conda-forge/xgboost,,https://xgboost.readthedocs.io/en/latest/,,31093.0,29768.0,https://pypi.org/project/xgboost,2022-04-16 04:09:35.000,1325.0,7766992.0,7808717.0,https://anaconda.org/conda-forge/xgboost,2022-02-17 18:39:15.686,2542810.0,,,,,1.0,3927.0,,,,,,,,,,,,,,,,,,,
19,Ray,ray-project/ray,distributed-ml,,https://github.com/ray-project/ray,https://github.com/ray-project/ray,Apache-2.0,2016-10-25 19:38:30.000,2022-04-21 14:33:53.000000,2022-04-21 12:07:29,12159.0,1146.0,3454,427.0,14086.0,2240.0,7728.0,20044,"An open source framework that provides a simple, universal API for building distributed applications. Ray is packaged..",659.0,44,True,2022-04-14 17:04:21.000,1.12.0,70.0,ray,conda-forge/ray-tune,,,,4809.0,4553.0,https://pypi.org/project/ray,2022-04-14 17:04:21.000,256.0,996166.0,997756.0,https://anaconda.org/conda-forge/ray-tune,2022-04-07 20:54:56.642,25441.0,,,,,1.0,,,1.0,,,,,,,,,,,,,,,,,
