,name,github_id,category,resource,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,description,contributor_count,projectrank,show,latest_stable_release_published_at,latest_stable_release_number,release_count,pypi_id,conda_id,dockerhub_id,docs_url,labels,dependent_project_count,github_dependent_project_count,pypi_url,pypi_latest_release_published_at,pypi_dependent_project_count,pypi_monthly_downloads,monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,projectrank_placing,github_release_downloads,helm_id,trending,npm_id,npm_url,npm_latest_release_published_at,npm_dependent_project_count,npm_monthly_downloads,conda_dependent_project_count,brew_id,apt_id,yum_id,updated_github_id,new_addition,maven_id,maven_url,maven_latest_release_published_at,maven_dependent_project_count,snap_id,dnf_id,yay_id
0,ANN Benchmarks,erikbern/ann-benchmarks,nn-search,True,https://github.com/erikbern/ann-benchmarks,https://github.com/erikbern/ann-benchmarks,MIT,2015-05-28 13:21:43.000,2022-04-26 03:13:26.000000,2022-04-26 03:13:26,1295,30.0,437,96.0,181.0,39.0,79.0,2860,Benchmarks of approximate nearest neighbor libraries in Python.,69.0,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,best-of-web-python - Web Scraping,ml-tooling/best-of-web-python,web-scraping,True,https://github.com/ml-tooling/best-of-web-python,https://github.com/ml-tooling/best-of-web-python#web-scraping--crawling,CC-BY-SA-4.0,2021-01-05 13:09:27.000,2022-04-28 17:23:05.000000,2022-04-28 17:23:04,122,13.0,115,47.0,82.0,4.0,2.0,1500,Collection of web-scraping and crawling libraries.,8.0,0,True,2022-04-28 17:23:08.000,2022.04.28,37.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,best-of-python - Data Extraction,ml-tooling/best-of-python,data-loading,True,https://github.com/ml-tooling/best-of-python,https://github.com/ml-tooling/best-of-python#data-loading--extraction,CC-BY-SA-4.0,2021-01-11 19:11:32.000,2022-04-29 16:40:22.000000,2022-04-29 16:40:22,132,16.0,153,70.0,81.0,,4.0,2123,Collection of data-loading and -extraction libraries.,7.0,0,True,2022-04-29 16:22:00.000,2022.04.28,39.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,best-of-python - DB Clients,ml-tooling/best-of-python,db-clients,True,https://github.com/ml-tooling/best-of-python,https://github.com/ml-tooling/best-of-python#database-clients,CC-BY-SA-4.0,2021-01-11 19:11:32.000,2022-04-29 16:40:22.000000,2022-04-29 16:40:22,132,16.0,153,70.0,81.0,,4.0,2123,Collection of database clients for python.,7.0,0,True,2022-04-29 16:22:00.000,2022.04.28,39.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,best-of-python - Data Containers,ml-tooling/best-of-python,data-loading,True,https://github.com/ml-tooling/best-of-python,https://github.com/ml-tooling/best-of-python#data-containers--dataframes,CC-BY-SA-4.0,2021-01-11 19:11:32.000,2022-04-29 16:40:22.000000,2022-04-29 16:40:22,132,16.0,153,70.0,81.0,,4.0,2123,"Collection of data-container, dataframe, and pandas-utility libraries.",7.0,0,True,2022-04-29 16:22:00.000,2022.04.28,39.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,Tensorflow,tensorflow/tensorflow,ml-frameworks,,https://github.com/tensorflow/tensorflow,https://github.com/tensorflow/tensorflow,Apache-2.0,2015-11-07 01:19:20.000,2022-04-29 16:54:43.000000,2022-04-29 16:54:38,128566,4008.0,86708,7857.0,20850.0,2426.0,32329.0,166535,An Open Source Machine Learning Framework for Everyone.,3984.0,55,True,2022-02-02 16:58:42.000,2.7.1,147.0,tensorflow,conda-forge/tensorflow,tensorflow/tensorflow,https://www.tensorflow.org/overview,['tensorflow'],207940.0,193838.0,https://pypi.org/project/tensorflow,2022-04-21 17:10:25.000,14102.0,14265022.0,15156500.0,https://anaconda.org/conda-forge/tensorflow,2022-02-06 08:03:30.812,3239858.0,https://hub.docker.com/r/tensorflow/tensorflow,2022-04-29 14:25:50.128776,2009.0,65226510.0,1.0,,,,,,,,,,,,,,,,,,,,,
6,scikit-learn,scikit-learn/scikit-learn,ml-frameworks,,https://github.com/scikit-learn/scikit-learn,https://github.com/scikit-learn/scikit-learn,BSD-3-Clause,2010-08-17 09:43:38.000,2022-04-29 16:56:43.000000,2022-04-29 15:18:13,28322,508.0,22952,2191.0,13382.0,2269.0,7751.0,49846,scikit-learn: machine learning in Python.,2579.0,51,True,2021-12-25 20:30:08.000,1.0.2,61.0,scikit-learn,conda-forge/scikit-learn,,,['sklearn'],367974.0,342759.0,https://pypi.org/project/scikit-learn,2022-04-28 12:19:14.000,25215.0,32792237.0,32964590.0,https://anaconda.org/conda-forge/scikit-learn,2022-04-28 17:27:22.195,12236327.0,,,,,1.0,792.0,,,,,,,,,,,,,,,,,,,,
7,transformers,huggingface/transformers,nlp,,https://github.com/huggingface/transformers,https://github.com/huggingface/transformers,Apache-2.0,2018-10-29 13:56:00.000,2022-04-29 16:26:45.000000,2022-04-29 16:26:45,9669,828.0,14068,804.0,7768.0,469.0,8778.0,61778,"Transformers: State-of-the-art Machine Learning for Pytorch, TensorFlow, and JAX.",1287.0,49,True,2022-04-07 18:08:23.000,4.18.0,89.0,transformers,conda-forge/transformers,,,"['pytorch', 'tensorflow']",27552.0,26726.0,https://pypi.org/project/transformers,2022-04-06 15:07:45.000,826.0,5771528.0,5777283.0,https://anaconda.org/conda-forge/transformers,2022-01-31 21:40:31.059,171596.0,,,,,1.0,1481.0,,,,,,,,,,,,,,,,,,,,
8,PyTorch,pytorch/pytorch,ml-frameworks,,https://github.com/pytorch/pytorch,https://github.com/pytorch/pytorch,BSD-3-Clause,2016-08-13 05:26:41.000,2022-04-29 15:50:45.000000,2022-04-29 15:40:17,45833,2443.0,15440,1594.0,50808.0,11087.0,17567.0,55632,Tensors and Dynamic neural networks in Python with strong GPU acceleration.,3231.0,49,True,2022-03-10 16:59:55.000,1.11.0,39.0,torch,pytorch/pytorch,,https://pytorch.org/docs/stable/index.html,['pytorch'],6959.0,,https://pypi.org/project/torch,2022-03-10 16:38:35.000,6959.0,7991288.0,10339052.0,https://anaconda.org/pytorch/pytorch,2022-03-10 16:43:32.673,16434023.0,,,,,1.0,3184.0,,,,,,,,,,,,,,,,,,,,
9,Matplotlib,matplotlib/matplotlib,data-viz,,https://github.com/matplotlib/matplotlib,https://github.com/matplotlib/matplotlib,Python-2.0,2011-02-19 03:17:12.000,2022-04-29 13:02:27.000000,2022-04-29 07:24:23,42669,572.0,6296,578.0,14404.0,1795.0,7013.0,15405,matplotlib: plotting with Python.,1356.0,49,True,2021-12-11 08:22:08.000,3.5.1,90.0,matplotlib,conda-forge/matplotlib,,,,600087.0,546614.0,https://pypi.org/project/matplotlib,2021-12-11 08:22:08.000,53473.0,26665967.0,26815011.0,https://anaconda.org/conda-forge/matplotlib,2021-12-13 20:23:04.086,11774552.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,
