,name,github_id,category,resource,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,description,contributor_count,projectrank,show,latest_stable_release_published_at,latest_stable_release_number,release_count,pypi_id,conda_id,dockerhub_id,docs_url,labels,dependent_project_count,github_dependent_project_count,pypi_url,pypi_latest_release_published_at,pypi_dependent_project_count,pypi_monthly_downloads,monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,projectrank_placing,github_release_downloads,helm_id,trending,npm_id,npm_url,npm_latest_release_published_at,npm_dependent_project_count,npm_monthly_downloads,conda_dependent_project_count,brew_id,apt_id,yum_id,updated_github_id,maven_id,maven_url,maven_latest_release_published_at,maven_dependent_project_count,snap_id,dnf_id,yay_id,new_addition
0,ANN Benchmarks,erikbern/ann-benchmarks,nn-search,True,https://github.com/erikbern/ann-benchmarks,https://github.com/erikbern/ann-benchmarks,MIT,2015-05-28 13:21:43.000,2022-04-26 03:13:26.000000,2022-04-26 03:13:26,1295,29.0,461,96.0,181.0,46.0,79.0,2897,Benchmarks of approximate nearest neighbor libraries in Python.,69.0,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,best-of-web-python - Web Scraping,ml-tooling/best-of-web-python,web-scraping,True,https://github.com/ml-tooling/best-of-web-python,https://github.com/ml-tooling/best-of-web-python#web-scraping--crawling,CC-BY-SA-4.0,2021-01-05 13:09:27.000,2022-05-13 05:20:06.000000,2022-05-13 05:20:06,126,11.0,116,48.0,84.0,4.0,2.0,1531,Collection of web-scraping and crawling libraries.,8.0,0,True,2022-05-13 05:20:11.000,2022.05.12,39.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,best-of-python - Data Extraction,ml-tooling/best-of-python,data-loading,True,https://github.com/ml-tooling/best-of-python,https://github.com/ml-tooling/best-of-python#data-loading--extraction,CC-BY-SA-4.0,2021-01-11 19:11:32.000,2022-05-19 13:55:52.000000,2022-05-13 04:01:09,136,17.0,154,72.0,84.0,,4.0,2169,Collection of data-loading and -extraction libraries.,7.0,0,True,2022-05-13 04:01:17.000,2022.05.12,41.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,best-of-python - DB Clients,ml-tooling/best-of-python,db-clients,True,https://github.com/ml-tooling/best-of-python,https://github.com/ml-tooling/best-of-python#database-clients,CC-BY-SA-4.0,2021-01-11 19:11:32.000,2022-05-19 13:55:52.000000,2022-05-13 04:01:09,136,17.0,154,72.0,84.0,,4.0,2169,Collection of database clients for python.,7.0,0,True,2022-05-13 04:01:17.000,2022.05.12,41.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,best-of-python - Data Containers,ml-tooling/best-of-python,data-loading,True,https://github.com/ml-tooling/best-of-python,https://github.com/ml-tooling/best-of-python#data-containers--dataframes,CC-BY-SA-4.0,2021-01-11 19:11:32.000,2022-05-19 13:55:52.000000,2022-05-13 04:01:09,136,17.0,154,72.0,84.0,,4.0,2169,"Collection of data-container, dataframe, and pandas-utility libraries.",7.0,0,True,2022-05-13 04:01:17.000,2022.05.12,41.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,Tensorflow,tensorflow/tensorflow,ml-frameworks,,https://github.com/tensorflow/tensorflow,https://github.com/tensorflow/tensorflow,Apache-2.0,2015-11-07 01:19:20.000,2022-05-19 13:37:03.889552,2022-05-19 13:01:24,129543,3923.0,86770,7862.0,21080.0,2425.0,32475.0,167012,An Open Source Machine Learning Framework for Everyone.,4000.0,55,True,2022-05-16 21:12:57.000,2.9.0,152.0,tensorflow,conda-forge/tensorflow,tensorflow/tensorflow,https://www.tensorflow.org/overview,['tensorflow'],211200.0,197034.0,https://pypi.org/project/tensorflow,2022-05-16 20:25:56.000,14166.0,15792496.0,16676411.0,https://anaconda.org/conda-forge/tensorflow,2022-05-18 02:01:52.515,3291186.0,https://hub.docker.com/r/tensorflow/tensorflow,2022-05-19 13:37:03.889552,2018.0,65476356.0,1.0,,,,,,,,,,,,,,,,,,,,,
6,scikit-learn,scikit-learn/scikit-learn,ml-frameworks,,https://github.com/scikit-learn/scikit-learn,https://github.com/scikit-learn/scikit-learn,BSD-3-Clause,2010-08-17 09:43:38.000,2022-05-19 13:54:56.000000,2022-05-19 11:39:43,28420,504.0,23003,2186.0,13489.0,2227.0,7812.0,50083,scikit-learn: machine learning in Python.,2599.0,51,True,2022-05-19 13:35:21.000,1.1.1,63.0,scikit-learn,conda-forge/scikit-learn,,,['sklearn'],374607.0,349264.0,https://pypi.org/project/scikit-learn,2022-05-19 13:35:21.000,25343.0,33610772.0,33785938.0,https://anaconda.org/conda-forge/scikit-learn,2022-05-13 02:46:36.465,12611251.0,,,,,1.0,795.0,,,,,,,,,,,,,,,,,,,,
7,transformers,huggingface/transformers,nlp,,https://github.com/huggingface/transformers,https://github.com/huggingface/transformers,Apache-2.0,2018-10-29 13:56:00.000,2022-05-19 13:59:30.000000,2022-05-19 08:29:16,9839,824.0,14743,811.0,7981.0,516.0,8923.0,63404,"Transformers: State-of-the-art Machine Learning for Pytorch, TensorFlow, and JAX.",1325.0,49,True,2022-05-16 18:57:10.000,4.19.2,92.0,transformers,conda-forge/transformers,,,"['pytorch', 'tensorflow']",28747.0,27866.0,https://pypi.org/project/transformers,2022-05-13 18:21:27.000,881.0,6742689.0,6749250.0,https://anaconda.org/conda-forge/transformers,2022-01-31 21:40:31.059,202334.0,,,,,1.0,1491.0,,,,,,,,,,,,,,,,,,,,
8,PyTorch,pytorch/pytorch,ml-frameworks,,https://github.com/pytorch/pytorch,https://github.com/pytorch/pytorch,BSD-3-Clause,2016-08-13 05:26:41.000,2022-05-19 14:05:00.000000,2022-05-19 14:04:13,46527,2594.0,15497,1601.0,51638.0,11214.0,17751.0,56092,Tensors and Dynamic neural networks in Python with strong GPU acceleration.,3265.0,49,True,2022-03-10 16:59:55.000,1.11.0,39.0,torch,pytorch/pytorch,,https://pytorch.org/docs/stable/index.html,['pytorch'],6959.0,,https://pypi.org/project/torch,2022-03-10 16:38:35.000,6959.0,8819182.0,10918492.0,https://anaconda.org/pytorch/pytorch,2022-03-10 16:43:32.673,16794085.0,,,,,1.0,3463.0,,,,,,,,,,,,,,,,,,,,
9,Matplotlib,matplotlib/matplotlib,data-viz,,https://github.com/matplotlib/matplotlib,https://github.com/matplotlib/matplotlib,Python-2.0,2011-02-19 03:17:12.000,2022-05-19 08:06:51.000000,2022-05-19 05:40:07,43215,669.0,6378,577.0,14485.0,1832.0,7058.0,15499,matplotlib: plotting with Python.,1363.0,49,True,2022-05-03 06:44:48.000,3.5.2,91.0,matplotlib,conda-forge/matplotlib,,,,611349.0,557090.0,https://pypi.org/project/matplotlib,2022-05-03 06:44:48.000,54259.0,28485432.0,28635410.0,https://anaconda.org/conda-forge/matplotlib,2022-05-04 19:17:05.326,11998317.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,
