,name,github_id,category,resource,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,description,contributor_count,projectrank,show,latest_stable_release_published_at,latest_stable_release_number,release_count,pypi_id,conda_id,dockerhub_id,docs_url,labels,dependent_project_count,github_dependent_project_count,pypi_url,pypi_latest_release_published_at,pypi_dependent_project_count,pypi_monthly_downloads,monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,projectrank_placing,github_release_downloads,trending,helm_id,npm_id,npm_url,npm_latest_release_published_at,npm_dependent_project_count,npm_monthly_downloads,conda_dependent_project_count,brew_id,apt_id,yum_id,updated_github_id,snap_id,maven_id,maven_url,maven_latest_release_published_at,maven_dependent_project_count,dnf_id,yay_id
0,ANN Benchmarks,erikbern/ann-benchmarks,nn-search,True,https://github.com/erikbern/ann-benchmarks,https://github.com/erikbern/ann-benchmarks,MIT,2015-05-28 13:21:43.000,2022-05-30 22:46:44.000000,2022-04-26 03:13:26,1295,27.0,461,97.0,182.0,46.0,79.0,2916,Benchmarks of approximate nearest neighbor libraries in Python.,69.0,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,best-of-web-python - Web Scraping,ml-tooling/best-of-web-python,web-scraping,True,https://github.com/ml-tooling/best-of-web-python,https://github.com/ml-tooling/best-of-web-python#web-scraping--crawling,CC-BY-SA-4.0,2021-01-05 13:09:27.000,2022-05-26 17:05:28.000000,2022-05-26 17:05:27,130,14.0,117,47.0,86.0,4.0,2.0,1553,Collection of web-scraping and crawling libraries.,8.0,0,True,2022-05-26 17:05:33.000,2022.05.26,41.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,best-of-python - Data Extraction,ml-tooling/best-of-python,data-loading,True,https://github.com/ml-tooling/best-of-python,https://github.com/ml-tooling/best-of-python#data-loading--extraction,CC-BY-SA-4.0,2021-01-11 19:11:32.000,2022-06-02 14:02:13.000000,2022-05-26 17:05:06,140,20.0,158,72.0,86.0,,4.0,2202,Collection of data-loading and -extraction libraries.,7.0,0,True,2022-05-26 17:05:12.000,2022.05.26,43.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,best-of-python - DB Clients,ml-tooling/best-of-python,db-clients,True,https://github.com/ml-tooling/best-of-python,https://github.com/ml-tooling/best-of-python#database-clients,CC-BY-SA-4.0,2021-01-11 19:11:32.000,2022-06-02 14:02:13.000000,2022-05-26 17:05:06,140,20.0,158,72.0,86.0,,4.0,2202,Collection of database clients for python.,7.0,0,True,2022-05-26 17:05:12.000,2022.05.26,43.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,best-of-python - Data Containers,ml-tooling/best-of-python,data-loading,True,https://github.com/ml-tooling/best-of-python,https://github.com/ml-tooling/best-of-python#data-containers--dataframes,CC-BY-SA-4.0,2021-01-11 19:11:32.000,2022-06-02 14:02:13.000000,2022-05-26 17:05:06,140,20.0,158,72.0,86.0,,4.0,2202,"Collection of data-container, dataframe, and pandas-utility libraries.",7.0,0,True,2022-05-26 17:05:12.000,2022.05.26,43.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,Tensorflow,tensorflow/tensorflow,ml-frameworks,,https://github.com/tensorflow/tensorflow,https://github.com/tensorflow/tensorflow,Apache-2.0,2015-11-07 01:19:20.000,2022-06-02 14:05:01.000000,2022-06-02 14:04:48,130199,4007.0,86811,7846.0,21126.0,2395.0,32634.0,167418,An Open Source Machine Learning Framework for Everyone.,4007.0,55,True,2022-05-23 17:23:34.000,2.9.1,156.0,tensorflow,conda-forge/tensorflow,tensorflow/tensorflow,https://www.tensorflow.org/overview,['tensorflow'],213759.0,199576.0,https://pypi.org/project/tensorflow,2022-05-23 17:23:34.000,14183.0,17600528.0,18476807.0,https://anaconda.org/conda-forge/tensorflow,2022-05-24 01:30:37.196,3333012.0,https://hub.docker.com/r/tensorflow/tensorflow,2022-06-02 13:38:53.399982,2023.0,65715303.0,1.0,,,,,,,,,,,,,,,,,,,,
6,scikit-learn,scikit-learn/scikit-learn,ml-frameworks,,https://github.com/scikit-learn/scikit-learn,https://github.com/scikit-learn/scikit-learn,BSD-3-Clause,2010-08-17 09:43:38.000,2022-06-02 13:57:23.000000,2022-06-02 13:57:23,28475,497.0,23005,2187.0,13557.0,2226.0,7842.0,50285,scikit-learn: machine learning in Python.,2617.0,51,True,2022-05-19 13:35:21.000,1.1.1,63.0,scikit-learn,conda-forge/scikit-learn,,,['sklearn'],380670.0,355322.0,https://pypi.org/project/scikit-learn,2022-05-19 13:35:21.000,25348.0,34765669.0,34942424.0,https://anaconda.org/conda-forge/scikit-learn,2022-05-19 17:53:26.305,12902405.0,,,,,1.0,798.0,,,,,,,,,,,,,,,,,,,
7,transformers,huggingface/transformers,nlp,,https://github.com/huggingface/transformers,https://github.com/huggingface/transformers,Apache-2.0,2018-10-29 13:56:00.000,2022-06-02 13:59:04.000000,2022-06-02 12:10:08,9917,791.0,14942,814.0,8075.0,521.0,9011.0,64112,"Transformers: State-of-the-art Machine Learning for Pytorch, TensorFlow, and JAX.",1341.0,49,True,2022-05-16 18:57:10.000,4.19.2,92.0,transformers,conda-forge/transformers,,,"['pytorch', 'tensorflow']",29586.0,28691.0,https://pypi.org/project/transformers,2022-05-13 18:21:27.000,895.0,7610478.0,7617521.0,https://anaconda.org/conda-forge/transformers,2022-05-22 00:24:31.589,224314.0,,,,,1.0,1501.0,,,,,,,,,,,,,,,,,,,
8,PyTorch,pytorch/pytorch,ml-frameworks,,https://github.com/pytorch/pytorch,https://github.com/pytorch/pytorch,BSD-3-Clause,2016-08-13 05:26:41.000,2022-06-02 14:07:36.000000,2022-06-02 14:06:20,46980,2708.0,15588,1597.0,52236.0,9967.0,17897.0,56400,Tensors and Dynamic neural networks in Python with strong GPU acceleration.,3292.0,49,True,2022-03-10 16:59:55.000,1.11.0,39.0,torch,pytorch/pytorch,,https://pytorch.org/docs/stable/index.html,['pytorch'],6959.0,,https://pypi.org/project/torch,2022-03-10 16:38:35.000,6959.0,9954367.0,11846031.0,https://anaconda.org/pytorch/pytorch,2022-03-10 16:43:32.673,17024513.0,,,,,1.0,3637.0,,,,,,,,,,,,,,,,,,,
9,Matplotlib,matplotlib/matplotlib,data-viz,,https://github.com/matplotlib/matplotlib,https://github.com/matplotlib/matplotlib,Python-2.0,2011-02-19 03:17:12.000,2022-06-02 13:19:49.000000,2022-06-02 12:28:26,43328,659.0,6387,579.0,14559.0,1839.0,7102.0,15574,matplotlib: plotting with Python.,1366.0,49,True,2022-05-03 06:44:48.000,3.5.2,91.0,matplotlib,conda-forge/matplotlib,,,,619777.0,565249.0,https://pypi.org/project/matplotlib,2022-05-03 06:44:48.000,54528.0,29399667.0,29549976.0,https://anaconda.org/conda-forge/matplotlib,2022-05-04 19:17:05.326,12175060.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,
