,name,github_id,category,resource,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,description,contributor_count,projectrank,show,latest_stable_release_published_at,latest_stable_release_number,release_count,pypi_id,conda_id,labels,github_release_downloads,monthly_downloads,dependent_project_count,github_dependent_project_count,pypi_url,pypi_latest_release_published_at,pypi_dependent_project_count,pypi_monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,projectrank_placing,docs_url,dockerhub_id,helm_id,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,npm_id,npm_url,npm_latest_release_published_at,npm_dependent_project_count,npm_monthly_downloads,trending,conda_dependent_project_count,updated_github_id,brew_id,apt_id,yum_id,maven_id,maven_url,maven_latest_release_published_at,maven_dependent_project_count,snap_id,dnf_id,yay_id
0,ANN Benchmarks,erikbern/ann-benchmarks,nn-search,True,https://github.com/erikbern/ann-benchmarks,https://github.com/erikbern/ann-benchmarks,MIT,2015-05-28 13:21:43.000,2022-06-06 14:48:21.000000,2022-04-26 03:13:26,1295.0,26.0,461,97.0,182.0,46.0,79.0,2926,Benchmarks of approximate nearest neighbor libraries in Python.,69.0,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,best-of-web-python - Web Scraping,ml-tooling/best-of-web-python,web-scraping,True,https://github.com/ml-tooling/best-of-web-python,https://github.com/ml-tooling/best-of-web-python#web-scraping--crawling,CC-BY-SA-4.0,2021-01-05 13:09:27.000,2022-06-02 16:35:14.000000,2022-05-26 17:05:27,130.0,14.0,118,47.0,87.0,4.0,2.0,1555,Collection of web-scraping and crawling libraries.,8.0,0,True,2022-05-26 17:05:33.000,2022.05.26,41.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,best-of-python - Data Extraction,ml-tooling/best-of-python,data-loading,True,https://github.com/ml-tooling/best-of-python,https://github.com/ml-tooling/best-of-python#data-loading--extraction,CC-BY-SA-4.0,2021-01-11 19:11:32.000,2022-06-09 13:52:46.000000,2022-06-02 17:39:06,142.0,22.0,161,72.0,87.0,,4.0,2214,Collection of data-loading and -extraction libraries.,7.0,0,True,2022-06-02 17:39:16.000,2022.06.02,44.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,best-of-python - DB Clients,ml-tooling/best-of-python,db-clients,True,https://github.com/ml-tooling/best-of-python,https://github.com/ml-tooling/best-of-python#database-clients,CC-BY-SA-4.0,2021-01-11 19:11:32.000,2022-06-09 13:52:46.000000,2022-06-02 17:39:06,142.0,22.0,161,72.0,87.0,,4.0,2214,Collection of database clients for python.,7.0,0,True,2022-06-02 17:39:16.000,2022.06.02,44.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,best-of-python - Data Containers,ml-tooling/best-of-python,data-loading,True,https://github.com/ml-tooling/best-of-python,https://github.com/ml-tooling/best-of-python#data-containers--dataframes,CC-BY-SA-4.0,2021-01-11 19:11:32.000,2022-06-09 13:52:46.000000,2022-06-02 17:39:06,142.0,22.0,161,72.0,87.0,,4.0,2214,"Collection of data-container, dataframe, and pandas-utility libraries.",7.0,0,True,2022-06-02 17:39:16.000,2022.06.02,44.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,scikit-learn,scikit-learn/scikit-learn,ml-frameworks,,https://github.com/scikit-learn/scikit-learn,https://github.com/scikit-learn/scikit-learn,BSD-3-Clause,2010-08-17 09:43:38.000,2022-06-09 13:48:43.000000,2022-06-09 12:05:10,28501.0,487.0,23005,2186.0,13590.0,2226.0,7857.0,50357,scikit-learn: machine learning in Python.,2623.0,51,True,2022-05-19 13:35:21.000,1.1.1,63.0,scikit-learn,conda-forge/scikit-learn,['sklearn'],798.0,35364810.0,383518.0,358170.0,https://pypi.org/project/scikit-learn,2022-05-19 13:35:21.000,25348.0,35185690.0,https://anaconda.org/conda-forge/scikit-learn,2022-05-19 17:53:26.305,13075049.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
6,transformers,huggingface/transformers,nlp,,https://github.com/huggingface/transformers,https://github.com/huggingface/transformers,Apache-2.0,2018-10-29 13:56:00.000,2022-06-09 13:51:21.000000,2022-06-09 13:50:50,9963.0,771.0,14942,817.0,8135.0,521.0,9048.0,64610,"Transformers: State-of-the-art Machine Learning for Pytorch, TensorFlow, and JAX.",1347.0,49,True,2022-05-16 18:57:10.000,4.19.2,92.0,transformers,conda-forge/transformers,"['pytorch', 'tensorflow']",1501.0,8162977.0,30046.0,29151.0,https://pypi.org/project/transformers,2022-05-13 18:21:27.000,895.0,8155461.0,https://anaconda.org/conda-forge/transformers,2022-05-22 00:24:31.589,239449.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
7,PyTorch,pytorch/pytorch,ml-frameworks,,https://github.com/pytorch/pytorch,https://github.com/pytorch/pytorch,BSD-3-Clause,2016-08-13 05:26:41.000,2022-06-09 14:04:05.000000,2022-06-09 13:32:20,47261.0,2830.0,15588,1597.0,52568.0,9967.0,18008.0,56530,Tensors and Dynamic neural networks in Python with strong GPU acceleration.,3312.0,49,True,2022-03-10 16:59:55.000,1.11.0,39.0,torch,pytorch/pytorch,['pytorch'],3721.0,12527924.0,6959.0,,https://pypi.org/project/torch,2022-03-10 16:38:35.000,6959.0,10622968.0,https://anaconda.org/pytorch/pytorch,2022-03-10 16:43:32.673,17144131.0,1.0,https://pytorch.org/docs/stable/index.html,,,,,,,,,,,,,,,,,,,,,,,,
8,Matplotlib,matplotlib/matplotlib,data-viz,,https://github.com/matplotlib/matplotlib,https://github.com/matplotlib/matplotlib,Python-2.0,2011-02-19 03:17:12.000,2022-06-09 11:23:40.000000,2022-06-09 11:23:01,43363.0,645.0,6387,580.0,14583.0,1839.0,7123.0,15616,matplotlib: plotting with Python.,1369.0,49,True,2022-05-03 06:44:48.000,3.5.2,91.0,matplotlib,conda-forge/matplotlib,,,29904280.0,623750.0,569222.0,https://pypi.org/project/matplotlib,2022-05-03 06:44:48.000,54528.0,29752806.0,https://anaconda.org/conda-forge/matplotlib,2022-05-04 19:17:05.326,12269399.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
9,scipy,scipy/scipy,others,,https://github.com/scipy/scipy,https://github.com/scipy/scipy,BSD-3-Clause,2011-03-09 18:52:03.000,2022-06-09 13:57:13.000000,2022-06-09 10:29:57,28056.0,584.0,4250,329.0,8128.0,1763.0,6811.0,9724,"Ecosystem of open-source software for mathematics, science, and engineering.",1282.0,49,True,2022-05-18 13:22:14.000,1.8.1,78.0,scipy,conda-forge/scipy,,348510.0,45278793.0,577793.0,520085.0,https://pypi.org/project/scipy,2022-05-18 12:26:12.000,57708.0,44949863.0,https://anaconda.org/conda-forge/scipy,2022-05-20 22:11:37.335,23705437.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
