,name,github_id,category,resource,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,description,contributor_count,projectrank,show,latest_stable_release_published_at,latest_stable_release_number,release_count,pypi_id,conda_id,labels,github_release_downloads,monthly_downloads,dependent_project_count,github_dependent_project_count,pypi_url,pypi_latest_release_published_at,pypi_dependent_project_count,pypi_monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,projectrank_placing,docs_url,trending,helm_id,npm_id,npm_url,npm_latest_release_published_at,npm_dependent_project_count,npm_monthly_downloads,dockerhub_id,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,conda_dependent_project_count,brew_id,apt_id,yum_id,maven_id,maven_url,maven_latest_release_published_at,maven_dependent_project_count,snap_id,dnf_id,yay_id,new_addition
0,ANN Benchmarks,erikbern/ann-benchmarks,nn-search,True,https://github.com/erikbern/ann-benchmarks,https://github.com/erikbern/ann-benchmarks,MIT,2015-05-28 13:21:43.000,2022-06-21 21:17:21.000000,2022-04-26 03:13:26,1295.0,26.0,461,97.0,183.0,46.0,79.0,2951,Benchmarks of approximate nearest neighbor libraries in Python.,69.0,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,best-of-web-python - Web Scraping,ml-tooling/best-of-web-python,web-scraping,True,https://github.com/ml-tooling/best-of-web-python,https://github.com/ml-tooling/best-of-web-python#web-scraping--crawling,CC-BY-SA-4.0,2021-01-05 13:09:27.000,2022-06-23 19:18:30.000000,2022-06-23 19:18:29,137.0,21.0,117,47.0,90.0,4.0,2.0,1569,Collection of web-scraping and crawling libraries.,8.0,0,True,2022-06-23 19:18:34.000,2022.06.23,44.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,best-of-python - Data Extraction,ml-tooling/best-of-python,data-loading,True,https://github.com/ml-tooling/best-of-python,https://github.com/ml-tooling/best-of-python#data-loading--extraction,CC-BY-SA-4.0,2021-01-11 19:11:32.000,2022-06-30 14:53:08.000000,2022-06-30 14:53:08,158.0,38.0,163,74.0,93.0,,4.0,2254,Collection of data-loading and -extraction libraries.,9.0,0,True,2022-06-30 14:53:22.000,2022.06.30,48.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,best-of-python - DB Clients,ml-tooling/best-of-python,db-clients,True,https://github.com/ml-tooling/best-of-python,https://github.com/ml-tooling/best-of-python#database-clients,CC-BY-SA-4.0,2021-01-11 19:11:32.000,2022-06-30 14:53:08.000000,2022-06-30 14:53:08,158.0,38.0,163,74.0,93.0,,4.0,2254,Collection of database clients for python.,9.0,0,True,2022-06-30 14:53:22.000,2022.06.30,48.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,best-of-python - Data Containers,ml-tooling/best-of-python,data-containers,True,https://github.com/ml-tooling/best-of-python,https://github.com/ml-tooling/best-of-python#data-containers--dataframes,CC-BY-SA-4.0,2021-01-11 19:11:32.000,2022-06-30 14:53:08.000000,2022-06-30 14:53:08,158.0,38.0,163,74.0,93.0,,4.0,2254,"Collection of data-container, dataframe, and pandas-utility libraries.",9.0,0,True,2022-06-30 14:53:22.000,2022.06.30,48.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,best-of-python - Data Pipelines,ml-tooling/best-of-python,data-pipelines,True,https://github.com/ml-tooling/best-of-python,https://github.com/ml-tooling/best-of-python#data-pipelines--streaming,CC-BY-SA-4.0,2021-01-11 19:11:32.000,2022-06-30 14:53:08.000000,2022-06-30 14:53:08,158.0,38.0,163,74.0,93.0,,4.0,2254,"Libraries for data batch- and stream-processing, workflow automation, job scheduling, and other data pipeline tasks.",9.0,0,True,2022-06-30 14:53:22.000,2022.06.30,48.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,scikit-learn,scikit-learn/scikit-learn,ml-frameworks,,https://github.com/scikit-learn/scikit-learn,https://github.com/scikit-learn/scikit-learn,BSD-3-Clause,2010-08-17 09:43:38.000,2022-06-30 13:50:01.000000,2022-06-30 13:24:45,28638.0,461.0,23005,2181.0,13764.0,2226.0,7900.0,50584,scikit-learn: machine learning in Python.,2665.0,51,True,2022-05-19 13:35:21.000,1.1.1,63.0,scikit-learn,conda-forge/scikit-learn,['sklearn'],800.0,33563978.0,390951.0,365603.0,https://pypi.org/project/scikit-learn,2022-05-19 13:35:21.000,25348.0,33378666.0,https://anaconda.org/conda-forge/scikit-learn,2022-05-19 17:53:26.305,13527057.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
7,transformers,huggingface/transformers,nlp,,https://github.com/huggingface/transformers,https://github.com/huggingface/transformers,Apache-2.0,2018-10-29 13:56:00.000,2022-06-30 14:11:56.000000,2022-06-30 12:53:32,10136.0,686.0,15251,837.0,8349.0,512.0,9172.0,66174,"Transformers: State-of-the-art Machine Learning for Pytorch, TensorFlow, and JAX.",1380.0,49,True,2022-06-21 19:30:11.000,4.20.1,96.0,transformers,conda-forge/transformers,"['pytorch', 'tensorflow']",1509.0,6541737.0,31505.0,30554.0,https://pypi.org/project/transformers,2022-06-21 19:27:20.000,951.0,6533100.0,https://anaconda.org/conda-forge/transformers,2022-06-22 04:08:06.674,275281.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
8,PyTorch,pytorch/pytorch,ml-frameworks,,https://github.com/pytorch/pytorch,https://github.com/pytorch/pytorch,BSD-3-Clause,2016-08-13 05:26:41.000,2022-06-30 13:56:05.000000,2022-06-30 13:50:39,48032.0,3042.0,15858,1599.0,53600.0,9754.0,18196.0,57046,Tensors and Dynamic neural networks in Python with strong GPU acceleration.,3355.0,49,True,2022-06-28 16:48:06.000,1.12.0,40.0,torch,pytorch/pytorch,['pytorch'],4095.0,11017464.0,7590.0,,https://pypi.org/project/torch,2022-06-28 16:21:51.000,7590.0,9071543.0,https://anaconda.org/pytorch/pytorch,2022-06-28 00:12:32.204,17512763.0,1.0,https://pytorch.org/docs/stable/index.html,,,,,,,,,,,,,,,,,,,,,,,,
9,Matplotlib,matplotlib/matplotlib,data-viz,,https://github.com/matplotlib/matplotlib,https://github.com/matplotlib/matplotlib,Python-2.0,2011-02-19 03:17:12.000,2022-06-30 14:25:17.000000,2022-06-30 14:25:17,43569.0,693.0,6387,584.0,14669.0,1839.0,7173.0,15721,matplotlib: plotting with Python.,1380.0,49,True,2022-05-03 06:44:48.000,3.5.2,91.0,matplotlib,conda-forge/matplotlib,,,29235416.0,635474.0,580946.0,https://pypi.org/project/matplotlib,2022-05-03 06:44:48.000,54528.0,29080405.0,https://anaconda.org/conda-forge/matplotlib,2022-05-04 19:17:05.326,12555916.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
10,scipy,scipy/scipy,others,,https://github.com/scipy/scipy,https://github.com/scipy/scipy,BSD-3-Clause,2011-03-09 18:52:03.000,2022-06-30 15:14:45.000000,2022-06-30 14:23:05,28183.0,535.0,4290,331.0,8208.0,1754.0,6856.0,9814,"Ecosystem of open-source software for mathematics, science, and engineering.",1300.0,49,True,2022-05-18 13:22:14.000,1.8.1,79.0,scipy,conda-forge/scipy,,350026.0,44099259.0,588525.0,530443.0,https://pypi.org/project/scipy,2022-06-24 12:47:40.000,58082.0,43760630.0,https://anaconda.org/conda-forge/scipy,2022-05-20 22:11:37.335,24412114.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
11,Pillow,python-pillow/Pillow,image,,https://github.com/python-pillow/Pillow,https://github.com/python-pillow/Pillow,PIL,2012-07-24 21:38:39.000,2022-06-30 13:29:20.000000,2022-06-30 10:23:13,13442.0,440.0,1856,211.0,3798.0,135.0,2446.0,9913,The friendly PIL fork (Python Imaging Library).,402.0,47,True,2022-05-17 16:46:23.000,9.1.1,88.0,Pillow,conda-forge/pillow,,,47672091.0,839547.0,776639.0,https://pypi.org/project/Pillow,2022-05-17 16:34:46.000,62908.0,47454116.0,https://anaconda.org/conda-forge/pillow,2022-06-15 13:38:25.992,16130196.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
