,name,github_id,category,resource,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,description,contributor_count,projectrank,show,latest_stable_release_published_at,latest_stable_release_number,release_count,pypi_id,conda_id,labels,github_release_downloads,monthly_downloads,dependent_project_count,github_dependent_project_count,pypi_url,pypi_latest_release_published_at,pypi_dependent_project_count,pypi_monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,projectrank_placing,docs_url,helm_id,trending,npm_id,npm_url,npm_latest_release_published_at,npm_dependent_project_count,npm_monthly_downloads,dockerhub_id,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,conda_dependent_project_count,brew_id,apt_id,yum_id,maven_id,maven_url,maven_latest_release_published_at,maven_dependent_project_count,snap_id,dnf_id,yay_id
0,ANN Benchmarks,erikbern/ann-benchmarks,nn-search,True,https://github.com/erikbern/ann-benchmarks,https://github.com/erikbern/ann-benchmarks,MIT,2015-05-28 13:21:43.000,2022-07-01 13:04:47.000000,2022-07-01 13:04:47,1296.0,27.0,461,96.0,184.0,46.0,79.0,2962,Benchmarks of approximate nearest neighbor libraries in Python.,70.0,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,best-of-web-python - Web Scraping,ml-tooling/best-of-web-python,web-scraping,True,https://github.com/ml-tooling/best-of-web-python,https://github.com/ml-tooling/best-of-web-python#web-scraping--crawling,CC-BY-SA-4.0,2021-01-05 13:09:27.000,2022-06-30 23:14:33.000000,2022-06-30 23:14:32,139.0,23.0,118,47.0,91.0,4.0,2.0,1574,Collection of web-scraping and crawling libraries.,8.0,0,True,2022-06-30 23:14:00.000,2022.06.30,45.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,best-of-python - Data Extraction,ml-tooling/best-of-python,data-loading,True,https://github.com/ml-tooling/best-of-python,https://github.com/ml-tooling/best-of-python#data-loading--extraction,CC-BY-SA-4.0,2021-01-11 19:11:32.000,2022-07-07 14:05:41.000000,2022-07-07 14:05:41,160.0,38.0,163,74.0,94.0,1.0,4.0,2268,Collection of data-loading and -extraction libraries.,9.0,0,True,2022-07-07 14:05:47.000,2022.07.07,49.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,best-of-python - DB Clients,ml-tooling/best-of-python,db-clients,True,https://github.com/ml-tooling/best-of-python,https://github.com/ml-tooling/best-of-python#database-clients,CC-BY-SA-4.0,2021-01-11 19:11:32.000,2022-07-07 14:05:41.000000,2022-07-07 14:05:41,160.0,38.0,163,74.0,94.0,1.0,4.0,2268,Collection of database clients for python.,9.0,0,True,2022-07-07 14:05:47.000,2022.07.07,49.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,best-of-python - Data Containers,ml-tooling/best-of-python,data-containers,True,https://github.com/ml-tooling/best-of-python,https://github.com/ml-tooling/best-of-python#data-containers--dataframes,CC-BY-SA-4.0,2021-01-11 19:11:32.000,2022-07-07 14:05:41.000000,2022-07-07 14:05:41,160.0,38.0,163,74.0,94.0,1.0,4.0,2268,"Collection of data-container, dataframe, and pandas-utility libraries.",9.0,0,True,2022-07-07 14:05:47.000,2022.07.07,49.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,best-of-python - Data Pipelines,ml-tooling/best-of-python,data-pipelines,True,https://github.com/ml-tooling/best-of-python,https://github.com/ml-tooling/best-of-python#data-pipelines--streaming,CC-BY-SA-4.0,2021-01-11 19:11:32.000,2022-07-07 14:05:41.000000,2022-07-07 14:05:41,160.0,38.0,163,74.0,94.0,1.0,4.0,2268,"Libraries for data batch- and stream-processing, workflow automation, job scheduling, and other data pipeline tasks.",9.0,0,True,2022-07-07 14:05:47.000,2022.07.07,49.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,scikit-learn,scikit-learn/scikit-learn,ml-frameworks,,https://github.com/scikit-learn/scikit-learn,https://github.com/scikit-learn/scikit-learn,BSD-3-Clause,2010-08-17 09:43:38.000,2022-07-07 14:09:51.000000,2022-07-07 09:40:05,28663.0,442.0,23179,2179.0,13799.0,2228.0,7914.0,50639,scikit-learn: machine learning in Python.,2667.0,51,True,2022-05-19 13:35:21.000,1.1.1,63.0,scikit-learn,conda-forge/scikit-learn,['sklearn'],802.0,32268364.0,393655.0,368022.0,https://pypi.org/project/scikit-learn,2022-05-19 13:35:21.000,25633.0,32083569.0,https://anaconda.org/conda-forge/scikit-learn,2022-05-19 17:53:26.305,13674109.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,
7,transformers,huggingface/transformers,nlp,,https://github.com/huggingface/transformers,https://github.com/huggingface/transformers,Apache-2.0,2018-10-29 13:56:00.000,2022-07-07 14:21:00.000000,2022-07-07 13:08:34,10180.0,672.0,15251,838.0,8403.0,512.0,9205.0,66553,"Transformers: State-of-the-art Machine Learning for Pytorch, TensorFlow, and JAX.",1389.0,49,True,2022-06-21 19:30:11.000,4.20.1,96.0,transformers,conda-forge/transformers,"['pytorch', 'tensorflow']",1514.0,5677125.0,31915.0,30964.0,https://pypi.org/project/transformers,2022-06-21 19:27:20.000,951.0,5668368.0,https://anaconda.org/conda-forge/transformers,2022-06-22 04:08:06.674,287868.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,
8,PyTorch,pytorch/pytorch,ml-frameworks,,https://github.com/pytorch/pytorch,https://github.com/pytorch/pytorch,BSD-3-Clause,2016-08-13 05:26:41.000,2022-07-07 14:18:55.000000,2022-07-07 14:10:00,48203.0,2982.0,15896,1604.0,53920.0,9802.0,18264.0,57178,Tensors and Dynamic neural networks in Python with strong GPU acceleration.,3363.0,49,True,2022-06-28 16:48:06.000,1.12.0,40.0,torch,pytorch/pytorch,['pytorch'],4247.0,9819063.0,7590.0,,https://pypi.org/project/torch,2022-06-28 16:21:51.000,7590.0,8054478.0,https://anaconda.org/pytorch/pytorch,2022-06-28 00:12:32.204,17645258.0,1.0,https://pytorch.org/docs/stable/index.html,,,,,,,,,,,,,,,,,,,,,,,
9,Matplotlib,matplotlib/matplotlib,data-viz,,https://github.com/matplotlib/matplotlib,https://github.com/matplotlib/matplotlib,Python-2.0,2011-02-19 03:17:12.000,2022-07-07 13:32:42.000000,2022-07-07 13:32:41,43610.0,652.0,6387,583.0,14680.0,1839.0,7185.0,15760,matplotlib: plotting with Python.,1381.0,49,True,2022-05-03 06:44:48.000,3.5.2,91.0,matplotlib,conda-forge/matplotlib,,,28160430.0,639072.0,584544.0,https://pypi.org/project/matplotlib,2022-05-03 06:44:48.000,54528.0,28006272.0,https://anaconda.org/conda-forge/matplotlib,2022-05-04 19:17:05.326,12641017.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,
