,name,github_id,category,resource,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,description,contributor_count,projectrank,show,latest_stable_release_published_at,latest_stable_release_number,release_count,pypi_id,conda_id,labels,github_release_downloads,monthly_downloads,dependent_project_count,github_dependent_project_count,pypi_url,pypi_latest_release_published_at,pypi_dependent_project_count,pypi_monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,projectrank_placing,docs_url,helm_id,npm_id,npm_url,npm_latest_release_published_at,npm_dependent_project_count,npm_monthly_downloads,trending,dockerhub_id,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,conda_dependent_project_count,brew_id,apt_id,yum_id,maven_id,maven_url,maven_latest_release_published_at,maven_dependent_project_count,snap_id,dnf_id,yay_id
0,ANN Benchmarks,erikbern/ann-benchmarks,nn-search,True,https://github.com/erikbern/ann-benchmarks,https://github.com/erikbern/ann-benchmarks,MIT,2015-05-28 13:21:43.000,2022-07-11 14:41:16.000000,2022-07-11 14:41:08,1298.0,29.0,461,94.0,185.0,46.0,79.0,2969,Benchmarks of approximate nearest neighbor libraries in Python.,71.0,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,best-of-web-python - Web Scraping,ml-tooling/best-of-web-python,web-scraping,True,https://github.com/ml-tooling/best-of-web-python,https://github.com/ml-tooling/best-of-web-python#web-scraping--crawling,CC-BY-SA-4.0,2021-01-05 13:09:27.000,2022-07-07 16:51:25.000000,2022-07-07 16:51:25,141.0,24.0,119,47.0,92.0,4.0,2.0,1583,Collection of web-scraping and crawling libraries.,8.0,0,True,2022-07-07 16:51:30.000,2022.07.07,46.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,best-of-python - Data Extraction,ml-tooling/best-of-python,data-loading,True,https://github.com/ml-tooling/best-of-python,https://github.com/ml-tooling/best-of-python#data-loading--extraction,CC-BY-SA-4.0,2021-01-11 19:11:32.000,2022-07-14 14:11:04.000000,2022-07-14 14:11:03,162.0,39.0,172,74.0,95.0,1.0,4.0,2291,Collection of data-loading and -extraction libraries.,9.0,0,True,2022-07-14 14:11:09.000,2022.07.14,50.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,best-of-python - DB Clients,ml-tooling/best-of-python,db-clients,True,https://github.com/ml-tooling/best-of-python,https://github.com/ml-tooling/best-of-python#database-clients,CC-BY-SA-4.0,2021-01-11 19:11:32.000,2022-07-14 14:11:04.000000,2022-07-14 14:11:03,162.0,39.0,172,74.0,95.0,1.0,4.0,2291,Collection of database clients for python.,9.0,0,True,2022-07-14 14:11:09.000,2022.07.14,50.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,best-of-python - Data Containers,ml-tooling/best-of-python,data-containers,True,https://github.com/ml-tooling/best-of-python,https://github.com/ml-tooling/best-of-python#data-containers--dataframes,CC-BY-SA-4.0,2021-01-11 19:11:32.000,2022-07-14 14:11:04.000000,2022-07-14 14:11:03,162.0,39.0,172,74.0,95.0,1.0,4.0,2291,"Collection of data-container, dataframe, and pandas-utility libraries.",9.0,0,True,2022-07-14 14:11:09.000,2022.07.14,50.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,best-of-python - Data Pipelines,ml-tooling/best-of-python,data-pipelines,True,https://github.com/ml-tooling/best-of-python,https://github.com/ml-tooling/best-of-python#data-pipelines--streaming,CC-BY-SA-4.0,2021-01-11 19:11:32.000,2022-07-14 14:11:04.000000,2022-07-14 14:11:03,162.0,39.0,172,74.0,95.0,1.0,4.0,2291,"Libraries for data batch- and stream-processing, workflow automation, job scheduling, and other data pipeline tasks.",9.0,0,True,2022-07-14 14:11:09.000,2022.07.14,50.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,scikit-learn,scikit-learn/scikit-learn,ml-frameworks,,https://github.com/scikit-learn/scikit-learn,https://github.com/scikit-learn/scikit-learn,BSD-3-Clause,2010-08-17 09:43:38.000,2022-07-14 00:24:53.000000,2022-07-12 08:41:31,28671.0,419.0,23203,2180.0,13823.0,2235.0,7921.0,50707,scikit-learn: machine learning in Python.,2667.0,51,True,2022-05-19 13:35:21.000,1.1.1,63.0,scikit-learn,conda-forge/scikit-learn,['sklearn'],804.0,31738279.0,395795.0,370129.0,https://pypi.org/project/scikit-learn,2022-05-19 13:35:21.000,25666.0,31551553.0,https://anaconda.org/conda-forge/scikit-learn,2022-05-19 17:53:26.305,13816987.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,
7,transformers,huggingface/transformers,nlp,,https://github.com/huggingface/transformers,https://github.com/huggingface/transformers,Apache-2.0,2018-10-29 13:56:00.000,2022-07-14 12:54:28.000000,2022-07-13 17:04:08,10209.0,641.0,15251,843.0,8445.0,512.0,9238.0,66925,"Transformers: State-of-the-art Machine Learning for Pytorch, TensorFlow, and JAX.",1398.0,49,True,2022-06-21 19:30:11.000,4.20.1,96.0,transformers,conda-forge/transformers,"['pytorch', 'tensorflow']",1514.0,5453683.0,32297.0,31346.0,https://pypi.org/project/transformers,2022-06-21 19:27:20.000,951.0,5444571.0,https://anaconda.org/conda-forge/transformers,2022-06-22 04:08:06.674,299591.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,
8,PyTorch,pytorch/pytorch,ml-frameworks,,https://github.com/pytorch/pytorch,https://github.com/pytorch/pytorch,BSD-3-Clause,2016-08-13 05:26:41.000,2022-07-14 14:17:05.000000,2022-07-14 06:43:58,48457.0,3033.0,15950,1603.0,54209.0,9584.0,18328.0,57326,Tensors and Dynamic neural networks in Python with strong GPU acceleration.,3374.0,49,True,2022-06-28 16:48:06.000,1.12.0,40.0,torch,pytorch/pytorch,['pytorch'],4347.0,9623138.0,7590.0,,https://pypi.org/project/torch,2022-06-28 16:21:51.000,7590.0,7845044.0,https://anaconda.org/pytorch/pytorch,2022-06-28 00:12:32.204,17780328.0,1.0,https://pytorch.org/docs/stable/index.html,,,,,,,,,,,,,,,,,,,,,,,
9,Matplotlib,matplotlib/matplotlib,data-viz,,https://github.com/matplotlib/matplotlib,https://github.com/matplotlib/matplotlib,Python-2.0,2011-02-19 03:17:12.000,2022-07-14 11:11:47.000000,2022-07-13 07:12:42,43637.0,636.0,6387,584.0,14695.0,1839.0,7193.0,15807,matplotlib: plotting with Python.,1382.0,49,True,2022-05-03 06:44:48.000,3.5.2,91.0,matplotlib,conda-forge/matplotlib,,,27634730.0,642660.0,588132.0,https://pypi.org/project/matplotlib,2022-05-03 06:44:48.000,54528.0,27479470.0,https://anaconda.org/conda-forge/matplotlib,2022-05-04 19:17:05.326,12731346.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,
