,name,github_id,category,resource,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,description,contributor_count,projectrank,show,latest_stable_release_published_at,latest_stable_release_number,release_count,pypi_id,conda_id,labels,github_release_downloads,monthly_downloads,dependent_project_count,github_dependent_project_count,pypi_url,pypi_latest_release_published_at,pypi_dependent_project_count,pypi_monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,projectrank_placing,docs_url,helm_id,trending,npm_id,npm_url,npm_latest_release_published_at,npm_dependent_project_count,npm_monthly_downloads,conda_dependent_project_count,dockerhub_id,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,brew_id,apt_id,yum_id,maven_id,maven_url,maven_latest_release_published_at,maven_dependent_project_count,snap_id,dnf_id,yay_id
0,ANN Benchmarks,erikbern/ann-benchmarks,nn-search,True,https://github.com/erikbern/ann-benchmarks,https://github.com/erikbern/ann-benchmarks,MIT,2015-05-28 13:21:43.000,2022-07-18 07:53:15.000000,2022-07-18 07:53:15,1299.0,30.0,461,94.0,186.0,46.0,79.0,2976,Benchmarks of approximate nearest neighbor libraries in Python.,71.0,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,best-of-web-python - Web Scraping,ml-tooling/best-of-web-python,web-scraping,True,https://github.com/ml-tooling/best-of-web-python,https://github.com/ml-tooling/best-of-web-python#web-scraping--crawling,CC-BY-SA-4.0,2021-01-05 13:09:27.000,2022-07-14 16:40:48.000000,2022-07-14 16:40:47,143.0,24.0,120,47.0,93.0,4.0,2.0,1590,Collection of web-scraping and crawling libraries.,8.0,0,True,2022-07-14 16:40:53.000,2022.07.14,47.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,best-of-python - Data Extraction,ml-tooling/best-of-python,data-loading,True,https://github.com/ml-tooling/best-of-python,https://github.com/ml-tooling/best-of-python#data-loading--extraction,CC-BY-SA-4.0,2021-01-11 19:11:32.000,2022-07-21 14:08:50.000000,2022-07-14 14:11:03,162.0,36.0,172,74.0,96.0,1.0,4.0,2304,Collection of data-loading and -extraction libraries.,9.0,0,True,2022-07-14 14:11:09.000,2022.07.14,50.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,best-of-python - DB Clients,ml-tooling/best-of-python,db-clients,True,https://github.com/ml-tooling/best-of-python,https://github.com/ml-tooling/best-of-python#database-clients,CC-BY-SA-4.0,2021-01-11 19:11:32.000,2022-07-21 14:08:50.000000,2022-07-14 14:11:03,162.0,36.0,172,74.0,96.0,1.0,4.0,2304,Collection of database clients for python.,9.0,0,True,2022-07-14 14:11:09.000,2022.07.14,50.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,best-of-python - Data Containers,ml-tooling/best-of-python,data-containers,True,https://github.com/ml-tooling/best-of-python,https://github.com/ml-tooling/best-of-python#data-containers--dataframes,CC-BY-SA-4.0,2021-01-11 19:11:32.000,2022-07-21 14:08:50.000000,2022-07-14 14:11:03,162.0,36.0,172,74.0,96.0,1.0,4.0,2304,"Collection of data-container, dataframe, and pandas-utility libraries.",9.0,0,True,2022-07-14 14:11:09.000,2022.07.14,50.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,best-of-python - Data Pipelines,ml-tooling/best-of-python,data-pipelines,True,https://github.com/ml-tooling/best-of-python,https://github.com/ml-tooling/best-of-python#data-pipelines--streaming,CC-BY-SA-4.0,2021-01-11 19:11:32.000,2022-07-21 14:08:50.000000,2022-07-14 14:11:03,162.0,36.0,172,74.0,96.0,1.0,4.0,2304,"Libraries for data batch- and stream-processing, workflow automation, job scheduling, and other data pipeline tasks.",9.0,0,True,2022-07-14 14:11:09.000,2022.07.14,50.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,scikit-learn,scikit-learn/scikit-learn,ml-frameworks,,https://github.com/scikit-learn/scikit-learn,https://github.com/scikit-learn/scikit-learn,BSD-3-Clause,2010-08-17 09:43:38.000,2022-07-21 14:17:16.000000,2022-07-21 14:17:16,28722.0,440.0,23238,2182.0,13875.0,2247.0,7937.0,50778,scikit-learn: machine learning in Python.,2681.0,51,True,2022-05-19 13:35:21.000,1.1.1,63.0,scikit-learn,conda-forge/scikit-learn,['sklearn'],806.0,31516845.0,398130.0,372464.0,https://pypi.org/project/scikit-learn,2022-05-19 13:35:21.000,25666.0,31328336.0,https://anaconda.org/conda-forge/scikit-learn,2022-05-19 17:53:26.305,13948945.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,
7,transformers,huggingface/transformers,nlp,,https://github.com/huggingface/transformers,https://github.com/huggingface/transformers,Apache-2.0,2018-10-29 13:56:00.000,2022-07-21 14:06:26.000000,2022-07-21 13:03:50,10254.0,631.0,15251,842.0,8495.0,512.0,9270.0,67258,"Transformers: State-of-the-art Machine Learning for Pytorch, TensorFlow, and JAX.",1405.0,49,True,2022-06-21 19:30:11.000,4.20.1,96.0,transformers,conda-forge/transformers,"['pytorch', 'tensorflow']",1517.0,5483852.0,32744.0,31793.0,https://pypi.org/project/transformers,2022-06-21 19:27:20.000,951.0,5474441.0,https://anaconda.org/conda-forge/transformers,2022-06-22 04:08:06.674,309447.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,
8,PyTorch,pytorch/pytorch,ml-frameworks,,https://github.com/pytorch/pytorch,https://github.com/pytorch/pytorch,BSD-3-Clause,2016-08-13 05:26:41.000,2022-07-21 14:24:51.000000,2022-07-21 12:46:36,48693.0,3042.0,15972,1606.0,54533.0,9602.0,18388.0,57464,Tensors and Dynamic neural networks in Python with strong GPU acceleration.,3387.0,49,True,2022-06-28 16:48:06.000,1.12.0,40.0,torch,pytorch/pytorch,['pytorch'],4486.0,9606581.0,7590.0,,https://pypi.org/project/torch,2022-06-28 16:21:51.000,7590.0,7816816.0,https://anaconda.org/pytorch/pytorch,2022-06-28 00:12:32.204,17897017.0,1.0,https://pytorch.org/docs/stable/index.html,,,,,,,,,,,,,,,,,,,,,,,
9,Matplotlib,matplotlib/matplotlib,data-viz,,https://github.com/matplotlib/matplotlib,https://github.com/matplotlib/matplotlib,Python-2.0,2011-02-19 03:17:12.000,2022-07-21 14:44:11.000000,2022-07-20 23:41:50,43649.0,618.0,6387,584.0,14717.0,1839.0,7201.0,15843,matplotlib: plotting with Python.,1383.0,49,True,2022-05-03 06:44:48.000,3.5.2,91.0,matplotlib,conda-forge/matplotlib,,,27627874.0,646321.0,591793.0,https://pypi.org/project/matplotlib,2022-05-03 06:44:48.000,54528.0,27471617.0,https://anaconda.org/conda-forge/matplotlib,2022-05-04 19:17:05.326,12813153.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,
10,scipy,scipy/scipy,others,,https://github.com/scipy/scipy,https://github.com/scipy/scipy,BSD-3-Clause,2011-03-09 18:52:03.000,2022-07-21 12:51:04.000000,2022-07-21 12:51:04,28326.0,611.0,4322,329.0,8323.0,1742.0,6923.0,9983,"Ecosystem of open-source software for mathematics, science, and engineering.",1323.0,49,True,2022-05-18 13:22:14.000,1.8.1,80.0,scipy,conda-forge/scipy,,351477.0,42854480.0,597564.0,539337.0,https://pypi.org/project/scipy,2022-07-05 00:14:32.000,58227.0,42511493.0,https://anaconda.org/conda-forge/scipy,2022-05-20 22:11:37.335,25071493.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,
11,Pillow,python-pillow/Pillow,image,,https://github.com/python-pillow/Pillow,https://github.com/python-pillow/Pillow,PIL,2012-07-24 21:38:39.000,2022-07-20 23:12:55.000000,2022-07-19 19:54:18,13519.0,373.0,1869,211.0,3822.0,113.0,2464.0,9962,The friendly PIL fork (Python Imaging Library).,405.0,47,True,2022-07-01 18:32:05.000,9.2.0,89.0,Pillow,conda-forge/pillow,,,45965178.0,856521.0,793366.0,https://pypi.org/project/Pillow,2022-07-01 18:28:52.000,63155.0,45741945.0,https://anaconda.org/conda-forge/pillow,2022-07-05 08:21:30.516,16742546.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,
