,name,github_id,category,resource,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,description,contributor_count,projectrank,show,latest_stable_release_published_at,latest_stable_release_number,release_count,pypi_id,conda_id,labels,github_release_downloads,monthly_downloads,dependent_project_count,github_dependent_project_count,pypi_url,pypi_latest_release_published_at,pypi_dependent_project_count,pypi_monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,projectrank_placing,docs_url,trending,helm_id,npm_id,npm_url,npm_latest_release_published_at,npm_dependent_project_count,npm_monthly_downloads,conda_dependent_project_count,dockerhub_id,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,updated_github_id,brew_id,apt_id,yum_id,maven_id,maven_url,maven_latest_release_published_at,maven_dependent_project_count,snap_id,dnf_id,yay_id
0,ANN Benchmarks,erikbern/ann-benchmarks,nn-search,True,https://github.com/erikbern/ann-benchmarks,https://github.com/erikbern/ann-benchmarks,MIT,2015-05-28 13:21:43.000,2022-09-02 10:11:45.000000,2022-09-02 10:11:45,1303.0,8.0,461,95.0,188.0,46.0,81.0,3048,Benchmarks of approximate nearest neighbor libraries in Python.,71.0,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,best-of-web-python - Web Scraping,ml-tooling/best-of-web-python,web-scraping,True,https://github.com/ml-tooling/best-of-web-python,https://github.com/ml-tooling/best-of-web-python#web-scraping--crawling,CC-BY-SA-4.0,2021-01-05 13:09:27.000,2022-09-09 11:54:29.000000,2022-09-09 11:54:28,159.0,25.0,125,47.0,102.0,,2.0,1660,Collection of web-scraping and crawling libraries.,8.0,0,True,2022-09-09 11:54:34.000,2022.09.08,55.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,best-of-python - Data Extraction,ml-tooling/best-of-python,data-loading,True,https://github.com/ml-tooling/best-of-python,https://github.com/ml-tooling/best-of-python#data-loading--extraction,CC-BY-SA-4.0,2021-01-11 19:11:32.000,2022-09-15 14:12:23.000000,2022-09-08 14:07:19,178.0,32.0,175,78.0,106.0,2.0,4.0,2458,Collection of data-loading and -extraction libraries.,9.0,0,True,2022-09-08 14:07:24.000,2022.09.08,58.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,best-of-python - DB Clients,ml-tooling/best-of-python,db-clients,True,https://github.com/ml-tooling/best-of-python,https://github.com/ml-tooling/best-of-python#database-clients,CC-BY-SA-4.0,2021-01-11 19:11:32.000,2022-09-15 14:12:23.000000,2022-09-08 14:07:19,178.0,32.0,175,78.0,106.0,2.0,4.0,2458,Collection of database clients for python.,9.0,0,True,2022-09-08 14:07:24.000,2022.09.08,58.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,best-of-python - Data Containers,ml-tooling/best-of-python,data-containers,True,https://github.com/ml-tooling/best-of-python,https://github.com/ml-tooling/best-of-python#data-containers--dataframes,CC-BY-SA-4.0,2021-01-11 19:11:32.000,2022-09-15 14:12:23.000000,2022-09-08 14:07:19,178.0,32.0,175,78.0,106.0,2.0,4.0,2458,"Collection of data-container, dataframe, and pandas-utility libraries.",9.0,0,True,2022-09-08 14:07:24.000,2022.09.08,58.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,best-of-python - Data Pipelines,ml-tooling/best-of-python,data-pipelines,True,https://github.com/ml-tooling/best-of-python,https://github.com/ml-tooling/best-of-python#data-pipelines--streaming,CC-BY-SA-4.0,2021-01-11 19:11:32.000,2022-09-15 14:12:23.000000,2022-09-08 14:07:19,178.0,32.0,175,78.0,106.0,2.0,4.0,2458,"Libraries for data batch- and stream-processing, workflow automation, job scheduling, and other data pipeline tasks.",9.0,0,True,2022-09-08 14:07:24.000,2022.09.08,58.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,scikit-learn,scikit-learn/scikit-learn,ml-frameworks,,https://github.com/scikit-learn/scikit-learn,https://github.com/scikit-learn/scikit-learn,BSD-3-Clause,2010-08-17 09:43:38.000,2022-09-15 14:28:33.000000,2022-09-15 09:45:48,28985.0,449.0,23319,2182.0,14195.0,2144.0,8086.0,51368,scikit-learn: machine learning in Python.,2741.0,51,True,2022-08-05 22:48:17.000,1.1.2,64.0,scikit-learn,conda-forge/scikit-learn,['sklearn'],813.0,32971026.0,417610.0,391944.0,https://pypi.org/project/scikit-learn,2022-05-19 13:35:21.000,25666.0,32769581.0,https://anaconda.org/conda-forge/scikit-learn,2022-08-05 23:30:56.710,15309134.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
7,PyTorch,pytorch/pytorch,ml-frameworks,,https://github.com/pytorch/pytorch,https://github.com/pytorch/pytorch,BSD-3-Clause,2016-08-13 05:26:41.000,2022-09-15 14:26:17.000000,2022-09-15 06:41:33,51660.0,4049.0,16171,1607.0,56697.0,9872.0,18931.0,58794,Tensors and Dynamic neural networks in Python with strong GPU acceleration.,3502.0,50,True,2022-08-05 19:35:19.000,1.12.1,41.0,torch,pytorch/pytorch,['pytorch'],6381.0,10045091.0,7631.0,,https://pypi.org/project/torch,2022-06-28 16:21:51.000,7631.0,8442819.0,https://anaconda.org/pytorch/pytorch,2022-08-04 21:19:08.482,19226219.0,1.0,https://pytorch.org/docs/stable/index.html,,,,,,,,,,,,,,,,,,,,,,,,
8,transformers,huggingface/transformers,nlp,,https://github.com/huggingface/transformers,https://github.com/huggingface/transformers,Apache-2.0,2018-10-29 13:56:00.000,2022-09-15 14:35:20.000000,2022-09-15 13:50:11,10662.0,634.0,15428,854.0,8995.0,512.0,9599.0,70267,"Transformers: State-of-the-art Machine Learning for Pytorch, TensorFlow, and JAX.",1478.0,49,True,2022-09-14 18:57:24.000,4.22.0,100.0,transformers,conda-forge/transformers,"['pytorch', 'tensorflow']",956.0,7276957.0,35962.0,34987.0,https://pypi.org/project/transformers,2022-06-21 19:27:20.000,975.0,7265003.0,https://anaconda.org/conda-forge/transformers,2022-09-15 04:01:12.879,417700.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
9,Matplotlib,matplotlib/matplotlib,data-viz,,https://github.com/matplotlib/matplotlib,https://github.com/matplotlib/matplotlib,Python-2.0,2011-02-19 03:17:12.000,2022-09-15 13:07:50.000000,2022-09-15 12:33:57,44243.0,710.0,6468,582.0,15011.0,1833.0,7324.0,16117,matplotlib: plotting with Python.,1406.0,49,True,2022-08-11 05:28:56.452,3.5.3,94.0,matplotlib,conda-forge/matplotlib,,,29449240.0,676256.0,621196.0,https://pypi.org/project/matplotlib,2022-05-03 06:44:48.000,55060.0,29288133.0,https://anaconda.org/conda-forge/matplotlib,2022-09-10 08:48:44.335,13533027.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
10,scipy,scipy/scipy,others,,https://github.com/scipy/scipy,https://github.com/scipy/scipy,BSD-3-Clause,2011-03-09 18:52:03.000,2022-09-15 14:32:52.000000,2022-09-15 13:19:05,28719.0,589.0,4391,337.0,8552.0,1709.0,7060.0,10176,"Ecosystem of open-source software for mathematics, science, and engineering.",1352.0,49,True,2022-08-27 02:03:18.000,1.9.1,83.0,scipy,conda-forge/scipy,,356141.0,45483191.0,622482.0,564255.0,https://pypi.org/project/scipy,2022-07-05 00:14:32.000,58227.0,45120899.0,https://anaconda.org/conda-forge/scipy,2022-08-30 14:11:29.079,27219504.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
11,Pillow,python-pillow/Pillow,image,,https://github.com/python-pillow/Pillow,https://github.com/python-pillow/Pillow,PIL,2012-07-24 21:38:39.000,2022-09-15 11:46:15.000000,2022-09-13 14:52:50,13664.0,269.0,1886,214.0,3891.0,121.0,2501.0,10145,The friendly PIL fork (Python Imaging Library).,408.0,47,True,2022-07-01 18:32:05.000,9.2.0,89.0,Pillow,conda-forge/pillow,,,47455174.0,904637.0,841482.0,https://pypi.org/project/Pillow,2022-07-01 18:28:52.000,63155.0,47214288.0,https://anaconda.org/conda-forge/pillow,2022-08-13 11:08:07.290,18548250.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
12,SymPy,sympy/sympy,others,,https://github.com/sympy/sympy,https://github.com/sympy/sympy,BSD-3-Clause,2010-04-30 20:37:14.000,2022-09-15 14:47:07.000000,2022-09-15 10:43:12,52032.0,862.0,3727,282.0,11806.0,4511.0,8101.0,9603,A computer algebra system written in pure Python.,1171.0,46,True,2022-08-30 17:34:08.040,1.11.1,48.0,sympy,conda-forge/sympy,,463633.0,2708541.0,50221.0,46011.0,https://pypi.org/project/sympy,2022-03-20 12:00:44.000,4210.0,2672972.0,https://anaconda.org/conda-forge/sympy,2022-08-23 23:56:28.223,2383053.0,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,
13,Keras,keras-team/keras,ml-frameworks,,https://github.com/keras-team/keras,https://github.com/keras-team/keras,Apache-2.0,2015-03-28 00:35:42.000,2022-09-15 12:36:38.000000,2022-09-15 01:09:00,7331.0,255.0,19175,1941.0,5534.0,334.0,11205.0,56147,Deep Learning for humans.,1104.0,45,True,2022-09-02 21:31:44.000,2.10.0,68.0,keras,conda-forge/keras,['tensorflow'],,8931325.0,330.0,,https://pypi.org/project/keras,2022-05-13 18:15:03.000,330.0,8896562.0,https://anaconda.org/conda-forge/keras,2022-09-04 01:30:22.305,2537752.0,1.0,https://keras.io,,,,,,,,,,,,,,,,,,,,,,,,
