,name,github_id,category,resource,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,description,contributor_count,projectrank,show,latest_stable_release_published_at,latest_stable_release_number,release_count,pypi_id,conda_id,dockerhub_id,docs_url,labels,dependent_project_count,github_dependent_project_count,pypi_url,pypi_latest_release_published_at,pypi_dependent_project_count,pypi_monthly_downloads,monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,projectrank_placing,trending,github_release_downloads,helm_id,npm_id,npm_url,npm_latest_release_published_at,npm_dependent_project_count,npm_monthly_downloads,conda_dependent_project_count,brew_id,apt_id,yum_id,updated_github_id,maven_id,maven_url,maven_latest_release_published_at,maven_dependent_project_count,dnf_id,yay_id,snap_id
0,ANN Benchmarks,erikbern/ann-benchmarks,nn-search,True,https://github.com/erikbern/ann-benchmarks,https://github.com/erikbern/ann-benchmarks,MIT,2015-05-28 13:21:43.000,2022-10-04 13:33:13.000000,2022-10-04 13:33:13,1304,6.0,462,96.0,188.0,46.0,81.0,3093,Benchmarks of approximate nearest neighbor libraries in Python.,71.0,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,best-of-web-python - Web Scraping,ml-tooling/best-of-web-python,web-scraping,True,https://github.com/ml-tooling/best-of-web-python,https://github.com/ml-tooling/best-of-web-python#web-scraping--crawling,CC-BY-SA-4.0,2021-01-05 13:09:27.000,2022-10-06 16:56:19.000000,2022-10-06 16:56:18,168,25.0,128,48.0,107.0,,2.0,1694,Collection of web-scraping and crawling libraries.,9.0,0,True,2022-10-06 16:56:23.000,2022.10.06,59.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,best-of-python - Data Extraction,ml-tooling/best-of-python,data-loading,True,https://github.com/ml-tooling/best-of-python,https://github.com/ml-tooling/best-of-python#data-loading--extraction,CC-BY-SA-4.0,2021-01-11 19:11:32.000,2022-10-13 14:18:07.000000,2022-10-06 16:55:16,186,24.0,176,78.0,110.0,2.0,4.0,2521,Collection of data-loading and -extraction libraries.,9.0,0,True,2022-10-06 16:55:22.000,2022.10.06,62.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,best-of-python - DB Clients,ml-tooling/best-of-python,db-clients,True,https://github.com/ml-tooling/best-of-python,https://github.com/ml-tooling/best-of-python#database-clients,CC-BY-SA-4.0,2021-01-11 19:11:32.000,2022-10-13 14:18:07.000000,2022-10-06 16:55:16,186,24.0,176,78.0,110.0,2.0,4.0,2521,Collection of database clients for python.,9.0,0,True,2022-10-06 16:55:22.000,2022.10.06,62.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,best-of-python - Data Containers,ml-tooling/best-of-python,data-containers,True,https://github.com/ml-tooling/best-of-python,https://github.com/ml-tooling/best-of-python#data-containers--dataframes,CC-BY-SA-4.0,2021-01-11 19:11:32.000,2022-10-13 14:18:07.000000,2022-10-06 16:55:16,186,24.0,176,78.0,110.0,2.0,4.0,2521,"Collection of data-container, dataframe, and pandas-utility libraries.",9.0,0,True,2022-10-06 16:55:22.000,2022.10.06,62.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,best-of-python - Data Pipelines,ml-tooling/best-of-python,data-pipelines,True,https://github.com/ml-tooling/best-of-python,https://github.com/ml-tooling/best-of-python#data-pipelines--streaming,CC-BY-SA-4.0,2021-01-11 19:11:32.000,2022-10-13 14:18:07.000000,2022-10-06 16:55:16,186,24.0,176,78.0,110.0,2.0,4.0,2521,"Libraries for data batch- and stream-processing, workflow automation, job scheduling, and other data pipeline tasks.",9.0,0,True,2022-10-06 16:55:22.000,2022.10.06,62.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,Tensorflow,tensorflow/tensorflow,ml-frameworks,,https://github.com/tensorflow/tensorflow,https://github.com/tensorflow/tensorflow,Apache-2.0,2015-11-07 01:19:20.000,2022-10-13 14:26:50.000000,2022-10-13 14:26:39,136763,4575.0,87272,7805.0,21910.0,2363.0,33683.0,170434,An Open Source Machine Learning Framework for Everyone.,4142.0,55,True,2022-09-06 19:44:26.000,2.10.0,164.0,tensorflow,conda-forge/tensorflow,tensorflow/tensorflow,https://www.tensorflow.org/overview,['tensorflow'],233981.0,219694.0,https://pypi.org/project/tensorflow,2022-09-06 19:10:36.717,14287.0,15737893.0,16610996.0,https://anaconda.org/conda-forge/tensorflow,2022-09-25 19:15:48.038,3685660.0,https://hub.docker.com/r/tensorflow/tensorflow,2022-10-13 13:42:17.041057,2058.0,68595383.0,1.0,20.0,,,,,,,,,,,,,,,,,,,
7,scikit-learn,scikit-learn/scikit-learn,ml-frameworks,,https://github.com/scikit-learn/scikit-learn,https://github.com/scikit-learn/scikit-learn,BSD-3-Clause,2010-08-17 09:43:38.000,2022-10-13 14:27:47.000000,2022-10-13 12:58:30,29099,427.0,23515,2178.0,14324.0,2139.0,8130.0,51670,scikit-learn: machine learning in Python.,2761.0,52,True,2022-08-05 22:48:17.000,1.1.2,64.0,scikit-learn,conda-forge/scikit-learn,,,['sklearn'],426661.0,400995.0,https://pypi.org/project/scikit-learn,2022-08-05 14:46:05.647,25666.0,34194066.0,34403621.0,https://anaconda.org/conda-forge/scikit-learn,2022-08-05 23:30:56.710,16134993.0,,,,,1.0,,817.0,,,,,,,,,,,,,,,,,,
8,PyTorch,pytorch/pytorch,ml-frameworks,,https://github.com/pytorch/pytorch,https://github.com/pytorch/pytorch,BSD-3-Clause,2016-08-13 05:26:41.000,2022-10-13 14:28:08.000000,2022-10-13 14:14:26,52615,4084.0,16564,1613.0,57919.0,10279.0,19268.0,59549,Tensors and Dynamic neural networks in Python with strong GPU acceleration.,3582.0,50,True,2022-08-05 19:35:19.000,1.12.1,41.0,torch,pytorch/pytorch,,https://pytorch.org/docs/stable/index.html,['pytorch'],7631.0,,https://pypi.org/project/torch,2022-06-28 16:21:51.000,7631.0,8251563.0,9789038.0,https://anaconda.org/pytorch/pytorch,2022-08-04 21:19:08.482,19985941.0,,,,,1.0,,6972.0,,,,,,,,,,,,,,,,,,
9,Matplotlib,matplotlib/matplotlib,data-viz,,https://github.com/matplotlib/matplotlib,https://github.com/matplotlib/matplotlib,Python-2.0,2011-02-19 03:17:12.000,2022-10-13 14:35:04.000000,2022-10-13 10:40:51,44571,862.0,6521,581.0,15178.0,1910.0,7390.0,16246,matplotlib: plotting with Python.,1415.0,50,True,2022-10-08 09:49:54.000,3.6.1,96.0,matplotlib,conda-forge/matplotlib,,,,691912.0,636852.0,https://pypi.org/project/matplotlib,2022-05-03 06:44:48.000,55060.0,29018021.0,29182202.0,https://anaconda.org/conda-forge/matplotlib,2022-10-11 18:56:24.032,13955464.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,
