,name,github_id,category,resource,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,description,contributor_count,projectrank,show,latest_stable_release_published_at,latest_stable_release_number,release_count,pypi_id,conda_id,dockerhub_id,docs_url,labels,dependent_project_count,github_dependent_project_count,pypi_url,pypi_latest_release_published_at,pypi_dependent_project_count,pypi_monthly_downloads,monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,projectrank_placing,github_release_downloads,helm_id,trending,npm_id,npm_url,npm_latest_release_published_at,npm_dependent_project_count,npm_monthly_downloads,brew_id,apt_id,yum_id,updated_github_id,conda_dependent_project_count,maven_id,maven_url,maven_latest_release_published_at,maven_dependent_project_count,dnf_id,yay_id,snap_id
0,ANN Benchmarks,erikbern/ann-benchmarks,nn-search,True,https://github.com/erikbern/ann-benchmarks,https://github.com/erikbern/ann-benchmarks,MIT,2015-05-28 13:21:43.000,2022-12-05 19:23:18.000000,2022-12-05 19:23:18,1325.0,22.0,469,97.0,192.0,46.0,102.0,3150,Benchmarks of approximate nearest neighbor libraries in Python.,75.0,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,best-of-web-python - Web Scraping,ml-tooling/best-of-web-python,web-scraping,True,https://github.com/ml-tooling/best-of-web-python,https://github.com/ml-tooling/best-of-web-python#web-scraping--crawling,CC-BY-SA-4.0,2021-01-05 13:09:27.000,2022-12-01 22:35:35.000000,2022-12-01 22:35:34,184.0,25.0,132,52.0,114.0,,2.0,1746,Collection of web-scraping and crawling libraries.,9.0,0,True,2022-12-01 22:35:44.000,2022.12.01,67.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,best-of-python - Data Extraction,ml-tooling/best-of-python,data-loading,True,https://github.com/ml-tooling/best-of-python,https://github.com/ml-tooling/best-of-python#data-loading--extraction,CC-BY-SA-4.0,2021-01-11 19:11:32.000,2022-12-08 13:38:49.000000,2022-12-01 22:37:59,200.0,22.0,188,82.0,116.0,2.0,4.0,2655,Collection of data-loading and -extraction libraries.,9.0,0,True,2022-12-01 22:38:06.000,2022.12.01,69.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,best-of-python - DB Clients,ml-tooling/best-of-python,db-clients,True,https://github.com/ml-tooling/best-of-python,https://github.com/ml-tooling/best-of-python#database-clients,CC-BY-SA-4.0,2021-01-11 19:11:32.000,2022-12-08 13:38:49.000000,2022-12-01 22:37:59,200.0,22.0,188,82.0,116.0,2.0,4.0,2655,Collection of database clients for python.,9.0,0,True,2022-12-01 22:38:06.000,2022.12.01,69.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,best-of-python - Data Containers,ml-tooling/best-of-python,data-containers,True,https://github.com/ml-tooling/best-of-python,https://github.com/ml-tooling/best-of-python#data-containers--dataframes,CC-BY-SA-4.0,2021-01-11 19:11:32.000,2022-12-08 13:38:49.000000,2022-12-01 22:37:59,200.0,22.0,188,82.0,116.0,2.0,4.0,2655,"Collection of data-container, dataframe, and pandas-utility libraries.",9.0,0,True,2022-12-01 22:38:06.000,2022.12.01,69.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,best-of-python - Data Pipelines,ml-tooling/best-of-python,data-pipelines,True,https://github.com/ml-tooling/best-of-python,https://github.com/ml-tooling/best-of-python#data-pipelines--streaming,CC-BY-SA-4.0,2021-01-11 19:11:32.000,2022-12-08 13:38:49.000000,2022-12-01 22:37:59,200.0,22.0,188,82.0,116.0,2.0,4.0,2655,"Libraries for data batch- and stream-processing, workflow automation, job scheduling, and other data pipeline tasks.",9.0,0,True,2022-12-01 22:38:06.000,2022.12.01,69.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,Tensorflow,tensorflow/tensorflow,ml-frameworks,,https://github.com/tensorflow/tensorflow,https://github.com/tensorflow/tensorflow,Apache-2.0,2015-11-07 01:19:20.000,2022-12-08 13:41:54.784375,2022-12-08 13:32:51,139864.0,4761.0,87525,7795.0,22267.0,2360.0,34078.0,171646,An Open Source Machine Learning Framework for Everyone.,4192.0,55,True,2022-11-18 06:01:33.000,2.11.0,171.0,tensorflow,conda-forge/tensorflow,tensorflow/tensorflow,https://www.tensorflow.org/overview,['tensorflow'],244090.0,229807.0,https://pypi.org/project/tensorflow,2022-11-18 05:40:24.645,14283.0,15316326.0,16187040.0,https://anaconda.org/conda-forge/tensorflow,2022-09-25 19:15:48.038,3833523.0,https://hub.docker.com/r/tensorflow/tensorflow,2022-12-08 13:41:54.784375,2083.0,69987914.0,1.0,,,,,,,,,,,,,,,,,,,,
7,scikit-learn,scikit-learn/scikit-learn,ml-frameworks,,https://github.com/scikit-learn/scikit-learn,https://github.com/scikit-learn/scikit-learn,BSD-3-Clause,2010-08-17 09:43:38.000,2022-12-08 13:39:46.000000,2022-12-08 08:26:52,29352.0,384.0,23765,2170.0,14634.0,2128.0,8266.0,52258,scikit-learn: machine learning in Python.,2802.0,52,True,2022-12-08 14:12:37.411,1.2.0,67.0,scikit-learn,conda-forge/scikit-learn,,,['sklearn'],449452.0,423789.0,https://pypi.org/project/scikit-learn,2022-08-05 14:46:05.647,25663.0,33179466.0,33399860.0,https://anaconda.org/conda-forge/scikit-learn,2022-11-29 18:40:19.851,17410363.0,,,,,1.0,834.0,,,,,,,,,,,,,,,,,,,
8,transformers,huggingface/transformers,nlp,,https://github.com/huggingface/transformers,https://github.com/huggingface/transformers,Apache-2.0,2018-10-29 13:56:00.000,2022-12-08 14:21:07.000000,2022-12-08 13:55:59,11543.0,938.0,17095,859.0,10087.0,568.0,10075.0,75669,"Transformers: State-of-the-art Machine Learning for Pytorch, TensorFlow, and JAX.",1642.0,50,True,2022-12-02 16:03:31.000,4.25.1,100.0,transformers,conda-forge/transformers,,,"['pytorch', 'tensorflow']",43125.0,42151.0,https://pypi.org/project/transformers,2022-06-21 19:27:20.000,974.0,8343686.0,8360558.0,https://anaconda.org/conda-forge/transformers,2022-11-03 07:57:01.121,640650.0,,,,,1.0,625.0,,,,,,,,,,,,,,,,,,,
9,PyTorch,pytorch/pytorch,ml-frameworks,,https://github.com/pytorch/pytorch,https://github.com/pytorch/pytorch,BSD-3-Clause,2016-08-13 05:26:41.000,2022-12-08 14:02:47.000000,2022-12-08 09:41:02,54622.0,3103.0,16946,1624.0,60563.0,10751.0,19956.0,60844,Tensors and Dynamic neural networks in Python with strong GPU acceleration.,3739.0,50,True,2022-10-28 16:54:00.000,1.13.0,42.0,torch,pytorch/pytorch,,https://pytorch.org/docs/stable/index.html,['pytorch'],7631.0,,https://pypi.org/project/torch,2022-06-28 16:21:51.000,7631.0,8966655.0,10387354.0,https://anaconda.org/pytorch/pytorch,2022-10-26 20:56:37.700,21308790.0,,,,,1.0,8541.0,,,,,,,,,,,,,,,,,,,
