,name,github_id,category,resource,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,description,contributor_count,projectrank,show,latest_stable_release_published_at,latest_stable_release_number,release_count,pypi_id,conda_id,labels,github_release_downloads,monthly_downloads,dependent_project_count,github_dependent_project_count,pypi_url,pypi_latest_release_published_at,pypi_dependent_project_count,pypi_monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,projectrank_placing,docs_url,trending,helm_id,npm_id,npm_url,npm_latest_release_published_at,npm_dependent_project_count,npm_monthly_downloads,brew_id,apt_id,yum_id,dockerhub_id,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,updated_github_id,conda_dependent_project_count,maven_id,maven_url,maven_latest_release_published_at,maven_dependent_project_count,dnf_id,yay_id,snap_id
0,ANN Benchmarks,erikbern/ann-benchmarks,nn-search,True,https://github.com/erikbern/ann-benchmarks,https://github.com/erikbern/ann-benchmarks,MIT,2015-05-28 13:21:43.000,2022-12-05 19:23:18.000000,2022-12-05 19:23:18,1325.0,22.0,469,97.0,192.0,46.0,102.0,3158,Benchmarks of approximate nearest neighbor libraries in Python.,75.0,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,best-of-web-python - Web Scraping,ml-tooling/best-of-web-python,web-scraping,True,https://github.com/ml-tooling/best-of-web-python,https://github.com/ml-tooling/best-of-web-python#web-scraping--crawling,CC-BY-SA-4.0,2021-01-05 13:09:27.000,2022-12-11 11:29:12.000000,2022-12-11 11:29:11,186.0,25.0,132,52.0,115.0,,2.0,1750,Collection of web-scraping and crawling libraries.,9.0,0,True,2022-12-11 11:29:20.000,2022.12.08,68.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,best-of-python - Data Extraction,ml-tooling/best-of-python,data-loading,True,https://github.com/ml-tooling/best-of-python,https://github.com/ml-tooling/best-of-python#data-loading--extraction,CC-BY-SA-4.0,2021-01-11 19:11:32.000,2022-12-15 13:40:16.000000,2022-12-11 11:27:13,202.0,22.0,189,82.0,117.0,2.0,4.0,2675,Collection of data-loading and -extraction libraries.,9.0,0,True,2022-12-11 11:27:21.000,2022.12.08,70.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,best-of-python - DB Clients,ml-tooling/best-of-python,db-clients,True,https://github.com/ml-tooling/best-of-python,https://github.com/ml-tooling/best-of-python#database-clients,CC-BY-SA-4.0,2021-01-11 19:11:32.000,2022-12-15 13:40:16.000000,2022-12-11 11:27:13,202.0,22.0,189,82.0,117.0,2.0,4.0,2675,Collection of database clients for python.,9.0,0,True,2022-12-11 11:27:21.000,2022.12.08,70.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,best-of-python - Data Containers,ml-tooling/best-of-python,data-containers,True,https://github.com/ml-tooling/best-of-python,https://github.com/ml-tooling/best-of-python#data-containers--dataframes,CC-BY-SA-4.0,2021-01-11 19:11:32.000,2022-12-15 13:40:16.000000,2022-12-11 11:27:13,202.0,22.0,189,82.0,117.0,2.0,4.0,2675,"Collection of data-container, dataframe, and pandas-utility libraries.",9.0,0,True,2022-12-11 11:27:21.000,2022.12.08,70.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,best-of-python - Data Pipelines,ml-tooling/best-of-python,data-pipelines,True,https://github.com/ml-tooling/best-of-python,https://github.com/ml-tooling/best-of-python#data-pipelines--streaming,CC-BY-SA-4.0,2021-01-11 19:11:32.000,2022-12-15 13:40:16.000000,2022-12-11 11:27:13,202.0,22.0,189,82.0,117.0,2.0,4.0,2675,"Libraries for data batch- and stream-processing, workflow automation, job scheduling, and other data pipeline tasks.",9.0,0,True,2022-12-11 11:27:21.000,2022.12.08,70.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,scikit-learn,scikit-learn/scikit-learn,ml-frameworks,,https://github.com/scikit-learn/scikit-learn,https://github.com/scikit-learn/scikit-learn,BSD-3-Clause,2010-08-17 09:43:38.000,2022-12-15 14:12:57.000000,2022-12-15 14:12:56,29373.0,376.0,23780,2167.0,14667.0,2147.0,8275.0,52320,scikit-learn: machine learning in Python.,2806.0,52,True,2022-12-08 14:17:42.000,1.2.0,67.0,scikit-learn,conda-forge/scikit-learn,['sklearn'],834.0,33685728.0,453289.0,427626.0,https://pypi.org/project/scikit-learn,2022-08-05 14:46:05.647,25663.0,33463457.0,https://anaconda.org/conda-forge/scikit-learn,2022-12-08 22:18:09.965,17558658.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
7,transformers,huggingface/transformers,nlp,,https://github.com/huggingface/transformers,https://github.com/huggingface/transformers,Apache-2.0,2018-10-29 13:56:00.000,2022-12-15 14:25:33.000000,2022-12-15 10:16:37,11602.0,920.0,17095,862.0,10151.0,568.0,10108.0,76183,"Transformers: State-of-the-art Machine Learning for Pytorch, TensorFlow, and JAX.",1649.0,50,True,2022-12-02 16:03:31.000,4.25.1,100.0,transformers,conda-forge/transformers,"['pytorch', 'tensorflow']",625.0,8443731.0,43924.0,42950.0,https://pypi.org/project/transformers,2022-06-21 19:27:20.000,974.0,8426470.0,https://anaconda.org/conda-forge/transformers,2022-11-03 07:57:01.121,655441.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
8,PyTorch,pytorch/pytorch,ml-frameworks,,https://github.com/pytorch/pytorch,https://github.com/pytorch/pytorch,BSD-3-Clause,2016-08-13 05:26:41.000,2022-12-15 14:18:00.000000,2022-12-15 14:16:58,54883.0,3176.0,16977,1627.0,60886.0,10740.0,20133.0,60995,Tensors and Dynamic neural networks in Python with strong GPU acceleration.,3750.0,50,True,2022-10-28 16:54:00.000,1.13.0,42.0,torch,pytorch/pytorch,['pytorch'],8683.0,10377821.0,7631.0,,https://pypi.org/project/torch,2022-06-28 16:21:51.000,7631.0,8946911.0,https://anaconda.org/pytorch/pytorch,2022-10-26 20:56:37.700,21461932.0,1.0,https://pytorch.org/docs/stable/index.html,,,,,,,,,,,,,,,,,,,,,,,,
9,Matplotlib,matplotlib/matplotlib,data-viz,,https://github.com/matplotlib/matplotlib,https://github.com/matplotlib/matplotlib,Python-2.0,2011-02-19 03:17:12.000,2022-12-15 14:37:22.000000,2022-12-14 20:20:56,45201.0,807.0,6637,586.0,15586.0,1912.0,7549.0,16543,matplotlib: plotting with Python.,1444.0,49,True,2022-11-03 01:53:13.000,3.6.2,96.0,matplotlib,conda-forge/matplotlib,,,32569395.0,734562.0,679511.0,https://pypi.org/project/matplotlib,2022-10-08 09:47:16.868,55051.0,32397659.0,https://anaconda.org/conda-forge/matplotlib,2022-11-04 00:12:43.022,14941095.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
10,scipy,scipy/scipy,others,,https://github.com/scipy/scipy,https://github.com/scipy/scipy,BSD-3-Clause,2011-03-09 18:52:03.000,2022-12-15 15:03:39.000000,2022-12-15 13:25:48,29181.0,442.0,4506,341.0,8873.0,1692.0,7313.0,10599,"Ecosystem of open-source software for mathematics, science, and engineering.",1401.0,49,True,2022-10-20 02:34:14.000,1.9.3,86.0,scipy,conda-forge/scipy,,362393.0,45679735.0,669293.0,611074.0,https://pypi.org/project/scipy,2022-10-20 00:45:22.690,58219.0,45285568.0,https://anaconda.org/conda-forge/scipy,2022-11-09 07:11:47.295,30817611.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
11,Pillow,python-pillow/Pillow,image,,https://github.com/python-pillow/Pillow,https://github.com/python-pillow/Pillow,PIL,2012-07-24 21:38:39.000,2022-12-14 20:23:46.000000,2022-12-14 05:59:17,14098.0,363.0,1929,218.0,4021.0,111.0,2590.0,10371,The friendly PIL fork (Python Imaging Library).,420.0,47,True,2022-10-29 15:26:51.013,9.3.0,90.0,Pillow,conda-forge/pillow,,,51531704.0,1000205.0,937058.0,https://pypi.org/project/Pillow,2022-10-29 15:26:51.013,63147.0,51262465.0,https://anaconda.org/conda-forge/pillow,2022-10-28 02:28:04.632,21539149.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
