,name,github_id,category,resource,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,description,contributor_count,projectrank,show,latest_stable_release_published_at,latest_stable_release_number,release_count,pypi_id,conda_id,labels,github_release_downloads,monthly_downloads,dependent_project_count,github_dependent_project_count,pypi_url,pypi_latest_release_published_at,pypi_dependent_project_count,pypi_monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,projectrank_placing,docs_url,helm_id,trending,npm_id,npm_url,npm_latest_release_published_at,npm_dependent_project_count,npm_monthly_downloads,brew_id,apt_id,yum_id,dockerhub_id,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,updated_github_id,conda_dependent_project_count,maven_id,maven_url,maven_latest_release_published_at,maven_dependent_project_count,dnf_id,yay_id,snap_id
0,ANN Benchmarks,erikbern/ann-benchmarks,nn-search,True,https://github.com/erikbern/ann-benchmarks,https://github.com/erikbern/ann-benchmarks,MIT,2015-05-28 13:21:43.000,2022-12-05 19:23:18.000000,2022-12-05 19:23:18,1325.0,22.0,469,96.0,192.0,46.0,102.0,3164,Benchmarks of approximate nearest neighbor libraries in Python.,75.0,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,best-of-web-python - Web Scraping,ml-tooling/best-of-web-python,web-scraping,True,https://github.com/ml-tooling/best-of-web-python,https://github.com/ml-tooling/best-of-web-python#web-scraping--crawling,CC-BY-SA-4.0,2021-01-05 13:09:27.000,2022-12-17 03:23:37.000000,2022-12-17 03:23:36,188.0,25.0,131,52.0,116.0,,2.0,1754,Collection of web-scraping and crawling libraries.,9.0,0,True,2022-12-17 03:23:42.000,2022.12.15,69.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,best-of-python - Data Extraction,ml-tooling/best-of-python,data-loading,True,https://github.com/ml-tooling/best-of-python,https://github.com/ml-tooling/best-of-python#data-loading--extraction,CC-BY-SA-4.0,2021-01-11 19:11:32.000,2022-12-22 13:39:36.000000,2022-12-16 16:06:15,204.0,22.0,190,82.0,118.0,2.0,4.0,2691,Collection of data-loading and -extraction libraries.,9.0,0,True,2022-12-16 16:06:24.000,2022.12.15,71.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,best-of-python - DB Clients,ml-tooling/best-of-python,db-clients,True,https://github.com/ml-tooling/best-of-python,https://github.com/ml-tooling/best-of-python#database-clients,CC-BY-SA-4.0,2021-01-11 19:11:32.000,2022-12-22 13:39:36.000000,2022-12-16 16:06:15,204.0,22.0,190,82.0,118.0,2.0,4.0,2691,Collection of database clients for python.,9.0,0,True,2022-12-16 16:06:24.000,2022.12.15,71.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,best-of-python - Data Containers,ml-tooling/best-of-python,data-containers,True,https://github.com/ml-tooling/best-of-python,https://github.com/ml-tooling/best-of-python#data-containers--dataframes,CC-BY-SA-4.0,2021-01-11 19:11:32.000,2022-12-22 13:39:36.000000,2022-12-16 16:06:15,204.0,22.0,190,82.0,118.0,2.0,4.0,2691,"Collection of data-container, dataframe, and pandas-utility libraries.",9.0,0,True,2022-12-16 16:06:24.000,2022.12.15,71.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,best-of-python - Data Pipelines,ml-tooling/best-of-python,data-pipelines,True,https://github.com/ml-tooling/best-of-python,https://github.com/ml-tooling/best-of-python#data-pipelines--streaming,CC-BY-SA-4.0,2021-01-11 19:11:32.000,2022-12-22 13:39:36.000000,2022-12-16 16:06:15,204.0,22.0,190,82.0,118.0,2.0,4.0,2691,"Libraries for data batch- and stream-processing, workflow automation, job scheduling, and other data pipeline tasks.",9.0,0,True,2022-12-16 16:06:24.000,2022.12.15,71.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,scikit-learn,scikit-learn/scikit-learn,ml-frameworks,,https://github.com/scikit-learn/scikit-learn,https://github.com/scikit-learn/scikit-learn,BSD-3-Clause,2010-08-17 09:43:38.000,2022-12-22 13:50:29.000000,2022-12-22 13:32:12,29382.0,359.0,23780,2168.0,14686.0,2147.0,8282.0,52379,scikit-learn: machine learning in Python.,2809.0,52,True,2022-12-08 14:17:42.000,1.2.0,67.0,scikit-learn,conda-forge/scikit-learn,['sklearn'],834.0,34197017.0,456645.0,430982.0,https://pypi.org/project/scikit-learn,2022-08-05 14:46:05.647,25663.0,33973090.0,https://anaconda.org/conda-forge/scikit-learn,2022-12-08 22:18:09.965,17689447.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
7,transformers,huggingface/transformers,nlp,,https://github.com/huggingface/transformers,https://github.com/huggingface/transformers,Apache-2.0,2018-10-29 13:56:00.000,2022-12-22 14:13:49.000000,2022-12-22 10:11:19,11646.0,911.0,17095,865.0,10209.0,568.0,10144.0,76643,"Transformers: State-of-the-art Machine Learning for Pytorch, TensorFlow, and JAX.",1658.0,50,True,2022-12-02 16:03:31.000,4.25.1,100.0,transformers,conda-forge/transformers,"['pytorch', 'tensorflow']",625.0,8330186.0,44667.0,43693.0,https://pypi.org/project/transformers,2022-06-21 19:27:20.000,974.0,8312533.0,https://anaconda.org/conda-forge/transformers,2022-11-03 07:57:01.121,670351.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
8,PyTorch,pytorch/pytorch,ml-frameworks,,https://github.com/pytorch/pytorch,https://github.com/pytorch/pytorch,BSD-3-Clause,2016-08-13 05:26:41.000,2022-12-22 14:16:14.000000,2022-12-22 14:09:06,55145.0,3219.0,16998,1628.0,61179.0,10692.0,20265.0,61140,Tensors and Dynamic neural networks in Python with strong GPU acceleration.,3760.0,50,True,2022-12-16 00:17:16.000,1.13.1,43.0,torch,pytorch/pytorch,['pytorch'],8859.0,10252008.0,7625.0,,https://pypi.org/project/torch,2022-06-28 16:21:51.000,7625.0,8812354.0,https://anaconda.org/pytorch/pytorch,2022-12-15 16:18:09.640,21593054.0,1.0,https://pytorch.org/docs/stable/index.html,,,,,,,,,,,,,,,,,,,,,,,,
9,Matplotlib,matplotlib/matplotlib,data-viz,,https://github.com/matplotlib/matplotlib,https://github.com/matplotlib/matplotlib,Python-2.0,2011-02-19 03:17:12.000,2022-12-22 13:20:33.000000,2022-12-22 07:51:10,45332.0,845.0,6637,588.0,15640.0,1912.0,7581.0,16583,matplotlib: plotting with Python.,1450.0,49,True,2022-11-03 01:53:13.000,3.6.2,96.0,matplotlib,conda-forge/matplotlib,,,32267232.0,740102.0,685051.0,https://pypi.org/project/matplotlib,2022-10-08 09:47:16.868,55051.0,32094465.0,https://anaconda.org/conda-forge/matplotlib,2022-11-04 00:12:43.022,15030761.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
