,name,github_id,category,resource,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,description,contributor_count,projectrank,show,latest_stable_release_published_at,latest_stable_release_number,release_count,pypi_id,conda_id,dockerhub_id,docs_url,labels,dependent_project_count,github_dependent_project_count,pypi_url,pypi_latest_release_published_at,pypi_dependent_project_count,pypi_monthly_downloads,monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,projectrank_placing,github_release_downloads,trending,helm_id,npm_id,npm_url,npm_latest_release_published_at,npm_dependent_project_count,npm_monthly_downloads,brew_id,apt_id,yum_id,updated_github_id,conda_dependent_project_count,maven_id,maven_url,maven_latest_release_published_at,maven_dependent_project_count,dnf_id,yay_id,snap_id,new_addition
0,ANN Benchmarks,erikbern/ann-benchmarks,nn-search,True,https://github.com/erikbern/ann-benchmarks,https://github.com/erikbern/ann-benchmarks,MIT,2015-05-28 13:21:43.000,2023-01-13 22:44:20.000000,2022-12-05 19:23:18,1325.0,21.0,473,96.0,196.0,46.0,102.0,3193,Benchmarks of approximate nearest neighbor libraries in Python.,75.0,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,best-of-web-python - Web Scraping,ml-tooling/best-of-web-python,web-scraping,True,https://github.com/ml-tooling/best-of-web-python,https://github.com/ml-tooling/best-of-web-python#web-scraping--crawling,CC-BY-SA-4.0,2021-01-05 13:09:27.000,2023-01-12 19:56:37.000000,2023-01-12 19:56:36,194.0,22.0,134,52.0,121.0,,2.0,1789,Collection of web-scraping and crawling libraries.,9.0,0,True,2023-01-12 19:56:48.000,2023.01.12,72.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,best-of-python - Data Extraction,ml-tooling/best-of-python,data-loading,True,https://github.com/ml-tooling/best-of-python,https://github.com/ml-tooling/best-of-python#data-loading--extraction,CC-BY-SA-4.0,2021-01-11 19:11:32.000,2023-01-19 13:42:52.000000,2023-01-12 19:54:50,210.0,20.0,204,84.0,122.0,2.0,4.0,2772,Collection of data-loading and -extraction libraries.,9.0,0,True,2023-01-12 19:54:56.000,2023.01.12,74.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,best-of-python - DB Clients,ml-tooling/best-of-python,db-clients,True,https://github.com/ml-tooling/best-of-python,https://github.com/ml-tooling/best-of-python#database-clients,CC-BY-SA-4.0,2021-01-11 19:11:32.000,2023-01-19 13:42:52.000000,2023-01-12 19:54:50,210.0,20.0,204,84.0,122.0,2.0,4.0,2772,Collection of database clients for python.,9.0,0,True,2023-01-12 19:54:56.000,2023.01.12,74.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,best-of-python - Data Containers,ml-tooling/best-of-python,data-containers,True,https://github.com/ml-tooling/best-of-python,https://github.com/ml-tooling/best-of-python#data-containers--dataframes,CC-BY-SA-4.0,2021-01-11 19:11:32.000,2023-01-19 13:42:52.000000,2023-01-12 19:54:50,210.0,20.0,204,84.0,122.0,2.0,4.0,2772,"Collection of data-container, dataframe, and pandas-utility libraries.",9.0,0,True,2023-01-12 19:54:56.000,2023.01.12,74.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,best-of-python - Data Pipelines,ml-tooling/best-of-python,data-pipelines,True,https://github.com/ml-tooling/best-of-python,https://github.com/ml-tooling/best-of-python#data-pipelines--streaming,CC-BY-SA-4.0,2021-01-11 19:11:32.000,2023-01-19 13:42:52.000000,2023-01-12 19:54:50,210.0,20.0,204,84.0,122.0,2.0,4.0,2772,"Libraries for data batch- and stream-processing, workflow automation, job scheduling, and other data pipeline tasks.",9.0,0,True,2023-01-12 19:54:56.000,2023.01.12,74.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,Tensorflow,tensorflow/tensorflow,ml-frameworks,,https://github.com/tensorflow/tensorflow,https://github.com/tensorflow/tensorflow,Apache-2.0,2015-11-07 01:19:20.000,2023-01-19 13:48:56.929808,2023-01-19 10:54:13,141802.0,4393.0,87654,7790.0,22449.0,2326.0,34376.0,172612,An Open Source Machine Learning Framework for Everyone.,4243.0,55,True,2022-11-18 06:01:33.000,2.11.0,171.0,tensorflow,conda-forge/tensorflow,tensorflow/tensorflow,https://www.tensorflow.org/overview,['tensorflow'],253245.0,238962.0,https://pypi.org/project/tensorflow,2022-11-18 05:40:24.645,14283.0,15129468.0,19877668.0,https://anaconda.org/conda-forge/tensorflow,2023-01-08 21:26:45.867,3925287.0,https://hub.docker.com/r/tensorflow/tensorflow,2023-01-19 13:48:56.929808,2093.0,70770562.0,1.0,,,,,,,,,,,,,,,,,,,,,
7,scikit-learn,scikit-learn/scikit-learn,ml-frameworks,,https://github.com/scikit-learn/scikit-learn,https://github.com/scikit-learn/scikit-learn,BSD-3-Clause,2010-08-17 09:43:38.000,2023-01-19 13:46:56.000000,2023-01-19 12:13:22,29500.0,372.0,23852,2164.0,14825.0,2137.0,8338.0,52622,scikit-learn: machine learning in Python.,2839.0,52,True,2022-12-08 14:17:42.000,1.2.0,67.0,scikit-learn,conda-forge/scikit-learn,,,['sklearn'],469153.0,443490.0,https://pypi.org/project/scikit-learn,2022-08-05 14:46:05.647,25663.0,32790554.0,33017362.0,https://anaconda.org/conda-forge/scikit-learn,2022-12-08 22:18:09.965,18143893.0,,,,,1.0,835.0,,,,,,,,,,,,,,,,,,,,
8,PyTorch,pytorch/pytorch,ml-frameworks,,https://github.com/pytorch/pytorch,https://github.com/pytorch/pytorch,BSD-3-Clause,2016-08-13 05:26:41.000,2023-01-19 14:14:03.000000,2023-01-19 14:08:02,55753.0,2816.0,17209,1628.0,61933.0,10594.0,20656.0,61827,Tensors and Dynamic neural networks in Python with strong GPU acceleration.,3798.0,50,True,2022-12-16 00:17:16.000,1.13.1,43.0,torch,pytorch/pytorch,,https://pytorch.org/docs/stable/index.html,['pytorch'],7625.0,,https://pypi.org/project/torch,2022-06-28 16:21:51.000,7625.0,7846130.0,9228258.0,https://anaconda.org/pytorch/pytorch,2022-12-15 16:18:09.640,22112008.0,,,,,1.0,9730.0,,,,,,,,,,,,,,,,,,,,
9,Matplotlib,matplotlib/matplotlib,data-viz,,https://github.com/matplotlib/matplotlib,https://github.com/matplotlib/matplotlib,Python-2.0,2011-02-19 03:17:12.000,2023-01-19 12:35:45.000000,2023-01-19 09:40:05,45623.0,889.0,6682,590.0,15800.0,1894.0,7646.0,16729,matplotlib: plotting with Python.,1459.0,50,True,2023-01-12 02:25:00.396,3.6.3,97.0,matplotlib,conda-forge/matplotlib,,,,760696.0,705645.0,https://pypi.org/project/matplotlib,2022-10-08 09:47:16.868,55051.0,28440325.0,28614879.0,https://anaconda.org/conda-forge/matplotlib,2023-01-18 23:53:01.224,15360800.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,
