,name,github_id,category,resource,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,description,contributor_count,projectrank,show,latest_stable_release_published_at,latest_stable_release_number,release_count,pypi_id,conda_id,dockerhub_id,docs_url,labels,dependent_project_count,github_dependent_project_count,pypi_url,pypi_latest_release_published_at,pypi_dependent_project_count,pypi_monthly_downloads,monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,projectrank_placing,github_release_downloads,helm_id,npm_id,npm_url,npm_latest_release_published_at,npm_dependent_project_count,npm_monthly_downloads,brew_id,apt_id,yum_id,trending,updated_github_id,maven_id,maven_url,maven_latest_release_published_at,maven_dependent_project_count,dnf_id,yay_id,snap_id
0,ANN Benchmarks,erikbern/ann-benchmarks,nn-search,True,https://github.com/erikbern/ann-benchmarks,https://github.com/erikbern/ann-benchmarks,MIT,2015-05-28 13:21:43.000,2023-04-20 13:17:31.000000,2023-04-18 14:42:27,1413.0,88.0,508.0,100.0,254.0,35.0,106.0,3450.0,Benchmarks of approximate nearest neighbor libraries in Python.,83.0,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,best-of-web-python - Web Scraping,ml-tooling/best-of-web-python,web-scraping,True,https://github.com/ml-tooling/best-of-web-python,https://github.com/ml-tooling/best-of-web-python#web-scraping--crawling,CC-BY-SA-4.0,2021-01-05 13:09:27.000,2023-04-16 14:27:34.000000,2023-04-13 20:37:15,221.0,25.0,144.0,52.0,136.0,1.0,2.0,1860.0,Collection of web-scraping and crawling libraries.,10.0,0,True,2023-04-13 20:37:20.000,2023.04.13,85.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,best-of-python - Data Extraction,ml-tooling/best-of-python,data-loading,True,https://github.com/ml-tooling/best-of-python,https://github.com/ml-tooling/best-of-python#data-loading--extraction,CC-BY-SA-4.0,2021-01-11 19:11:32.000,2023-04-20 13:29:58.000000,2023-04-13 20:37:27,236.0,24.0,209.0,83.0,137.0,4.0,4.0,2941.0,Collection of data-loading and -extraction libraries.,9.0,0,True,2023-04-13 20:37:32.000,2023.04.13,86.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,best-of-python - DB Clients,ml-tooling/best-of-python,db-clients,True,https://github.com/ml-tooling/best-of-python,https://github.com/ml-tooling/best-of-python#database-clients,CC-BY-SA-4.0,2021-01-11 19:11:32.000,2023-04-20 13:29:58.000000,2023-04-13 20:37:27,236.0,24.0,198.0,83.0,137.0,2.0,4.0,2941.0,Collection of database clients for python.,9.0,0,True,2023-04-13 20:37:32.000,2023.04.13,86.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,best-of-python - Data Containers,ml-tooling/best-of-python,data-containers,True,https://github.com/ml-tooling/best-of-python,https://github.com/ml-tooling/best-of-python#data-containers--dataframes,CC-BY-SA-4.0,2021-01-11 19:11:32.000,2023-04-20 13:29:58.000000,2023-04-13 20:37:27,236.0,24.0,209.0,83.0,137.0,4.0,4.0,2941.0,"Collection of data-container, dataframe, and pandas-utility libraries.",9.0,0,True,2023-04-13 20:37:32.000,2023.04.13,86.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,best-of-python - Data Pipelines,ml-tooling/best-of-python,data-pipelines,True,https://github.com/ml-tooling/best-of-python,https://github.com/ml-tooling/best-of-python#data-pipelines--streaming,CC-BY-SA-4.0,2021-01-11 19:11:32.000,2023-04-20 13:29:58.000000,2023-04-13 20:37:27,236.0,24.0,209.0,83.0,137.0,4.0,4.0,2941.0,"Libraries for data batch- and stream-processing, workflow automation, job scheduling, and other data pipeline tasks.",9.0,0,True,2023-04-13 20:37:32.000,2023.04.13,86.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,Tensorflow,tensorflow/tensorflow,ml-frameworks,,https://github.com/tensorflow/tensorflow,https://github.com/tensorflow/tensorflow,Apache-2.0,2015-11-07 01:19:20.000,2023-04-20 14:09:09.000000,2023-04-20 14:06:41,146841.0,4762.0,88170.0,7720.0,22886.0,2189.0,35094.0,175694.0,An Open Source Machine Learning Framework for Everyone.,4331.0,55,True,2023-03-23 15:50:02.000,2.12.0,175.0,tensorflow,conda-forge/tensorflow,tensorflow/tensorflow,https://www.tensorflow.org/overview,['tensorflow'],282199.0,267328.0,https://pypi.org/project/tensorflow,2023-03-22 23:10:35.879,14871.0,15928193.0,18102737.0,https://anaconda.org/conda-forge/tensorflow,2023-03-27 12:39:49.535,4081722.0,https://hub.docker.com/r/tensorflow/tensorflow,2023-04-20 12:47:15.141407,2130.0,72443367.0,1.0,,,,,,,,,,,,,,,,,,,
7,scikit-learn,scikit-learn/scikit-learn,ml-frameworks,,https://github.com/scikit-learn/scikit-learn,https://github.com/scikit-learn/scikit-learn,BSD-3-Clause,2010-08-17 09:43:38.000,2023-04-20 14:12:51.000000,2023-04-20 09:15:29,29904.0,397.0,24193.0,2154.0,15369.0,2156.0,8509.0,53890.0,scikit-learn: machine learning in Python.,2908.0,52,True,2023-03-09 10:08:59.000,1.2.2,69.0,scikit-learn,conda-forge/scikit-learn,,,['sklearn'],530456.0,502375.0,https://pypi.org/project/scikit-learn,2023-01-24 16:44:32.680,28081.0,36980017.0,37230597.0,https://anaconda.org/conda-forge/scikit-learn,2023-03-24 18:32:25.095,20797387.0,,,,,1.0,860.0,,,,,,,,,,,,,,,,,,
8,PyTorch,pytorch/pytorch,ml-frameworks,,https://github.com/pytorch/pytorch,https://github.com/pytorch/pytorch,BSD-3-Clause,2016-08-13 05:26:41.000,2023-04-20 14:08:27.000000,2023-04-20 13:19:49,59174.0,3364.0,18093.0,1639.0,66463.0,11720.0,22108.0,65752.0,Tensors and Dynamic neural networks in Python with strong GPU acceleration.,3992.0,50,True,2023-03-15 19:38:58.000,2.0.0,44.0,torch,pytorch/pytorch,,https://pytorch.org/docs/stable/index.html,['pytorch'],9418.0,,https://pypi.org/project/torch,2022-12-15 20:09:57.027,9418.0,10014453.0,10822396.0,https://anaconda.org/pytorch/pytorch,2023-03-14 19:20:31.620,15347635.0,,,,,1.0,13704.0,,,,,,,,,,,,,,,,,,
9,Matplotlib,matplotlib/matplotlib,data-viz,,https://github.com/matplotlib/matplotlib,https://github.com/matplotlib/matplotlib,Python-2.0,2011-02-19 03:17:12.000,2023-04-20 12:35:35.000000,2023-04-20 03:22:31,46993.0,899.0,6847.0,589.0,16278.0,1756.0,8005.0,17243.0,matplotlib: plotting with Python.,1495.0,50,True,2023-03-04 07:29:28.961,3.7.1,101.0,matplotlib,conda-forge/matplotlib,,,,860529.0,800937.0,https://pypi.org/project/matplotlib,2023-01-25 21:23:43.941,59592.0,33796853.0,33990025.0,https://anaconda.org/conda-forge/matplotlib,2023-03-06 21:33:49.039,17578740.0,,,,,1.0,,,,,,,,,,,,,,,,,,,
