,name,github_id,category,resource,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,description,contributor_count,projectrank,show,latest_stable_release_published_at,latest_stable_release_number,release_count,pypi_id,conda_id,dockerhub_id,docs_url,labels,dependent_project_count,github_dependent_project_count,pypi_url,pypi_latest_release_published_at,pypi_dependent_project_count,pypi_monthly_downloads,monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,projectrank_placing,github_release_downloads,trending,helm_id,npm_id,npm_url,npm_latest_release_published_at,npm_dependent_project_count,npm_monthly_downloads,brew_id,apt_id,yum_id,updated_github_id,conda_dependent_project_count,maven_id,maven_url,maven_latest_release_published_at,maven_dependent_project_count,dnf_id,yay_id,snap_id
0,ANN Benchmarks,erikbern/ann-benchmarks,nn-search,True,https://github.com/erikbern/ann-benchmarks,https://github.com/erikbern/ann-benchmarks,MIT,2015-05-28 13:21:43.000,2023-05-04 02:08:42.000000,2023-05-01 15:14:51,1440.0,114.0,514.0,102.0,270.0,35.0,108.0,3555.0,Benchmarks of approximate nearest neighbor libraries in Python.,86.0,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,best-of-web-python - Web Scraping,ml-tooling/best-of-web-python,web-scraping,True,https://github.com/ml-tooling/best-of-web-python,https://github.com/ml-tooling/best-of-web-python#web-scraping--crawling,CC-BY-SA-4.0,2021-01-05 13:09:27.000,2023-04-28 20:05:15.000000,2023-04-28 20:05:14,225.0,25.0,143.0,51.0,138.0,1.0,2.0,1880.0,Collection of web-scraping and crawling libraries.,10.0,0,True,2023-04-28 20:05:23.000,2023.04.27,87.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,best-of-python - Data Extraction,ml-tooling/best-of-python,data-loading,True,https://github.com/ml-tooling/best-of-python,https://github.com/ml-tooling/best-of-python#data-loading--extraction,CC-BY-SA-4.0,2021-01-11 19:11:32.000,2023-05-04 13:33:07.000000,2023-05-04 13:33:07,243.0,27.0,209.0,83.0,140.0,4.0,4.0,2964.0,Collection of data-loading and -extraction libraries.,10.0,0,True,2023-05-04 13:33:12.000,2023.05.04,89.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,best-of-python - DB Clients,ml-tooling/best-of-python,db-clients,True,https://github.com/ml-tooling/best-of-python,https://github.com/ml-tooling/best-of-python#database-clients,CC-BY-SA-4.0,2021-01-11 19:11:32.000,2023-05-04 13:33:07.000000,2023-05-04 13:33:07,243.0,27.0,201.0,83.0,140.0,3.0,4.0,2964.0,Collection of database clients for python.,10.0,0,True,2023-05-04 13:33:12.000,2023.05.04,89.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,best-of-python - Data Containers,ml-tooling/best-of-python,data-containers,True,https://github.com/ml-tooling/best-of-python,https://github.com/ml-tooling/best-of-python#data-containers--dataframes,CC-BY-SA-4.0,2021-01-11 19:11:32.000,2023-05-04 13:33:07.000000,2023-05-04 13:33:07,243.0,27.0,209.0,83.0,140.0,4.0,4.0,2964.0,"Collection of data-container, dataframe, and pandas-utility libraries.",10.0,0,True,2023-05-04 13:33:12.000,2023.05.04,89.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,best-of-python - Data Pipelines,ml-tooling/best-of-python,data-pipelines,True,https://github.com/ml-tooling/best-of-python,https://github.com/ml-tooling/best-of-python#data-pipelines--streaming,CC-BY-SA-4.0,2021-01-11 19:11:32.000,2023-05-04 13:33:07.000000,2023-05-04 13:33:07,243.0,27.0,201.0,83.0,140.0,3.0,4.0,2964.0,"Libraries for data batch- and stream-processing, workflow automation, job scheduling, and other data pipeline tasks.",10.0,0,True,2023-05-04 13:33:12.000,2023.05.04,89.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,Tensorflow,tensorflow/tensorflow,ml-frameworks,,https://github.com/tensorflow/tensorflow,https://github.com/tensorflow/tensorflow,Apache-2.0,2015-11-07 01:19:20.000,2023-05-04 12:47:18.799000,2023-05-04 12:02:10,147437.0,4592.0,88236.0,7724.0,22924.0,2165.0,35182.0,176146.0,An Open Source Machine Learning Framework for Everyone.,4339.0,55,True,2023-03-23 15:50:02.000,2.12.0,175.0,tensorflow,conda-forge/tensorflow,tensorflow/tensorflow,https://www.tensorflow.org/overview,['tensorflow'],286036.0,271076.0,https://pypi.org/project/tensorflow,2023-03-22 23:10:35.879,14960.0,15369683.0,17204913.0,https://anaconda.org/conda-forge/tensorflow,2023-03-27 12:39:49.535,4110665.0,https://hub.docker.com/r/tensorflow/tensorflow,2023-05-04 12:47:18.799000,2134.0,72680791.0,1.0,,,,,,,,,,,,,,,,,,,,
7,scikit-learn,scikit-learn/scikit-learn,ml-frameworks,,https://github.com/scikit-learn/scikit-learn,https://github.com/scikit-learn/scikit-learn,BSD-3-Clause,2010-08-17 09:43:38.000,2023-05-04 14:10:09.000000,2023-05-04 13:17:31,29941.0,397.0,24210.0,2155.0,15430.0,2172.0,8531.0,54055.0,scikit-learn: machine learning in Python.,2911.0,52,True,2023-03-09 10:08:59.000,1.2.2,69.0,scikit-learn,conda-forge/scikit-learn,,,['sklearn'],540040.0,511901.0,https://pypi.org/project/scikit-learn,2023-01-24 16:44:32.680,28139.0,35710728.0,35961478.0,https://anaconda.org/conda-forge/scikit-learn,2023-03-24 18:32:25.095,21062179.0,,,,,1.0,864.0,,,,,,,,,,,,,,,,,,,
8,PyTorch,pytorch/pytorch,ml-frameworks,,https://github.com/pytorch/pytorch,https://github.com/pytorch/pytorch,BSD-3-Clause,2016-08-13 05:26:41.000,2023-05-04 14:11:29.000000,2023-05-04 13:28:33,59752.0,3392.0,18143.0,1640.0,67155.0,11753.0,22315.0,66275.0,Tensors and Dynamic neural networks in Python with strong GPU acceleration.,4027.0,50,True,2023-03-15 19:38:58.000,2.0.0,44.0,torch,pytorch/pytorch,,https://pytorch.org/docs/stable/index.html,['pytorch'],9467.0,,https://pypi.org/project/torch,2022-12-15 20:09:57.027,9467.0,9862487.0,10647147.0,https://anaconda.org/pytorch/pytorch,2023-03-14 19:20:31.620,15689562.0,,,,,1.0,14587.0,,,,,,,,,,,,,,,,,,,
9,transformers,huggingface/transformers,nlp,,https://github.com/huggingface/transformers,https://github.com/huggingface/transformers,Apache-2.0,2018-10-29 13:56:00.000,2023-05-04 14:15:52.000000,2023-05-04 14:15:15,12776.0,833.0,19593.0,994.0,11559.0,673.0,10973.0,97635.0,"Transformers: State-of-the-art Machine Learning for Pytorch, TensorFlow, and JAX.",1877.0,49,True,2023-04-14 16:57:36.000,4.28.1,107.0,transformers,conda-forge/transformers,,,"['pytorch', 'tensorflow']",69239.0,67589.0,https://pypi.org/project/transformers,2023-01-24 17:05:59.598,1650.0,12558633.0,12584069.0,https://anaconda.org/conda-forge/transformers,2023-04-15 05:23:24.770,1093656.0,,,,,1.0,138.0,,,,,,,,,,,,,,,,,,,
10,scipy,scipy/scipy,others,,https://github.com/scipy/scipy,https://github.com/scipy/scipy,BSD-3-Clause,2011-03-09 18:52:03.000,2023-05-04 13:46:07.000000,2023-05-04 01:15:12,30049.0,545.0,4696.0,349.0,9382.0,1675.0,7650.0,11185.0,"Ecosystem of open-source software for mathematics, science, and engineering.",1459.0,49,True,2023-02-19 21:46:42.000,1.10.1,89.0,scipy,conda-forge/scipy,,,,780621.0,718494.0,https://pypi.org/project/scipy,2023-01-03 22:36:58.305,62127.0,54940323.0,55378234.0,https://anaconda.org/conda-forge/scipy,2023-04-18 11:58:20.745,36453100.0,,,,,1.0,371010.0,,,,,,,,,,,,,,,,,,,
11,Matplotlib,matplotlib/matplotlib,data-viz,,https://github.com/matplotlib/matplotlib,https://github.com/matplotlib/matplotlib,,2011-02-19 03:17:12.000,2023-05-04 00:01:42.000000,2023-05-03 17:20:18,47090.0,839.0,6678.0,589.0,16342.0,1368.0,8077.0,17326.0,matplotlib: plotting with Python.,1502.0,47,True,2023-03-04 07:19:11.000,3.7.1,73.0,matplotlib,conda-forge/matplotlib,,,,815301.0,815301.0,https://pypi.org/project/matplotlib,,,33184081.0,33377435.0,https://anaconda.org/conda-forge/matplotlib,2023-03-06 21:33:49.039,17788644.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,
12,Pillow,python-pillow/Pillow,image,,https://github.com/python-pillow/Pillow,https://github.com/python-pillow/Pillow,PIL,2012-07-24 21:38:39.000,2023-05-04 07:18:26.000000,2023-05-04 07:18:26,14784.0,426.0,1866.0,220.0,4240.0,81.0,2698.0,10782.0,Python Imaging Library (Fork).,435.0,47,True,2023-04-01 09:33:34.000,9.5.0,50.0,Pillow,conda-forge/pillow,,,,1141239.0,1141239.0,https://pypi.org/project/Pillow,,,54996504.0,55316543.0,https://anaconda.org/conda-forge/pillow,2023-04-05 12:37:43.311,27203360.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,
13,Keras,keras-team/keras,ml-frameworks,,https://github.com/keras-team/keras,https://github.com/keras-team/keras,Apache-2.0,2015-03-28 00:35:42.000,2023-05-04 14:11:47.000000,2023-05-04 07:26:16,8134.0,388.0,19322.0,1918.0,6351.0,403.0,11418.0,58210.0,Deep Learning for humans.,1180.0,46,True,2023-05-01 21:51:04.013,2.13.0,78.0,keras,conda-forge/keras,,https://keras.io,['tensorflow'],573.0,,https://pypi.org/project/keras,2023-02-23 18:53:01.699,573.0,9726984.0,9764141.0,https://anaconda.org/conda-forge/keras,2023-03-25 02:52:58.755,3009793.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,
14,SymPy,sympy/sympy,others,,https://github.com/sympy/sympy,https://github.com/sympy/sympy,BSD-3-Clause,2010-04-30 20:37:14.000,2023-05-04 08:42:11.000000,2023-05-03 17:05:35,54054.0,795.0,3923.0,290.0,12343.0,4709.0,8375.0,10644.0,A computer algebra system written in pure Python.,1219.0,46,True,2022-08-30 17:34:08.040,1.11.1,49.0,sympy,conda-forge/sympy,,,,64655.0,60157.0,https://pypi.org/project/sympy,2022-08-30 17:34:08.040,4498.0,7577597.0,7621304.0,https://anaconda.org/conda-forge/sympy,2023-03-20 20:07:58.909,3316726.0,,,,,1.0,498390.0,,,,,,,,,,,,,,,,,,,
15,spaCy,explosion/spaCy,nlp,,https://github.com/explosion/spaCy,https://github.com/explosion/spaCy,MIT,2014-07-03 15:15:40.000,2023-05-04 09:13:51.000000,2023-05-02 10:51:13,15894.0,73.0,4003.0,549.0,3720.0,70.0,5326.0,26018.0,Industrial-strength Natural Language Processing (NLP) in Python.,723.0,44,True,2023-04-12 07:50:01.000,3.5.2,100.0,spacy,conda-forge/spacy,,,,58760.0,58760.0,https://pypi.org/project/spacy,,,4912368.0,4952761.0,https://anaconda.org/conda-forge/spacy,2023-04-18 13:03:09.405,3029509.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,
16,Ray,ray-project/ray,distributed-ml,,https://github.com/ray-project/ray,https://github.com/ray-project/ray,Apache-2.0,2016-10-25 19:38:30.000,2023-05-04 14:06:07.000000,2023-05-04 12:51:18,17145.0,1229.0,4420.0,448.0,21038.0,2785.0,11198.0,25414.0,Ray is a unified framework for scaling AI and Python applications. Ray consists of a core distributed runtime and a..,855.0,44,True,2023-04-25 17:27:57.000,ray-2.4.0,83.0,ray,conda-forge/ray-tune,,,,9763.0,9279.0,https://pypi.org/project/ray,2023-02-24 06:15:04.778,484.0,2288196.0,2292371.0,https://anaconda.org/conda-forge/ray-tune,2023-02-26 10:20:09.550,121084.0,,,,,1.0,60.0,,,,,,,,,,,,,,,,,,,
17,XGBoost,dmlc/xgboost,ml-frameworks,,https://github.com/dmlc/xgboost,https://github.com/dmlc/xgboost,Apache-2.0,2014-02-06 17:28:03.000,2023-05-04 00:10:09.000000,2023-05-02 19:47:15,6334.0,162.0,8568.0,916.0,4320.0,364.0,4474.0,24089.0,"Scalable, Portable and Distributed Gradient Boosting (GBDT, GBRT or GBM) Library, for Python, R, Java, Scala, C++ and..",603.0,44,True,2023-03-30 19:47:07.654,1.7.5,73.0,xgboost,conda-forge/xgboost,,https://xgboost.readthedocs.io/en/latest/,,56064.0,54480.0,https://pypi.org/project/xgboost,2023-01-06 19:21:10.487,1584.0,8621172.0,8673237.0,https://anaconda.org/conda-forge/xgboost,2023-03-17 07:46:42.740,3848568.0,,,,,1.0,6451.0,,,,,,,,,,,,,,,,,,,
18,jax,google/jax,ml-frameworks,,https://github.com/google/jax,https://github.com/google/jax,Apache-2.0,2018-10-25 21:25:02.000,2023-05-04 14:12:41.000000,2023-05-04 13:14:18,15970.0,1322.0,2128.0,307.0,9818.0,1391.0,3012.0,22987.0,"Composable transformations of Python+NumPy programs: differentiate, vectorize, JIT to GPU/TPU, and more.",533.0,44,True,2023-03-29 21:23:10.000,jax-v0.4.8,142.0,jax,conda-forge/jaxlib,,,,11702.0,11102.0,https://pypi.org/project/jax,2023-01-25 19:22:32.273,600.0,4193448.0,4208976.0,https://anaconda.org/conda-forge/jaxlib,2023-04-26 20:52:50.319,714294.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,
