,name,github_id,category,resource,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,description,contributor_count,projectrank,show,latest_stable_release_published_at,latest_stable_release_number,release_count,pypi_id,conda_id,dockerhub_id,docs_url,labels,dependent_project_count,github_dependent_project_count,pypi_url,pypi_latest_release_published_at,pypi_dependent_project_count,pypi_monthly_downloads,monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,projectrank_placing,github_release_downloads,trending,helm_id,npm_id,npm_url,npm_latest_release_published_at,npm_dependent_project_count,npm_monthly_downloads,brew_id,apt_id,yum_id,updated_github_id,maven_id,maven_url,maven_latest_release_published_at,maven_dependent_project_count,dnf_id,yay_id,snap_id
0,ANN Benchmarks,erikbern/ann-benchmarks,nn-search,True,https://github.com/erikbern/ann-benchmarks,https://github.com/erikbern/ann-benchmarks,MIT,2015-05-28 13:21:43.000,2023-06-08 03:30:16.000000,2023-06-07 21:40:20,1452.0,110.0,560.0,106.0,279.0,43.0,112.0,3714.0,Benchmarks of approximate nearest neighbor libraries in Python.,87.0,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,best-of-web-python - Web Scraping,ml-tooling/best-of-web-python,web-scraping,True,https://github.com/ml-tooling/best-of-web-python,https://github.com/ml-tooling/best-of-web-python#web-scraping--crawling,CC-BY-SA-4.0,2021-01-05 13:09:27.000,2023-06-02 00:49:44.000000,2023-06-02 00:49:44,237.0,26.0,146.0,53.0,144.0,1.0,2.0,1923.0,Collection of web-scraping and crawling libraries.,12.0,0,True,2023-06-01 17:23:48.000,2023.06.01,92.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,best-of-python - Data Extraction,ml-tooling/best-of-python,data-loading,True,https://github.com/ml-tooling/best-of-python,https://github.com/ml-tooling/best-of-python#data-loading--extraction,CC-BY-SA-4.0,2021-01-11 19:11:32.000,2023-06-08 13:32:05.000000,2023-06-01 13:55:05,251.0,25.0,209.0,85.0,145.0,4.0,4.0,3011.0,Collection of data-loading and -extraction libraries.,10.0,0,True,2023-06-01 13:55:13.000,2023.06.01,93.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,best-of-python - DB Clients,ml-tooling/best-of-python,db-clients,True,https://github.com/ml-tooling/best-of-python,https://github.com/ml-tooling/best-of-python#database-clients,CC-BY-SA-4.0,2021-01-11 19:11:32.000,2023-06-08 13:32:05.000000,2023-06-01 13:55:05,251.0,25.0,209.0,85.0,145.0,4.0,4.0,3011.0,Collection of database clients for python.,10.0,0,True,2023-06-01 13:55:13.000,2023.06.01,93.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,best-of-python - Data Containers,ml-tooling/best-of-python,data-containers,True,https://github.com/ml-tooling/best-of-python,https://github.com/ml-tooling/best-of-python#data-containers--dataframes,CC-BY-SA-4.0,2021-01-11 19:11:32.000,2023-06-08 13:32:05.000000,2023-06-01 13:55:05,251.0,25.0,209.0,85.0,145.0,4.0,4.0,3012.0,"Collection of data-container, dataframe, and pandas-utility libraries.",10.0,0,True,2023-06-01 13:55:13.000,2023.06.01,93.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,best-of-python - Data Pipelines,ml-tooling/best-of-python,data-pipelines,True,https://github.com/ml-tooling/best-of-python,https://github.com/ml-tooling/best-of-python#data-pipelines--streaming,CC-BY-SA-4.0,2021-01-11 19:11:32.000,2023-06-08 13:32:05.000000,2023-06-01 13:55:05,251.0,25.0,205.0,85.0,145.0,3.0,4.0,3012.0,"Libraries for data batch- and stream-processing, workflow automation, job scheduling, and other data pipeline tasks.",10.0,0,True,2023-06-01 13:55:13.000,2023.06.01,93.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,Tensorflow,tensorflow/tensorflow,ml-frameworks,,https://github.com/tensorflow/tensorflow,https://github.com/tensorflow/tensorflow,Apache-2.0,2015-11-07 01:19:20.000,2023-06-08 13:09:32.000000,2023-06-08 13:09:27,149006.0,4229.0,88433.0,7703.0,23028.0,2142.0,35404.0,177514.0,An Open Source Machine Learning Framework for Everyone.,4361.0,55,True,2023-03-23 15:50:02.000,2.12.0,177.0,tensorflow,conda-forge/tensorflow,tensorflow/tensorflow,https://www.tensorflow.org/overview,['tensorflow'],297291.0,282477.0,https://pypi.org/project/tensorflow,2022-11-16 20:05:46.496,14814.0,15384806.0,17026534.0,https://anaconda.org/conda-forge/tensorflow,2023-03-27 12:39:49.535,4192352.0,https://hub.docker.com/r/tensorflow/tensorflow,2023-06-08 12:47:42.219701,2157.0,73096512.0,1.0,,,,,,,,,,,,,,,,,,,
7,scikit-learn,scikit-learn/scikit-learn,ml-frameworks,,https://github.com/scikit-learn/scikit-learn,https://github.com/scikit-learn/scikit-learn,BSD-3-Clause,2010-08-17 09:43:38.000,2023-06-08 14:02:02.000000,2023-06-08 11:18:38,30028.0,339.0,23483.0,2151.0,15558.0,1580.0,8598.0,54508.0,scikit-learn: machine learning in Python.,2926.0,52,True,2023-03-09 10:08:59.000,1.2.2,40.0,scikit-learn,conda-forge/scikit-learn,,,['sklearn'],539487.0,539487.0,https://pypi.org/project/scikit-learn,,,36056446.0,36321827.0,https://anaconda.org/conda-forge/scikit-learn,2023-05-25 17:58:28.766,22556580.0,,,,,1.0,876.0,,,,,,,,,,,,,,,,,,
8,PyTorch,pytorch/pytorch,ml-frameworks,,https://github.com/pytorch/pytorch,https://github.com/pytorch/pytorch,BSD-3-Clause,2016-08-13 05:26:41.000,2023-06-08 14:12:28.000000,2023-06-08 13:52:13,60959.0,3410.0,18420.0,1650.0,68641.0,12006.0,23052.0,67645.0,Tensors and Dynamic neural networks in Python with strong GPU acceleration.,4097.0,51,True,2023-05-08 19:55:19.000,2.0.1,45.0,torch,pytorch/pytorch,,https://pytorch.org/docs/stable/index.html,['pytorch'],9435.0,,https://pypi.org/project/torch,2022-08-05 17:23:18.762,9435.0,10896295.0,11682236.0,https://anaconda.org/pytorch/pytorch,2023-05-05 17:30:27.921,16500283.0,,,,,1.0,17376.0,6.0,,,,,,,,,,,,,,,,,
9,transformers,huggingface/transformers,nlp,,https://github.com/huggingface/transformers,https://github.com/huggingface/transformers,Apache-2.0,2018-10-29 13:56:00.000,2023-06-08 14:14:27.000000,2023-06-08 14:14:27,13107.0,812.0,19914.0,1020.0,11980.0,580.0,11260.0,103249.0,"Transformers: State-of-the-art Machine Learning for Pytorch, TensorFlow, and JAX.",1952.0,49,True,2023-05-16 19:47:56.000,4.29.2,100.0,transformers,conda-forge/transformers,,,"['pytorch', 'tensorflow']",76181.0,76181.0,https://pypi.org/project/transformers,,,13419371.0,13445350.0,https://anaconda.org/conda-forge/transformers,2023-05-17 02:53:51.924,1142960.0,,,,,1.0,141.0,,,,,,,,,,,,,,,,,,
