,name,github_id,category,resource,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,description,contributor_count,projectrank,show,latest_stable_release_published_at,latest_stable_release_number,release_count,pypi_id,conda_id,dockerhub_id,docs_url,labels,dependent_project_count,github_dependent_project_count,pypi_url,pypi_monthly_downloads,monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,projectrank_placing,github_release_downloads,pypi_latest_release_published_at,pypi_dependent_project_count,trending,helm_id,npm_id,npm_url,npm_latest_release_published_at,npm_dependent_project_count,npm_monthly_downloads,brew_id,apt_id,yum_id,updated_github_id,maven_id,maven_url,dnf_id,yay_id,snap_id
0,ANN Benchmarks,erikbern/ann-benchmarks,nn-search,True,https://github.com/erikbern/ann-benchmarks,https://github.com/erikbern/ann-benchmarks,MIT,2015-05-28 13:21:43.000,2023-06-22 12:57:20.000000,2023-06-22 12:57:19,1484,140.0,567.0,106.0,280.0,44.0,113.0,3769.0,Benchmarks of approximate nearest neighbor libraries in Python.,89.0,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,best-of-web-python - Web Scraping,ml-tooling/best-of-web-python,web-scraping,True,https://github.com/ml-tooling/best-of-web-python,https://github.com/ml-tooling/best-of-web-python#web-scraping--crawling,CC-BY-SA-4.0,2021-01-05 13:09:27.000,2023-06-15 18:34:59.000000,2023-06-15 18:34:57,241,26.0,147.0,53.0,146.0,1.0,2.0,1934.0,Collection of web-scraping and crawling libraries.,12.0,0,True,2023-06-15 18:35:07.000,2023.06.15,94.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,best-of-python - Data Extraction,ml-tooling/best-of-python,data-loading,True,https://github.com/ml-tooling/best-of-python,https://github.com/ml-tooling/best-of-python#data-loading--extraction,CC-BY-SA-4.0,2021-01-11 19:11:32.000,2023-06-22 13:30:53.000000,2023-06-15 13:52:43,255,25.0,211.0,87.0,147.0,4.0,4.0,3038.0,Collection of data-loading and -extraction libraries.,10.0,0,True,2023-06-15 13:52:52.000,2023.06.15,95.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,best-of-python - DB Clients,ml-tooling/best-of-python,db-clients,True,https://github.com/ml-tooling/best-of-python,https://github.com/ml-tooling/best-of-python#database-clients,CC-BY-SA-4.0,2021-01-11 19:11:32.000,2023-06-22 13:30:53.000000,2023-06-15 13:52:43,255,25.0,211.0,87.0,147.0,3.0,4.0,3038.0,Collection of database clients for python.,10.0,0,True,2023-06-15 13:52:52.000,2023.06.15,95.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,best-of-python - Data Containers,ml-tooling/best-of-python,data-containers,True,https://github.com/ml-tooling/best-of-python,https://github.com/ml-tooling/best-of-python#data-containers--dataframes,CC-BY-SA-4.0,2021-01-11 19:11:32.000,2023-06-22 13:30:53.000000,2023-06-15 13:52:43,255,25.0,211.0,87.0,147.0,4.0,4.0,3038.0,"Collection of data-container, dataframe, and pandas-utility libraries.",10.0,0,True,2023-06-15 13:52:52.000,2023.06.15,95.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,best-of-python - Data Pipelines,ml-tooling/best-of-python,data-pipelines,True,https://github.com/ml-tooling/best-of-python,https://github.com/ml-tooling/best-of-python#data-pipelines--streaming,CC-BY-SA-4.0,2021-01-11 19:11:32.000,2023-06-22 13:30:53.000000,2023-06-15 13:52:43,255,25.0,211.0,87.0,147.0,3.0,4.0,3038.0,"Libraries for data batch- and stream-processing, workflow automation, job scheduling, and other data pipeline tasks.",10.0,0,True,2023-06-15 13:52:52.000,2023.06.15,95.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,Tensorflow,tensorflow/tensorflow,ml-frameworks,,https://github.com/tensorflow/tensorflow,https://github.com/tensorflow/tensorflow,Apache-2.0,2015-11-07 01:19:20.000,2023-06-22 14:10:44.000000,2023-06-22 14:10:38,149658,4083.0,71479.0,7704.0,23075.0,1918.0,35511.0,177847.0,An Open Source Machine Learning Framework for Everyone.,4378.0,55,True,2023-03-23 15:50:02.000,2.12.0,100.0,tensorflow,conda-forge/tensorflow,tensorflow/tensorflow,https://www.tensorflow.org/overview,['tensorflow'],286569.0,286569.0,https://pypi.org/project/tensorflow,15304922.0,16953090.0,https://anaconda.org/conda-forge/tensorflow,2023-06-18 17:27:07.255,4215364.0,https://hub.docker.com/r/tensorflow/tensorflow,2023-06-22 12:47:38.186709,2176.0,73263771.0,1.0,,,,,,,,,,,,,,,,,,,
7,scikit-learn,scikit-learn/scikit-learn,ml-frameworks,,https://github.com/scikit-learn/scikit-learn,https://github.com/scikit-learn/scikit-learn,BSD-3-Clause,2010-08-17 09:43:38.000,2023-06-22 14:12:43.000000,2023-06-22 13:56:26,30081,308.0,23504.0,2154.0,15639.0,1589.0,8619.0,54684.0,scikit-learn: machine learning in Python.,2930.0,52,True,2023-03-09 10:08:59.000,1.2.2,41.0,scikit-learn,conda-forge/scikit-learn,,,['sklearn'],549109.0,549109.0,https://pypi.org/project/scikit-learn,36117888.0,36734356.0,https://anaconda.org/conda-forge/scikit-learn,2023-06-15 20:02:41.514,22808973.0,,,,,1.0,878.0,,,,,,,,,,,,,,,,,,
8,transformers,huggingface/transformers,nlp,,https://github.com/huggingface/transformers,https://github.com/huggingface/transformers,Apache-2.0,2018-10-29 13:56:00.000,2023-06-22 14:12:01.000000,2023-06-22 14:11:27,13251,826.0,20104.0,1027.0,12148.0,580.0,11382.0,104746.0,"Transformers: State-of-the-art Machine Learning for Pytorch, TensorFlow, and JAX.",1982.0,50,True,2023-06-13 19:29:33.000,4.30.2,100.0,transformers,conda-forge/transformers,,,"['pytorch', 'tensorflow']",79598.0,79598.0,https://pypi.org/project/transformers,13145379.0,13178768.0,https://anaconda.org/conda-forge/transformers,2023-06-16 06:09:12.219,1168522.0,,,,,1.0,141.0,,,,,,,,,,,,,,,,,,
9,scipy,scipy/scipy,others,,https://github.com/scipy/scipy,https://github.com/scipy/scipy,BSD-3-Clause,2011-03-09 18:52:03.000,2023-06-22 14:26:44.000000,2023-06-22 11:16:25,30362,567.0,4749.0,348.0,9564.0,1653.0,7775.0,11392.0,"Ecosystem of open-source software for mathematics, science, and engineering.",1481.0,49,True,2023-02-19 21:46:42.000,1.10.1,91.0,scipy,conda-forge/scipy,,,,822646.0,760976.0,https://pypi.org/project/scipy,54591885.0,55054246.0,https://anaconda.org/conda-forge/scipy,2023-06-16 13:17:30.114,38965209.0,,,,,1.0,375036.0,2022-08-27 00:51:55.911,61670.0,,,,,,,,,,,,,,,,
