,name,github_id,category,resource,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,description,contributor_count,projectrank,show,latest_stable_release_published_at,latest_stable_release_number,release_count,pypi_id,conda_id,dockerhub_id,docs_url,labels,dependent_project_count,github_dependent_project_count,pypi_url,pypi_monthly_downloads,monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,projectrank_placing,github_release_downloads,pypi_latest_release_published_at,pypi_dependent_project_count,helm_id,brew_id,apt_id,yum_id,npm_id,npm_url,npm_latest_release_published_at,npm_dependent_project_count,npm_monthly_downloads,updated_github_id,maven_id,maven_url,maven_latest_release_published_at,maven_dependent_project_count,trending,dnf_id,yay_id,snap_id,new_addition
0,ANN Benchmarks,erikbern/ann-benchmarks,nn-search,True,https://github.com/erikbern/ann-benchmarks,https://github.com/erikbern/ann-benchmarks,MIT,2015-05-28 13:21:43.000,2023-06-27 01:38:46.000000,2023-06-22 12:57:19,1484.0,138.0,567,106.0,281.0,44.0,113.0,3799,Benchmarks of approximate nearest neighbor libraries in Python.,89.0,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,best-of-web-python - Web Scraping,ml-tooling/best-of-web-python,web-scraping,True,https://github.com/ml-tooling/best-of-web-python,https://github.com/ml-tooling/best-of-web-python#web-scraping--crawling,CC-BY-SA-4.0,2021-01-05 13:09:27.000,2023-06-25 16:13:37.000000,2023-06-25 16:13:35,243.0,26.0,147,53.0,147.0,1.0,2.0,1938,Collection of web-scraping and crawling libraries.,12.0,0,True,2023-06-25 16:13:41.000,2023.06.22,95.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,best-of-python - Data Extraction,ml-tooling/best-of-python,data-loading,True,https://github.com/ml-tooling/best-of-python,https://github.com/ml-tooling/best-of-python#data-loading--extraction,CC-BY-SA-4.0,2021-01-11 19:11:32.000,2023-06-29 13:39:15.000000,2023-06-25 16:12:46,257.0,25.0,211,88.0,148.0,4.0,4.0,3044,Collection of data-loading and -extraction libraries.,10.0,0,True,2023-06-25 16:12:53.000,2023.06.22,96.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,best-of-python - DB Clients,ml-tooling/best-of-python,db-clients,True,https://github.com/ml-tooling/best-of-python,https://github.com/ml-tooling/best-of-python#database-clients,CC-BY-SA-4.0,2021-01-11 19:11:32.000,2023-06-29 13:39:15.000000,2023-06-25 16:12:46,257.0,25.0,211,88.0,148.0,3.0,4.0,3044,Collection of database clients for python.,10.0,0,True,2023-06-25 16:12:53.000,2023.06.22,96.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,best-of-python - Data Containers,ml-tooling/best-of-python,data-containers,True,https://github.com/ml-tooling/best-of-python,https://github.com/ml-tooling/best-of-python#data-containers--dataframes,CC-BY-SA-4.0,2021-01-11 19:11:32.000,2023-06-29 13:39:15.000000,2023-06-25 16:12:46,257.0,25.0,211,88.0,148.0,4.0,4.0,3044,"Collection of data-container, dataframe, and pandas-utility libraries.",10.0,0,True,2023-06-25 16:12:53.000,2023.06.22,96.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,best-of-python - Data Pipelines,ml-tooling/best-of-python,data-pipelines,True,https://github.com/ml-tooling/best-of-python,https://github.com/ml-tooling/best-of-python#data-pipelines--streaming,CC-BY-SA-4.0,2021-01-11 19:11:32.000,2023-06-29 13:39:15.000000,2023-06-25 16:12:46,257.0,25.0,211,88.0,148.0,3.0,4.0,3044,"Libraries for data batch- and stream-processing, workflow automation, job scheduling, and other data pipeline tasks.",10.0,0,True,2023-06-25 16:12:53.000,2023.06.22,96.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,Tensorflow,tensorflow/tensorflow,ml-frameworks,,https://github.com/tensorflow/tensorflow,https://github.com/tensorflow/tensorflow,Apache-2.0,2015-11-07 01:19:20.000,2023-06-29 14:14:18.000000,2023-06-29 13:42:11,150037.0,4113.0,71511,7704.0,23102.0,1914.0,35549.0,177960,An Open Source Machine Learning Framework for Everyone.,4385.0,55,True,2023-03-23 15:50:02.000,2.12.0,100.0,tensorflow,conda-forge/tensorflow,tensorflow/tensorflow,https://www.tensorflow.org/overview,['tensorflow'],288202.0,288202.0,https://pypi.org/project/tensorflow,15613343.0,17264811.0,https://anaconda.org/conda-forge/tensorflow,2023-06-18 17:27:07.255,4226833.0,https://hub.docker.com/r/tensorflow/tensorflow,2023-06-29 12:47:38.694208,2181.0,73355297.0,1.0,,,,,,,,,,,,,,,,,,,,,,
7,scikit-learn,scikit-learn/scikit-learn,ml-frameworks,,https://github.com/scikit-learn/scikit-learn,https://github.com/scikit-learn/scikit-learn,BSD-3-Clause,2010-08-17 09:43:38.000,2023-06-29 13:32:16.000000,2023-06-29 12:16:24,30122.0,317.0,23541,2154.0,15683.0,1590.0,8633.0,54919,scikit-learn: machine learning in Python.,2938.0,52,True,2023-03-09 10:08:59.000,1.2.2,41.0,scikit-learn,conda-forge/scikit-learn,,,['sklearn'],553297.0,553297.0,https://pypi.org/project/scikit-learn,36020589.0,36640460.0,https://anaconda.org/conda-forge/scikit-learn,2023-06-15 20:02:41.514,22934882.0,,,,,1.0,879.0,,,,,,,,,,,,,,,,,,,,,
8,transformers,huggingface/transformers,nlp,,https://github.com/huggingface/transformers,https://github.com/huggingface/transformers,Apache-2.0,2018-10-29 13:56:00.000,2023-06-29 14:15:02.000000,2023-06-29 14:09:51,13323.0,847.0,20194,1030.0,12227.0,589.0,11445.0,105516,"Transformers: State-of-the-art Machine Learning for Pytorch, TensorFlow, and JAX.",1997.0,50,True,2023-06-13 19:29:33.000,4.30.2,100.0,transformers,conda-forge/transformers,,,"['pytorch', 'tensorflow']",81148.0,81148.0,https://pypi.org/project/transformers,13387930.0,13421651.0,https://anaconda.org/conda-forge/transformers,2023-06-16 06:09:12.219,1180140.0,,,,,1.0,141.0,,,,,,,,,,,,,,,,,,,,,
9,scipy,scipy/scipy,others,,https://github.com/scipy/scipy,https://github.com/scipy/scipy,BSD-3-Clause,2011-03-09 18:52:03.000,2023-06-29 11:28:26.000000,2023-06-29 11:28:25,30402.0,577.0,4761,347.0,9597.0,1663.0,7800.0,11412,"Ecosystem of open-source software for mathematics, science, and engineering.",1483.0,49,True,2023-06-28 22:31:33.000,1.11.1,93.0,scipy,conda-forge/scipy,,,,827745.0,765795.0,https://pypi.org/project/scipy,54650491.0,55918984.0,https://anaconda.org/conda-forge/scipy,2023-06-29 03:20:27.591,39200768.0,,,,,1.0,375588.0,2022-08-27 00:51:55.911,61950.0,,,,,,,,,,,,,,,,,,,
