,name,github_id,category,resource,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,description,contributor_count,projectrank,show,latest_stable_release_published_at,latest_stable_release_number,release_count,pypi_id,conda_id,dockerhub_id,docs_url,labels,dependent_project_count,github_dependent_project_count,pypi_url,pypi_latest_release_published_at,pypi_dependent_project_count,pypi_monthly_downloads,monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,projectrank_placing,github_release_downloads,trending,npm_id,npm_url,npm_latest_release_published_at,npm_dependent_project_count,npm_monthly_downloads,helm_id,updated_github_id,brew_id,apt_id,yum_id,maven_id,maven_url,maven_latest_release_published_at,maven_dependent_project_count,dnf_id,yay_id,snap_id,new_addition
0,ANN Benchmarks,erikbern/ann-benchmarks,nn-search,True,https://github.com/erikbern/ann-benchmarks,https://github.com/erikbern/ann-benchmarks,MIT,2015-05-28 13:21:43.000,2023-08-31 22:41:51.000000,2023-08-23 18:32:44,1514.0,21.0,582.0,107.0,299.0,44.0,124.0,4038.0,Benchmarks of approximate nearest neighbor libraries in Python.,94.0,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,best-of-web-python - Web Scraping,ml-tooling/best-of-web-python,web-scraping,True,https://github.com/ml-tooling/best-of-web-python,https://github.com/ml-tooling/best-of-web-python#web-scraping--crawling,CC-BY-SA-4.0,2021-01-05 13:09:27.000,2023-09-14 16:33:16.000000,2023-09-14 16:33:14,267.0,25.0,148.0,51.0,159.0,1.0,2.0,2014.0,Collection of web-scraping and crawling libraries.,12.0,0,True,2023-09-14 16:33:20.000,2023.09.14,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,best-of-python - Data Extraction,ml-tooling/best-of-python,data-loading,True,https://github.com/ml-tooling/best-of-python,https://github.com/ml-tooling/best-of-python#data-loading--extraction,CC-BY-SA-4.0,2021-01-11 19:11:32.000,2023-09-21 14:46:31.000000,2023-09-21 14:46:31,284.0,28.0,216.0,87.0,161.0,4.0,4.0,3148.0,Collection of data-loading and -extraction libraries.,11.0,0,True,2023-09-21 14:46:37.000,2023.09.21,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,best-of-python - DB Clients,ml-tooling/best-of-python,db-clients,True,https://github.com/ml-tooling/best-of-python,https://github.com/ml-tooling/best-of-python#database-clients,CC-BY-SA-4.0,2021-01-11 19:11:32.000,2023-09-21 14:46:31.000000,2023-09-21 14:46:31,284.0,28.0,216.0,87.0,161.0,4.0,4.0,3148.0,Collection of database clients for python.,11.0,0,True,2023-09-21 14:46:37.000,2023.09.21,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,best-of-python - Data Containers,ml-tooling/best-of-python,data-containers,True,https://github.com/ml-tooling/best-of-python,https://github.com/ml-tooling/best-of-python#data-containers--dataframes,CC-BY-SA-4.0,2021-01-11 19:11:32.000,2023-09-21 14:46:31.000000,2023-09-21 14:46:31,284.0,28.0,216.0,87.0,161.0,4.0,4.0,3148.0,"Collection of data-container, dataframe, and pandas-utility libraries.",11.0,0,True,2023-09-21 14:46:37.000,2023.09.21,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,best-of-python - Data Pipelines,ml-tooling/best-of-python,data-pipelines,True,https://github.com/ml-tooling/best-of-python,https://github.com/ml-tooling/best-of-python#data-pipelines--streaming,CC-BY-SA-4.0,2021-01-11 19:11:32.000,2023-09-21 14:46:31.000000,2023-09-21 14:46:31,284.0,28.0,216.0,87.0,161.0,4.0,4.0,3148.0,"Libraries for data batch- and stream-processing, workflow automation, job scheduling, and other data pipeline tasks.",11.0,0,True,2023-09-21 14:46:37.000,2023.09.21,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,Tensorflow,tensorflow/tensorflow,ml-frameworks,,https://github.com/tensorflow/tensorflow,https://github.com/tensorflow/tensorflow,Apache-2.0,2015-11-07 01:19:20.000,2023-09-21 14:00:50.000000,2023-09-21 14:00:43,153973.0,4123.0,88876.0,7689.0,23390.0,2109.0,36085.0,179944.0,An Open Source Machine Learning Framework for Everyone.,4445.0,55,True,2023-07-05 19:49:02.000,2.12.1,182.0,tensorflow,conda-forge/tensorflow,tensorflow/tensorflow,https://www.tensorflow.org/overview,['tensorflow'],321116.0,305942.0,https://pypi.org/project/tensorflow,2023-09-01 21:05:05.000,15174.0,16474013.0,17807385.0,https://anaconda.org/conda-forge/tensorflow,2023-07-21 23:54:54.123,4343280.0,https://hub.docker.com/r/tensorflow/tensorflow,2023-09-21 12:49:29.112934,2216.0,74303468.0,1.0,,,,,,,,,,,,,,,,,,,,
7,PyTorch,pytorch/pytorch,ml-frameworks,,https://github.com/pytorch/pytorch,https://github.com/pytorch/pytorch,BSD-3-Clause,2016-08-13 05:26:41.000,2023-09-21 14:11:54.000000,2023-09-21 13:53:43,64287.0,2827.0,19241.0,1681.0,73047.0,12517.0,24614.0,70935.0,Tensors and Dynamic neural networks in Python with strong GPU acceleration.,4350.0,53,True,2023-05-08 19:55:19.000,2.0.1,45.0,torch,pytorch/pytorch,,https://pytorch.org/docs/stable/index.html,['pytorch'],328756.0,318187.0,https://pypi.org/project/torch,2023-05-08 16:30:35.713,10569.0,11679271.0,12447874.0,https://anaconda.org/pytorch/pytorch,2023-06-16 19:17:28.406,18439628.0,,,,,1.0,24029.0,,,,,,,,,,,,,,,,,,,
8,scikit-learn,scikit-learn/scikit-learn,ml-frameworks,,https://github.com/scikit-learn/scikit-learn,https://github.com/scikit-learn/scikit-learn,BSD-3-Clause,2010-08-17 09:43:38.000,2023-09-21 14:14:18.000000,2023-09-21 13:12:46,30463.0,366.0,23757.0,2161.0,16138.0,1611.0,8808.0,55885.0,scikit-learn: machine learning in Python.,2993.0,52,True,2023-09-20 14:04:16.000,1.3.1,43.0,scikit-learn,conda-forge/scikit-learn,,,['sklearn'],602365.0,602365.0,https://pypi.org/project/scikit-learn,,,41591189.0,42201689.0,https://anaconda.org/conda-forge/scikit-learn,2023-09-21 11:49:47.633,24419616.0,,,,,1.0,896.0,,,,,,,,,,,,,,,,,,,
9,transformers,huggingface/transformers,nlp,,https://github.com/huggingface/transformers,https://github.com/huggingface/transformers,Apache-2.0,2018-10-29 13:56:00.000,2023-09-21 14:10:38.000000,2023-09-21 12:57:36,14026.0,758.0,21224.0,1057.0,13186.0,613.0,12201.0,112160.0,"Transformers: State-of-the-art Machine Learning for Pytorch, TensorFlow, and JAX.",2132.0,50,True,2023-09-15 20:24:23.000,4.33.2,100.0,transformers,conda-forge/transformers,,,"['pytorch', 'tensorflow']",100614.0,100614.0,https://pypi.org/project/transformers,,,18257751.0,18292592.0,https://anaconda.org/conda-forge/transformers,2023-09-16 03:45:05.010,1323873.0,,,,,1.0,142.0,,,,,,,,,,,,,,,,,,,
