,name,github_id,category,resource,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,description,contributor_count,projectrank,show,latest_stable_release_published_at,latest_stable_release_number,release_count,pypi_id,conda_id,dockerhub_id,docs_url,labels,dependent_project_count,github_dependent_project_count,pypi_url,pypi_monthly_downloads,monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,projectrank_placing,github_release_downloads,pypi_latest_release_published_at,pypi_dependent_project_count,trending,helm_id,npm_id,npm_url,npm_latest_release_published_at,npm_dependent_project_count,npm_monthly_downloads,updated_github_id,brew_id,apt_id,yum_id,maven_id,maven_url,maven_latest_release_published_at,maven_dependent_project_count,dnf_id,yay_id,snap_id
0,ANN Benchmarks,erikbern/ann-benchmarks,nn-search,True,https://github.com/erikbern/ann-benchmarks,https://github.com/erikbern/ann-benchmarks,MIT,2015-05-28 13:21:43.000,2023-09-27 18:24:06.000000,2023-08-23 18:32:44,1514.0,20.0,584.0,107.0,300.0,44.0,124.0,4054.0,Benchmarks of approximate nearest neighbor libraries in Python.,94.0,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,best-of-web-python - Web Scraping,ml-tooling/best-of-web-python,web-scraping,True,https://github.com/ml-tooling/best-of-web-python,https://github.com/ml-tooling/best-of-web-python#web-scraping--crawling,CC-BY-SA-4.0,2021-01-05 13:09:27.000,2023-09-21 16:50:06.000000,2023-09-14 16:33:14,267.0,22.0,148.0,51.0,160.0,1.0,2.0,2016.0,Collection of web-scraping and crawling libraries.,12.0,0,True,2023-09-14 16:33:20.000,2023.09.14,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,best-of-python - Data Extraction,ml-tooling/best-of-python,data-loading,True,https://github.com/ml-tooling/best-of-python,https://github.com/ml-tooling/best-of-python#data-loading--extraction,CC-BY-SA-4.0,2021-01-11 19:11:32.000,2023-09-28 13:39:21.000000,2023-09-21 14:46:31,284.0,25.0,217.0,87.0,162.0,4.0,4.0,3159.0,Collection of data-loading and -extraction libraries.,11.0,0,True,2023-09-21 14:46:37.000,2023.09.21,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,best-of-python - DB Clients,ml-tooling/best-of-python,db-clients,True,https://github.com/ml-tooling/best-of-python,https://github.com/ml-tooling/best-of-python#database-clients,CC-BY-SA-4.0,2021-01-11 19:11:32.000,2023-09-28 13:39:21.000000,2023-09-21 14:46:31,284.0,25.0,217.0,87.0,162.0,4.0,4.0,3159.0,Collection of database clients for python.,11.0,0,True,2023-09-21 14:46:37.000,2023.09.21,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,best-of-python - Data Containers,ml-tooling/best-of-python,data-containers,True,https://github.com/ml-tooling/best-of-python,https://github.com/ml-tooling/best-of-python#data-containers--dataframes,CC-BY-SA-4.0,2021-01-11 19:11:32.000,2023-09-28 13:39:21.000000,2023-09-21 14:46:31,284.0,25.0,217.0,87.0,162.0,4.0,4.0,3159.0,"Collection of data-container, dataframe, and pandas-utility libraries.",11.0,0,True,2023-09-21 14:46:37.000,2023.09.21,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,best-of-python - Data Pipelines,ml-tooling/best-of-python,data-pipelines,True,https://github.com/ml-tooling/best-of-python,https://github.com/ml-tooling/best-of-python#data-pipelines--streaming,CC-BY-SA-4.0,2021-01-11 19:11:32.000,2023-09-28 13:39:21.000000,2023-09-21 14:46:31,284.0,25.0,217.0,87.0,162.0,4.0,4.0,3159.0,"Libraries for data batch- and stream-processing, workflow automation, job scheduling, and other data pipeline tasks.",11.0,0,True,2023-09-21 14:46:37.000,2023.09.21,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,Tensorflow,tensorflow/tensorflow,ml-frameworks,,https://github.com/tensorflow/tensorflow,https://github.com/tensorflow/tensorflow,Apache-2.0,2015-11-07 01:19:20.000,2023-09-28 14:04:32.000000,2023-09-28 14:04:20,154264.0,4008.0,71767.0,7695.0,23407.0,1842.0,36158.0,180049.0,An Open Source Machine Learning Framework for Everyone.,4452.0,55,True,2023-09-26 22:45:05.000,2.14.0,100.0,tensorflow,conda-forge/tensorflow,tensorflow/tensorflow,https://www.tensorflow.org/overview,['tensorflow'],307434.0,307434.0,https://pypi.org/project/tensorflow,17010047.0,18345472.0,https://anaconda.org/conda-forge/tensorflow,2023-07-21 23:54:54.123,4352373.0,https://hub.docker.com/r/tensorflow/tensorflow,2023-09-28 12:49:37.917657,2219.0,74389719.0,1.0,,,,,,,,,,,,,,,,,,,,,
7,PyTorch,pytorch/pytorch,ml-frameworks,,https://github.com/pytorch/pytorch,https://github.com/pytorch/pytorch,BSD-3-Clause,2016-08-13 05:26:41.000,2023-09-28 14:12:33.000000,2023-09-28 13:35:11,64536.0,2899.0,18836.0,1689.0,73322.0,11924.0,24696.0,71142.0,Tensors and Dynamic neural networks in Python with strong GPU acceleration.,4373.0,53,True,2023-05-08 19:55:19.000,2.0.1,45.0,torch,pytorch/pytorch,,https://pytorch.org/docs/stable/index.html,['pytorch'],321171.0,321171.0,https://pypi.org/project/torch,11684836.0,12459204.0,https://anaconda.org/pytorch/pytorch,2023-06-16 19:17:28.406,18577884.0,,,,,1.0,24363.0,,,,,,,,,,,,,,,,,,,,
8,scikit-learn,scikit-learn/scikit-learn,ml-frameworks,,https://github.com/scikit-learn/scikit-learn,https://github.com/scikit-learn/scikit-learn,BSD-3-Clause,2010-08-17 09:43:38.000,2023-09-28 14:12:55.000000,2023-09-28 11:19:36,30488.0,350.0,24703.0,2167.0,16174.0,2253.0,8817.0,55976.0,scikit-learn: machine learning in Python.,2994.0,52,True,2023-09-21 07:50:52.000,1.3.1,72.0,scikit-learn,conda-forge/scikit-learn,,,['sklearn'],636008.0,606452.0,https://pypi.org/project/scikit-learn,40916055.0,41529873.0,https://anaconda.org/conda-forge/scikit-learn,2023-09-21 11:49:47.633,24552349.0,,,,,1.0,897.0,2023-09-21 07:50:52.000,29556.0,,,,,,,,,,,,,,,,,,
9,transformers,huggingface/transformers,nlp,,https://github.com/huggingface/transformers,https://github.com/huggingface/transformers,Apache-2.0,2018-10-29 13:56:00.000,2023-09-28 13:43:22.000000,2023-09-28 13:08:35,14070.0,736.0,21316.0,1063.0,13265.0,637.0,12243.0,112510.0,"Transformers: State-of-the-art Machine Learning for Pytorch, TensorFlow, and JAX.",2145.0,50,True,2023-09-27 15:09:05.000,4.33.3,100.0,transformers,conda-forge/transformers,,,"['pytorch', 'tensorflow']",102110.0,102110.0,https://pypi.org/project/transformers,18483246.0,18518498.0,https://anaconda.org/conda-forge/transformers,2023-09-27 21:15:23.374,1339462.0,,,,,1.0,142.0,,,,,,,,,,,,,,,,,,,,
10,Matplotlib,matplotlib/matplotlib,data-viz,,https://github.com/matplotlib/matplotlib,https://github.com/matplotlib/matplotlib,Python-2.0,2011-02-19 03:17:12.000,2023-09-28 09:23:58.000000,2023-09-28 09:21:40,48597.0,822.0,7018.0,590.0,17119.0,1495.0,8610.0,18150.0,matplotlib: plotting with Python.,1567.0,50,True,2023-09-15 04:49:33.000,3.8.0,116.0,matplotlib,conda-forge/matplotlib,,,,1016484.0,954746.0,https://pypi.org/project/matplotlib,38824700.0,39353472.0,https://anaconda.org/conda-forge/matplotlib,2023-09-21 21:56:55.120,20622116.0,,,,,1.0,,2023-09-15 04:49:33.000,61738.0,,,,,,,,,,,,,,,,,,
11,SymPy,sympy/sympy,others,,https://github.com/sympy/sympy,https://github.com/sympy/sympy,BSD-3-Clause,2010-04-30 20:37:14.000,2023-09-28 14:22:27.000000,2023-09-28 10:41:04,55921.0,1372.0,3997.0,290.0,12671.0,4826.0,8515.0,11350.0,A computer algebra system written in pure Python.,1254.0,48,True,2023-05-10 18:09:23.000,sympy-1.12,50.0,sympy,conda-forge/sympy,,,,88586.0,83922.0,https://pypi.org/project/sympy,9898422.0,9952010.0,https://anaconda.org/conda-forge/sympy,2023-06-16 13:17:18.981,4344676.0,,,,,1.0,514582.0,2023-05-10 18:24:09.226,4664.0,,,,,,,,,,,,,,,,,,
12,scipy,scipy/scipy,others,,https://github.com/scipy/scipy,https://github.com/scipy/scipy,BSD-3-Clause,2011-03-09 18:52:03.000,2023-09-28 14:46:30.000000,2023-09-28 10:31:23,30934.0,505.0,4859.0,345.0,9911.0,1676.0,7989.0,11740.0,"Ecosystem of open-source software for mathematics, science, and engineering.",1539.0,47,True,2023-09-27 22:44:39.000,1.11.3,97.0,scipy,conda-forge/scipy,,,,64010.0,15.0,https://pypi.org/project/scipy,60086786.0,61329766.0,https://anaconda.org/conda-forge/scipy,2023-09-28 14:44:02.518,42128624.0,,,,,1.0,382506.0,2023-09-27 21:55:42.000,63995.0,-2.0,,,,,,,,,,,,,,,,,
13,Pillow,python-pillow/Pillow,image,,https://github.com/python-pillow/Pillow,https://github.com/python-pillow/Pillow,PIL,2012-07-24 21:38:39.000,2023-09-28 09:10:38.000000,2023-09-28 09:10:38,15229.0,191.0,1916.0,223.0,4388.0,85.0,2822.0,11133.0,Python Imaging Library (Fork).,446.0,47,True,2023-09-15 14:02:24.000,10.0.1,52.0,Pillow,conda-forge/pillow,,,,1353535.0,1353535.0,https://pypi.org/project/Pillow,64856679.0,65726980.0,https://anaconda.org/conda-forge/pillow,2023-09-20 22:51:20.010,33071474.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,
14,Keras,keras-team/keras,ml-frameworks,,https://github.com/keras-team/keras,https://github.com/keras-team/keras,Apache-2.0,2015-03-28 00:35:42.000,2023-09-28 13:55:06.000000,2023-09-28 02:47:47,9764.0,633.0,19399.0,1933.0,6576.0,376.0,11187.0,59439.0,Deep Learning for humans.,1241.0,46,True,2023-09-12 16:19:40.000,2.14.0,82.0,keras,conda-forge/keras,,https://keras.io,['tensorflow'],654.0,15.0,https://pypi.org/project/keras,11918662.0,12002046.0,https://anaconda.org/conda-forge/keras,2023-07-28 12:24:35.264,3251998.0,,,,,1.0,,2023-09-11 17:21:02.000,639.0,,,,,,,,,,,,,,,,,,
15,jax,google/jax,ml-frameworks,,https://github.com/google/jax,https://github.com/google/jax,Apache-2.0,2018-10-25 21:25:02.000,2023-09-28 14:08:50.000000,2023-09-28 12:30:20,17616.0,1017.0,2303.0,311.0,11102.0,1563.0,3287.0,24736.0,"Composable transformations of Python+NumPy programs: differentiate, vectorize, JIT to GPU/TPU, and more.",578.0,46,True,2023-09-19 02:00:06.000,0.4.16,150.0,jax,conda-forge/jaxlib,,,,18398.0,17726.0,https://pypi.org/project/jax,3341774.0,3365626.0,https://anaconda.org/conda-forge/jaxlib,2023-09-15 05:13:04.336,930230.0,,,,,1.0,,2023-09-19 02:00:06.000,672.0,,,,,,,,,,,,,,,,,,
16,PySpark,apache/spark,ml-frameworks,,https://github.com/apache/spark,https://github.com/apache/spark,Apache-2.0,2014-02-25 08:00:08.000,2023-09-28 13:36:14.000000,2023-09-28 13:36:08,38272.0,1061.0,27668.0,2045.0,43143.0,262.0,,36829.0,Apache Spark Python API.,2947.0,45,True,2023-09-26 20:30:58.000,3.5.0,40.0,pyspark,conda-forge/pyspark,,,['spark'],1161.0,,https://pypi.org/project/pyspark,24677459.0,24750329.0,https://anaconda.org/conda-forge/pyspark,2023-06-27 13:31:45.123,2841935.0,,,,,1.0,,2023-09-26 20:30:58.000,1161.0,7.0,stable/spark,,,,,,,,,,,,,,,,
17,pytorch-lightning,Lightning-AI/lightning,ml-frameworks,,https://github.com/Lightning-AI/lightning,https://github.com/Lightning-AI/lightning,Apache-2.0,2019-03-31 00:45:57.000,2023-09-28 13:37:40.000000,2023-09-28 13:37:37,9737.0,361.0,3003.0,240.0,9463.0,701.0,5844.0,24720.0,"Deep learning framework to train, deploy, and ship AI products Lightning fast.",905.0,45,True,2023-09-14 20:21:04.000,2.0.9,257.0,pytorch-lightning,conda-forge/pytorch-lightning,,,['pytorch'],25096.0,24405.0,https://pypi.org/project/pytorch-lightning,3995668.0,4020573.0,https://anaconda.org/conda-forge/pytorch-lightning,2023-09-15 04:58:40.137,954715.0,,,,,1.0,13218.0,2023-09-14 20:21:04.000,691.0,,,,,,,,,,,,,,,,,,
