,name,github_id,category,resource,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,description,contributor_count,projectrank,show,latest_stable_release_published_at,latest_stable_release_number,release_count,pypi_id,conda_id,dockerhub_id,docs_url,labels,dependent_project_count,github_dependent_project_count,pypi_url,pypi_latest_release_published_at,pypi_dependent_project_count,pypi_monthly_downloads,monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,projectrank_placing,github_release_downloads,helm_id,npm_id,npm_url,npm_latest_release_published_at,npm_dependent_project_count,npm_monthly_downloads,updated_github_id,brew_id,apt_id,yum_id,trending,maven_id,maven_url,maven_latest_release_published_at,maven_dependent_project_count,dnf_id,yay_id,snap_id
0,ANN Benchmarks,erikbern/ann-benchmarks,nn-search,True,https://github.com/erikbern/ann-benchmarks,https://github.com/erikbern/ann-benchmarks,MIT,2015-05-28 13:21:43.000,2023-10-23 18:26:19.000000,2023-10-23 18:26:19,1535.0,21.0,599.0,107.0,303.0,44.0,129.0,4153.0,Benchmarks of approximate nearest neighbor libraries in Python.,98.0,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,best-of-web-python - Web Scraping,ml-tooling/best-of-web-python,web-scraping,True,https://github.com/ml-tooling/best-of-web-python,https://github.com/ml-tooling/best-of-web-python#web-scraping--crawling,CC-BY-SA-4.0,2021-01-05 13:09:27.000,2023-10-26 16:36:29.000000,2023-10-26 16:36:28,277.0,22.0,152.0,52.0,165.0,1.0,2.0,2043.0,Collection of web-scraping and crawling libraries.,12.0,0,True,2023-10-26 16:36:35.000,2023.10.26,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,best-of-python - Data Extraction,ml-tooling/best-of-python,data-loading,True,https://github.com/ml-tooling/best-of-python,https://github.com/ml-tooling/best-of-python#data-loading--extraction,CC-BY-SA-4.0,2021-01-11 19:11:32.000,2023-11-02 14:16:32.000000,2023-11-02 14:16:32,297.0,28.0,222.0,87.0,168.0,4.0,4.0,3211.0,Collection of data-loading and -extraction libraries.,12.0,0,True,2023-11-02 14:17:03.000,2023.11.02,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,best-of-python - DB Clients,ml-tooling/best-of-python,db-clients,True,https://github.com/ml-tooling/best-of-python,https://github.com/ml-tooling/best-of-python#database-clients,CC-BY-SA-4.0,2021-01-11 19:11:32.000,2023-11-02 14:16:32.000000,2023-11-02 14:16:32,297.0,28.0,222.0,87.0,168.0,4.0,4.0,3211.0,Collection of database clients for python.,12.0,0,True,2023-11-02 14:17:03.000,2023.11.02,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,best-of-python - Data Containers,ml-tooling/best-of-python,data-containers,True,https://github.com/ml-tooling/best-of-python,https://github.com/ml-tooling/best-of-python#data-containers--dataframes,CC-BY-SA-4.0,2021-01-11 19:11:32.000,2023-11-02 14:16:32.000000,2023-11-02 14:16:32,297.0,28.0,222.0,87.0,168.0,4.0,4.0,3211.0,"Collection of data-container, dataframe, and pandas-utility libraries.",12.0,0,True,2023-11-02 14:17:03.000,2023.11.02,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,best-of-python - Data Pipelines,ml-tooling/best-of-python,data-pipelines,True,https://github.com/ml-tooling/best-of-python,https://github.com/ml-tooling/best-of-python#data-pipelines--streaming,CC-BY-SA-4.0,2021-01-11 19:11:32.000,2023-11-02 14:16:32.000000,2023-11-02 14:16:32,297.0,28.0,222.0,87.0,168.0,4.0,4.0,3211.0,"Libraries for data batch- and stream-processing, workflow automation, job scheduling, and other data pipeline tasks.",12.0,0,True,2023-11-02 14:17:03.000,2023.11.02,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,Tensorflow,tensorflow/tensorflow,ml-frameworks,,https://github.com/tensorflow/tensorflow,https://github.com/tensorflow/tensorflow,Apache-2.0,2015-11-07 01:19:20.000,2023-11-02 12:49:47.742827,2023-11-02 12:15:35,155755.0,3791.0,88876.0,7681.0,23494.0,2109.0,36313.0,180779.0,An Open Source Machine Learning Framework for Everyone.,4485.0,54,True,2023-09-26 22:51:39.000,2.14.0,185.0,tensorflow,conda-forge/tensorflow,tensorflow/tensorflow,https://www.tensorflow.org/overview,['tensorflow'],330749.0,315475.0,https://pypi.org/project/tensorflow,2023-10-25 23:25:44.000,15274.0,17870965.0,19091172.0,https://anaconda.org/conda-forge/tensorflow,2023-10-23 11:56:40.358,4402580.0,https://hub.docker.com/r/tensorflow/tensorflow,2023-11-02 12:49:47.742827,2229.0,74875116.0,1.0,,,,,,,,,,,,,,,,,,,
7,PyTorch,pytorch/pytorch,ml-frameworks,,https://github.com/pytorch/pytorch,https://github.com/pytorch/pytorch,BSD-3-Clause,2016-08-13 05:26:41.000,2023-11-02 14:12:57.000000,2023-11-02 13:27:31,65789.0,3081.0,19241.0,1681.0,74996.0,12517.0,25203.0,72180.0,Tensors and Dynamic neural networks in Python with strong GPU acceleration.,4448.0,54,True,2023-10-04 17:32:12.000,2.1.0,46.0,torch,pytorch/pytorch,,https://pytorch.org/docs/stable/index.html,['pytorch'],347929.0,336990.0,https://pypi.org/project/torch,2023-10-04 16:37:27.000,10939.0,14507895.0,15250512.0,https://anaconda.org/pytorch/pytorch,2023-10-03 19:01:54.763,19300102.0,,,,,1.0,26374.0,,,,,,,,,,,,,,,,,,
8,scikit-learn,scikit-learn/scikit-learn,ml-frameworks,,https://github.com/scikit-learn/scikit-learn,https://github.com/scikit-learn/scikit-learn,BSD-3-Clause,2010-08-17 09:43:38.000,2023-11-02 12:54:26.000000,2023-11-02 12:18:01,30589.0,355.0,24776.0,2160.0,16308.0,2264.0,8878.0,56294.0,scikit-learn: machine learning in Python.,3006.0,52,True,2023-10-25 08:23:32.000,1.3.2,44.0,scikit-learn,conda-forge/scikit-learn,,,['sklearn'],628271.0,628271.0,https://pypi.org/project/scikit-learn,,,43937576.0,44540107.0,https://anaconda.org/conda-forge/scikit-learn,2023-10-25 09:40:41.903,25305933.0,,,,,1.0,909.0,,,,,,,,,,,,,,,,,,
9,transformers,huggingface/transformers,nlp,,https://github.com/huggingface/transformers,https://github.com/huggingface/transformers,Apache-2.0,2018-10-29 13:56:00.000,2023-11-02 14:14:29.000000,2023-11-02 14:03:09,14380.0,769.0,21790.0,1066.0,13702.0,678.0,12519.0,114392.0,"Transformers: State-of-the-art Machine Learning for Pytorch, TensorFlow, and JAX.",2231.0,50,True,2023-10-18 21:15:29.000,4.34.1,100.0,transformers,conda-forge/transformers,,,"['pytorch', 'tensorflow']",110331.0,110331.0,https://pypi.org/project/transformers,,,18052238.0,18087744.0,https://anaconda.org/conda-forge/transformers,2023-10-19 03:27:36.447,1420159.0,,,,,1.0,143.0,,,,,,,,,,,,,,,,,,
