,name,github_id,category,resource,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,description,contributor_count,projectrank,show,latest_stable_release_published_at,latest_stable_release_number,release_count,pypi_id,conda_id,dockerhub_id,docs_url,labels,dependent_project_count,github_dependent_project_count,pypi_url,pypi_monthly_downloads,monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,projectrank_placing,github_release_downloads,pypi_latest_release_published_at,pypi_dependent_project_count,trending,npm_id,npm_url,npm_monthly_downloads,helm_id,npm_latest_release_published_at,npm_dependent_project_count,updated_github_id,brew_id,apt_id,yum_id,conda_dependent_project_count,maven_id,maven_url,maven_latest_release_published_at,maven_dependent_project_count,dnf_id,yay_id,snap_id
0,ANN Benchmarks,erikbern/ann-benchmarks,nn-search,True,https://github.com/erikbern/ann-benchmarks,https://github.com/erikbern/ann-benchmarks,MIT,2015-05-28 13:21:43.000,2023-11-09 15:21:11.000000,2023-10-23 18:26:19,1535.0,21.0,605.0,107.0,304.0,45.0,130.0,4180.0,Benchmarks of approximate nearest neighbor libraries in Python.,98.0,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,best-of-web-python - Web Scraping,ml-tooling/best-of-web-python,web-scraping,True,https://github.com/ml-tooling/best-of-web-python,https://github.com/ml-tooling/best-of-web-python#web-scraping--crawling,CC-BY-SA-4.0,2021-01-05 13:09:27.000,2023-11-10 20:22:49.000000,2023-11-10 20:22:49,282.0,23.0,154.0,52.0,169.0,1.0,2.0,2056.0,Collection of web-scraping and crawling libraries.,13.0,0,True,2023-11-09 18:04:11.000,2023.11.09,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,best-of-python - Data Extraction,ml-tooling/best-of-python,data-loading,True,https://github.com/ml-tooling/best-of-python,https://github.com/ml-tooling/best-of-python#data-loading--extraction,CC-BY-SA-4.0,2021-01-11 19:11:32.000,2023-11-16 13:32:08.000000,2023-11-09 14:44:16,299.0,25.0,222.0,88.0,170.0,4.0,4.0,3225.0,Collection of data-loading and -extraction libraries.,12.0,0,True,2023-11-09 14:45:29.000,2023.04.06,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,best-of-python - DB Clients,ml-tooling/best-of-python,db-clients,True,https://github.com/ml-tooling/best-of-python,https://github.com/ml-tooling/best-of-python#database-clients,CC-BY-SA-4.0,2021-01-11 19:11:32.000,2023-11-16 13:32:08.000000,2023-11-09 14:44:16,299.0,25.0,222.0,88.0,170.0,4.0,4.0,3225.0,Collection of database clients for python.,12.0,0,True,2023-11-09 14:45:29.000,2023.04.06,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,best-of-python - Data Containers,ml-tooling/best-of-python,data-containers,True,https://github.com/ml-tooling/best-of-python,https://github.com/ml-tooling/best-of-python#data-containers--dataframes,CC-BY-SA-4.0,2021-01-11 19:11:32.000,2023-11-16 13:32:08.000000,2023-11-09 14:44:16,299.0,25.0,222.0,88.0,170.0,4.0,4.0,3225.0,"Collection of data-container, dataframe, and pandas-utility libraries.",12.0,0,True,2023-11-09 14:45:29.000,2023.04.06,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,best-of-python - Data Pipelines,ml-tooling/best-of-python,data-pipelines,True,https://github.com/ml-tooling/best-of-python,https://github.com/ml-tooling/best-of-python#data-pipelines--streaming,CC-BY-SA-4.0,2021-01-11 19:11:32.000,2023-11-16 13:32:08.000000,2023-11-09 14:44:16,299.0,25.0,222.0,88.0,170.0,4.0,4.0,3225.0,"Libraries for data batch- and stream-processing, workflow automation, job scheduling, and other data pipeline tasks.",12.0,0,True,2023-11-09 14:45:29.000,2023.04.06,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,Tensorflow,tensorflow/tensorflow,ml-frameworks,,https://github.com/tensorflow/tensorflow,https://github.com/tensorflow/tensorflow,Apache-2.0,2015-11-07 01:19:20.000,2023-11-16 13:49:13.437174,2023-11-16 13:39:15,156307.0,3610.0,71884.0,7681.0,23518.0,1918.0,36372.0,181039.0,An Open Source Machine Learning Framework for Everyone.,4494.0,54,True,2023-11-14 18:46:08.000,2.15.0,100.0,tensorflow,conda-forge/tensorflow,tensorflow/tensorflow,https://www.tensorflow.org/overview,['tensorflow'],319437.0,319437.0,https://pypi.org/project/tensorflow,17760228.0,18983812.0,https://anaconda.org/conda-forge/tensorflow,2023-11-14 01:21:42.350,4418696.0,https://hub.docker.com/r/tensorflow/tensorflow,2023-11-16 13:49:13.437174,2234.0,75044642.0,1.0,,,,,,,,,,,,,,,,,,,,,,
7,PyTorch,pytorch/pytorch,ml-frameworks,,https://github.com/pytorch/pytorch,https://github.com/pytorch/pytorch,BSD-3-Clause,2016-08-13 05:26:41.000,2023-11-16 14:14:24.000000,2023-11-16 13:21:15,66413.0,3337.0,19173.0,1682.0,75735.0,12293.0,25544.0,72585.0,Tensors and Dynamic neural networks in Python with strong GPU acceleration.,4491.0,54,True,2023-11-15 22:59:33.000,2.1.1,47.0,torch,pytorch/pytorch,,https://pytorch.org/docs/stable/index.html,['pytorch'],344953.0,344953.0,https://pypi.org/project/torch,14722385.0,15473340.0,https://anaconda.org/pytorch/pytorch,2023-11-14 20:37:38.204,19516625.0,,,,,1.0,27222.0,,,,,,,,,,,,,,,,,,,,,
8,scikit-learn,scikit-learn/scikit-learn,ml-frameworks,,https://github.com/scikit-learn/scikit-learn,https://github.com/scikit-learn/scikit-learn,BSD-3-Clause,2010-08-17 09:43:38.000,2023-11-16 13:59:12.000000,2023-11-16 10:23:44,30638.0,357.0,23919.0,2155.0,16366.0,1621.0,8909.0,56437.0,scikit-learn: machine learning in Python.,3011.0,52,True,2023-10-25 08:23:32.000,1.3.2,44.0,scikit-learn,conda-forge/scikit-learn,,,['sklearn'],638927.0,638927.0,https://pypi.org/project/scikit-learn,44391340.0,44998592.0,https://anaconda.org/conda-forge/scikit-learn,2023-10-25 09:40:41.903,25504204.0,,,,,1.0,913.0,,,,,,,,,,,,,,,,,,,,,
9,Matplotlib,matplotlib/matplotlib,data-viz,,https://github.com/matplotlib/matplotlib,https://github.com/matplotlib/matplotlib,Python-2.0,2011-02-19 03:17:12.000,2023-11-16 06:10:35.000000,2023-11-16 02:30:24,49094.0,892.0,7044.0,592.0,17388.0,1495.0,8744.0,18414.0,matplotlib: plotting with Python.,1606.0,51,True,2023-11-01 00:39:39.000,3.8.1,117.0,matplotlib,conda-forge/matplotlib,,,,1064528.0,1001735.0,https://pypi.org/project/matplotlib,43790825.0,44309834.0,https://anaconda.org/conda-forge/matplotlib,2023-11-01 20:55:47.459,21279383.0,,,,,1.0,,2023-11-01 00:39:39.000,62793.0,,,,,,,,,,,,,,,,,,,
