,name,github_id,category,resource,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,description,contributor_count,projectrank,show,latest_stable_release_published_at,latest_stable_release_number,release_count,pypi_id,conda_id,dockerhub_id,docs_url,labels,dependent_project_count,github_dependent_project_count,pypi_url,pypi_latest_release_published_at,pypi_dependent_project_count,pypi_monthly_downloads,monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,projectrank_placing,github_release_downloads,trending,helm_id,updated_github_id,npm_id,npm_url,npm_latest_release_published_at,npm_dependent_project_count,npm_monthly_downloads,brew_id,apt_id,yum_id,conda_dependent_project_count,maven_id,maven_url,maven_latest_release_published_at,maven_dependent_project_count,dnf_id,yay_id,snap_id
0,ANN Benchmarks,erikbern/ann-benchmarks,nn-search,True,https://github.com/erikbern/ann-benchmarks,https://github.com/erikbern/ann-benchmarks,MIT,2015-05-28 13:21:43.000,2023-11-30 18:08:27.000000,2023-10-23 18:26:19,1535.0,19.0,610.0,108.0,304.0,45.0,131.0,4223.0,Benchmarks of approximate nearest neighbor libraries in Python.,98.0,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,best-of-web-python - Web Scraping,ml-tooling/best-of-web-python,web-scraping,True,https://github.com/ml-tooling/best-of-web-python,https://github.com/ml-tooling/best-of-web-python#web-scraping--crawling,CC-BY-SA-4.0,2021-01-05 13:09:27.000,2023-11-30 16:29:34.000000,2023-11-30 16:29:33,288.0,23.0,154.0,52.0,172.0,1.0,2.0,2073.0,Collection of web-scraping and crawling libraries.,13.0,0,True,2023-11-30 16:29:39.000,2023.11.30,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,best-of-python - Data Extraction,ml-tooling/best-of-python,data-loading,True,https://github.com/ml-tooling/best-of-python,https://github.com/ml-tooling/best-of-python#data-loading--extraction,CC-BY-SA-4.0,2021-01-11 19:11:32.000,2023-12-07 13:41:43.000000,2023-11-30 16:04:38,305.0,25.0,222.0,87.0,173.0,4.0,4.0,3241.0,Collection of data-loading and -extraction libraries.,12.0,0,True,2023-11-30 16:04:44.000,2023.11.30,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,best-of-python - DB Clients,ml-tooling/best-of-python,db-clients,True,https://github.com/ml-tooling/best-of-python,https://github.com/ml-tooling/best-of-python#database-clients,CC-BY-SA-4.0,2021-01-11 19:11:32.000,2023-12-07 13:41:43.000000,2023-11-30 16:04:38,305.0,25.0,222.0,87.0,173.0,4.0,4.0,3241.0,Collection of database clients for python.,12.0,0,True,2023-11-30 16:04:44.000,2023.11.30,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,best-of-python - Data Containers,ml-tooling/best-of-python,data-containers,True,https://github.com/ml-tooling/best-of-python,https://github.com/ml-tooling/best-of-python#data-containers--dataframes,CC-BY-SA-4.0,2021-01-11 19:11:32.000,2023-12-07 13:41:43.000000,2023-11-30 16:04:38,305.0,25.0,222.0,87.0,173.0,4.0,4.0,3241.0,"Collection of data-container, dataframe, and pandas-utility libraries.",12.0,0,True,2023-11-30 16:04:44.000,2023.11.30,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,best-of-python - Data Pipelines,ml-tooling/best-of-python,data-pipelines,True,https://github.com/ml-tooling/best-of-python,https://github.com/ml-tooling/best-of-python#data-pipelines--streaming,CC-BY-SA-4.0,2021-01-11 19:11:32.000,2023-12-07 13:41:43.000000,2023-11-30 16:04:38,305.0,25.0,222.0,87.0,173.0,4.0,4.0,3241.0,"Libraries for data batch- and stream-processing, workflow automation, job scheduling, and other data pipeline tasks.",12.0,0,True,2023-11-30 16:04:44.000,2023.11.30,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,Tensorflow,tensorflow/tensorflow,ml-frameworks,,https://github.com/tensorflow/tensorflow,https://github.com/tensorflow/tensorflow,Apache-2.0,2015-11-07 01:19:20.000,2023-12-07 13:48:44.999370,2023-12-07 12:35:08,157045.0,3470.0,89188.0,7675.0,23549.0,2113.0,36494.0,181508.0,An Open Source Machine Learning Framework for Everyone.,4504.0,54,True,2023-11-14 19:04:31.000,2.15.0,189.0,tensorflow,conda-forge/tensorflow,tensorflow/tensorflow,https://www.tensorflow.org/overview,['tensorflow'],340531.0,325170.0,https://pypi.org/project/tensorflow,2023-12-05 22:50:47.000,15361.0,17170621.0,18349869.0,https://anaconda.org/conda-forge/tensorflow,2023-11-14 01:21:42.350,4433527.0,https://hub.docker.com/r/tensorflow/tensorflow,2023-12-07 13:48:44.999370,2240.0,75291588.0,1.0,,,,,,,,,,,,,,,,,,,,
7,PyTorch,pytorch/pytorch,ml-frameworks,,https://github.com/pytorch/pytorch,https://github.com/pytorch/pytorch,BSD-3-Clause,2016-08-13 05:26:41.000,2023-12-07 13:47:07.000000,2023-12-07 08:27:40,67145.0,3314.0,20103.0,1687.0,76678.0,13128.0,26165.0,73311.0,Tensors and Dynamic neural networks in Python with strong GPU acceleration.,4523.0,54,True,2023-11-15 22:59:33.000,2.1.1,47.0,torch,pytorch/pytorch,,https://pytorch.org/docs/stable/index.html,['pytorch'],367716.0,356103.0,https://pypi.org/project/torch,2023-11-15 16:42:26.000,11613.0,15689039.0,16418663.0,https://anaconda.org/pytorch/pytorch,2023-11-14 20:37:38.204,19690876.0,,,,,1.0,29035.0,,,,,,,,,,,,,,,,,,,
8,scikit-learn,scikit-learn/scikit-learn,ml-frameworks,,https://github.com/scikit-learn/scikit-learn,https://github.com/scikit-learn/scikit-learn,BSD-3-Clause,2010-08-17 09:43:38.000,2023-12-07 12:40:57.000000,2023-12-06 13:59:24,30724.0,370.0,24776.0,2151.0,16445.0,2264.0,8941.0,56624.0,scikit-learn: machine learning in Python.,3024.0,52,True,2023-10-25 08:23:32.000,1.3.2,73.0,scikit-learn,conda-forge/scikit-learn,,,['sklearn'],684277.0,653853.0,https://pypi.org/project/scikit-learn,2023-10-23 13:46:30.000,30424.0,44104554.0,44701694.0,https://anaconda.org/conda-forge/scikit-learn,2023-12-07 07:24:39.171,25676609.0,,,,,1.0,920.0,,,,,,,,,,,,,,,,,,,
9,transformers,huggingface/transformers,nlp,,https://github.com/huggingface/transformers,https://github.com/huggingface/transformers,Apache-2.0,2018-10-29 13:56:00.000,2023-12-07 14:09:36.000000,2023-12-07 14:09:30,14662.0,724.0,23020.0,1080.0,14084.0,925.0,12777.0,116643.0,"Transformers: State-of-the-art Machine Learning for Pytorch, TensorFlow, and JAX.",2293.0,50,True,2023-11-15 16:39:42.000,4.35.2,125.0,transformers,conda-forge/transformers,,,"['pytorch', 'tensorflow']",122185.0,119637.0,https://pypi.org/project/transformers,2023-11-15 16:38:58.000,2548.0,18243118.0,18278703.0,https://anaconda.org/conda-forge/transformers,2023-11-17 08:43:43.342,1459022.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,
