,name,github_id,category,resource,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,description,contributor_count,projectrank,show,latest_stable_release_published_at,latest_stable_release_number,release_count,pypi_id,conda_id,dockerhub_id,docs_url,labels,dependent_project_count,github_dependent_project_count,pypi_url,pypi_latest_release_published_at,pypi_dependent_project_count,pypi_monthly_downloads,monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,projectrank_placing,github_release_downloads,updated_github_id,npm_id,npm_url,npm_monthly_downloads,trending,helm_id,npm_latest_release_published_at,npm_dependent_project_count,brew_id,apt_id,yum_id,maven_id,maven_url,maven_latest_release_published_at,maven_dependent_project_count,dnf_id,yay_id,snap_id
0,ANN Benchmarks,erikbern/ann-benchmarks,nn-search,True,https://github.com/erikbern/ann-benchmarks,https://github.com/erikbern/ann-benchmarks,MIT,2015-05-28 13:21:43.000,2023-11-30 18:08:27.000000,2023-10-23 18:26:19,1535.0,19.0,615.0,111.0,304.0,45.0,132.0,4239.0,Benchmarks of approximate nearest neighbor libraries in Python.,98.0,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,best-of-web-python - Web Scraping,ml-tooling/best-of-web-python,web-scraping,True,https://github.com/ml-tooling/best-of-web-python,https://github.com/ml-tooling/best-of-web-python#web-scraping--crawling,CC-BY-SA-4.0,2021-01-05 13:09:27.000,2023-12-07 16:55:28.000000,2023-12-07 16:55:27,290.0,23.0,153.0,52.0,173.0,1.0,2.0,2076.0,Collection of web-scraping and crawling libraries.,13.0,0,True,2023-12-07 16:55:34.000,2023.12.07,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,best-of-python - Data Extraction,ml-tooling/best-of-python,data-loading,True,https://github.com/ml-tooling/best-of-python,https://github.com/ml-tooling/best-of-python#data-loading--extraction,CC-BY-SA-4.0,2021-01-11 19:11:32.000,2023-12-14 13:34:40.000000,2023-12-07 16:29:30,307.0,25.0,222.0,87.0,174.0,4.0,4.0,3249.0,Collection of data-loading and -extraction libraries.,12.0,0,True,2023-12-07 16:29:35.000,2023.12.07,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,best-of-python - DB Clients,ml-tooling/best-of-python,db-clients,True,https://github.com/ml-tooling/best-of-python,https://github.com/ml-tooling/best-of-python#database-clients,CC-BY-SA-4.0,2021-01-11 19:11:32.000,2023-12-14 13:34:40.000000,2023-12-07 16:29:30,307.0,25.0,222.0,87.0,174.0,4.0,4.0,3249.0,Collection of database clients for python.,12.0,0,True,2023-12-07 16:29:35.000,2023.12.07,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,best-of-python - Data Containers,ml-tooling/best-of-python,data-containers,True,https://github.com/ml-tooling/best-of-python,https://github.com/ml-tooling/best-of-python#data-containers--dataframes,CC-BY-SA-4.0,2021-01-11 19:11:32.000,2023-12-14 13:34:40.000000,2023-12-07 16:29:30,307.0,25.0,222.0,87.0,174.0,4.0,4.0,3249.0,"Collection of data-container, dataframe, and pandas-utility libraries.",12.0,0,True,2023-12-07 16:29:35.000,2023.12.07,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,best-of-python - Data Pipelines,ml-tooling/best-of-python,data-pipelines,True,https://github.com/ml-tooling/best-of-python,https://github.com/ml-tooling/best-of-python#data-pipelines--streaming,CC-BY-SA-4.0,2021-01-11 19:11:32.000,2023-12-14 13:34:40.000000,2023-12-07 16:29:30,307.0,25.0,222.0,87.0,174.0,4.0,4.0,3249.0,"Libraries for data batch- and stream-processing, workflow automation, job scheduling, and other data pipeline tasks.",12.0,0,True,2023-12-07 16:29:35.000,2023.12.07,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,Tensorflow,tensorflow/tensorflow,ml-frameworks,,https://github.com/tensorflow/tensorflow,https://github.com/tensorflow/tensorflow,Apache-2.0,2015-11-07 01:19:20.000,2023-12-14 13:49:01.879192,2023-12-14 13:34:17,157299.0,3472.0,89218.0,7665.0,23564.0,2109.0,36527.0,181662.0,An Open Source Machine Learning Framework for Everyone.,4509.0,54,True,2023-11-14 19:04:31.000,2.15.0,189.0,tensorflow,conda-forge/tensorflow,tensorflow/tensorflow,https://www.tensorflow.org/overview,['tensorflow'],342742.0,327371.0,https://pypi.org/project/tensorflow,2023-12-05 22:50:47.000,15371.0,17347866.0,18528429.0,https://anaconda.org/conda-forge/tensorflow,2023-11-14 01:21:42.350,4438220.0,https://hub.docker.com/r/tensorflow/tensorflow,2023-12-14 13:49:01.879192,2241.0,75377680.0,1.0,,,,,,,,,,,,,,,,,,,
7,PyTorch,pytorch/pytorch,ml-frameworks,,https://github.com/pytorch/pytorch,https://github.com/pytorch/pytorch,BSD-3-Clause,2016-08-13 05:26:41.000,2023-12-14 14:06:04.000000,2023-12-14 12:54:22,67430.0,3336.0,20103.0,1679.0,77015.0,13128.0,26282.0,73556.0,Tensors and Dynamic neural networks in Python with strong GPU acceleration.,4531.0,54,True,2023-11-15 22:59:33.000,2.1.1,47.0,torch,pytorch/pytorch,,https://pytorch.org/docs/stable/index.html,['pytorch'],371929.0,360199.0,https://pypi.org/project/torch,2023-11-15 16:42:26.000,11730.0,15922264.0,16653867.0,https://anaconda.org/pytorch/pytorch,2023-11-14 20:37:38.204,19744140.0,,,,,1.0,29537.0,,,,,,,,,,,,,,,,,,
8,scikit-learn,scikit-learn/scikit-learn,ml-frameworks,,https://github.com/scikit-learn/scikit-learn,https://github.com/scikit-learn/scikit-learn,BSD-3-Clause,2010-08-17 09:43:38.000,2023-12-14 12:59:46.000000,2023-12-13 17:29:51,30745.0,309.0,24776.0,2145.0,16476.0,2264.0,8950.0,56700.0,scikit-learn: machine learning in Python.,3026.0,52,True,2023-10-25 08:23:32.000,1.3.2,73.0,scikit-learn,conda-forge/scikit-learn,,,['sklearn'],690092.0,659555.0,https://pypi.org/project/scikit-learn,2023-10-23 13:46:30.000,30537.0,44826945.0,45425454.0,https://anaconda.org/conda-forge/scikit-learn,2023-12-07 07:24:39.171,25735498.0,,,,,1.0,924.0,,,,,,,,,,,,,,,,,,
9,transformers,huggingface/transformers,nlp,,https://github.com/huggingface/transformers,https://github.com/huggingface/transformers,Apache-2.0,2018-10-29 13:56:00.000,2023-12-14 14:14:39.000000,2023-12-14 13:56:03,14737.0,748.0,22243.0,1072.0,14161.0,686.0,12844.0,117080.0,"Transformers: State-of-the-art Machine Learning for Pytorch, TensorFlow, and JAX.",2309.0,50,True,2023-12-14 06:57:27.000,4.36.1,100.0,transformers,conda-forge/transformers,,,"['pytorch', 'tensorflow']",121738.0,121738.0,https://pypi.org/project/transformers,,,18642119.0,18677839.0,https://anaconda.org/conda-forge/transformers,2023-12-13 09:02:02.409,1464525.0,,,,,1.0,,,,,,,,,,,,,,,,,,,
