,name,github_id,category,resource,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,description,contributor_count,projectrank,show,latest_stable_release_published_at,latest_stable_release_number,release_count,pypi_id,conda_id,dockerhub_id,docs_url,labels,dependent_project_count,github_dependent_project_count,pypi_url,pypi_monthly_downloads,monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,projectrank_placing,github_release_downloads,pypi_latest_release_published_at,pypi_dependent_project_count,helm_id,trending,updated_github_id,npm_id,npm_url,npm_monthly_downloads,npm_latest_release_published_at,npm_dependent_project_count,brew_id,apt_id,yum_id,maven_id,maven_url,dnf_id,yay_id,snap_id
0,ANN Benchmarks,erikbern/ann-benchmarks,nn-search,True,https://github.com/erikbern/ann-benchmarks,https://github.com/erikbern/ann-benchmarks,MIT,2015-05-28 13:21:43.000,2023-12-22 20:04:44.000000,2023-10-23 18:26:19,1535.0,19.0,620.0,110.0,305.0,46.0,132.0,4268.0,Benchmarks of approximate nearest neighbor libraries in Python.,98.0,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,best-of-web-python - Web Scraping,ml-tooling/best-of-web-python,web-scraping,True,https://github.com/ml-tooling/best-of-web-python,https://github.com/ml-tooling/best-of-web-python#web-scraping--crawling,CC-BY-SA-4.0,2021-01-05 13:09:27.000,2023-12-21 16:58:32.000000,2023-12-21 16:58:31,293.0,24.0,155.0,51.0,175.0,,3.0,2090.0,Collection of web-scraping and crawling libraries.,14.0,0,True,2023-12-21 16:58:37.000,2023.12.21,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,best-of-python - Data Extraction,ml-tooling/best-of-python,data-loading,True,https://github.com/ml-tooling/best-of-python,https://github.com/ml-tooling/best-of-python#data-loading--extraction,CC-BY-SA-4.0,2021-01-11 19:11:32.000,2023-12-28 13:32:23.000000,2023-12-21 15:57:14,311.0,25.0,221.0,88.0,176.0,4.0,4.0,3262.0,Collection of data-loading and -extraction libraries.,12.0,0,True,2023-12-21 15:57:26.000,2023.12.21,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,best-of-python - DB Clients,ml-tooling/best-of-python,db-clients,True,https://github.com/ml-tooling/best-of-python,https://github.com/ml-tooling/best-of-python#database-clients,CC-BY-SA-4.0,2021-01-11 19:11:32.000,2023-12-28 13:32:23.000000,2023-12-21 15:57:14,311.0,25.0,221.0,88.0,176.0,4.0,4.0,3262.0,Collection of database clients for python.,12.0,0,True,2023-12-21 15:57:26.000,2023.12.21,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,best-of-python - Data Containers,ml-tooling/best-of-python,data-containers,True,https://github.com/ml-tooling/best-of-python,https://github.com/ml-tooling/best-of-python#data-containers--dataframes,CC-BY-SA-4.0,2021-01-11 19:11:32.000,2023-12-28 13:32:23.000000,2023-12-21 15:57:14,311.0,25.0,221.0,88.0,176.0,4.0,4.0,3262.0,"Collection of data-container, dataframe, and pandas-utility libraries.",12.0,0,True,2023-12-21 15:57:26.000,2023.12.21,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,best-of-python - Data Pipelines,ml-tooling/best-of-python,data-pipelines,True,https://github.com/ml-tooling/best-of-python,https://github.com/ml-tooling/best-of-python#data-pipelines--streaming,CC-BY-SA-4.0,2021-01-11 19:11:32.000,2023-12-28 13:32:23.000000,2023-12-21 15:57:14,311.0,25.0,221.0,88.0,176.0,4.0,4.0,3262.0,"Libraries for data batch- and stream-processing, workflow automation, job scheduling, and other data pipeline tasks.",12.0,0,True,2023-12-21 15:57:26.000,2023.12.21,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,Tensorflow,tensorflow/tensorflow,ml-frameworks,,https://github.com/tensorflow/tensorflow,https://github.com/tensorflow/tensorflow,Apache-2.0,2015-11-07 01:19:20.000,2023-12-28 13:52:52.000061,2023-12-28 13:37:30,157760.0,3317.0,71984.0,7660.0,23579.0,1922.0,36592.0,181923.0,An Open Source Machine Learning Framework for Everyone.,4515.0,54,True,2023-11-14 18:46:08.000,2.15.0,100.0,tensorflow,conda-forge/tensorflow,tensorflow/tensorflow,https://www.tensorflow.org/overview,['tensorflow'],331396.0,331396.0,https://pypi.org/project/tensorflow,17034554.0,18217734.0,https://anaconda.org/conda-forge/tensorflow,2023-12-22 04:01:45.812,4446684.0,https://hub.docker.com/r/tensorflow/tensorflow,2023-12-28 13:52:52.000061,2243.0,75556867.0,1.0,,,,,,,,,,,,,,,,,,,
7,PyTorch,pytorch/pytorch,ml-frameworks,,https://github.com/pytorch/pytorch,https://github.com/pytorch/pytorch,BSD-3-Clause,2016-08-13 05:26:41.000,2023-12-28 13:44:46.000000,2023-12-28 11:54:04,67803.0,3213.0,19478.0,1680.0,77479.0,12260.0,26470.0,73952.0,Tensors and Dynamic neural networks in Python with strong GPU acceleration.,4559.0,54,True,2023-12-15 01:59:57.000,2.1.2,48.0,torch,pytorch/pytorch,,https://pytorch.org/docs/stable/index.html,['pytorch'],367514.0,367514.0,https://pypi.org/project/torch,15808563.0,16543879.0,https://anaconda.org/pytorch/pytorch,2023-12-14 15:11:56.517,19844007.0,,,,,1.0,30789.0,,,,,,,,,,,,,,,,,,
8,scikit-learn,scikit-learn/scikit-learn,ml-frameworks,,https://github.com/scikit-learn/scikit-learn,https://github.com/scikit-learn/scikit-learn,BSD-3-Clause,2010-08-17 09:43:38.000,2023-12-28 09:18:47.000000,2023-12-27 10:41:46,30760.0,265.0,24004.0,2148.0,16516.0,1631.0,8966.0,56889.0,scikit-learn: machine learning in Python.,3028.0,52,True,2023-10-25 08:23:32.000,1.3.2,45.0,scikit-learn,conda-forge/scikit-learn,,,['sklearn'],669128.0,669128.0,https://pypi.org/project/scikit-learn,44272869.0,44873334.0,https://anaconda.org/conda-forge/scikit-learn,2023-12-20 20:44:10.007,25819596.0,,,,,1.0,930.0,,,,,,,,,,,,,,,,,,
9,transformers,huggingface/transformers,nlp,,https://github.com/huggingface/transformers,https://github.com/huggingface/transformers,Apache-2.0,2018-10-29 13:56:00.000,2023-12-28 13:34:01.000000,2023-12-26 20:52:10,14816.0,738.0,22397.0,1070.0,14278.0,699.0,12943.0,117800.0,"Transformers: State-of-the-art Machine Learning for Pytorch, TensorFlow, and JAX.",2327.0,50,True,2023-12-18 18:44:02.000,4.36.2,100.0,transformers,conda-forge/transformers,,,"['pytorch', 'tensorflow']",125596.0,125596.0,https://pypi.org/project/transformers,19037162.0,19073091.0,https://anaconda.org/conda-forge/transformers,2023-12-19 03:00:23.210,1473111.0,,,,,1.0,,,,,,,,,,,,,,,,,,,
