,name,github_id,category,resource,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,description,contributor_count,projectrank,show,latest_stable_release_published_at,latest_stable_release_number,release_count,pypi_id,conda_id,docs_url,labels,github_release_downloads,monthly_downloads,dependent_project_count,github_dependent_project_count,pypi_url,pypi_latest_release_published_at,pypi_dependent_project_count,pypi_monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,projectrank_placing,trending,helm_id,updated_github_id,npm_id,npm_url,npm_latest_release_published_at,npm_dependent_project_count,npm_monthly_downloads,dockerhub_id,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,brew_id,apt_id,yum_id,maven_id,maven_url,maven_latest_release_published_at,maven_dependent_project_count,dnf_id,yay_id,snap_id
0,ANN Benchmarks,erikbern/ann-benchmarks,nn-search,True,https://github.com/erikbern/ann-benchmarks,https://github.com/erikbern/ann-benchmarks,MIT,2015-05-28 13:21:43.000,2024-01-14 19:20:38.000000,2024-01-10 20:21:25,1536.0,3.0,661.0,111.0,308.0,54.0,132.0,4314.0,Benchmarks of approximate nearest neighbor libraries in Python.,99.0,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,best-of-web-python - Web Scraping,ml-tooling/best-of-web-python,web-scraping,True,https://github.com/ml-tooling/best-of-web-python,https://github.com/ml-tooling/best-of-web-python#web-scraping--crawling,CC-BY-SA-4.0,2021-01-05 13:09:27.000,2024-01-11 18:27:24.000000,2024-01-11 18:27:24,299.0,24.0,157.0,51.0,178.0,,3.0,2101.0,Collection of web-scraping and crawling libraries.,14.0,0,True,2024-01-11 18:27:30.000,2024.01.11,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,best-of-python - Data Extraction,ml-tooling/best-of-python,data-loading,True,https://github.com/ml-tooling/best-of-python,https://github.com/ml-tooling/best-of-python#data-loading--extraction,CC-BY-SA-4.0,2021-01-11 19:11:32.000,2024-01-18 13:57:58.000000,2024-01-11 18:28:13,317.0,24.0,222.0,88.0,179.0,4.0,5.0,3277.0,Collection of data-loading and -extraction libraries.,12.0,0,True,2024-01-11 18:28:22.000,2024.01.11,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,best-of-python - DB Clients,ml-tooling/best-of-python,db-clients,True,https://github.com/ml-tooling/best-of-python,https://github.com/ml-tooling/best-of-python#database-clients,CC-BY-SA-4.0,2021-01-11 19:11:32.000,2024-01-18 13:57:58.000000,2024-01-11 18:28:13,317.0,24.0,222.0,88.0,179.0,4.0,5.0,3277.0,Collection of database clients for python.,12.0,0,True,2024-01-11 18:28:22.000,2024.01.11,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,best-of-python - Data Containers,ml-tooling/best-of-python,data-containers,True,https://github.com/ml-tooling/best-of-python,https://github.com/ml-tooling/best-of-python#data-containers--dataframes,CC-BY-SA-4.0,2021-01-11 19:11:32.000,2024-01-18 13:57:58.000000,2024-01-11 18:28:13,317.0,24.0,222.0,88.0,179.0,4.0,5.0,3277.0,"Collection of data-container, dataframe, and pandas-utility libraries.",12.0,0,True,2024-01-11 18:28:22.000,2024.01.11,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,best-of-python - Data Pipelines,ml-tooling/best-of-python,data-pipelines,True,https://github.com/ml-tooling/best-of-python,https://github.com/ml-tooling/best-of-python#data-pipelines--streaming,CC-BY-SA-4.0,2021-01-11 19:11:32.000,2024-01-18 13:57:58.000000,2024-01-11 18:28:13,317.0,24.0,222.0,88.0,179.0,4.0,5.0,3277.0,"Libraries for data batch- and stream-processing, workflow automation, job scheduling, and other data pipeline tasks.",12.0,0,True,2024-01-11 18:28:22.000,2024.01.11,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,PyTorch,pytorch/pytorch,ml-frameworks,,https://github.com/pytorch/pytorch,https://github.com/pytorch/pytorch,BSD-3-Clause,2016-08-13 05:26:41.000,2024-01-18 14:10:32.000000,2024-01-18 12:18:45,68435.0,3148.0,20456.0,1683.0,78308.0,13154.0,26775.0,74548.0,Tensors and Dynamic neural networks in Python with strong GPU acceleration.,4594.0,54,True,2023-12-15 01:59:57.000,2.1.2,48.0,torch,pytorch/pytorch,https://pytorch.org/docs/stable/index.html,['pytorch'],32325.0,15788898.0,389054.0,376962.0,https://pypi.org/project/torch,2023-12-14 21:46:00.000,12092.0,15074370.0,https://anaconda.org/pytorch/pytorch,2023-12-14 15:11:56.517,19996521.0,1.0,,,,,,,,,,,,,,,,,,,,,,,
7,scikit-learn,scikit-learn/scikit-learn,ml-frameworks,,https://github.com/scikit-learn/scikit-learn,https://github.com/scikit-learn/scikit-learn,BSD-3-Clause,2010-08-17 09:43:38.000,2024-01-18 14:07:59.000000,2024-01-18 14:07:59,30845.0,290.0,24053.0,2148.0,16623.0,1631.0,8989.0,57103.0,scikit-learn: machine learning in Python.,3052.0,52,True,2023-10-25 08:23:32.000,1.3.2,45.0,scikit-learn,conda-forge/scikit-learn,,['sklearn'],933.0,43181309.0,682506.0,682506.0,https://pypi.org/project/scikit-learn,,,42591680.0,https://anaconda.org/conda-forge/scikit-learn,2023-12-20 20:44:10.007,25943238.0,1.0,,,,,,,,,,,,,,,,,,,,,,,
8,Matplotlib,matplotlib/matplotlib,data-viz,,https://github.com/matplotlib/matplotlib,https://github.com/matplotlib/matplotlib,Python-2.0,2011-02-19 03:17:12.000,2024-01-18 14:30:06.000000,2024-01-17 21:43:27,49421.0,526.0,7373.0,590.0,17624.0,1532.0,8852.0,18747.0,matplotlib: plotting with Python.,1637.0,50,True,2023-11-18 03:45:11.000,3.7.4,119.0,matplotlib,conda-forge/matplotlib,,,,45307079.0,1126987.0,1062866.0,https://pypi.org/project/matplotlib,2023-11-18 03:45:11.000,64121.0,44806016.0,https://anaconda.org/conda-forge/matplotlib,2023-11-20 21:33:42.497,21545732.0,1.0,,,,,,,,,,,,,,,,,,,,,,,
9,scipy,scipy/scipy,others,,https://github.com/scipy/scipy,https://github.com/scipy/scipy,BSD-3-Clause,2011-03-09 18:52:03.000,2024-01-18 14:31:14.000000,2024-01-18 14:31:13,31434.0,410.0,4981.0,349.0,10251.0,1766.0,8169.0,12096.0,"Ecosystem of open-source software for mathematics, science, and engineering.",1572.0,48,True,2023-11-18 21:48:38.000,1.11.4,98.0,scipy,conda-forge/scipy,,,391977.0,68535955.0,66074.0,21.0,https://pypi.org/project/scipy,2023-11-18 21:01:18.000,66053.0,67359508.0,https://anaconda.org/conda-forge/scipy,2023-11-24 10:16:45.681,44558990.0,1.0,5.0,,,,,,,,,,,,,,,,,,,,,,
