,name,github_id,category,resource,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,description,contributor_count,projectrank,show,latest_stable_release_published_at,latest_stable_release_number,release_count,pypi_id,conda_id,dockerhub_id,docs_url,labels,dependent_project_count,github_dependent_project_count,pypi_url,pypi_latest_release_published_at,pypi_dependent_project_count,pypi_monthly_downloads,monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,projectrank_placing,github_release_downloads,updated_github_id,helm_id,npm_id,npm_url,npm_latest_release_published_at,npm_dependent_project_count,npm_monthly_downloads,trending,brew_id,apt_id,yum_id,conda_dependent_project_count,maven_id,maven_url,maven_latest_release_published_at,maven_dependent_project_count,dnf_id,yay_id,snap_id
0,ANN Benchmarks,erikbern/ann-benchmarks,nn-search,True,https://github.com/erikbern/ann-benchmarks,https://github.com/erikbern/ann-benchmarks,MIT,2015-05-28 13:21:43.000,2024-03-01 10:03:18.000000,2024-03-01 08:00:08,1539.0,4.0,658.0,114.0,312.0,54.0,134.0,4425.0,Benchmarks of approximate nearest neighbor libraries in Python.,99.0,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,best-of-web-python - Web Scraping,ml-tooling/best-of-web-python,web-scraping,True,https://github.com/ml-tooling/best-of-web-python,https://github.com/ml-tooling/best-of-web-python#web-scraping--crawling,CC-BY-SA-4.0,2021-01-05 13:09:27.000,2024-02-29 16:56:07.000000,2024-02-29 16:56:06,315.0,25.0,158.0,54.0,185.0,,3.0,2129.0,Collection of web-scraping and crawling libraries.,14.0,0,True,2024-02-29 16:56:13.000,2024.02.29,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,best-of-python - Data Extraction,ml-tooling/best-of-python,data-loading,True,https://github.com/ml-tooling/best-of-python,https://github.com/ml-tooling/best-of-python#data-loading--extraction,CC-BY-SA-4.0,2021-01-11 19:11:32.000,2024-03-07 14:32:45.000000,2024-03-07 14:32:44,333.0,26.0,222.0,87.0,186.0,4.0,5.0,3343.0,Collection of data-loading and -extraction libraries.,12.0,0,True,2024-03-07 14:32:51.000,2024.03.07,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,best-of-python - DB Clients,ml-tooling/best-of-python,db-clients,True,https://github.com/ml-tooling/best-of-python,https://github.com/ml-tooling/best-of-python#database-clients,CC-BY-SA-4.0,2021-01-11 19:11:32.000,2024-03-07 14:32:45.000000,2024-03-07 14:32:44,333.0,26.0,223.0,87.0,186.0,4.0,5.0,3343.0,Collection of database clients for python.,12.0,0,True,2024-03-07 14:32:51.000,2024.03.07,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,best-of-python - Data Containers,ml-tooling/best-of-python,data-containers,True,https://github.com/ml-tooling/best-of-python,https://github.com/ml-tooling/best-of-python#data-containers--dataframes,CC-BY-SA-4.0,2021-01-11 19:11:32.000,2024-03-07 14:32:45.000000,2024-03-07 14:32:44,333.0,26.0,223.0,87.0,186.0,4.0,5.0,3343.0,"Collection of data-container, dataframe, and pandas-utility libraries.",12.0,0,True,2024-03-07 14:32:51.000,2024.03.07,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,best-of-python - Data Pipelines,ml-tooling/best-of-python,data-pipelines,True,https://github.com/ml-tooling/best-of-python,https://github.com/ml-tooling/best-of-python#data-pipelines--streaming,CC-BY-SA-4.0,2021-01-11 19:11:32.000,2024-03-07 14:32:45.000000,2024-03-07 14:32:44,333.0,26.0,223.0,87.0,186.0,4.0,5.0,3343.0,"Libraries for data batch- and stream-processing, workflow automation, job scheduling, and other data pipeline tasks.",12.0,0,True,2024-03-07 14:32:51.000,2024.03.07,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,Tensorflow,tensorflow/tensorflow,ml-frameworks,,https://github.com/tensorflow/tensorflow,https://github.com/tensorflow/tensorflow,Apache-2.0,2015-11-07 01:19:20.000,2024-03-07 14:13:02.000000,2024-03-07 14:09:11,161204.0,4014.0,73722.0,7653.0,23789.0,2071.0,36894.0,183466.0,An Open Source Machine Learning Framework for Everyone.,4561.0,56,True,2024-01-18 12:52:11.000,2.16.0,191.0,tensorflow,conda-forge/tensorflow,tensorflow/tensorflow,https://www.tensorflow.org/overview,['tensorflow'],363695.0,348139.0,https://pypi.org/project/tensorflow,2024-02-23 19:34:11.000,15556.0,20223740.0,21308108.0,https://anaconda.org/conda-forge/tensorflow,2024-01-30 00:38:25.304,4499717.0,https://hub.docker.com/r/tensorflow/tensorflow,2024-03-07 13:49:19.702298,2295.0,76296075.0,1.0,,,,,,,,,,,,,,,,,,,,
7,PyTorch,pytorch/pytorch,ml-frameworks,,https://github.com/pytorch/pytorch,https://github.com/pytorch/pytorch,BSD-3-Clause,2016-08-13 05:26:41.000,2024-03-07 13:52:41.000000,2024-03-07 13:52:29,70301.0,3087.0,20467.0,1692.0,80776.0,13530.0,27550.0,76251.0,Tensors and Dynamic neural networks in Python with strong GPU acceleration.,4695.0,54,True,2024-02-22 21:15:00.000,2.2.1,50.0,torch,pytorch/pytorch,,https://pytorch.org/docs/stable/index.html,['pytorch'],415226.0,402608.0,https://pypi.org/project/torch,2024-02-22 19:14:18.000,12618.0,20063795.0,20744077.0,https://anaconda.org/pytorch/pytorch,2024-02-21 17:09:02.139,20396723.0,,,,,1.0,35311.0,,,,,,,,,,,,,,,,,,,
8,scikit-learn,scikit-learn/scikit-learn,ml-frameworks,,https://github.com/scikit-learn/scikit-learn,https://github.com/scikit-learn/scikit-learn,BSD-3-Clause,2010-08-17 09:43:38.000,2024-03-07 13:43:56.000000,2024-03-07 11:05:45,31088.0,359.0,25151.0,2145.0,16916.0,2292.0,9094.0,57590.0,scikit-learn: machine learning in Python.,3085.0,51,True,2024-02-15 16:07:32.000,1.4.1.post1,76.0,scikit-learn,conda-forge/scikit-learn,,,['sklearn'],747472.0,716079.0,https://pypi.org/project/scikit-learn,2024-02-16 08:56:53.000,31393.0,56370394.0,56944052.0,https://anaconda.org/conda-forge/scikit-learn,2024-02-16 10:16:19.766,26387866.0,,,,,1.0,942.0,,,,,,,,,,,,,,,,,,,
9,transformers,huggingface/transformers,nlp,,https://github.com/huggingface/transformers,https://github.com/huggingface/transformers,Apache-2.0,2018-10-29 13:56:00.000,2024-03-07 14:12:02.000000,2024-03-07 13:51:59,15292.0,607.0,23167.0,1084.0,14933.0,773.0,13449.0,121586.0,"Transformers: State-of-the-art Machine Learning for Pytorch, TensorFlow, and JAX.",2454.0,50,True,2024-03-01 03:24:28.000,4.38.2,103.0,transformers,conda-forge/transformers,,,"['pytorch', 'tensorflow']",144767.0,144767.0,https://pypi.org/project/transformers,,,22247807.0,22282589.0,https://anaconda.org/conda-forge/transformers,2024-03-01 15:53:31.135,1530432.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,
