,name,github_id,category,resource,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,description,contributor_count,projectrank,show,latest_stable_release_published_at,latest_stable_release_number,release_count,pypi_id,conda_id,dockerhub_id,docs_url,labels,dependent_project_count,github_dependent_project_count,pypi_url,pypi_monthly_downloads,monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,projectrank_placing,github_release_downloads,pypi_latest_release_published_at,pypi_dependent_project_count,updated_github_id,npm_id,npm_url,npm_latest_release_published_at,npm_dependent_project_count,npm_monthly_downloads,helm_id,trending,brew_id,apt_id,yum_id,maven_id,maven_url,maven_latest_release_published_at,maven_dependent_project_count,dnf_id,yay_id,snap_id
0,ANN Benchmarks,erikbern/ann-benchmarks,nn-search,True,https://github.com/erikbern/ann-benchmarks,https://github.com/erikbern/ann-benchmarks,MIT,2015-05-28 13:21:43.000,2024-03-19 08:45:34.000000,2024-03-19 08:45:33,1542.0,7.0,658.0,115.0,315.0,54.0,136.0,4467.0,Benchmarks of approximate nearest neighbor libraries in Python.,101.0,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,best-of-web-python - Web Scraping,ml-tooling/best-of-web-python,web-scraping,True,https://github.com/ml-tooling/best-of-web-python,https://github.com/ml-tooling/best-of-web-python#web-scraping--crawling,CC-BY-SA-4.0,2021-01-05 13:09:27.000,2024-03-14 17:35:21.000000,2024-03-14 17:35:21,319.0,26.0,158.0,54.0,189.0,,3.0,2142.0,Collection of web-scraping and crawling libraries.,14.0,0,True,2024-03-14 17:35:28.000,2024.03.14,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,best-of-python - Data Extraction,ml-tooling/best-of-python,data-loading,True,https://github.com/ml-tooling/best-of-python,https://github.com/ml-tooling/best-of-python#data-loading--extraction,CC-BY-SA-4.0,2021-01-11 19:11:32.000,2024-03-21 13:44:24.000000,2024-03-14 16:05:22,335.0,24.0,225.0,88.0,188.0,4.0,5.0,3358.0,Collection of data-loading and -extraction libraries.,12.0,0,True,2024-03-14 16:05:28.000,2024.03.14,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,best-of-python - DB Clients,ml-tooling/best-of-python,db-clients,True,https://github.com/ml-tooling/best-of-python,https://github.com/ml-tooling/best-of-python#database-clients,CC-BY-SA-4.0,2021-01-11 19:11:32.000,2024-03-21 13:44:24.000000,2024-03-14 16:05:22,335.0,24.0,225.0,88.0,188.0,4.0,5.0,3358.0,Collection of database clients for python.,12.0,0,True,2024-03-14 16:05:28.000,2024.03.14,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,best-of-python - Data Containers,ml-tooling/best-of-python,data-containers,True,https://github.com/ml-tooling/best-of-python,https://github.com/ml-tooling/best-of-python#data-containers--dataframes,CC-BY-SA-4.0,2021-01-11 19:11:32.000,2024-03-21 13:44:24.000000,2024-03-14 16:05:22,335.0,24.0,225.0,88.0,188.0,4.0,5.0,3358.0,"Collection of data-container, dataframe, and pandas-utility libraries.",12.0,0,True,2024-03-14 16:05:28.000,2024.03.14,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,best-of-python - Data Pipelines,ml-tooling/best-of-python,data-pipelines,True,https://github.com/ml-tooling/best-of-python,https://github.com/ml-tooling/best-of-python#data-pipelines--streaming,CC-BY-SA-4.0,2021-01-11 19:11:32.000,2024-03-21 13:44:24.000000,2024-03-14 16:05:22,335.0,24.0,225.0,88.0,188.0,4.0,5.0,3358.0,"Libraries for data batch- and stream-processing, workflow automation, job scheduling, and other data pipeline tasks.",12.0,0,True,2024-03-14 16:05:28.000,2024.03.14,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,Tensorflow,tensorflow/tensorflow,ml-frameworks,,https://github.com/tensorflow/tensorflow,https://github.com/tensorflow/tensorflow,Apache-2.0,2015-11-07 01:19:20.000,2024-03-21 14:12:10.000000,2024-03-21 13:55:00,161863.0,4088.0,72198.0,7647.0,24659.0,1950.0,36947.0,183790.0,An Open Source Machine Learning Framework for Everyone.,4574.0,56,True,2024-03-08 19:09:29.000,2.15.1,100.0,tensorflow,conda-forge/tensorflow,tensorflow/tensorflow,https://www.tensorflow.org/overview,['tensorflow'],352241.0,352241.0,https://pypi.org/project/tensorflow,22084620.0,23171150.0,https://anaconda.org/conda-forge/tensorflow,2024-01-30 00:38:25.304,4509820.0,https://hub.docker.com/r/tensorflow/tensorflow,2024-03-21 12:52:37.902309,2332.0,76440091.0,1.0,,,,,,,,,,,,,,,,,,,,,
7,PyTorch,pytorch/pytorch,ml-frameworks,,https://github.com/pytorch/pytorch,https://github.com/pytorch/pytorch,BSD-3-Clause,2016-08-13 05:26:41.000,2024-03-21 14:13:34.000000,2024-03-21 11:53:31,70832.0,3103.0,20302.0,1695.0,81444.0,12846.0,27800.0,76769.0,Tensors and Dynamic neural networks in Python with strong GPU acceleration.,4730.0,54,True,2024-02-22 21:15:00.000,2.2.1,50.0,torch,pytorch/pytorch,,https://pytorch.org/docs/stable/index.html,['pytorch'],411120.0,411120.0,https://pypi.org/project/torch,22923696.0,23608154.0,https://anaconda.org/pytorch/pytorch,2024-02-21 17:09:02.139,20521679.0,,,,,1.0,36338.0,,,,,,,,,,,,,,,,,,,,
8,scikit-learn,scikit-learn/scikit-learn,ml-frameworks,,https://github.com/scikit-learn/scikit-learn,https://github.com/scikit-learn/scikit-learn,BSD-3-Clause,2010-08-17 09:43:38.000,2024-03-21 13:30:08.000000,2024-03-21 11:37:20,31125.0,367.0,24217.0,2143.0,16969.0,1632.0,9123.0,57723.0,scikit-learn: machine learning in Python.,3093.0,51,True,2024-02-15 16:07:32.000,1.4.1.post1,47.0,scikit-learn,conda-forge/scikit-learn,,,['sklearn'],727118.0,727118.0,https://pypi.org/project/scikit-learn,62781473.0,63359418.0,https://anaconda.org/conda-forge/scikit-learn,2024-02-16 10:16:19.766,26585098.0,,,,,1.0,942.0,,,,,,,,,,,,,,,,,,,,
9,transformers,huggingface/transformers,nlp,,https://github.com/huggingface/transformers,https://github.com/huggingface/transformers,Apache-2.0,2018-10-29 13:56:00.000,2024-03-21 14:15:20.000000,2024-03-21 14:04:11,15413.0,600.0,23354.0,1087.0,15093.0,789.0,13536.0,122540.0,"Transformers: State-of-the-art Machine Learning for Pytorch, TensorFlow, and JAX.",2482.0,50,True,2024-03-21 01:18:35.000,4.39.0,104.0,transformers,conda-forge/transformers,,,"['pytorch', 'tensorflow']",149286.0,149286.0,https://pypi.org/project/transformers,22502975.0,22538056.0,https://anaconda.org/conda-forge/transformers,2024-03-21 05:36:57.208,1543585.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,
