,name,github_id,category,resource,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,description,contributor_count,projectrank,show,latest_stable_release_published_at,latest_stable_release_number,release_count,pypi_id,conda_id,dockerhub_id,docs_url,labels,dependent_project_count,github_dependent_project_count,pypi_url,pypi_latest_release_published_at,pypi_dependent_project_count,pypi_monthly_downloads,monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,projectrank_placing,github_release_downloads,helm_id,trending,updated_github_id,npm_id,npm_url,npm_monthly_downloads,npm_latest_release_published_at,npm_dependent_project_count,brew_id,apt_id,yum_id,maven_id,maven_url,maven_latest_release_published_at,maven_dependent_project_count,dnf_id,yay_id,snap_id
0,ANN Benchmarks,erikbern/ann-benchmarks,nn-search,True,https://github.com/erikbern/ann-benchmarks,https://github.com/erikbern/ann-benchmarks,MIT,2015-05-28 13:21:43.000,2024-03-26 14:22:58.000000,2024-03-19 08:45:33,1542.0,7.0,672.0,115.0,316.0,58.0,136.0,4486.0,Benchmarks of approximate nearest neighbor libraries in Python.,101.0,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,best-of-web-python - Web Scraping,ml-tooling/best-of-web-python,web-scraping,True,https://github.com/ml-tooling/best-of-web-python,https://github.com/ml-tooling/best-of-web-python#web-scraping--crawling,CC-BY-SA-4.0,2021-01-05 13:09:27.000,2024-03-28 16:06:58.000000,2024-03-21 23:45:25,321.0,26.0,159.0,54.0,190.0,,3.0,2144.0,Collection of web-scraping and crawling libraries.,14.0,0,True,2024-03-21 23:45:35.000,2024.03.21,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,best-of-python - Data Extraction,ml-tooling/best-of-python,data-loading,True,https://github.com/ml-tooling/best-of-python,https://github.com/ml-tooling/best-of-python#data-loading--extraction,CC-BY-SA-4.0,2021-01-11 19:11:32.000,2024-03-28 14:59:06.000000,2024-03-21 23:46:19,337.0,24.0,225.0,87.0,189.0,4.0,5.0,3371.0,Collection of data-loading and -extraction libraries.,12.0,0,True,2024-03-21 23:46:26.000,2024.03.21,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,best-of-python - DB Clients,ml-tooling/best-of-python,db-clients,True,https://github.com/ml-tooling/best-of-python,https://github.com/ml-tooling/best-of-python#database-clients,CC-BY-SA-4.0,2021-01-11 19:11:32.000,2024-03-28 14:59:06.000000,2024-03-21 23:46:19,337.0,24.0,225.0,87.0,189.0,4.0,5.0,3371.0,Collection of database clients for python.,12.0,0,True,2024-03-21 23:46:26.000,2024.03.21,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,best-of-python - Data Containers,ml-tooling/best-of-python,data-containers,True,https://github.com/ml-tooling/best-of-python,https://github.com/ml-tooling/best-of-python#data-containers--dataframes,CC-BY-SA-4.0,2021-01-11 19:11:32.000,2024-03-28 14:59:06.000000,2024-03-21 23:46:19,337.0,24.0,225.0,87.0,189.0,4.0,5.0,3371.0,"Collection of data-container, dataframe, and pandas-utility libraries.",12.0,0,True,2024-03-21 23:46:26.000,2024.03.21,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,best-of-python - Data Pipelines,ml-tooling/best-of-python,data-pipelines,True,https://github.com/ml-tooling/best-of-python,https://github.com/ml-tooling/best-of-python#data-pipelines--streaming,CC-BY-SA-4.0,2021-01-11 19:11:32.000,2024-03-28 14:59:06.000000,2024-03-21 23:46:19,337.0,24.0,225.0,87.0,189.0,4.0,5.0,3371.0,"Libraries for data batch- and stream-processing, workflow automation, job scheduling, and other data pipeline tasks.",12.0,0,True,2024-03-21 23:46:26.000,2024.03.21,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,Tensorflow,tensorflow/tensorflow,ml-frameworks,,https://github.com/tensorflow/tensorflow,https://github.com/tensorflow/tensorflow,Apache-2.0,2015-11-07 01:19:20.000,2024-03-28 14:09:14.000000,2024-03-28 14:08:56,162184.0,4338.0,73779.0,7643.0,25115.0,2442.0,37031.0,183936.0,An Open Source Machine Learning Framework for Everyone.,4580.0,56,True,2024-03-09 00:23:14.000,2.16.1,193.0,tensorflow,conda-forge/tensorflow,tensorflow/tensorflow,https://www.tensorflow.org/overview,['tensorflow'],369664.0,354033.0,https://pypi.org/project/tensorflow,2024-03-09 00:23:14.000,15631.0,22725417.0,23813376.0,https://anaconda.org/conda-forge/tensorflow,2024-01-30 00:38:25.304,4518475.0,https://hub.docker.com/r/tensorflow/tensorflow,2024-03-28 12:51:55.886558,2347.0,76521149.0,1.0,,,,,,,,,,,,,,,,,,,
7,PyTorch,pytorch/pytorch,ml-frameworks,,https://github.com/pytorch/pytorch,https://github.com/pytorch/pytorch,BSD-3-Clause,2016-08-13 05:26:41.000,2024-03-28 14:10:47.000000,2024-03-28 13:23:45,71107.0,3280.0,20802.0,1695.0,81788.0,13754.0,28023.0,77001.0,Tensors and Dynamic neural networks in Python with strong GPU acceleration.,4740.0,55,True,2024-03-27 22:27:02.000,2.2.2,51.0,torch,pytorch/pytorch,,https://pytorch.org/docs/stable/index.html,['pytorch'],427836.0,414884.0,https://pypi.org/project/torch,2024-03-27 21:06:18.000,12952.0,24075725.0,24763509.0,https://anaconda.org/pytorch/pytorch,2024-03-26 22:24:03.907,20621263.0,,,,,1.0,36888.0,,,,,,,,,,,,,,,,,,
8,scikit-learn,scikit-learn/scikit-learn,ml-frameworks,,https://github.com/scikit-learn/scikit-learn,https://github.com/scikit-learn/scikit-learn,BSD-3-Clause,2010-08-17 09:43:38.000,2024-03-28 13:31:32.000000,2024-03-28 11:56:35,31144.0,384.0,24939.0,2141.0,16995.0,2181.0,9138.0,57793.0,scikit-learn: machine learning in Python.,3097.0,51,True,2024-02-15 16:07:32.000,1.4.1.post1,76.0,scikit-learn,conda-forge/scikit-learn,,,['sklearn'],764504.0,732771.0,https://pypi.org/project/scikit-learn,2024-02-16 08:56:53.000,31733.0,64567997.0,65153825.0,https://anaconda.org/conda-forge/scikit-learn,2024-02-16 10:16:19.766,26947678.0,,,,,1.0,944.0,,,,,,,,,,,,,,,,,,
9,transformers,huggingface/transformers,nlp,,https://github.com/huggingface/transformers,https://github.com/huggingface/transformers,Apache-2.0,2018-10-29 13:56:00.000,2024-03-28 14:23:16.000000,2024-03-28 14:13:23,15470.0,654.0,24398.0,1089.0,15181.0,1043.0,13601.0,123226.0,"Transformers: State-of-the-art Machine Learning for Pytorch, TensorFlow, and JAX.",2501.0,50,True,2024-03-22 17:01:14.000,4.39.1,136.0,transformers,conda-forge/transformers,,,"['pytorch', 'tensorflow']",154533.0,151417.0,https://pypi.org/project/transformers,2024-03-22 16:56:50.000,3116.0,23201204.0,23236570.0,https://anaconda.org/conda-forge/transformers,2024-03-23 04:23:19.321,1556117.0,,,,,1.0,,,,,,,,,,,,,,,,,,,
