,name,github_id,category,resource,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,description,contributor_count,projectrank,show,latest_stable_release_published_at,latest_stable_release_number,release_count,pypi_id,conda_id,dockerhub_id,docs_url,labels,dependent_project_count,github_dependent_project_count,pypi_url,pypi_latest_release_published_at,pypi_dependent_project_count,pypi_monthly_downloads,monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,projectrank_placing,trending,github_release_downloads,helm_id,updated_github_id,npm_id,npm_url,npm_latest_release_published_at,npm_dependent_project_count,npm_monthly_downloads,brew_id,apt_id,yum_id,conda_dependent_project_count,maven_id,maven_url,maven_latest_release_published_at,maven_dependent_project_count,dnf_id,yay_id,snap_id
0,ANN Benchmarks,erikbern/ann-benchmarks,nn-search,True,https://github.com/erikbern/ann-benchmarks,https://github.com/erikbern/ann-benchmarks,MIT,2015-05-28 13:21:43.000,2024-04-16 12:28:46.000000,2024-04-15 22:07:23,1551.0,15.0,685.0,116.0,324.0,60.0,136.0,4571.0,Benchmarks of approximate nearest neighbor libraries in Python.,103.0,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,best-of-web-python - Web Scraping,ml-tooling/best-of-web-python,web-scraping,True,https://github.com/ml-tooling/best-of-web-python,https://github.com/ml-tooling/best-of-web-python#web-scraping--crawling,CC-BY-SA-4.0,2021-01-05 13:09:27.000,2024-04-11 19:00:26.000000,2024-04-11 19:00:26,330.0,29.0,161.0,54.0,196.0,,3.0,2164.0,Collection of web-scraping and crawling libraries.,16.0,0,True,2024-04-11 19:00:33.000,2024.04.11,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,best-of-python - Data Extraction,ml-tooling/best-of-python,data-loading,True,https://github.com/ml-tooling/best-of-python,https://github.com/ml-tooling/best-of-python#data-loading--extraction,CC-BY-SA-4.0,2021-01-11 19:11:32.000,2024-04-18 13:48:56.000000,2024-04-18 13:48:56,345.0,26.0,225.0,86.0,192.0,4.0,5.0,3398.0,Collection of data-loading and -extraction libraries.,12.0,0,True,2024-04-18 13:49:04.000,2024.04.18,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,best-of-python - DB Clients,ml-tooling/best-of-python,db-clients,True,https://github.com/ml-tooling/best-of-python,https://github.com/ml-tooling/best-of-python#database-clients,CC-BY-SA-4.0,2021-01-11 19:11:32.000,2024-04-18 13:48:56.000000,2024-04-18 13:48:56,345.0,26.0,225.0,86.0,192.0,4.0,5.0,3398.0,Collection of database clients for python.,12.0,0,True,2024-04-18 13:49:04.000,2024.04.18,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,best-of-python - Data Containers,ml-tooling/best-of-python,data-containers,True,https://github.com/ml-tooling/best-of-python,https://github.com/ml-tooling/best-of-python#data-containers--dataframes,CC-BY-SA-4.0,2021-01-11 19:11:32.000,2024-04-18 13:48:56.000000,2024-04-18 13:48:56,345.0,26.0,225.0,86.0,192.0,4.0,5.0,3398.0,"Collection of data-container, dataframe, and pandas-utility libraries.",12.0,0,True,2024-04-18 13:49:04.000,2024.04.18,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,best-of-python - Data Pipelines,ml-tooling/best-of-python,data-pipelines,True,https://github.com/ml-tooling/best-of-python,https://github.com/ml-tooling/best-of-python#data-pipelines--streaming,CC-BY-SA-4.0,2021-01-11 19:11:32.000,2024-04-18 13:48:56.000000,2024-04-18 13:48:56,345.0,26.0,225.0,86.0,192.0,4.0,5.0,3398.0,"Libraries for data batch- and stream-processing, workflow automation, job scheduling, and other data pipeline tasks.",12.0,0,True,2024-04-18 13:49:04.000,2024.04.18,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,Tensorflow,tensorflow/tensorflow,ml-frameworks,,https://github.com/tensorflow/tensorflow,https://github.com/tensorflow/tensorflow,Apache-2.0,2015-11-07 01:19:20.000,2024-04-18 14:11:02.000000,2024-04-18 14:01:51,163097.0,4445.0,73873.0,7641.0,26290.0,2327.0,37161.0,184689.0,An Open Source Machine Learning Framework for Everyone.,4586.0,56,True,2024-03-09 00:23:14.000,2.16.1,193.0,tensorflow,conda-forge/tensorflow,tensorflow/tensorflow,https://www.tensorflow.org/overview,['tensorflow'],376217.0,360514.0,https://pypi.org/project/tensorflow,2024-03-09 00:23:14.000,15703.0,22454627.0,23518755.0,https://anaconda.org/conda-forge/tensorflow,2024-01-30 00:38:25.304,4548584.0,https://hub.docker.com/r/tensorflow/tensorflow,2024-04-18 12:49:27.996701,2377.0,76849938.0,1.0,-1.0,,,,,,,,,,,,,,,,,,,
7,PyTorch,pytorch/pytorch,ml-frameworks,,https://github.com/pytorch/pytorch,https://github.com/pytorch/pytorch,BSD-3-Clause,2016-08-13 05:26:41.000,2024-04-18 14:07:22.000000,2024-04-18 14:07:09,71929.0,3427.0,20978.0,1697.0,82802.0,13972.0,28311.0,77632.0,Tensors and Dynamic neural networks in Python with strong GPU acceleration.,4786.0,55,True,2024-03-27 22:27:02.000,2.2.2,51.0,torch,pytorch/pytorch,,https://pytorch.org/docs/stable/index.html,['pytorch'],441905.0,428632.0,https://pypi.org/project/torch,2024-03-27 21:06:18.000,13273.0,27287478.0,27963422.0,https://anaconda.org/pytorch/pytorch,2024-03-26 22:24:03.907,20941178.0,,,,,1.0,,38528.0,,,,,,,,,,,,,,,,,,
8,scikit-learn,scikit-learn/scikit-learn,ml-frameworks,,https://github.com/scikit-learn/scikit-learn,https://github.com/scikit-learn/scikit-learn,BSD-3-Clause,2010-08-17 09:43:38.000,2024-04-18 14:11:47.000000,2024-04-18 10:18:08,31219.0,366.0,24967.0,2140.0,17092.0,2191.0,9224.0,58034.0,scikit-learn: machine learning in Python.,3106.0,52,True,2024-04-09 20:07:22.000,1.4.2,77.0,scikit-learn,conda-forge/scikit-learn,,,['sklearn'],782863.0,750825.0,https://pypi.org/project/scikit-learn,2024-04-09 19:53:06.000,32038.0,64492557.0,65079588.0,https://anaconda.org/conda-forge/scikit-learn,2024-04-11 09:12:54.843,27590080.0,,,,,1.0,,948.0,,,,,,,,,,,,,,,,,,
9,transformers,huggingface/transformers,nlp,,https://github.com/huggingface/transformers,https://github.com/huggingface/transformers,Apache-2.0,2018-10-29 13:56:00.000,2024-04-18 14:24:26.000000,2024-04-18 14:10:25,15637.0,694.0,24703.0,1092.0,15401.0,1068.0,13739.0,124527.0,"Transformers: State-of-the-art Machine Learning for Pytorch, TensorFlow, and JAX.",2535.0,51,True,2024-04-18 14:01:56.000,4.40.0,139.0,transformers,conda-forge/transformers,,,"['pytorch', 'tensorflow']",162073.0,158801.0,https://pypi.org/project/transformers,2024-04-18 13:59:33.000,3272.0,25107709.0,25143214.0,https://anaconda.org/conda-forge/transformers,2024-04-02 14:17:57.574,1597733.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,
10,Matplotlib,matplotlib/matplotlib,data-viz,,https://github.com/matplotlib/matplotlib,https://github.com/matplotlib/matplotlib,Python-2.0,2011-02-19 03:17:12.000,2024-04-18 13:54:58.000000,2024-04-17 16:56:07,50148.0,574.0,7386.0,594.0,17899.0,1526.0,9021.0,19212.0,matplotlib: plotting with Python.,1664.0,50,True,2024-04-04 01:47:18.000,3.8.4,123.0,matplotlib,conda-forge/matplotlib,,,,1224597.0,1158312.0,https://pypi.org/project/matplotlib,2024-04-09 18:34:26.000,66285.0,62973015.0,63472091.0,https://anaconda.org/conda-forge/matplotlib,2024-04-09 16:56:24.718,22957496.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,
11,scipy,scipy/scipy,others,,https://github.com/scipy/scipy,https://github.com/scipy/scipy,BSD-3-Clause,2011-03-09 18:52:03.000,2024-04-18 14:49:42.000000,2024-04-17 22:14:40,32068.0,592.0,4990.0,349.0,10615.0,1764.0,8377.0,12415.0,"Ecosystem of open-source software for mathematics, science, and engineering.",1615.0,50,True,2024-04-02 21:56:52.000,1.13.0,101.0,scipy,conda-forge/scipy,,,,1039324.0,971574.0,https://pypi.org/project/scipy,2024-04-02 21:41:20.000,67750.0,103881749.0,105029935.0,https://anaconda.org/conda-forge/scipy,2024-04-05 03:45:35.344,46919929.0,,,,,1.0,,398889.0,,,,,,,,,,,,,,,,,,
12,SymPy,sympy/sympy,others,,https://github.com/sympy/sympy,https://github.com/sympy/sympy,BSD-3-Clause,2010-04-30 20:37:14.000,2024-04-18 14:41:52.000000,2024-04-17 16:48:17,57466.0,478.0,4226.0,294.0,13102.0,4986.0,8718.0,12366.0,A computer algebra system written in pure Python.,1292.0,48,True,2024-03-31 22:49:13.000,1.12.1rc1,55.0,sympy,conda-forge/sympy,,,,132454.0,127414.0,https://pypi.org/project/sympy,2024-03-31 22:48:43.000,5040.0,26565220.0,26624846.0,https://anaconda.org/conda-forge/sympy,2023-06-16 13:17:18.981,5267760.0,,,,,1.0,,538801.0,,,,,,,,,,,,,,,,,,
13,Pillow,python-pillow/Pillow,image,,https://github.com/python-pillow/Pillow,https://github.com/python-pillow/Pillow,PIL,2012-07-24 21:38:39.000,2024-04-18 07:57:56.000000,2024-04-17 13:43:57,17673.0,629.0,2108.0,221.0,4776.0,89.0,2981.0,11664.0,Python Imaging Library (Fork).,466.0,48,True,2024-04-01 12:34:53.000,10.3.0,97.0,Pillow,conda-forge/pillow,,,,1621243.0,1619542.0,https://pypi.org/project/Pillow,2024-04-01 12:17:01.000,1701.0,93959169.0,94805766.0,https://anaconda.org/conda-forge/pillow,2024-04-03 15:56:48.771,38096875.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,
14,Keras,keras-team/keras,ml-frameworks,,https://github.com/keras-team/keras,https://github.com/keras-team/keras,Apache-2.0,2015-03-28 00:35:42.000,2024-04-18 05:56:31.000000,2024-04-18 04:02:28,10563.0,339.0,19338.0,1907.0,7093.0,202.0,11584.0,60899.0,Deep Learning for humans.,1290.0,47,True,2024-04-10 20:34:44.000,3.2.1,95.0,keras,conda-forge/keras,,https://keras.io,['tensorflow'],829.0,,https://pypi.org/project/keras,2024-04-10 20:34:44.000,829.0,17427580.0,17502282.0,https://anaconda.org/conda-forge/keras,2024-04-15 18:24:44.026,3436326.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,
15,Streamlit,streamlit/streamlit,others,,https://github.com/streamlit/streamlit,https://github.com/streamlit/streamlit,Apache-2.0,2019-08-24 00:14:52.000,2024-04-18 15:20:32.000000,2024-04-18 14:49:20,6256.0,222.0,2767.0,310.0,4349.0,806.0,3305.0,31462.0,Streamlit A faster way to build and share data apps.,225.0,46,True,2024-04-04 17:36:56.000,1.33.0,220.0,streamlit,,,,,358738.0,357195.0,https://pypi.org/project/streamlit,2024-04-04 17:36:47.000,1543.0,3946149.0,3946149.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,
16,PySpark,apache/spark,ml-frameworks,,https://github.com/apache/spark,https://github.com/apache/spark,Apache-2.0,2014-02-25 08:00:08.000,2024-04-18 14:09:31.000000,2024-04-18 09:49:47,40618.0,1025.0,27927.0,2032.0,46089.0,198.0,,38302.0,Apache Spark Python API.,3052.0,45,True,2024-04-18 08:17:20.000,3.4.3,44.0,pyspark,conda-forge/pyspark,,,['spark'],1311.0,,https://pypi.org/project/pyspark,2024-04-18 08:17:20.000,1311.0,29903064.0,29970189.0,https://anaconda.org/conda-forge/pyspark,2024-03-03 13:07:40.821,3087782.0,,,,,1.0,,,stable/spark,,,,,,,,,,,,,,,,,
17,Ray,ray-project/ray,distributed-ml,,https://github.com/ray-project/ray,https://github.com/ray-project/ray,Apache-2.0,2016-10-25 19:38:30.000,2024-04-18 15:01:39.000000,2024-04-18 06:12:21,21345.0,923.0,5233.0,471.0,27220.0,3622.0,14148.0,30968.0,Ray is a unified framework for scaling AI and Python applications. Ray consists of a core distributed runtime and a..,999.0,45,True,2024-04-17 23:31:04.000,ray-2.11.0,101.0,ray,conda-forge/ray-tune,,,,15367.0,14869.0,https://pypi.org/project/ray,2024-04-17 21:02:43.000,498.0,3946676.0,3951613.0,https://anaconda.org/conda-forge/ray-tune,2024-03-24 13:08:51.334,197410.0,,,,,1.0,,210.0,,,,,,,,,,,,,,,,,,
18,jax,google/jax,ml-frameworks,,https://github.com/google/jax,https://github.com/google/jax,Apache-2.0,2018-10-25 21:25:02.000,2024-04-18 14:10:28.000000,2024-04-18 13:52:40,20302.0,1266.0,2522.0,321.0,13159.0,1667.0,3812.0,27854.0,"Composable transformations of Python+NumPy programs: differentiate, vectorize, JIT to GPU/TPU, and more.",675.0,45,True,2024-04-03 22:09:19.000,jax-v0.4.26,160.0,jax,conda-forge/jaxlib,,,,25049.0,24125.0,https://pypi.org/project/jax,2024-04-03 21:45:34.000,924.0,5669212.0,5693340.0,https://anaconda.org/conda-forge/jaxlib,2024-04-07 22:22:00.984,1109892.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,
19,pytorch-lightning,Lightning-AI/lightning,ml-frameworks,,https://github.com/Lightning-AI/pytorch-lightning,https://github.com/Lightning-AI/pytorch-lightning,Apache-2.0,2019-03-31 00:45:57.000,2024-04-18 10:31:03.000000,2024-04-16 23:28:44,10268.0,200.0,3239.0,247.0,10075.0,695.0,6175.0,26798.0,"Pretrain, finetune and deploy AI models on multiple GPUs, TPUs with zero code changes.",945.0,45,True,2024-04-12 13:15:59.000,2.2.2,269.0,pytorch-lightning,conda-forge/pytorch-lightning,,,['pytorch'],32005.0,31170.0,https://pypi.org/project/pytorch-lightning,2024-04-12 13:15:59.000,835.0,4909943.0,4933983.0,https://anaconda.org/conda-forge/pytorch-lightning,2024-04-12 18:53:30.868,1095352.0,,,,,1.0,,8210.0,,Lightning-AI/pytorch-lightning,,,,,,,,,,,,,,,,
20,XGBoost,dmlc/xgboost,ml-frameworks,,https://github.com/dmlc/xgboost,https://github.com/dmlc/xgboost,Apache-2.0,2014-02-06 17:28:03.000,2024-04-18 13:58:52.000000,2024-04-18 11:09:30,6809.0,83.0,8652.0,912.0,5075.0,434.0,4751.0,25543.0,"Scalable, Portable and Distributed Gradient Boosting (GBDT, GBRT or GBM) Library, for Python, R, Java, Scala, C++ and..",640.0,45,True,2023-12-19 21:59:17.000,2.0.3,80.0,xgboost,conda-forge/xgboost,,https://xgboost.readthedocs.io/en/latest/,,89636.0,87741.0,https://pypi.org/project/xgboost,2023-12-19 21:59:17.000,1895.0,18708082.0,18811659.0,https://anaconda.org/conda-forge/xgboost,2024-04-18 01:21:37.436,4657864.0,,,,,1.0,,8357.0,,,,,,,,,,,,,,,,,,
21,PaddlePaddle,PaddlePaddle/Paddle,ml-frameworks,,https://github.com/PaddlePaddle/Paddle,https://github.com/PaddlePaddle/Paddle,Apache-2.0,2016-08-15 06:59:08.000,2024-04-18 14:14:57.000000,2024-04-18 13:58:15,47927.0,1813.0,5428.0,720.0,45543.0,1929.0,16952.0,21586.0,PArallel Distributed Deep LEarning: Machine Learning Framework from Industrial Practice &.,1189.0,45,True,2024-04-09 11:19:43.000,2.6.1,67.0,paddlepaddle,,,,['paddle'],5049.0,4943.0,https://pypi.org/project/paddlepaddle,2024-03-19 06:55:39.000,106.0,221012.0,221179.0,,,,,,,,1.0,,15369.0,,,,,,,,,,,,,,,,,,
22,Bokeh,bokeh/bokeh,data-viz,,https://github.com/bokeh/bokeh,https://github.com/bokeh/bokeh,BSD-3-Clause,2012-03-26 15:40:01.000,2024-04-18 10:59:01.000000,2024-04-15 15:54:58,20462.0,101.0,4158.0,442.0,6038.0,759.0,6872.0,18810.0,"Interactive Data Visualization in the browser, from Python.",691.0,45,True,2024-04-11 21:02:24.000,3.4.1,200.0,bokeh,conda-forge/bokeh,,,,90163.0,86312.0,https://pypi.org/project/bokeh,2024-04-11 21:02:24.000,3851.0,5147814.0,5445185.0,https://anaconda.org/conda-forge/bokeh,2024-04-12 05:55:15.282,13679106.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,
23,spaCy,explosion/spaCy,nlp,,https://github.com/explosion/spaCy,https://github.com/explosion/spaCy,MIT,2014-07-03 15:15:40.000,2024-04-17 11:43:27.000000,2024-04-16 10:00:22,16124.0,25.0,4395.0,555.0,3988.0,94.0,5492.0,28685.0,Industrial-strength Natural Language Processing (NLP) in Python.,750.0,44,True,2024-02-15 19:16:59.000,3.7.4,229.0,spacy,conda-forge/spacy,,,,88628.0,85565.0,https://pypi.org/project/spacy,2024-02-15 18:47:21.000,3063.0,8299192.0,8372577.0,https://anaconda.org/conda-forge/spacy,2024-04-04 16:04:13.461,3375734.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,
24,Gradio,gradio-app/gradio,others,,https://github.com/gradio-app/gradio,https://github.com/gradio-app/gradio,Apache-2.0,2018-12-19 08:24:04.000,2024-04-18 15:41:41.000000,2024-04-17 20:45:35,6501.0,368.0,2110.0,155.0,3605.0,520.0,3570.0,28586.0,"Wrap UIs around any model, share with anyone.",294.0,44,True,2024-04-08 19:16:48.000,4.26.0,556.0,gradio,,,,,28047.0,27678.0,https://pypi.org/project/gradio,2024-04-08 19:16:48.000,369.0,5707425.0,5707425.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,
