,name,github_id,category,resource,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,description,contributor_count,projectrank,show,latest_stable_release_published_at,latest_stable_release_number,release_count,pypi_id,conda_id,docs_url,labels,github_release_downloads,monthly_downloads,dependent_project_count,github_dependent_project_count,pypi_url,pypi_latest_release_published_at,pypi_dependent_project_count,pypi_monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,projectrank_placing,dockerhub_id,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,trending,helm_id,updated_github_id,npm_id,npm_url,npm_latest_release_published_at,npm_dependent_project_count,npm_monthly_downloads,brew_id,apt_id,yum_id,conda_dependent_project_count,dnf_id,yay_id,maven_id,maven_url,maven_latest_release_published_at,maven_dependent_project_count,snap_id,new_addition
0,ANN Benchmarks,erikbern/ann-benchmarks,nn-search,True,https://github.com/erikbern/ann-benchmarks,https://github.com/erikbern/ann-benchmarks,MIT,2015-05-28 13:21:43.000,2024-09-02 06:22:28.000000,2024-09-02 06:22:28,1567.0,8.0,693.0,117.0,338.0,62.0,145.0,4842.0,Benchmarks of approximate nearest neighbor libraries in Python.,108.0,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,best-of-web-python - Web Scraping,ml-tooling/best-of-web-python,web-scraping,True,https://github.com/ml-tooling/best-of-web-python,https://github.com/ml-tooling/best-of-web-python#web-scraping--crawling,CC-BY-SA-4.0,2021-01-05 13:09:27.000,2024-06-07 15:14:35.000000,2024-06-06 19:06:33,346.0,,166.0,57.0,205.0,,3.0,2279.0,Collection of web-scraping and crawling libraries.,16.0,0,True,2024-06-06 19:06:38.000,2024.06.06,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,best-of-python - Data Extraction,ml-tooling/best-of-python,data-loading,True,https://github.com/ml-tooling/best-of-python,https://github.com/ml-tooling/best-of-python#data-loading--extraction,CC-BY-SA-4.0,2021-01-11 19:11:32.000,2024-08-14 02:31:07.000000,2024-08-14 02:31:07,360.0,1.0,244.0,93.0,199.0,6.0,5.0,3596.0,Collection of data-loading and -extraction libraries.,12.0,0,True,2024-06-06 14:07:12.000,2024.06.06,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,best-of-python - DB Clients,ml-tooling/best-of-python,db-clients,True,https://github.com/ml-tooling/best-of-python,https://github.com/ml-tooling/best-of-python#database-clients,CC-BY-SA-4.0,2021-01-11 19:11:32.000,2024-08-14 02:31:07.000000,2024-08-14 02:31:07,360.0,1.0,244.0,93.0,199.0,6.0,5.0,3596.0,Collection of database clients for python.,12.0,0,True,2024-06-06 14:07:12.000,2024.06.06,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,best-of-python - Data Containers,ml-tooling/best-of-python,data-containers,True,https://github.com/ml-tooling/best-of-python,https://github.com/ml-tooling/best-of-python#data-containers--dataframes,CC-BY-SA-4.0,2021-01-11 19:11:32.000,2024-08-14 02:31:07.000000,2024-08-14 02:31:07,360.0,1.0,244.0,93.0,199.0,6.0,5.0,3596.0,"Collection of data-container, dataframe, and pandas-utility libraries.",12.0,0,True,2024-06-06 14:07:12.000,2024.06.06,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,best-of-python - Data Pipelines,ml-tooling/best-of-python,data-pipelines,True,https://github.com/ml-tooling/best-of-python,https://github.com/ml-tooling/best-of-python#data-pipelines--streaming,CC-BY-SA-4.0,2021-01-11 19:11:32.000,2024-08-14 02:31:07.000000,2024-08-14 02:31:07,360.0,1.0,244.0,93.0,199.0,6.0,5.0,3596.0,"Libraries for data batch- and stream-processing, workflow automation, job scheduling, and other data pipeline tasks.",12.0,0,True,2024-06-06 14:07:12.000,2024.06.06,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,PyTorch,pytorch/pytorch,ml-frameworks,,https://github.com/pytorch/pytorch,https://github.com/pytorch/pytorch,BSD-3-Clause,2016-08-13 05:26:41.000,2024-09-05 14:13:12.000000,2024-09-05 12:52:43,78064.0,4008.0,21955.0,1744.0,90205.0,14808.0,30877.0,81851.0,Tensors and Dynamic neural networks in Python with strong GPU acceleration.,5097.0,56,True,2024-09-04 19:59:29.000,2.4.1,55.0,torch,pytorch/pytorch,https://pytorch.org/docs/stable/index.html,['pytorch'],55050.0,35132513.0,536836.0,518370.0,https://pypi.org/project/torch,2024-09-04 19:10:42.000,18466.0,34482200.0,https://anaconda.org/pytorch/pytorch,2024-09-03 16:47:49.313,23390644.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
7,Tensorflow,tensorflow/tensorflow,ml-frameworks,,https://github.com/tensorflow/tensorflow,https://github.com/tensorflow/tensorflow,Apache-2.0,2015-11-07 01:19:20.000,2024-09-05 14:08:30.000000,2024-09-05 13:45:19,169190.0,3689.0,74162.0,7603.0,34823.0,4553.0,38022.0,187888.0,An Open Source Machine Learning Framework for Everyone.,4668.0,55,True,2024-07-11 16:45:52.000,2.17.0,197.0,tensorflow,conda-forge/tensorflow,https://www.tensorflow.org/overview,['tensorflow'],,19035138.0,413414.0,405612.0,https://pypi.org/project/tensorflow,2024-07-11 16:45:52.000,7802.0,18200590.0,https://anaconda.org/conda-forge/tensorflow,2024-08-31 23:00:17.783,4914489.0,1.0,tensorflow/tensorflow,https://hub.docker.com/r/tensorflow/tensorflow,2024-09-04 12:48:51.219515,2540.0,78043486.0,,,,,,,,,,,,,,,,,,,,
8,transformers,huggingface/transformers,nlp,,https://github.com/huggingface/transformers,https://github.com/huggingface/transformers,Apache-2.0,2018-10-29 13:56:00.000,2024-09-05 14:24:31.000000,2024-09-05 14:17:34,16759.0,648.0,26184.0,1118.0,17258.0,1400.0,14593.0,131616.0,"Transformers: State-of-the-art Machine Learning for Pytorch, TensorFlow, and JAX.",2790.0,52,True,2024-08-22 16:56:32.000,4.44.2,157.0,transformers,conda-forge/transformers,,"['pytorch', 'tensorflow']",,35821691.0,217088.0,211035.0,https://pypi.org/project/transformers,2024-08-22 16:56:29.000,6053.0,35781688.0,https://anaconda.org/conda-forge/transformers,2024-08-23 08:59:54.225,2000152.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
9,scikit-learn,scikit-learn/scikit-learn,ml-frameworks,,https://github.com/scikit-learn/scikit-learn,https://github.com/scikit-learn/scikit-learn,BSD-3-Clause,2010-08-17 09:43:38.000,2024-09-05 12:14:52.000000,2024-09-05 12:14:52,31652.0,263.0,25230.0,2141.0,17665.0,2098.0,9550.0,59339.0,scikit-learn: machine learning in Python.,3173.0,52,True,2024-07-03 09:17:35.000,1.5.1,80.0,scikit-learn,conda-forge/scikit-learn,,['sklearn'],1019.0,72877506.0,901554.0,877595.0,https://pypi.org/project/scikit-learn,2024-07-03 09:11:11.000,23959.0,72287515.0,https://anaconda.org/conda-forge/scikit-learn,2024-07-03 09:49:53.256,30679039.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
