,name,github_id,category,resource,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,description,contributor_count,projectrank,show,latest_stable_release_published_at,latest_stable_release_number,release_count,pypi_id,conda_id,docs_url,labels,github_release_downloads,monthly_downloads,dependent_project_count,github_dependent_project_count,pypi_url,pypi_latest_release_published_at,pypi_dependent_project_count,pypi_monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,projectrank_placing,dockerhub_id,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,updated_github_id,trending,helm_id,npm_id,npm_url,npm_latest_release_published_at,npm_dependent_project_count,npm_monthly_downloads,brew_id,apt_id,yum_id,conda_dependent_project_count,maven_id,maven_url,maven_latest_release_published_at,maven_dependent_project_count,dnf_id,yay_id,snap_id
0,ANN Benchmarks,erikbern/ann-benchmarks,nn-search,True,https://github.com/erikbern/ann-benchmarks,https://github.com/erikbern/ann-benchmarks,MIT,2015-05-28 13:21:43.000,2024-09-02 06:22:28.000000,2024-09-02 06:22:28,1567.0,5.0,736.0,118.0,338.0,71.0,145.0,4892.0,Benchmarks of approximate nearest neighbor libraries in Python.,107.0,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,best-of-web-python - Web Scraping,ml-tooling/best-of-web-python,web-scraping,True,https://github.com/ml-tooling/best-of-web-python,https://github.com/ml-tooling/best-of-web-python#web-scraping--crawling,CC-BY-SA-4.0,2021-01-05 13:09:27.000,2024-06-07 15:14:35.000000,2024-06-06 19:06:33,346.0,,168.0,58.0,205.0,,3.0,2298.0,Collection of web-scraping and crawling libraries.,16.0,0,True,2024-06-06 19:06:38.000,2024.06.06,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,best-of-python - Data Extraction,ml-tooling/best-of-python,data-loading,True,https://github.com/ml-tooling/best-of-python,https://github.com/ml-tooling/best-of-python#data-loading--extraction,CC-BY-SA-4.0,2021-01-11 19:11:32.000,2024-08-14 02:31:07.000000,2024-08-14 02:31:07,360.0,1.0,257.0,93.0,199.0,7.0,6.0,3643.0,Collection of data-loading and -extraction libraries.,12.0,0,True,2024-06-06 14:07:12.000,2024.06.06,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,best-of-python - DB Clients,ml-tooling/best-of-python,db-clients,True,https://github.com/ml-tooling/best-of-python,https://github.com/ml-tooling/best-of-python#database-clients,CC-BY-SA-4.0,2021-01-11 19:11:32.000,2024-08-14 02:31:07.000000,2024-08-14 02:31:07,360.0,1.0,257.0,93.0,199.0,7.0,6.0,3643.0,Collection of database clients for python.,12.0,0,True,2024-06-06 14:07:12.000,2024.06.06,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,best-of-python - Data Containers,ml-tooling/best-of-python,data-containers,True,https://github.com/ml-tooling/best-of-python,https://github.com/ml-tooling/best-of-python#data-containers--dataframes,CC-BY-SA-4.0,2021-01-11 19:11:32.000,2024-08-14 02:31:07.000000,2024-08-14 02:31:07,360.0,1.0,257.0,93.0,199.0,7.0,6.0,3643.0,"Collection of data-container, dataframe, and pandas-utility libraries.",12.0,0,True,2024-06-06 14:07:12.000,2024.06.06,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,best-of-python - Data Pipelines,ml-tooling/best-of-python,data-pipelines,True,https://github.com/ml-tooling/best-of-python,https://github.com/ml-tooling/best-of-python#data-pipelines--streaming,CC-BY-SA-4.0,2021-01-11 19:11:32.000,2024-08-14 02:31:07.000000,2024-08-14 02:31:07,360.0,1.0,257.0,93.0,199.0,7.0,6.0,3643.0,"Libraries for data batch- and stream-processing, workflow automation, job scheduling, and other data pipeline tasks.",12.0,0,True,2024-06-06 14:07:12.000,2024.06.06,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,PyTorch,pytorch/pytorch,ml-frameworks,,https://github.com/pytorch/pytorch,https://github.com/pytorch/pytorch,BSD-3-Clause,2016-08-13 05:26:41.000,2024-10-10 14:13:33.000000,2024-10-10 13:20:40,79348.0,3876.0,22322.0,1739.0,91763.0,15065.0,31576.0,82822.0,Tensors and Dynamic neural networks in Python with strong GPU acceleration.,5164.0,56,True,2024-09-04 19:59:29.000,2.4.1,55.0,torch,pytorch/pytorch,https://pytorch.org/docs/stable/index.html,['pytorch'],60032.0,35139785.0,560298.0,541202.0,https://pypi.org/project/torch,2024-09-04 19:10:42.000,19096.0,34493064.0,https://anaconda.org/pytorch/pytorch,2024-09-03 16:47:49.313,23905843.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,
7,Tensorflow,tensorflow/tensorflow,ml-frameworks,,https://github.com/tensorflow/tensorflow,https://github.com/tensorflow/tensorflow,Apache-2.0,2015-11-07 01:19:20.000,2024-10-10 14:11:55.000000,2024-10-10 13:39:35,170650.0,3684.0,74242.0,7593.0,37057.0,5153.0,38310.0,188469.0,An Open Source Machine Learning Framework for Everyone.,4690.0,55,True,2024-07-11 16:45:52.000,2.17.0,199.0,tensorflow,conda-forge/tensorflow,https://www.tensorflow.org/overview,['tensorflow'],,18563185.0,424398.0,416437.0,https://pypi.org/project/tensorflow,2024-10-07 23:18:07.000,7961.0,17733716.0,https://anaconda.org/conda-forge/tensorflow,2024-08-31 23:00:17.783,4998578.0,1.0,tensorflow/tensorflow,https://hub.docker.com/r/tensorflow/tensorflow,2024-10-10 12:48:38.900859,2570.0,78266028.0,,,,,,,,,,,,,,,,,,,
8,transformers,huggingface/transformers,nlp,,https://github.com/huggingface/transformers,https://github.com/huggingface/transformers,Apache-2.0,2018-10-29 13:56:00.000,2024-10-10 14:14:25.000000,2024-10-10 13:28:00,17129.0,796.0,26586.0,1118.0,17727.0,1416.0,14882.0,133172.0,"Transformers: State-of-the-art Machine Learning for Pytorch, TensorFlow, and JAX.",2872.0,52,True,2024-10-07 17:42:52.000,4.45.2,160.0,transformers,conda-forge/transformers,,"['pytorch', 'tensorflow']",,37770282.0,231384.0,225011.0,https://pypi.org/project/transformers,2024-10-07 17:42:51.000,6373.0,37729029.0,https://anaconda.org/conda-forge/transformers,2024-10-07 23:40:09.014,2103949.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,
9,scikit-learn,scikit-learn/scikit-learn,ml-frameworks,,https://github.com/scikit-learn/scikit-learn,https://github.com/scikit-learn/scikit-learn,BSD-3-Clause,2010-08-17 09:43:38.000,2024-10-10 13:45:26.000000,2024-10-10 13:45:26,31766.0,256.0,25320.0,2140.0,17850.0,2125.0,9611.0,59716.0,scikit-learn: machine learning in Python.,3193.0,52,True,2024-09-11 15:52:05.000,1.5.2,81.0,scikit-learn,conda-forge/scikit-learn,,['sklearn'],1027.0,79875309.0,936056.0,911371.0,https://pypi.org/project/scikit-learn,2024-09-11 15:49:19.000,24685.0,79283072.0,https://anaconda.org/conda-forge/scikit-learn,2024-09-11 20:00:28.266,31388034.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,
