,name,github_id,category,resource,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,description,contributor_count,projectrank,show,latest_stable_release_published_at,latest_stable_release_number,release_count,pypi_id,conda_id,dockerhub_id,docs_url,labels,dependent_project_count,github_dependent_project_count,pypi_url,pypi_latest_release_published_at,pypi_dependent_project_count,pypi_monthly_downloads,monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,projectrank_placing,github_release_downloads,updated_github_id,npm_id,npm_url,npm_latest_release_published_at,npm_dependent_project_count,npm_monthly_downloads,trending,helm_id,brew_id,apt_id,yum_id,conda_dependent_project_count,maven_id,maven_url,maven_latest_release_published_at,maven_dependent_project_count,dnf_id,yay_id,snap_id
0,ANN Benchmarks,erikbern/ann-benchmarks,nn-search,True,https://github.com/erikbern/ann-benchmarks,https://github.com/erikbern/ann-benchmarks,MIT,2015-05-28 13:21:43.000,2024-12-23 01:23:30.000000,2024-12-23 01:23:30,1570.0,3.0,739.0,119.0,346.0,71.0,152.0,5057.0,Benchmarks of approximate nearest neighbor libraries in Python.,108.0,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,best-of-web-python - Web Scraping,ml-tooling/best-of-web-python,web-scraping,True,https://github.com/ml-tooling/best-of-web-python,https://github.com/ml-tooling/best-of-web-python#web-scraping--crawling,CC-BY-SA-4.0,2021-01-05 13:09:27.000,2024-06-07 15:14:35.000000,2024-06-06 19:06:33,346.0,,174.0,58.0,205.0,,3.0,2401.0,Collection of web-scraping and crawling libraries.,16.0,0,True,2024-06-06 19:06:38.000,2024.06.06,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,best-of-python - Data Extraction,ml-tooling/best-of-python,data-loading,True,https://github.com/ml-tooling/best-of-python,https://github.com/ml-tooling/best-of-python#data-loading--extraction,CC-BY-SA-4.0,2021-01-11 19:11:32.000,2024-08-14 02:31:07.000000,2024-08-14 02:31:07,360.0,,257.0,96.0,199.0,7.0,6.0,3772.0,Collection of data-loading and -extraction libraries.,12.0,0,True,2024-06-06 14:07:12.000,2024.06.06,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,best-of-python - DB Clients,ml-tooling/best-of-python,db-clients,True,https://github.com/ml-tooling/best-of-python,https://github.com/ml-tooling/best-of-python#database-clients,CC-BY-SA-4.0,2021-01-11 19:11:32.000,2024-08-14 02:31:07.000000,2024-08-14 02:31:07,360.0,,257.0,96.0,199.0,7.0,6.0,3772.0,Collection of database clients for python.,12.0,0,True,2024-06-06 14:07:12.000,2024.06.06,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,best-of-python - Data Containers,ml-tooling/best-of-python,data-containers,True,https://github.com/ml-tooling/best-of-python,https://github.com/ml-tooling/best-of-python#data-containers--dataframes,CC-BY-SA-4.0,2021-01-11 19:11:32.000,2024-08-14 02:31:07.000000,2024-08-14 02:31:07,360.0,,257.0,96.0,199.0,7.0,6.0,3772.0,"Collection of data-container, dataframe, and pandas-utility libraries.",12.0,0,True,2024-06-06 14:07:12.000,2024.06.06,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,best-of-python - Data Pipelines,ml-tooling/best-of-python,data-pipelines,True,https://github.com/ml-tooling/best-of-python,https://github.com/ml-tooling/best-of-python#data-pipelines--streaming,CC-BY-SA-4.0,2021-01-11 19:11:32.000,2024-08-14 02:31:07.000000,2024-08-14 02:31:07,360.0,,257.0,96.0,199.0,7.0,6.0,3772.0,"Libraries for data batch- and stream-processing, workflow automation, job scheduling, and other data pipeline tasks.",12.0,0,True,2024-06-06 14:07:12.000,2024.06.06,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,Tensorflow,tensorflow/tensorflow,ml-frameworks,,https://github.com/tensorflow/tensorflow,https://github.com/tensorflow/tensorflow,Apache-2.0,2015-11-07 01:19:20.000,2025-01-16 14:15:24.000000,2025-01-16 13:27:45,174736.0,3638.0,74423.0,7531.0,43055.0,6599.0,39331.0,189941.0,An Open Source Machine Learning Framework for Everyone.,4762.0,55,True,2024-10-25 00:14:11.000,2.18.0,202.0,tensorflow,conda-forge/tensorflow,tensorflow/tensorflow,https://www.tensorflow.org/overview,['tensorflow'],461140.0,453063.0,https://pypi.org/project/tensorflow,2024-10-25 00:14:11.000,8077.0,18402288.0,19216171.0,https://anaconda.org/conda-forge/tensorflow,2024-10-17 06:34:48.464,5231261.0,https://hub.docker.com/r/tensorflow/tensorflow,2025-01-16 13:49:19.162805,2663.0,78870970.0,1.0,,,,,,,,,,,,,,,,,,,,
7,PyTorch,pytorch/pytorch,ml-frameworks,,https://github.com/pytorch/pytorch,https://github.com/pytorch/pytorch,BSD-3-Clause,2016-08-13 05:26:41.000,2025-01-16 14:07:15.000000,2025-01-16 13:57:54,83235.0,3508.0,22762.0,1761.0,96413.0,15619.0,33726.0,85887.0,Tensors and Dynamic neural networks in Python with strong GPU acceleration.,5362.0,55,True,2024-10-29 17:58:24.000,2.5.1,57.0,torch,pytorch/pytorch,,https://pytorch.org/docs/stable/index.html,['pytorch'],638565.0,617274.0,https://pypi.org/project/torch,2024-10-29 17:32:42.000,21291.0,28601545.0,29238021.0,https://anaconda.org/pytorch/pytorch,2024-10-28 23:02:38.194,25430420.0,,,,,1.0,71637.0,,,,,,,,,,,,,,,,,,,
8,scikit-learn,scikit-learn/scikit-learn,ml-frameworks,,https://github.com/scikit-learn/scikit-learn,https://github.com/scikit-learn/scikit-learn,BSD-3-Clause,2010-08-17 09:43:38.000,2025-01-16 08:46:06.000000,2025-01-16 08:46:05,32080.0,257.0,25495.0,2144.0,18251.0,2112.0,9775.0,60771.0,scikit-learn: machine learning in Python.,3247.0,53,True,2025-01-10 10:51:11.000,1.6.1,84.0,scikit-learn,conda-forge/scikit-learn,,,['sklearn'],1049616.0,1022715.0,https://pypi.org/project/scikit-learn,2025-01-10 08:05:56.000,26901.0,70739790.0,71335189.0,https://anaconda.org/conda-forge/scikit-learn,2025-01-10 08:41:17.222,33341849.0,,,,,1.0,1037.0,,,,,,,,,,,,,,,,,,,
9,transformers,huggingface/transformers,nlp,,https://github.com/huggingface/transformers,https://github.com/huggingface/transformers,Apache-2.0,2018-10-29 13:56:00.000,2025-01-16 14:13:48.000000,2025-01-16 12:59:53,17786.0,591.0,27505.0,1128.0,18716.0,1494.0,15488.0,137648.0,"Transformers: State-of-the-art Machine Learning for Pytorch, TensorFlow, and JAX.",3013.0,52,True,2025-01-10 12:14:21.000,4.48.0,167.0,transformers,conda-forge/transformers,,,"['pytorch', 'tensorflow']",277896.0,270613.0,https://pypi.org/project/transformers,2025-01-10 12:14:03.000,7283.0,36477728.0,36522332.0,https://anaconda.org/conda-forge/transformers,2025-01-10 18:36:46.038,2408656.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,
10,scipy,scipy/scipy,others,,https://github.com/scipy/scipy,https://github.com/scipy/scipy,BSD-3-Clause,2011-03-09 18:52:03.000,2025-01-16 14:03:37.000000,2025-01-16 14:03:37,34369.0,704.0,5232.0,350.0,11754.0,1719.0,9107.0,13287.0,"Ecosystem of open-source software for mathematics, science, and engineering.",1733.0,50,True,2025-01-11 00:13:13.000,1.15.1,112.0,scipy,conda-forge/scipy,,,,1248266.0,1199054.0,https://pypi.org/project/scipy,2025-01-10 23:59:19.000,49212.0,109973553.0,111111785.0,https://anaconda.org/conda-forge/scipy,2025-01-11 20:58:33.827,56713463.0,,,,,1.0,451795.0,,,,,,,,,,,,,,,,,,,
11,Matplotlib,matplotlib/matplotlib,data-viz,,https://github.com/matplotlib/matplotlib,https://github.com/matplotlib/matplotlib,,2011-02-19 03:17:12.000,2025-01-16 07:34:10.000000,2025-01-16 07:34:10,51836.0,564.0,7684.0,593.0,18778.0,1601.0,9440.0,20589.0,matplotlib: plotting with Python.,1766.0,49,True,2024-12-14 06:30:36.000,3.10.0,131.0,matplotlib,conda-forge/matplotlib,,,,1556108.0,1503125.0,https://pypi.org/project/matplotlib,2024-12-14 06:30:36.000,52983.0,61647586.0,62151680.0,https://anaconda.org/conda-forge/matplotlib,2024-12-16 20:44:59.565,27725206.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,
12,SymPy,sympy/sympy,others,,https://github.com/sympy/sympy,https://github.com/sympy/sympy,BSD-3-Clause,2010-04-30 20:37:14.000,2025-01-10 04:45:48.000000,2025-01-10 04:45:48,59358.0,308.0,4464.0,293.0,13611.0,5148.0,8964.0,13213.0,A computer algebra system written in pure Python.,1345.0,49,True,2024-09-18 21:54:45.000,1.13.3,64.0,sympy,conda-forge/sympy,,,,212797.0,209297.0,https://pypi.org/project/sympy,2024-09-18 21:54:23.000,3500.0,25904870.0,26044202.0,https://anaconda.org/conda-forge/sympy,2025-01-07 11:14:01.011,7578043.0,,,,,1.0,553427.0,,,,,,,,,,,,,,,,,,,
13,Keras,keras-team/keras,ml-frameworks,,https://github.com/keras-team/keras,https://github.com/keras-team/keras,Apache-2.0,2015-03-28 00:35:42.000,2025-01-16 01:33:08.000000,2025-01-16 01:33:08,11297.0,248.0,19483.0,1916.0,7719.0,258.0,12065.0,62355.0,Deep Learning for humans.,1364.0,48,True,2025-01-07 18:27:26.000,3.8.0,105.0,keras,conda-forge/keras,,https://keras.io,['tensorflow'],1698.0,,https://pypi.org/project/keras,2025-01-07 18:27:14.000,1698.0,12394552.0,12465274.0,https://anaconda.org/conda-forge/keras,2025-01-10 19:55:24.082,3889725.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,
14,Pillow,python-pillow/Pillow,image,,https://github.com/python-pillow/Pillow,https://github.com/python-pillow/Pillow,PIL,2012-07-24 21:38:39.000,2025-01-16 12:12:20.000000,2025-01-16 12:12:20,19088.0,350.0,2246.0,219.0,5275.0,124.0,3150.0,12474.0,Python Imaging Library (Fork).,484.0,48,True,2025-01-02 08:20:18.000,11.1.0,100.0,Pillow,conda-forge/pillow,,,,2018893.0,2007982.0,https://pypi.org/project/Pillow,2025-01-02 08:10:16.000,10911.0,106418347.0,107318297.0,https://anaconda.org/conda-forge/pillow,2025-01-03 20:03:34.476,48597329.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,
15,Streamlit,streamlit/streamlit,others,,https://github.com/streamlit/streamlit,https://github.com/streamlit/streamlit,Apache-2.0,2019-08-24 00:14:52.000,2025-01-16 14:39:14.000000,2025-01-16 11:21:09,6974.0,257.0,3162.0,323.0,5327.0,1004.0,3815.0,36732.0,Streamlit A faster way to build and share data apps.,282.0,46,True,2024-12-13 21:22:19.000,1.41.1,233.0,streamlit,,,,,667907.0,664899.0,https://pypi.org/project/streamlit,2024-12-13 21:22:11.000,3008.0,5660906.0,5660906.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,
16,Ray,ray-project/ray,distributed-ml,,https://github.com/ray-project/ray,https://github.com/ray-project/ray,Apache-2.0,2016-10-25 19:38:30.000,2025-01-16 10:28:05.000000,2025-01-16 10:28:05,23613.0,810.0,5934.0,479.0,30330.0,4281.0,15616.0,34907.0,Ray is an AI compute engine. Ray consists of a core distributed runtime and a set of AI Libraries for accelerating ML..,1126.0,46,True,2024-12-04 00:01:15.000,ray-2.40.0,120.0,ray,conda-forge/ray-tune,,,,21057.0,20237.0,https://pypi.org/project/ray,2024-12-03 23:45:31.000,820.0,5374726.0,5385440.0,https://anaconda.org/conda-forge/ray-tune,2024-12-20 21:34:53.315,524890.0,,,,,1.0,248.0,,,,,,,,,,,,,,,,,,,
17,jax,google/jax,ml-frameworks,,https://github.com/jax-ml/jax,https://github.com/jax-ml/jax,Apache-2.0,2018-10-25 21:25:02.000,2025-01-16 14:18:20.000000,2025-01-16 12:30:43,25097.0,1437.0,2851.0,335.0,17084.0,1477.0,4384.0,30994.0,"Composable transformations of Python+NumPy programs: differentiate, vectorize, JIT to GPU/TPU, and more.",814.0,46,True,2024-12-17 23:03:44.000,0.4.38,172.0,jax,conda-forge/jaxlib,,,,37721.0,35651.0,https://pypi.org/project/jax,2024-12-17 23:03:44.000,2070.0,4618062.0,4655779.0,https://anaconda.org/conda-forge/jaxlib,2025-01-06 04:26:25.655,2074435.0,,,,,1.0,,jax-ml/jax,,,,,,,,,,,,,,,,,,
18,Plotly,plotly/plotly.py,data-viz,,https://github.com/plotly/plotly.py,https://github.com/plotly/plotly.py,MIT,2013-11-21 05:53:08.000,2025-01-15 21:59:53.000000,2025-01-15 15:15:31,7426.0,445.0,2558.0,276.0,1779.0,580.0,2493.0,16582.0,The interactive graphing library for Python This project now includes Plotly Express!.,281.0,46,True,2024-09-12 15:42:27.000,5.24.1,301.0,plotly,conda-forge/plotly,,,,356561.0,350232.0,https://pypi.org/project/plotly,2024-09-12 15:36:24.000,6320.0,16725123.0,16916618.0,https://anaconda.org/conda-forge/plotly,2024-12-09 08:37:37.782,8055784.0,,,,,1.0,,,plotlywidget,https://www.npmjs.com/package/plotlywidget,2021-01-12 16:09:46.133,9.0,47642.0,,,,,,,,,,,,,
19,XGBoost,dmlc/xgboost,ml-frameworks,,https://github.com/dmlc/xgboost,https://github.com/dmlc/xgboost,Apache-2.0,2014-02-06 17:28:03.000,2025-01-15 07:36:16.000000,2025-01-15 07:36:16,7302.0,165.0,8735.0,910.0,5794.0,458.0,4965.0,26485.0,"Scalable, Portable and Distributed Gradient Boosting (GBDT, GBRT or GBM) Library, for Python, R, Java, Scala, C++ and..",657.0,45,True,2024-11-26 10:23:00.000,2.1.3,85.0,xgboost,conda-forge/xgboost,,https://xgboost.readthedocs.io/en/latest/,,128103.0,125992.0,https://pypi.org/project/xgboost,2024-11-26 10:23:00.000,2111.0,22745131.0,22849554.0,https://anaconda.org/conda-forge/xgboost,2024-12-03 00:14:17.609,5633544.0,,,,,1.0,12905.0,,,,,,,,,,,,,,,,,,,
20,PaddlePaddle,PaddlePaddle/Paddle,ml-frameworks,,https://github.com/PaddlePaddle/Paddle,https://github.com/PaddlePaddle/Paddle,Apache-2.0,2016-08-15 06:59:08.000,2025-01-16 11:55:37.000000,2025-01-16 11:55:37,52633.0,1339.0,5648.0,716.0,52096.0,1784.0,17546.0,22407.0,PArallel Distributed Deep LEarning: Machine Learning Framework from Industrial Practice &.,1347.0,45,True,2024-09-13 08:31:46.000,2.6.2,72.0,paddlepaddle,,,,['paddle'],6989.0,6781.0,https://pypi.org/project/paddlepaddle,2025-01-09 02:42:38.000,208.0,290932.0,291084.0,,,,,,,,1.0,15426.0,,,,,,,,,,,,,,,,,,,
