,name,github_id,category,resource,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,description,contributor_count,projectrank,show,latest_stable_release_published_at,latest_stable_release_number,release_count,pypi_id,conda_id,dockerhub_id,docs_url,labels,dependent_project_count,github_dependent_project_count,pypi_url,pypi_latest_release_published_at,pypi_dependent_project_count,pypi_monthly_downloads,monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,projectrank_placing,github_release_downloads,npm_id,npm_url,npm_latest_release_published_at,npm_dependent_project_count,npm_monthly_downloads,helm_id,updated_github_id,trending,brew_id,apt_id,yum_id,conda_dependent_project_count,dnf_id,yay_id,snap_id,maven_id,maven_url,maven_latest_release_published_at,maven_dependent_project_count
0,ANN Benchmarks,erikbern/ann-benchmarks,nn-search,True,https://github.com/erikbern/ann-benchmarks,https://github.com/erikbern/ann-benchmarks,MIT,2015-05-28 13:21:43.000,2025-01-22 11:36:03.000000,2025-01-22 11:36:03,1575.0,7.0,739.0,118.0,347.0,71.0,154.0,5107.0,Benchmarks of approximate nearest neighbor libraries in Python.,111.0,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,best-of-web-python - Web Scraping,ml-tooling/best-of-web-python,web-scraping,True,https://github.com/ml-tooling/best-of-web-python,https://github.com/ml-tooling/best-of-web-python#web-scraping--crawling,CC-BY-SA-4.0,2021-01-05 13:09:27.000,2024-06-07 15:14:35.000000,2024-06-06 19:06:33,346.0,,185.0,58.0,205.0,,3.0,2451.0,Collection of web-scraping and crawling libraries.,16.0,0,True,2024-06-06 19:06:38.000,2024.06.06,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,best-of-python - Data Extraction,ml-tooling/best-of-python,data-loading,True,https://github.com/ml-tooling/best-of-python,https://github.com/ml-tooling/best-of-python#data-loading--extraction,CC-BY-SA-4.0,2021-01-11 19:11:32.000,2024-08-14 02:31:07.000000,2024-08-14 02:31:07,360.0,,257.0,97.0,199.0,7.0,6.0,3835.0,Collection of data-loading and -extraction libraries.,12.0,0,True,2024-06-06 14:07:12.000,2024.06.06,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,best-of-python - DB Clients,ml-tooling/best-of-python,db-clients,True,https://github.com/ml-tooling/best-of-python,https://github.com/ml-tooling/best-of-python#database-clients,CC-BY-SA-4.0,2021-01-11 19:11:32.000,2024-08-14 02:31:07.000000,2024-08-14 02:31:07,360.0,,257.0,97.0,199.0,7.0,6.0,3835.0,Collection of database clients for python.,12.0,0,True,2024-06-06 14:07:12.000,2024.06.06,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,best-of-python - Data Containers,ml-tooling/best-of-python,data-containers,True,https://github.com/ml-tooling/best-of-python,https://github.com/ml-tooling/best-of-python#data-containers--dataframes,CC-BY-SA-4.0,2021-01-11 19:11:32.000,2024-08-14 02:31:07.000000,2024-08-14 02:31:07,360.0,,257.0,97.0,199.0,7.0,6.0,3835.0,"Collection of data-container, dataframe, and pandas-utility libraries.",12.0,0,True,2024-06-06 14:07:12.000,2024.06.06,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,best-of-python - Data Pipelines,ml-tooling/best-of-python,data-pipelines,True,https://github.com/ml-tooling/best-of-python,https://github.com/ml-tooling/best-of-python#data-pipelines--streaming,CC-BY-SA-4.0,2021-01-11 19:11:32.000,2024-08-14 02:31:07.000000,2024-08-14 02:31:07,360.0,,257.0,97.0,199.0,7.0,6.0,3835.0,"Libraries for data batch- and stream-processing, workflow automation, job scheduling, and other data pipeline tasks.",12.0,0,True,2024-06-06 14:07:12.000,2024.06.06,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,Tensorflow,tensorflow/tensorflow,ml-frameworks,,https://github.com/tensorflow/tensorflow,https://github.com/tensorflow/tensorflow,Apache-2.0,2015-11-07 01:19:20.000,2025-02-20 14:15:35.000000,2025-02-20 14:07:38,176263.0,3703.0,74536.0,7532.0,45456.0,7125.0,39437.0,190814.0,An Open Source Machine Learning Framework for Everyone.,4800.0,55,True,2024-10-25 00:14:11.000,2.18.0,204.0,tensorflow,conda-forge/tensorflow,tensorflow/tensorflow,https://www.tensorflow.org/overview,['tensorflow'],476300.0,467901.0,https://pypi.org/project/tensorflow,2025-01-26 16:09:54.000,8399.0,19636462.0,20446490.0,https://anaconda.org/conda-forge/tensorflow,2025-02-10 00:44:21.123,5337621.0,https://hub.docker.com/r/tensorflow/tensorflow,2025-02-20 13:48:36.230713,2695.0,79140956.0,1.0,,,,,,,,,,,,,,,,,,,,
7,PyTorch,pytorch/pytorch,ml-frameworks,,https://github.com/pytorch/pytorch,https://github.com/pytorch/pytorch,BSD-3-Clause,2016-08-13 05:26:41.000,2025-02-20 14:09:11.000000,2025-02-20 13:55:42,84585.0,3236.0,23233.0,1767.0,98132.0,15553.0,34453.0,87049.0,Tensors and Dynamic neural networks in Python with strong GPU acceleration.,5410.0,55,True,2025-01-29 17:18:54.000,2.6.0,58.0,torch,pytorch/pytorch,,https://pytorch.org/docs/stable/index.html,['pytorch'],671885.0,649767.0,https://pypi.org/project/torch,2025-01-29 16:17:26.000,22118.0,40256148.0,40887257.0,https://anaconda.org/pytorch/pytorch,2024-10-28 23:02:38.194,25844770.0,,,,,1.0,75740.0,,,,,,,,,,,,,,,,,,,
8,scikit-learn,scikit-learn/scikit-learn,ml-frameworks,,https://github.com/scikit-learn/scikit-learn,https://github.com/scikit-learn/scikit-learn,BSD-3-Clause,2010-08-17 09:43:38.000,2025-02-20 07:16:31.000000,2025-02-19 12:25:07,32184.0,251.0,25536.0,2145.0,18395.0,2103.0,9826.0,61172.0,scikit-learn: machine learning in Python.,3261.0,53,True,2025-01-10 10:51:11.000,1.6.1,84.0,scikit-learn,conda-forge/scikit-learn,,,['sklearn'],1095429.0,1068528.0,https://pypi.org/project/scikit-learn,2025-01-10 08:05:56.000,26901.0,77200930.0,77798769.0,https://anaconda.org/conda-forge/scikit-learn,2025-01-10 08:41:17.222,34076354.0,,,,,1.0,1041.0,,,,,,,,,,,,,,,,,,,
9,transformers,huggingface/transformers,nlp,,https://github.com/huggingface/transformers,https://github.com/huggingface/transformers,Apache-2.0,2018-10-29 13:56:00.000,2025-02-20 14:13:48.000000,2025-02-20 14:13:48,18098.0,676.0,27978.0,1141.0,19087.0,1531.0,15692.0,139798.0,"Transformers: State-of-the-art Machine Learning for Pytorch, TensorFlow, and JAX.",3077.0,52,True,2025-02-20 14:08:37.000,4.49.0-SmolVLM-2,171.0,transformers,conda-forge/transformers,,,"['pytorch', 'tensorflow']",299208.0,291541.0,https://pypi.org/project/transformers,2025-02-17 15:18:58.000,7667.0,44717998.0,44763546.0,https://anaconda.org/conda-forge/transformers,2025-02-17 21:07:47.741,2505165.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,
10,scipy,scipy/scipy,others,,https://github.com/scipy/scipy,https://github.com/scipy/scipy,BSD-3-Clause,2011-03-09 18:52:03.000,2025-02-20 12:09:36.000000,2025-02-20 12:09:36,34658.0,672.0,5257.0,350.0,11905.0,1708.0,9195.0,13381.0,"Ecosystem of open-source software for mathematics, science, and engineering.",1747.0,50,True,2025-02-17 01:57:38.000,1.15.2,113.0,scipy,conda-forge/scipy,,,,1283962.0,1233456.0,https://pypi.org/project/scipy,2025-02-17 00:28:56.000,50506.0,126145396.0,127288864.0,https://anaconda.org/conda-forge/scipy,2025-02-17 15:24:02.424,58111662.0,,,,,1.0,462864.0,,,,,,,,,,,,,,,,,,,
11,Matplotlib,matplotlib/matplotlib,data-viz,,https://github.com/matplotlib/matplotlib,https://github.com/matplotlib/matplotlib,,2011-02-19 03:17:12.000,2025-02-19 07:48:22.000000,2025-02-19 07:48:19,51977.0,486.0,7684.0,591.0,18894.0,1601.0,9492.0,20768.0,matplotlib: plotting with Python.,1777.0,49,True,2024-12-14 06:30:36.000,3.10.0,131.0,matplotlib,conda-forge/matplotlib,,,,1611615.0,1558632.0,https://pypi.org/project/matplotlib,2024-12-14 06:30:36.000,52983.0,72135691.0,72640989.0,https://anaconda.org/conda-forge/matplotlib,2024-12-16 20:44:59.565,28296712.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,
12,SymPy,sympy/sympy,others,,https://github.com/sympy/sympy,https://github.com/sympy/sympy,BSD-3-Clause,2010-04-30 20:37:14.000,2025-02-19 13:55:26.000000,2025-02-19 13:55:26,59516.0,292.0,4563.0,292.0,13699.0,5238.0,9002.0,13310.0,A computer algebra system written in pure Python.,1353.0,49,True,2024-09-18 21:54:45.000,1.13.3,64.0,sympy,conda-forge/sympy,,,,226681.0,222673.0,https://pypi.org/project/sympy,2024-09-18 21:54:23.000,4008.0,35319136.0,35461501.0,https://anaconda.org/conda-forge/sympy,2025-01-07 11:14:01.011,7887235.0,,,,,1.0,555038.0,,,,,,,,,,,,,,,,,,,
13,Keras,keras-team/keras,ml-frameworks,,https://github.com/keras-team/keras,https://github.com/keras-team/keras,Apache-2.0,2015-03-28 00:35:42.000,2025-02-20 02:44:01.000000,2025-02-20 02:44:01,11359.0,202.0,19521.0,1912.0,7826.0,255.0,12128.0,62585.0,Deep Learning for humans.,1372.0,48,True,2025-01-07 18:27:26.000,3.8.0,105.0,keras,conda-forge/keras,,https://keras.io,['tensorflow'],1698.0,,https://pypi.org/project/keras,2025-01-07 18:27:14.000,1698.0,13036032.0,13106490.0,https://anaconda.org/conda-forge/keras,2025-01-10 19:55:24.082,3945701.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,
14,Pillow,python-pillow/Pillow,image,,https://github.com/python-pillow/Pillow,https://github.com/python-pillow/Pillow,PIL,2012-07-24 21:38:39.000,2025-02-19 10:39:25.000000,2025-02-19 10:39:25,19228.0,353.0,2252.0,219.0,5328.0,123.0,3167.0,12563.0,Python Imaging Library (Fork).,484.0,48,True,2025-01-02 08:20:18.000,11.1.0,100.0,Pillow,conda-forge/pillow,,,,2079600.0,2068689.0,https://pypi.org/project/Pillow,2025-01-02 08:10:16.000,10911.0,125777276.0,126687575.0,https://anaconda.org/conda-forge/pillow,2025-01-03 20:03:34.476,50066463.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,
15,Ray,ray-project/ray,distributed-ml,,https://github.com/ray-project/ray,https://github.com/ray-project/ray,Apache-2.0,2016-10-25 19:38:30.000,2025-02-20 14:23:37.000000,2025-02-20 14:23:37,24054.0,940.0,6025.0,482.0,30968.0,4411.0,15754.0,35535.0,Ray is an AI compute engine. Ray consists of a core distributed runtime and a set of AI Libraries for accelerating ML..,1161.0,47,True,2025-02-11 22:21:54.000,ray-2.42.1,123.0,ray,conda-forge/ray-tune,,,,21995.0,21114.0,https://pypi.org/project/ray,2025-02-11 21:13:19.000,881.0,5943602.0,5957273.0,https://anaconda.org/conda-forge/ray-tune,2025-02-15 03:07:19.856,683486.0,,,,,1.0,248.0,,,,,,,,,,,,,,,,,,,
16,Streamlit,streamlit/streamlit,others,,https://github.com/streamlit/streamlit,https://github.com/streamlit/streamlit,Apache-2.0,2019-08-24 00:14:52.000,2025-02-20 14:03:08.000000,2025-02-20 11:16:02,7109.0,267.0,3244.0,328.0,5522.0,1031.0,3874.0,37614.0,Streamlit A faster way to build and share data apps.,317.0,46,True,2025-02-17 21:21:02.000,1.42.1,236.0,streamlit,,,,,722229.0,718927.0,https://pypi.org/project/streamlit,2025-02-17 21:20:50.000,3302.0,7399753.0,7399753.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,
17,Plotly,plotly/plotly.py,data-viz,,https://github.com/plotly/plotly.py,https://github.com/plotly/plotly.py,MIT,2013-11-21 05:53:08.000,2025-02-20 00:20:35.000000,2025-02-19 15:49:37,7560.0,237.0,2595.0,277.0,1816.0,625.0,2508.0,16749.0,The interactive graphing library for Python.,282.0,46,True,2025-01-28 19:45:30.000,6.0.0,302.0,plotly,conda-forge/plotly,,,,373927.0,366603.0,https://pypi.org/project/plotly,2025-01-28 19:33:47.000,7315.0,19486451.0,19701465.0,https://anaconda.org/conda-forge/plotly,2025-01-31 01:47:40.544,8385676.0,,,,,1.0,40.0,plotlywidget,https://www.npmjs.com/package/plotlywidget,2021-01-12 16:09:46.133,9.0,67897.0,,,,,,,,,,,,,,
18,PySpark,apache/spark,ml-frameworks,,https://github.com/apache/spark,https://github.com/apache/spark,Apache-2.0,2014-02-25 08:00:08.000,2025-02-20 13:23:07.000000,2025-02-20 13:22:16,43714.0,874.0,28412.0,2016.0,49985.0,243.0,,40570.0,Apache Spark Python API.,3188.0,45,True,2024-12-20 14:34:41.000,3.5.4,50.0,pyspark,conda-forge/pyspark,,,['spark'],1654.0,,https://pypi.org/project/pyspark,2024-12-20 14:34:41.000,1654.0,31959250.0,32025340.0,https://anaconda.org/conda-forge/pyspark,2024-12-21 08:33:41.806,3701041.0,,,,,1.0,,,,,,,stable/spark,,,,,,,,,,,,,
