,name,github_id,category,resource,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,description,contributor_count,projectrank,show,latest_stable_release_published_at,latest_stable_release_number,release_count,pypi_id,conda_id,dockerhub_id,docs_url,labels,dependent_project_count,github_dependent_project_count,pypi_url,pypi_latest_release_published_at,pypi_dependent_project_count,pypi_monthly_downloads,monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,projectrank_placing,github_release_downloads,trending,npm_id,npm_url,npm_latest_release_published_at,npm_dependent_project_count,npm_monthly_downloads,updated_github_id,helm_id,brew_id,apt_id,yum_id,conda_dependent_project_count,dnf_id,yay_id,snap_id,maven_id,maven_url,maven_latest_release_published_at,maven_dependent_project_count,new_addition
0,ANN Benchmarks,erikbern/ann-benchmarks,nn-search,True,https://github.com/erikbern/ann-benchmarks,https://github.com/erikbern/ann-benchmarks,MIT,2015-05-28 13:21:43.000,2025-04-15 14:58:41.000000,2025-04-15 14:58:40,1582.0,7.0,758.0,116.0,356.0,79.0,155.0,5266.0,Benchmarks of approximate nearest neighbor libraries in Python.,112.0,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,best-of-web-python - Web Scraping,ml-tooling/best-of-web-python,web-scraping,True,https://github.com/ml-tooling/best-of-web-python,https://github.com/ml-tooling/best-of-web-python#web-scraping--crawling,CC-BY-SA-4.0,2021-01-05 13:09:27.000,2024-06-07 15:14:35.000000,2024-06-06 19:06:33,346.0,,186.0,57.0,205.0,,3.0,2505.0,Collection of web-scraping and crawling libraries.,16.0,0,True,2024-06-06 19:06:38.000,2024.06.06,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,best-of-python - Data Extraction,ml-tooling/best-of-python,data-loading,True,https://github.com/ml-tooling/best-of-python,https://github.com/ml-tooling/best-of-python#data-loading--extraction,CC-BY-SA-4.0,2021-01-11 19:11:32.000,2025-03-11 09:47:21.000000,2025-03-11 09:47:21,361.0,1.0,270.0,97.0,200.0,7.0,6.0,3959.0,Collection of data-loading and -extraction libraries.,13.0,0,True,2024-06-06 14:07:12.000,2024.06.06,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,best-of-python - DB Clients,ml-tooling/best-of-python,db-clients,True,https://github.com/ml-tooling/best-of-python,https://github.com/ml-tooling/best-of-python#database-clients,CC-BY-SA-4.0,2021-01-11 19:11:32.000,2025-03-11 09:47:21.000000,2025-03-11 09:47:21,361.0,1.0,270.0,97.0,200.0,7.0,6.0,3959.0,Collection of database clients for python.,13.0,0,True,2024-06-06 14:07:12.000,2024.06.06,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,best-of-python - Data Containers,ml-tooling/best-of-python,data-containers,True,https://github.com/ml-tooling/best-of-python,https://github.com/ml-tooling/best-of-python#data-containers--dataframes,CC-BY-SA-4.0,2021-01-11 19:11:32.000,2025-03-11 09:47:21.000000,2025-03-11 09:47:21,361.0,1.0,270.0,97.0,200.0,7.0,6.0,3959.0,"Collection of data-container, dataframe, and pandas-utility libraries.",13.0,0,True,2024-06-06 14:07:12.000,2024.06.06,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,best-of-python - Data Pipelines,ml-tooling/best-of-python,data-pipelines,True,https://github.com/ml-tooling/best-of-python,https://github.com/ml-tooling/best-of-python#data-pipelines--streaming,CC-BY-SA-4.0,2021-01-11 19:11:32.000,2025-03-11 09:47:21.000000,2025-03-11 09:47:21,361.0,1.0,270.0,97.0,200.0,7.0,6.0,3959.0,"Libraries for data batch- and stream-processing, workflow automation, job scheduling, and other data pipeline tasks.",13.0,0,True,2024-06-06 14:07:12.000,2024.06.06,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,Tensorflow,tensorflow/tensorflow,ml-frameworks,,https://github.com/tensorflow/tensorflow,https://github.com/tensorflow/tensorflow,Apache-2.0,2015-11-07 01:19:20.000,2025-05-08 14:14:29.000000,2025-05-08 14:14:17,179793.0,3964.0,74658.0,7498.0,50480.0,8700.0,39610.0,192587.0,An Open Source Machine Learning Framework for Everyone.,4859.0,56,True,2025-03-12 01:04:13.000,2.19.0,207.0,tensorflow,conda-forge/tensorflow,tensorflow/tensorflow,https://www.tensorflow.org/overview,['tensorflow'],522196.0,513340.0,https://pypi.org/project/tensorflow,2025-03-12 01:04:13.000,8856.0,21948058.0,22741410.0,https://anaconda.org/conda-forge/tensorflow,2025-04-22 14:56:20.356,5512395.0,https://hub.docker.com/r/tensorflow/tensorflow,2025-05-08 12:50:00.074953,2755.0,79607469.0,1.0,,,,,,,,,,,,,,,,,,,,,
7,PyTorch,pytorch/pytorch,ml-frameworks,,https://github.com/pytorch/pytorch,https://github.com/pytorch/pytorch,BSD-3-Clause,2016-08-13 05:26:41.000,2025-05-08 14:17:51.000000,2025-05-08 14:01:49,87500.0,3331.0,23946.0,1786.0,101833.0,16304.0,35856.0,89777.0,Tensors and Dynamic neural networks in Python with strong GPU acceleration.,5587.0,55,True,2025-04-23 16:16:06.000,2.7.0,59.0,torch,pytorch/pytorch,,https://pytorch.org/docs/stable/index.html,['pytorch'],779313.0,754875.0,https://pypi.org/project/torch,2025-04-23 14:30:40.000,24438.0,49472746.0,50085886.0,https://anaconda.org/pytorch/pytorch,2025-03-25 16:24:31.802,26941602.0,,,,,1.0,86490.0,,,,,,,,,,,,,,,,,,,,
8,transformers,huggingface/transformers,nlp,,https://github.com/huggingface/transformers,https://github.com/huggingface/transformers,Apache-2.0,2018-10-29 13:56:00.000,2025-05-08 14:24:59.000000,2025-05-08 13:37:36,18890.0,917.0,28865.0,1151.0,20275.0,1786.0,16137.0,144005.0,"Transformers: State-of-the-art Machine Learning for Pytorch, TensorFlow, and JAX.",3238.0,54,True,2025-05-08 13:16:47.000,4.51.3-CSM-preiew,179.0,transformers,conda-forge/transformers,,,"['pytorch', 'tensorflow']",366368.0,357822.0,https://pypi.org/project/transformers,2025-04-14 08:13:43.000,8546.0,62766395.0,62814429.0,https://anaconda.org/conda-forge/transformers,2025-04-22 14:57:14.678,2786007.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,
9,scikit-learn,scikit-learn/scikit-learn,ml-frameworks,,https://github.com/scikit-learn/scikit-learn,https://github.com/scikit-learn/scikit-learn,BSD-3-Clause,2010-08-17 09:43:38.000,2025-05-08 10:48:49.000000,2025-05-08 10:48:49,32443.0,297.0,25769.0,2137.0,18737.0,2167.0,9921.0,61975.0,scikit-learn: machine learning in Python.,3306.0,53,True,2025-01-10 10:51:11.000,1.6.1,84.0,scikit-learn,conda-forge/scikit-learn,,,['sklearn'],1253675.0,1224171.0,https://pypi.org/project/scikit-learn,2025-01-10 08:05:56.000,29504.0,96465781.0,97066035.0,https://anaconda.org/conda-forge/scikit-learn,2025-04-22 14:56:23.760,36014710.0,,,,,1.0,1054.0,,,,,,,,,,,,,,,,,,,,
