,name,github_id,category,resource,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,description,contributor_count,projectrank,show,latest_stable_release_published_at,latest_stable_release_number,release_count,pypi_id,conda_id,dockerhub_id,docs_url,labels,dependent_project_count,github_dependent_project_count,pypi_url,pypi_latest_release_published_at,pypi_dependent_project_count,pypi_monthly_downloads,monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,projectrank_placing,github_release_downloads,npm_id,npm_url,npm_latest_release_published_at,npm_dependent_project_count,npm_monthly_downloads,trending,updated_github_id,helm_id,brew_id,apt_id,yum_id,conda_dependent_project_count,dnf_id,yay_id,snap_id,maven_id,maven_url,maven_latest_release_published_at,maven_dependent_project_count
0,ANN Benchmarks,erikbern/ann-benchmarks,nn-search,True,https://github.com/erikbern/ann-benchmarks,https://github.com/erikbern/ann-benchmarks,MIT,2015-05-28 13:21:43.000,2025-04-15 14:58:41.000000,2025-04-15 14:58:40,1582.0,7.0,761.0,115.0,358.0,80.0,155.0,5277.0,Benchmarks of approximate nearest neighbor libraries in Python.,112.0,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,best-of-web-python - Web Scraping,ml-tooling/best-of-web-python,web-scraping,True,https://github.com/ml-tooling/best-of-web-python,https://github.com/ml-tooling/best-of-web-python#web-scraping--crawling,CC-BY-SA-4.0,2021-01-05 13:09:27.000,2024-06-07 15:14:35.000000,2024-06-06 19:06:33,346.0,,186.0,57.0,205.0,,3.0,2514.0,Collection of web-scraping and crawling libraries.,16.0,0,True,2024-06-06 19:06:38.000,2024.06.06,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,best-of-python - Data Extraction,ml-tooling/best-of-python,data-loading,True,https://github.com/ml-tooling/best-of-python,https://github.com/ml-tooling/best-of-python#data-loading--extraction,CC-BY-SA-4.0,2021-01-11 19:11:32.000,2025-03-11 09:47:21.000000,2025-03-11 09:47:21,361.0,1.0,270.0,97.0,200.0,7.0,6.0,3974.0,Collection of data-loading and -extraction libraries.,13.0,0,True,2024-06-06 14:07:12.000,2024.06.06,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,best-of-python - DB Clients,ml-tooling/best-of-python,db-clients,True,https://github.com/ml-tooling/best-of-python,https://github.com/ml-tooling/best-of-python#database-clients,CC-BY-SA-4.0,2021-01-11 19:11:32.000,2025-03-11 09:47:21.000000,2025-03-11 09:47:21,361.0,1.0,270.0,97.0,200.0,7.0,6.0,3974.0,Collection of database clients for python.,13.0,0,True,2024-06-06 14:07:12.000,2024.06.06,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,best-of-python - Data Containers,ml-tooling/best-of-python,data-containers,True,https://github.com/ml-tooling/best-of-python,https://github.com/ml-tooling/best-of-python#data-containers--dataframes,CC-BY-SA-4.0,2021-01-11 19:11:32.000,2025-03-11 09:47:21.000000,2025-03-11 09:47:21,361.0,1.0,270.0,97.0,200.0,7.0,6.0,3974.0,"Collection of data-container, dataframe, and pandas-utility libraries.",13.0,0,True,2024-06-06 14:07:12.000,2024.06.06,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,best-of-python - Data Pipelines,ml-tooling/best-of-python,data-pipelines,True,https://github.com/ml-tooling/best-of-python,https://github.com/ml-tooling/best-of-python#data-pipelines--streaming,CC-BY-SA-4.0,2021-01-11 19:11:32.000,2025-03-11 09:47:21.000000,2025-03-11 09:47:21,361.0,1.0,270.0,97.0,200.0,7.0,6.0,3974.0,"Libraries for data batch- and stream-processing, workflow automation, job scheduling, and other data pipeline tasks.",13.0,0,True,2024-06-06 14:07:12.000,2024.06.06,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,Tensorflow,tensorflow/tensorflow,ml-frameworks,,https://github.com/tensorflow/tensorflow,https://github.com/tensorflow/tensorflow,Apache-2.0,2015-11-07 01:19:20.000,2025-05-22 14:18:26.000000,2025-05-22 13:43:19,180403.0,4009.0,74670.0,7490.0,51405.0,1282.0,39635.0,192829.0,An Open Source Machine Learning Framework for Everyone.,4864.0,56,True,2025-03-12 01:04:13.000,2.19.0,207.0,tensorflow,conda-forge/tensorflow,tensorflow/tensorflow,https://www.tensorflow.org/overview,['tensorflow'],531756.0,522818.0,https://pypi.org/project/tensorflow,2025-03-12 01:04:13.000,8938.0,22496277.0,23290831.0,https://anaconda.org/conda-forge/tensorflow,2025-04-22 14:56:20.356,5543109.0,https://hub.docker.com/r/tensorflow/tensorflow,2025-05-22 12:49:53.555019,2762.0,79684248.0,1.0,,,,,,,,,,,,,,,,,,,,
7,PyTorch,pytorch/pytorch,ml-frameworks,,https://github.com/pytorch/pytorch,https://github.com/pytorch/pytorch,BSD-3-Clause,2016-08-13 05:26:41.000,2025-05-22 14:09:51.000000,2025-05-22 14:09:38,88059.0,3420.0,23946.0,1784.0,102448.0,16304.0,36135.0,90194.0,Tensors and Dynamic neural networks in Python with strong GPU acceleration.,5616.0,55,True,2025-04-23 16:16:06.000,2.7.0,59.0,torch,pytorch/pytorch,,https://pytorch.org/docs/stable/index.html,['pytorch'],802699.0,777843.0,https://pypi.org/project/torch,2025-04-23 14:30:40.000,24856.0,49468667.0,50086094.0,https://anaconda.org/pytorch/pytorch,2025-03-25 16:24:31.802,27129597.0,,,,,1.0,88074.0,,,,,,,,,,,,,,,,,,,
8,transformers,huggingface/transformers,nlp,,https://github.com/huggingface/transformers,https://github.com/huggingface/transformers,Apache-2.0,2018-10-29 13:56:00.000,2025-05-22 14:03:59.000000,2025-05-22 13:22:18,19041.0,934.0,29023.0,1152.0,20469.0,1783.0,16217.0,144654.0,"Transformers: State-of-the-art Machine Learning for Pytorch, TensorFlow, and JAX.",3268.0,54,True,2025-05-21 13:47:03.000,4.52.2,182.0,transformers,conda-forge/transformers,,,"['pytorch', 'tensorflow']",380936.0,372155.0,https://pypi.org/project/transformers,2025-05-21 13:42:46.000,8781.0,61572696.0,61621597.0,https://anaconda.org/conda-forge/transformers,2025-05-21 22:46:44.499,2836274.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,
9,scikit-learn,scikit-learn/scikit-learn,ml-frameworks,,https://github.com/scikit-learn/scikit-learn,https://github.com/scikit-learn/scikit-learn,BSD-3-Clause,2010-08-17 09:43:38.000,2025-05-22 10:54:59.000000,2025-05-22 10:54:59,32482.0,295.0,25819.0,2134.0,18782.0,2148.0,9941.0,62101.0,scikit-learn: machine learning in Python.,3316.0,53,True,2025-01-10 10:51:11.000,1.6.1,85.0,scikit-learn,conda-forge/scikit-learn,,,['sklearn'],1289626.0,1259629.0,https://pypi.org/project/scikit-learn,2025-05-09 15:01:29.000,29997.0,100122207.0,100728237.0,https://anaconda.org/conda-forge/scikit-learn,2025-05-09 15:42:51.583,36361306.0,,,,,1.0,1056.0,,,,,,,,,,,,,,,,,,,
10,scipy,scipy/scipy,others,,https://github.com/scipy/scipy,https://github.com/scipy/scipy,BSD-3-Clause,2011-03-09 18:52:03.000,2025-05-21 22:00:00.000000,2025-05-21 22:00:00,35297.0,594.0,5354.0,352.0,12217.0,1716.0,9362.0,13690.0,"Ecosystem of open-source software for mathematics, science, and engineering.",1782.0,50,True,2025-05-08 16:20:25.000,1.15.3,115.0,scipy,conda-forge/scipy,,,,1408742.0,1354240.0,https://pypi.org/project/scipy,2025-05-21 16:52:50.000,54502.0,145848109.0,147011164.0,https://anaconda.org/conda-forge/scipy,2025-04-22 14:56:23.716,62579379.0,,,,,1.0,493097.0,,,,,,,,,,,,,,,,,,,
11,SymPy,sympy/sympy,others,,https://github.com/sympy/sympy,https://github.com/sympy/sympy,BSD-3-Clause,2010-04-30 20:37:14.000,2025-05-21 17:36:10.000000,2025-05-21 17:36:10,60196.0,580.0,4669.0,290.0,13976.0,5328.0,9118.0,13640.0,A computer algebra system written in pure Python.,1376.0,50,True,2025-04-27 18:05:25.000,1.14.0,67.0,sympy,conda-forge/sympy,,,,273583.0,269276.0,https://pypi.org/project/sympy,2025-04-27 18:04:59.000,4307.0,56128830.0,56281206.0,https://anaconda.org/conda-forge/sympy,2025-04-29 17:03:51.938,8906430.0,,,,,1.0,558981.0,,,,,,,,,,,,,,,,,,,
12,Matplotlib,matplotlib/matplotlib,data-viz,,https://github.com/matplotlib/matplotlib,https://github.com/matplotlib/matplotlib,,2011-02-19 03:17:12.000,2025-05-21 11:16:46.000000,2025-05-21 11:16:46,52532.0,419.0,7857.0,588.0,19202.0,1647.0,9601.0,21260.0,matplotlib: plotting with Python.,1809.0,49,True,2025-05-09 17:22:05.000,3.10.3,133.0,matplotlib,conda-forge/matplotlib,,,,1839004.0,1779071.0,https://pypi.org/project/matplotlib,2025-05-08 19:09:39.000,59933.0,86833806.0,87345245.0,https://anaconda.org/conda-forge/matplotlib,2025-05-15 21:25:31.306,30174922.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,
13,Pillow,python-pillow/Pillow,image,,https://github.com/python-pillow/Pillow,https://github.com/python-pillow/Pillow,PIL,2012-07-24 21:38:39.000,2025-05-10 20:28:57.000000,2025-05-08 16:43:29,19479.0,229.0,2278.0,219.0,5470.0,126.0,3214.0,12820.0,Python Imaging Library (Fork).,485.0,48,True,2025-04-12 17:56:01.000,11.2.1,102.0,Pillow,conda-forge/pillow,,,,2322856.0,2308591.0,https://pypi.org/project/Pillow,2025-04-12 17:47:10.000,14265.0,145394682.0,146332998.0,https://anaconda.org/conda-forge/pillow,2025-05-07 23:14:11.930,54422376.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,
14,Keras,keras-team/keras,ml-frameworks,,https://github.com/keras-team/keras,https://github.com/keras-team/keras,Apache-2.0,2015-03-28 00:35:42.000,2025-05-21 16:38:49.000000,2025-05-21 16:38:49,11524.0,163.0,19584.0,1900.0,8076.0,307.0,12211.0,63018.0,Deep Learning for humans.,1413.0,47,True,2025-05-19 22:58:28.000,3.10.0,109.0,keras,conda-forge/keras,,https://keras.io,['tensorflow'],1859.0,,https://pypi.org/project/keras,2025-05-19 22:58:28.000,1859.0,15905945.0,15975524.0,https://anaconda.org/conda-forge/keras,2025-05-20 06:37:42.993,4105198.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,
15,Ray,ray-project/ray,distributed-ml,,https://github.com/ray-project/ray,https://github.com/ray-project/ray,Apache-2.0,2016-10-25 19:38:30.000,2025-05-22 13:54:29.000000,2025-05-22 13:54:29,25289.0,1204.0,6302.0,486.0,32685.0,4391.0,16471.0,37149.0,Ray is an AI compute engine. Ray consists of a core distributed runtime and a set of AI Libraries for accelerating ML..,1226.0,47,True,2025-05-07 21:12:53.000,ray-2.46.0,128.0,ray,conda-forge/ray-tune,,,,25286.0,24329.0,https://pypi.org/project/ray,2025-05-07 21:04:19.000,957.0,11201879.0,11216471.0,https://anaconda.org/conda-forge/ray-tune,2025-05-12 00:05:17.242,773316.0,,,,,1.0,256.0,,,,,,,,,,,,,,,,,,,
16,Streamlit,streamlit/streamlit,others,,https://github.com/streamlit/streamlit,https://github.com/streamlit/streamlit,Apache-2.0,2019-08-24 00:14:52.000,2025-05-22 10:47:11.000000,2025-05-21 22:56:09,7629.0,503.0,3461.0,326.0,6175.0,1200.0,4053.0,39455.0,Streamlit A faster way to build and share data apps.,411.0,46,True,2025-05-12 20:40:35.000,1.45.1,244.0,streamlit,,,,,940790.0,937026.0,https://pypi.org/project/streamlit,2025-05-12 20:40:27.000,3764.0,11735111.0,11735111.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,
17,XGBoost,dmlc/xgboost,ml-frameworks,,https://github.com/dmlc/xgboost,https://github.com/dmlc/xgboost,Apache-2.0,2014-02-06 17:28:03.000,2025-05-20 08:15:20.000000,2025-05-20 08:15:20,7424.0,82.0,8763.0,903.0,5974.0,463.0,5068.0,26942.0,"Scalable, Portable and Distributed Gradient Boosting (GBDT, GBRT or GBM) Library, for Python, R, Java, Scala, C++ and..",659.0,46,True,2025-05-13 16:34:03.000,3.0.1,89.0,xgboost,conda-forge/xgboost,,https://xgboost.readthedocs.io/en/latest/,,160863.0,158410.0,https://pypi.org/project/xgboost,2025-05-13 16:34:03.000,2453.0,24809021.0,24914799.0,https://anaconda.org/conda-forge/xgboost,2025-05-15 21:33:43.643,6128153.0,,,,,1.0,16290.0,,,,,,,,,,,,,,,,,,,
18,dash,plotly/dash,data-viz,,https://github.com/plotly/dash,https://github.com/plotly/dash,MIT,2015-04-10 01:53:08.000,2025-05-22 14:44:55.000000,2025-05-06 15:55:33,8332.0,273.0,2144.0,423.0,1257.0,539.0,1433.0,22474.0,Data Apps & Dashboards for Python. No JavaScript Required.,177.0,46,True,2025-04-24 19:08:09.000,3.0.4,191.0,dash,conda-forge/dash,,,,88016.0,86401.0,https://pypi.org/project/dash,2025-04-24 19:06:41.000,1615.0,5073787.0,5104751.0,https://anaconda.org/conda-forge/dash,2025-04-27 13:39:41.261,1826837.0,,,,,1.0,88.0,,,,,,,,,,,,,,,,,,,
19,Plotly,plotly/plotly.py,data-viz,,https://github.com/plotly/plotly.py,https://github.com/plotly/plotly.py,MIT,2013-11-21 05:53:08.000,2025-05-22 13:31:12.000000,2025-05-20 19:06:21,7963.0,343.0,2646.0,279.0,1879.0,664.0,2551.0,17190.0,The interactive graphing library for Python.,286.0,46,True,2025-05-20 20:09:26.000,6.1.1,307.0,plotly,conda-forge/plotly,,,,441904.0,433612.0,https://pypi.org/project/plotly,2025-05-20 20:09:26.000,8283.0,23679278.0,23882382.0,https://anaconda.org/conda-forge/plotly,2025-05-21 00:37:59.719,9561967.0,,,,,1.0,242.0,plotlywidget,https://www.npmjs.com/package/plotlywidget,2021-01-12 16:09:46.133,9.0,43737.0,,,,,,,,,,,,,,
20,Gradio,gradio-app/gradio,others,,https://github.com/gradio-app/gradio,https://github.com/gradio-app/gradio,Apache-2.0,2018-12-19 08:24:04.000,2025-05-22 13:54:37.000000,2025-05-22 13:48:15,7734.0,249.0,2908.0,187.0,5145.0,463.0,5227.0,38188.0,"Wrap UIs around any model, share with anyone.",587.0,45,True,2025-05-19 22:22:31.000,5.30.0,645.0,gradio,,,,,77421.0,76188.0,https://pypi.org/project/gradio,2025-05-19 22:22:31.000,1233.0,8472685.0,8472685.0,,,,,,,,1.0,,,,,,,1.0,,,,,,,,,,,,,
21,jax,google/jax,ml-frameworks,,https://github.com/jax-ml/jax,https://github.com/jax-ml/jax,Apache-2.0,2018-10-25 21:25:02.000,2025-05-22 14:19:50.000000,2025-05-22 14:13:02,27916.0,2102.0,3026.0,327.0,19546.0,1491.0,4729.0,32298.0,"Composable transformations of Python+NumPy programs: differentiate, vectorize, JIT to GPU/TPU, and more.",883.0,45,True,2025-05-21 18:30:19.000,jax-v0.6.1,178.0,jax,conda-forge/jaxlib,,,,46591.0,44053.0,https://pypi.org/project/jax,2025-05-21 18:10:42.000,2538.0,7533609.0,7578603.0,https://anaconda.org/conda-forge/jaxlib,2025-05-17 13:08:42.652,2654656.0,,,,,1.0,,,,,,,,jax-ml/jax,,,,,,,,,,,,
22,PaddlePaddle,PaddlePaddle/Paddle,ml-frameworks,,https://github.com/PaddlePaddle/Paddle,https://github.com/PaddlePaddle/Paddle,Apache-2.0,2016-08-15 06:59:08.000,2025-05-22 14:04:53.000000,2025-05-22 14:04:53,53904.0,995.0,5736.0,716.0,53876.0,1811.0,17748.0,22793.0,PArallel Distributed Deep LEarning: Machine Learning Framework from Industrial Practice &.,1382.0,45,True,2025-03-31 01:41:13.000,3.0.0,74.0,paddlepaddle,,,,['paddle'],8475.0,8242.0,https://pypi.org/project/paddlepaddle,2025-03-26 08:17:50.000,233.0,390108.0,390255.0,,,,,,,,1.0,15437.0,,,,,,,,,,,,,,,,,,,
